Words,Meaning,Sentences,Translation
鑑賞,"appreciation (of art, music, poetry, etc.)",彼は文学を正しく鑑賞できるようになった。,He learned to appreciate literature.
必然的,"inevitable, necessary",それは必然的に延期しなければならない。,"It must, of necessity, be postponed."
気合,"(fighting) spirit, motivation, effort",チームは試合に向けて気合いが入っている。,The team is up for the game.
プリント,"print, copy, handout, flyer",先生は生徒たちにプリントを配布した。,The teacher distributed the handouts to the students.
肝臓,liver,私は肝臓の病歴がある。,I have a history of liver trouble.
配給,"distribution (e.g. films, rice), rationing (e.g. food, gasoline), food ration",彼らはパンと牛乳の追加配給を交渉で決めた。,They bargained additional rations of bread and milk.
一等,"first-class, first-rank, the most, the best",彼はそのコンテストで一等になった。,He got the first prize in the contest.
強固,"firm, strong, solid, stable",彼は強固な性格の人物だ。,He is a man of firm character.
動物園,"zoo, zoological gardens",私はその有名な動物園をたずねるつもりだ。,I am going to visit the famous zoo.
着用,"wearing (e.g. uniform, seat belt), having on",従業員は制服を着用しなければならない。,Employees are required to wear uniforms.
