Kanji,Meaning,W1,R1,M1,W2,R2,M2,W3,R3,M3,W4,R4,M4,Level
加,addition,加わる,くわわる,to be added,加える,くわえる,"to add, increase",追加,ついか,"addition, appending",増加,ぞうか,"increase, rise",3
備,"equip, preparation",備わる,そなわる,to be furnished with,備える,そなえる,"to furnish with, prepare for",準備,じゅんび,preparation,予備,よび,"reserve, spare, preliminaries",3
携,"portable, carry in hand",携わる,たずさわる,"to engage in, participate",携える,たずさえる,to carry on one’s hand,提携,ていけい,"cooperation, tie-up",携帯,けいたい,mobile phone,1
関,"connection, gate",関わる,かかわる,to be affected,関税,かんぜい,"tariff, import tax",交通機関,こうつうきかん,transportation system,関与,かんよ,participation,3
護,"safeguard, protect",介護,かいご,"nursing, care",看護,かんご,"nursing, nurse",保護,ほご,"protection, safeguard, preserve",看護師,かんごし,registered nurse,1
捜,"search, look for",捜索,そうさく,"search, manhunt",捜査,そうさ,"search, investigate, inquiry",捜索隊,そうさくたい,search party,特捜,とくそう,special investigation,2
探,"search, look for, grope",探す,さがす,"to search for, look for, hunt",探る,さぐる,"to feel around for, probe into",探検,たんけん,"exploration, expedition",探偵,たんてい,"detective, investigator",3
索,"cord, rope, searching",索引,さくいん,index in a book,捜索,そうさく,"search, manhunt",探索,たんさく,"search, lookup, hunt",検索条件,けんさくじょうけん,search criteria​,1
査,investigate,調査,ちょうさ,"investigation, examination",検査,けんさ,"inspection, test, check, scan",巡査,じゅんさ,police officer,審査,しんさ,"judging, inspection",2
検,examination,探検,たんけん,"exploration, expedition",検討,けんとう,"consideration, examination",検査,けんさ,"inspection, examination, test, scan",検閲,けんえつ,"censorship, inspection",1
古,"old, used",古典,こてん,classics,古代,こだい,ancient times,中古,ちゅうこ,"used, second-hand, old​",古都,こと,ancient city,4
故,"happenstance, the late",事故,じこ,accident,故人,こじん,the deceased,故障,こしょう,"breakdown, failure",故意,こい,intent,1
湖,lake,琵琶湖,びわこ,lake Biwa,湖畔,こはん,lakeside,湖沼,こしょう,"lake, marsh, wetland",湖岸,こがん,lakeshore,2
工,craft,加工,かこう,"processing, manufacturing",工場,こうじょう,"factory, plant",工業,こうぎょう,manufacturing industry,加工,かこう,manufacturing,4
紅,"crimson, deep red ",紅葉,こうよう,autumn leaves,紅茶,こうちゃ,black tea,紅潮,こうちょう,"flush, blush​",紅海,こうかい,red sea,2
功,"achievement, merits",成功,せいこう,success,功績,こうせき,achievements,功労,こうろう,meritorious deed,即効,そっこう,immediate effect,1
巧,skilled,巧妙,こうみょう,clever,精巧,せいこう,"elaborate, exquisite ",技巧,ぎこう,"technique, finesse​",好走,こうそう,good run,1
項,"paragraph, clause, item",項目,こうもく,heading,事項,じこう,"matters, items, facts",条項,じょうこう,"clause, article",要項,ようこう,important points,1
攻,"aggression, attack",専攻,せんこう,"major, special study",攻撃,こうげき,"an attack, assault",攻勢,こうせい,aggression,侵攻,しんこう,invasion,1
貢,"tribute, support",貢献,こうけん,contribution,年貢,ねんぐ,annual tribute,貢ぐ,みつぐ,"to support, finance",貢租,こうそ,annual tax,1
取,"take, fetch",取材,しゅざい,data collection,取得,しゅとく,acquisition,取材,しゅざい,news coverage,取捨,しゅしゃ,"selection, choice",3
趣,"purport, interest",趣味,しゅみ,hobby,趣向,しゅこう,"device, plan, idea, design",趣旨,しゅし,"meaning, point, gist",趣向,しゅこう,"plan, idea, design",1
補,"supplement, supply",補足,ほそく,supplementation,補給,ほきゅう,"supply, replenish",補償,ほしょう,"compensation, reparation​",補助,ほじょ,assistance,2
捕,"catch, capture ",捕獲,ほかく,capture,捕鯨,ほげい,whaling,捕虜,ほりょ,prisoner of war,逮捕,たいほ,"arrest, capture",3
舗,"shop, store, pave ",舗装,ほそう,pavement,店舗,てんぽ,"shop, store​",老舗,しにせ,long-established shop,舗道,ほどう,paved road,1
郷,"home town, village",故郷,こきょう,hometown,郷愁,きょうしゅう,"nostalgia, homesickness",郷里,きょうり,"hometown, birthplace​",帰郷,ききょう,homecoming,1
響,"echo, sound",影響,えいきょう,"influence, effect",反響,はんきょう,response,音響,おんきょう,"sound, acoustics",交響楽,こうきょうがく,symphony,1
帯,"sash, belt, zone",世帯,せたい,household,熱帯,ねったい,tropics,包帯,ほうたい,"bandage, dressing​",地帯,ちたい,"area, zone",2
滞,"stagnate, be delayed",渋滞,じゅうたい,"traffic jam, congestion",滞在,たいざい,stay,停滞,ていたい,"stagnation, tie-up",延滞,えんたい,"arrears, overdue",1
朱,"cinnabar, red",朱色,しゅいろ,cinnabar red,朱印,しゅいん,red seal​,朱肉,しゅにく,thick red ink,朱書,しゅしょ,writing in red,1
珠,"pearl, gem",算盤,そろばん,abacus,真珠,しんじゅ,pearl,数珠,じゅず,"rosary, prayer beads",珠算,しゅざん,calculation on an abacus,1
殊,"particularly, especially",特殊,とくしゅ,"special, particular, peculiar",殊勲,しゅくん,distinguished services,殊勝,しゅしょう,admirable,殊功,しゅこう,distinguished service,1
未,"still, not yet",未知,みち,unknown,未定,みてい,"undecided, indefinite",未来,みらい,future,未婚,みこん,unmarried,3
味,"flavor, taste ",中味,なかみ,contents,味覚,みかく,taste,調味料,ちょうみりょう,"seasoning, flavouring",気味,きみ,"sensation, feeling",4
魅,charm,魅力,みりょく,charm,魅了,みりょう,fascinating,魅力的,みりょくてき,"charming, fascinating",魅惑,みわく,"attraction, fascination",1
末,"end, close, tip, powder",粗末,そまつ,"crude, rough, plain, shabby",期末,きまつ,end of term,始末,しまつ,"management, dealing with",粉末,ふんまつ,fine powder,3
札,"tag, label, plate",改札,かいさつ,"examination of tickets, ticket barrier",名札,なふだ,"name plate, name tag, label",入札,にゅうさつ,"bid, tender, bidding",荷札,にふだ,"label, tag",2
机,"desk, table",机上,きじょう,"on the desk, theoretical, academic",長机,ながづくえ,long desk,机下,きか,under the desk,机辺,きへん,near a desk,2
杉,japanese cedar,小杉,こすぎ,small cedar​,赤杉,あかすぎ,redwood,杉材,すぎざい,cedar wood,杉板,すぎいた,cedar board,1
