Kanji,NR,KR,Meaning,W1,R1,M1,W2,R2,M2,W3,R3,M3
屋,OKU,ya,"house, shop, room",本屋,ほんや ,bookstore,屋上,おくじょう,"roof, rooftop",部屋,へや,room
業,"GYOU, GOU",waza,"business, vocation, act",職業,しょくぎょう,"occupation, profession",企業,きぎょう,"enterprise, business",商業,しょうぎょう,"commerce, trade"
持,JI,mo,hold,持参,じさん,"bringing, taking",持つ,もつ,"to hold, possess",維持,いじ,"maintenance, preservation"
道,DOU,michi,road,道具,どうぐ,"tool, utensil, instrument",道路,どうろ,"road, highway",道順,みちじゅん,"route, way, course"
身,SHIN,mi,somebody,独身,どくしん,single,出身,しゅっしん,one's origin,中身,なかみ,"contents, interior, filling"
不,"FU, BU",.,"not, un",不便,ふべん,inconvenience,不足,ふそく,insufficiency,不利,ふり,disadvantage
口,"KOU, KU",kuchi,mouth,蛇口,じゃぐち,"faucet, tap",利口,りこう,"clever, intelligent",口頭,こうとう,"oral, verbal"
多,TA,oo,many,多い,おおい,many,多少,たしょう,"a little, some",多様,たよう,"diverse, varied"
野,YA,no,"field, plain",野菜,やさい,vegetable,視野,しや,"field of vision, view",野宿,のじゅく,sleeping outdoors
考,KOU,kanga,"consider, think",思考,しこう,"thought, consideration",考える,かんがえる,"to think, consider",参考,さんこう,reference
開,KAI,"a, hira",open,開始,かいし,"start, commence",開ける,あける,to open,開放,かいほう,opening up. leaving open
教,KYOU,oshi,teach,教室,きょうしつ,classroom,教える,おしえる,to teach,教育,きょういく,education
近,KIN,chika,"near, close",近所,きんじょ,neighbourhood,近い,ちかい,"near, close, short",近視,きんし,nearsightedness
以,I,.,"compared with, or",以上,いじょう,"or more, more than, and above",以下,いか,"or less, less than, and less",以外,いがい,"except, excluding"
問,MON,to,"question, problem",問題,もんだい,"problem, question",問い,とい,"question, query",問う,とう,"to ask, inquire"
正,"SEI, SHOU",tada,correct,正確,せいかく,"accurate, correct",正しい,ただしい,"right, correct",正直,しょうじき,"honest, frank, straightforward"
真,SHIN,ma,"true, truth",写真,しゃしん,photograph,真っ赤,まっか,"bright red, deep red",真空,しんくう,"vacuum, hollow, empty​"
味,MI,aji,taste,意味,いみ,meaning,味わう,あじわう,"to taste, savor",味覚,みかく,"taste, palate"
界,KAI,.,"world, boundary",限界,げんかい,"limit, boundary",境界,きょうかい,"boundary, border",業界,ぎょうかい,business world
無,"MU, BU",na,"not, un, without, less",無料,むりょう,free of charge,無限,むげん,infinity,無理,むり,"unreasonable, impossible"
少,SHOU,"suko, suku","few, a little",少数,しょうすう,small number,少ない,すくない,"few, a little",少し,すこし,small quantity
海,KAI,umi,ocean,海岸,かいがん,"coast, beach",海峡,かいきょう,"channel, strait",海辺,うみべ,"beach, seashore"
切,SETSU,ki,cut,大切,たいせつ,important,切る,きる,to cut,親切,しんせつ,"kind, gentle"
重,"JUU, CHOU","omo, kasa",heavy,重い,おもい,heavy,重ねる,かさねる,"to pile up, heap up, stack up",慎重,しんちょう,"careful, cautious"
集,SHUU,"arts, tsudo","gather, meet",集める,あつめる,"to gather, collect",集合,しゅうごう,"meeting up, gathering",編集,へんしゅう,"editing, compilation"
員,IN,.,member,店員,てんいん,"shop assistant, clerk",職員,しょくいん,staff member,教員,きょういん,"teacher, instructor"
公,KOU,ooyake,"official, public",公害,こうがい,"pollution, public nuisance",公園,こうえん,public park,公共,こうきょう,"public (facilities, service), communal"
画,"GA, KAKU",.,"picture, draw",映画,えいが,"movie, film",画像,がぞう,"image, picture",壁画,へきが,"fresco, mural"
死,SHI,shi,death,死体,したい,corpse,死ぬ,しぬ,"to die, pass away",死亡,しぼう,"death, dying"
安,AN,yasu,"peace, cheap",安定,あんてい,"stability, steadiness",安い,やすい,cheap,安否,あんぴ,"safety, welfare"
親,SHIN,"oya, shita","parent, intimacy",親類,しんるい,"relative, kin",親しい,したしい,"close, familiar",親しむ,したしむ,"to be intimate with, befriend"
強,"KYOU, GOU","tsuyo, shi",strong,強い,つよい,"strong, potent, competent",勉強,べんきょう ,study​,強める,つよめる,"to strengthen,  to emphasize"
使,SHI,tsuka,"use, errand, mission",使う,つかう,to use,使用,しよう ,"use, application",大使,たいし,ambassador
朝,CHOU,asa,morning,朝,あさ,morning ,朝食,ちょうしょく ,breakfast ,今朝,けさ,this morning
題,DAI,.,"title, theme, topic ",問題,もんだい,"problem, question",宿題,しゅくだい,homework,表題,ひょうだい,"title, caption"
仕,SHI,tsuka,"attend, serve",仕事,しごと,work,仕える,つかえる,"to serve, work for, attend",仕方,しかた,"way, method, means"
京,"KYOU, KEI",.,capital,上京,じょうきょう,going to Tokyo,京都,きょうと,Kyoto,帰京,ききょう,returning to Tokyo
足,SOKU,"ashi, ta","foot, leg",足跡,あしあと,footprints,足す,たす,to add,足りる,たりる,"to be sufficient, be enough"
品,HIN,shina,"goods, article",商品,しょうひん,commodity,品物,しなもの,"goods, article",品質,ひんしつ,quality
着,CHAKU,"ki, tsu","arrive, wear",着る,きる,"to wear, put on",着く,つく,"to arrive at, reach",着陸,ちゃくりく,"landing, alighting, touch down"
別,BETSU,waka,separate,別居,べっきょ,"separation, living apart",別れる,わかれる,"to part, be separated",別々,べつべつ,"separate, respective"
音,"ON, IN","oto, ne",sound,音楽,おんがく,music,音色,ねいろ,tone color,音質,おんしつ,"tone quality, sound quality"
元,"GEN, GAN",moto,origin,元,もと,"origin, source",元素,げんそ,element,元来,がんらい,"originally, essentially, naturally"
特,TOKU,.,special,特別,とくべつ,"special, particular",特急,とっきゅう,limited express,独特,どくとく,"peculiarity, uniqueness, characteristic"
風,FU,kaze,wind,風邪,かぜ,"influenza, flu",風呂,ふろ,bath,台風,たいふう,typhoon
夜,YA,"yoru, yo",night,夜,よる,"evening, night",深夜,しんや,late at night,夜明け,よあけ,"dawn, daybreak"
空,KUU,"sora, a, kara, su","sky, empty",空港,くうこう,airport,空き,あき,"space, room, gap, emptiness, vacancy",空っぽ,からっぽ,"empty, vacant"
有,"YUU, U",a,"be, exist, have",有る,ある,"to be, exist, have",有名,ゆうめい,famous,有効,ゆうこう,"valid, effective"
起,KI,o,"wake up, rouse",起きる,おきる,"to get up, wake up",提起,ていき,"raising, bringing up",起こす,おこす,"to raise, set up, bring about"
運,UN,hako,"carry, luck",運動,うんどう,exercise,運ぶ,はこぶ,"to carry, transport, move",運賃,うんちん,"fare, freight rates"
料,RYOU,.,"fee, materials",料理,りょうり,"cooking, dish",資料,しりょう,"materials, data, documents",燃料,ねんりょう,fuel
楽,"GAKU, RAKU",tano,"music, comfort, ease",音楽,おんがく,music,楽しい,たのしい,"enjoyable, fun",楽しむ,たのしむ,"to enjoy, take pleasure"
色,"SHOKU, SHIKI",iro,color,景色,けしき,scenery,特色,とくしょく,"characteristic, feature",茶色,ちゃいろ,brown
帰,KI,kae,"return, come home",帰る,かえる,"to return, come home",帰宅,きたく,returning home​,日帰り,ひがえり,day trip
歩,"HO, BU","aru, ayu",walk,散歩,さんぽ,"walk, stroll",歩く,あるく,to walk,譲歩,じょうほ,"concession, compromise"
悪,"AKU, O",waru,bad,悪い,わるい,"bad, poor",悪魔,あくま,"devil, demon",悪化,あっか,"deterioration, getting worse"
広,KOU,hiro,"wide, broad, spacious",広告,こうこく,advertisement,広い,ひろい,"spacious,  wide",広げる,ひろげる,"to spread, extend"
店,TEN,mise,store,喫茶店,きっさてん,coffee shop,店,みせ,"store, shop",商店,しょうてん,"shop, small store"
町,CHOU,machi,"town, village, street",町,まち,town,町長,ちょうちょう,town mayor​,町並み,まちなみ,townscape
住,JUU,su,"reside, dwell, live",住所,じゅうしょ,address,住む,すむ,"to live, reside",居住,きょじゅう,residence
売,BAI,u,sell,販売,はんばい,"sales, selling, marketing",売る,うる,to sell,売れる,うれる,"to sell well, be popular"
待,TAI,ma,wait,期待,きたい,"expectation, anticipation",待つ,まつ,to wait,待合室,まちあいしつ,waiting room
古,KO,furu,old,古い,ふるい,old,古典,こてん,classic,中古,ちゅうこ,"used, second-hand, old"
始,SHI,haji,"start, begin",始める,はじめる,"to start, begin, commence",始終,しじゅう,"continuously, from beginning to end",始発,しはつ,first departure of the day
終,SHUU,o,"end, finish",終わる,おわる,"to end, come to an end",最終,さいしゅう,"last, final, closing",終了,しゅうりょう,"end, close, termination​"
計,KEI,haka,"plot, plan, scheme, measure",計る,はかる,"to measure, weigh",計画,けいかく,"plan, project, schedule",設計,せっけい,"plan, design, layout​"
院,IN,.,institution,病院,びょういん,hospital,美容院,びよういん,beauty salon,学院,がくいん,"institute, academy"
送,SOU,oku,send,送る,おくる,"to send a thing, dispatch",輸送,ゆそう,transport,送別,そうべつ,"farewell, send-off"
族,ZOKU,.,"tribe, family",家族,かぞく,family,水族館,すいぞくかん,aquarium,親族,しんぞく,"relative, relation"
映,EI,"utsu, ha",reflect,映す,うつす,"to project, reflect, cast",映える,はえる,"to shine, glow​, look attractive",映画館,えいがかん,movie theatre
買,BAI,ka,buy,買う,かう,"to buy, purchase",売買,ばいばい,"trade, buying and selling",購買,こうばい,"procurement, purchase"
病,BYOU,ya,"ill, sick",病気,びょうき,illness,看病,かんびょう,nursing a patient,伝染病,でんせんびょう,contagious disease
早,"SOU, SA",haya,"early, fast",早い,はやい,"fast, quick, rapid",早速,さっそく,"at once, immediately",早朝,そうちょう,early morning
質,"SHITSU, SHICHI",tada,"quality, substance",物質,ぶっしつ,"material, substance",品質,ひんしつ,quality of products or services,本質,ほんしつ,"essence, true nature"
台,"DAI, TAI",.,"pedestal, a stand",台所,だいどころ,kitchen,台風,たいふう,typhoon,寝台,しんだい,"bed, couch"
室,SHITSU,muro,room,教室,きょうしつ,classroom,待合室,まちあいしつ,waiting room,浴室,よくしつ,bathroom
可,KA,.,possible,許可,きょか,"permission, approval, authorization, license",可能性,かのうせい,"potentiality, possibility",不可解,ふかかい,incomprehensible
建,KEN,ta,build,建設,けんせつ,"construction, establishment",建てる,たてる,"to build, construct",建前,たてまえ,"face, official stance, public position"
転,TEN,koro,"revolve, turn around, roll",自転車,じてんしゃ,bicycle,転ぶ,ころぶ,"to fall down, fall over",運転手,うんてんしゅ,driver
医,I,.,"doctor, medicine",医学,いがく,"medical science, medicine",医者,いしゃ,doctor,医療,いりょう,"medical care, medical treatment"
止,SHI,"to, ya","stop, halt",止める,とめる,"to stop, turn off",止む,やむ,"to cease, stop, be over",禁止,きんし,prohibition
字,JI,aza,"character, village section",漢字,かんじ,kanji,字,じ,character,数字,すうじ,"numeral, figure, digit"
工,"KOU, KU",.,"craft, construction",工場,こうじょう,factory,工夫,くふう,"devising a way,  figuring out",工業,こうぎょう,manufacturing industry
急,KYUU,iso,"hurry, sudden",急ぐ,いそぐ,"to hurry, rush",急行,きゅうこう,"hurrying, rushing",急速,きゅうそく,rapid
図,"ZU, TO",haka,"map, drawing, diagram",図書,としょ,books,図表,ずひょう,"chart, diagram, graph, figure",図る,はかる,"to plan, attempt, devise"
黒,KOKU,kuro,black,黒い,くろい,black,黒板,こくばん,blackboard,暗黒,あんこく,darkness
花,KA,hana,flower,花,はな,flower,花瓶,かびん,vase,花見,はなみ,cherry blossom viewing
英,EI,.,"england, english",英語,えいご,english,英訳,えいやく,english translation,英知,えいち,"wisdom, intelligence"
走,SOU,hashi,run,走る,はしる,to run,馳走,ちそう,"treating someone, dinner",滑走路,かっそうろ,runway
青,SEI,ao,"blue, green",青い,あおい,blue,青年,せいねん,youth,青空,あおぞら,blue sky
答,TOU,kota,"solution, answer",答える,こたえる,"to answer, reply",答案,とうあん,examination paper,解答,かいとう,"answer, solution"
紙,SHI,kami,paper,手紙,てがみ,letter,表紙,ひょうし,"cover, binding",用紙,ようし,blank form
歌,KA,uta,"song, sing",歌う,うたう,to sing,歌手,かしゅ,singer,歌謡,かよう,"song, ballad"
注,CHUU,"soso, tsu, sa","pour, irrigate",注ぐ,そそぐ,"to pour into, sprinkle",注意,ちゅうい,"attention, notice, caution",注射,ちゅうしゃ,injection
赤,SEKI,aka,red,赤い,あかい,"red, crimson",赤らむ,あからむ,"to become red, redden",赤道,せきどう,equator
春,SHUN,haru,spring,春,はる,spring,春季,しゅんき,spring season,思春期,ししゅんき,"puberty, adolescence"
館,KAN,yakata,building,図書館,としょかん,library,博物館,はくぶつかん,museum,旅館,りょかん,"ryokan, traditional Japanese inn"
旅,RYO,tabi,"trip, travel",旅行,りょこう,"travel, trip",旅券,りょけん,passport,旅先,たびさき,destination
験,KEN,.,"verification, testing",経験,けいけん,experience,試験,しけん,examination,実験室,じっけんしつ,laboratory
写,SHA,utsu,"copy, photographed",写真,しゃしん,photograph,写す,うつす,"to transcribe, duplicate; reproduce",写る,うつる,to be photographed
去,"KYO, KO",sa,"gone, past, leave",過去,かこ,the past,去る,さる,"to leave, go away, pass, elapse",撤去,てっきょ,withdrawal
研,KEN,to,"sharpen, polish",研究,けんきゅう,"study, research",研ぐ,とぐ,"to sharpen, hone, whet",研修,けんしゅう,"training, induction course"
飲,IN,no,drink,飲む,のむ,to drink,飲料,いんりょう,"beverage, drink",飲酒,いんしゅ,drinking alcohol
肉,NIKU,.,meat,牛肉,ぎゅうにく,beef,筋肉,きんにく,muscle,豚肉,ぶたにく,pork
服,FUKU,.,clothes,服装,ふくそう,garments. attire,制服,せいふく,uniform,衣服,いふく,clothes
銀,GIN,.,silver,銀行,ぎんこう,bank,銀紙,ぎんがみ,aluminum foil,銀座,ぎんざ,Ginza
茶,"CHA, SA",.,tea,紅茶,こうちゃ,black tea,喫茶店,きっさてん,coffee shop,茶碗,ちゃわん,"rice bowl, tea cup"
究,KYUU,kiwa,"research, study",研究,けんきゅう,"study, research",究極,きゅうきょく,"ultimate, final, last",究明,きゅうめい,investigation
洋,YOU,.,"ocean, sea, foreign",洋服,ようふく,western-style clothes,海洋,かいよう,ocean,洋食,ようしょく,western food
兄,KEI,ani,elder brother,兄,あに,oder brother,兄弟,きょうだい,siblings,兄貴,あにき,elder brother​
秋,SHUU,aki,autumn,秋風,あきかぜ,autumn breeze,秋季,しゅうき,fall season,春秋,しゅんじゅう,spring and autumn
堂,DOU,.,"temple, hall",食堂,しょくどう,dining hall,講堂,こうどう,auditorium,公会堂,こうかいどう,town hall
週,SHUU,.,week,来週,らいしゅう,next week,先週,せんしゅう,last week,今週,こんしゅう,this week
習,SHUU,nara,learn,習う,ならう,"to learn, take lessons in",練習,れんしゅう,"practice, training",習慣,しゅうかん,"habit, custom, practice"
試,SHI,"kokoro, tame","test, try",試験,しけん,examination,試す,ためす,"to attempt, test, try out",試みる,こころみる,"to try, attempt, to have a go"
夏,KA,natsu,summer,夏休み,なつやすみ,summer vacation,夏場,なつば,summertime,冷夏,れいか,cool summer
弟,"TEI, DE, DAI",otouto,younger brother,弟,おとうと,younger brother,弟子,でし,"pupil, disciple",師弟,してい,teacher and student
鳥,CHOU,tori,"bird, chicken",鳥,とり,bird,鶏肉,とりにく,chicken meat,鳥類,ちょうるい,birds
犬,KEN,inu,dog,犬,いぬ,dog,愛犬,あいけん,pet dog,子犬,こいぬ,puppy
夕,SEKI,yuu,evening,夕方,ゆうがた,"evening, dusk​",夕刻,ゆうこく,"evening, evening hour",夕立,ゆうだち,evening shower rain
魚,GYO,"sakana, uo",fish,魚,さかな,fish,熱帯魚,ねったいぎょ,tropical fish,魚介類,ぎょかいるい,"marine products, seafood"
借,SHAKU,ka,"borrow, rent",借りる,かりる,to borrow,借金,しゃっきん,"debt, loan, liabilities",借家,しゃくや,house for rent
飯,HAN,meshi,"meal, boiled rice",飯,めし,cooked rice​,ご飯,ごはん,"cooked rice, meal",朝ご飯,あさごはん,breakfast
駅,EKI,.,station,駅,えき,"railway station, train station",駅弁,えきべん,boxed lunch bought at a station,駅前,えきまえ,in front of a station​
昼,CHUU,hiru,"daytime, noon",昼,ひる,"noon, midday, daytime",昼食,ちゅうしょく,lunch,昼寝,ひるね,"nap, siesta"
冬,TOU,fuyu,winter,冬,ふゆ,winter,冬眠,とうみん,"hibernation, winter sleep",暖冬,だんとう,mild winter
姉,SHI,ane,elder sister,姉,あね,older sister,姉妹,しまい,sisters,従姉妹,いとこ,cousin (female)​
曜,YOU,.,weekday,土曜日,どようび,saturday,月曜日,げつようび,monday,日曜日,にちようび,sunday
漢,KAN,.,china,漢字,かんじ,kanji,痴漢,ちかん,molester,漢方薬,かんぽうやく,chinese herbal medicine
牛,GYUU,ushi,cow,牛,うし,cow,牛乳,ぎゅうにゅう,cow’s milk,和牛,わぎゅう,wagyu beef
妹,MAI,imouto,younger sister,妹,いもうと,younger sister,姉妹,しまい,sisters,義妹,ぎまい,sister-in-law
貸,TAI,ka,"lend, rent out",貸す,かす,"to lend, rent out",貸家,かしや,house for rent,貸間,かしま,room for rent
勉,BEN,.,"exert, effort",勉強,べんきょう,study,勤勉,きんべん,"diligent, hard-working",勉学,べんがく,"study, pursuit of knowledge​"
