Sentences,Translation
しかも、明朗会計な固定料金制。,"Moreover, we offer a clear and fixed fee system."
しかも、具体的な成果が常に求められる。,"Moreover, concrete results are always required."
しかも、中国市場は拡大している。,"Moreover, the Chinese market is expanding."
しかも、フィルタ特性の調整も簡単だった。,"Moreover, it was easy to adjust the filter characteristics."
彼女は美しくて賢く、しかもとても親切だ。,"She is beautiful, smart, and very kind."
彼はせきと高熱で苦しんでいながら，しかも薬を飲まなかった。,"He was suffering from coughing and high fever, yet he did not take his medicine."
それは作りやすいし、しかも安い。,That's easy to make and also cheap.
それも、立派な国際協力です。,"That, too, is admirable international cooperation."
それも、すべて感謝のおかげです。,And it's all thanks to you.
それも、真実ではありません。,"That, too, is not true."
あたふたと出かけて行った，それも行く先も告げずに。,He rushed out without telling me where he was going.
彼は新車を買った、それも外車をね。,"He bought a new car, and a foreign one at that."
さらに質問はありますか。,Are there any further questions?
さらに友人に感謝していると言った。,He further thanked his friends.
さらに悪いことには彼は年齢をごまかしていた。,"To make matters worse, he faked his age."
さらに多くの人を雇わねばならない。,We have to hire more people.
さらにカメラで撮影を始める。,He begins to take more pictures with his camera.
さらに、女性に大人気。,"In addition, it is very popular among women."
その上あわて者ときている。,"And on top of that, he's a bit of a hothead."
その上まずいことに大雨になった。,"On top of that, it rained heavily."
その上に賞金50万円をもらった。,"On top of that, he received a prize of 500,000 yen."
そのうえ、小説は実存的な輸入ゆえに特に重要である。,"On top of that, the novel is particularly important because of its existential import."
そのうえ、安全な地域に行くこと。,"In addition, go to a safe neighborhood."
そのうえ、観客はコース沿いから見ることができた。,"On top of that, spectators could watch from along the course."
そのうえ、あのシステムは他にも二つ欠点があった。,"On top of that, that system had two other drawbacks."
そのうえ、お祭りの中でも意味深い行事です。,"Moreover, it is one of the most meaningful events of the festival."
それにここは気に入らんだろう。,"Besides, you won't like it here."
それに読書や瞑想も役に立つ。,"Besides, reading and meditation are also helpful."
それにもし美しい妻を持てば。,"Besides, if I have a beautiful wife."
それに夜明け一番で釣りが出来る。,"Besides, you can fish first thing at dawn."
それに歯が痛くなってきた。,"Besides, my teeth are starting to hurt."
それにお前はまだ子供なんだから一人で行くのは無理だよ。,"Besides, you're just a kid, you can't go alone."
昨夜また地震があった。,There was another earthquake last night.
また、えらい失敗をしたものだなあ。,I have made a terrible mistake again.
彼は科学者でもあり、また詩人でもある。,He is both a scientist and a poet.
彼女は美しく、また賢い。,She is beautiful and wise.
それから彼はどうしましたか。,And then what did he do?
それからここに住んでいる。,Then I live here.
それから10時間がたった。,Ten hours have passed since then.
砂糖と塩とそれから酢が少々必要だ。,"You need sugar, salt, and a little vinegar."
それからそれへと話は続いた。,Then the story continued to that.
そしてどうしましたか。,And what happened?
そして次は私の番でした。,And then it was my turn.
そしてなお彼らは要求を続けた。,And still they continued to demand
そして我々は目的を果たしたというわけだ。,And we have served our purpose.
そしてケーブルによって固定されます。,It is then secured by a cable.
そしてこのように進み続けます。,And it keeps going like this.
でももう遅過ぎる。,But it's too late now.
彼は責任感がないんだ。でも両親の晩年の世話はよくした。,He's not very responsible. But he did a good job taking care of his parents in their last years.
でも、何もかも違って見える。,But everything looks different.
でもゆっくり歩くこともできる。,But you can also walk slowly.
行きたかった。しかし行けなかった。,I wanted to go. But I couldn't go.
すばらしい車を見付けた。しかし値段が高すぎた。,I found a great car. But the price was too high.
しかしそういったイメージは事実からほど遠い。,But such an image is far from the truth.
しかしそれは依然として大きなギャップを残します。,But it still leaves a big gap.
しかし全体としてとても良い進路です。,"But overall, it is a very good path."
息子は出掛けたと思っていた。ところが２階で昼寝していたんだ。,I thought my son had gone out. But he was upstairs taking a nap.
ところが今回は状況が違いました。,"This time, however, the situation was different."
ところが新しい障壁が立ちはだかりました。,"However, a new barrier stood in the way."
ところがこの天才は挑戦します。,But this genius is up to the challenge.
それは新しいけれども古く見せかけています。,It is new but made to look old.
けれども栄光は長く続きません。,But glory doesn't last long.
けれどもこれは始まりにすぎません。,But this is only the beginning.
けど奇妙な電子シグナルがあります。,There is a strange electronic signal though.
彼女は優しくて親切だが，それでも私は彼女が好きになれない。,"She is kind and gracious, but still I do not like her."
だれもその絵をほめないが，それでもすばらしいと私は思う。,"No one praises the painting, but I still think it is wonderful."
それでも興味深い発見ですよね。,"Still, it's an interesting finding."
それでもひたすら楽観を説き続けました。,"Still, I continued to preach optimism."
あしたは雨または雪でしょう。,Tomorrow it will rain or snow.
帰宅は日曜または月曜になる。,Return home will be on Sunday or Monday.
塩またはしょう油で味を付ける。,Season with salt or soy sauce.
あれはバスですか、それとも車ですか。,Is that a bus or a car?
それとも、眠ってしまうようなものかな。,Or maybe it's like falling asleep.
あなたはそれを今日買ったのですか、それとも昨日買ったのですか。,Did you buy it today or yesterday?
それともこの結婚に同意するか。,Or do you agree to this marriage?
それとも私に参加をさせて。,Or let me participate.
それとも柔らかいタッチを好むかしら。,Or do you prefer a softer touch?
あるいはこの航海を始めるべきか。,Or should we begin this voyage?
ガスで調理しますか、あるいは電気ですか。,Do you cook with gas or is it electric?
あるいはそれは本当かもしれない。,Or it could be true.
