Sentences,Translation
見ているだけだ。,I'm just looking.
じゃ、少しだけ。,"Okay, just a little bit."
願いは一つだけ。,I only have one wish.
眠たいだけだよ。,I just want to sleep.
すこしだけ痛いです。,It hurts just a little bit
結果だけが必要だ。,I just need a result
疲れただけだよ。,I'm just tired.
言ってみただけだよ。,I'm just saying.
それだけで結構です。,That's all I need.
好きなだけ取ってね。,Take as much as you want.
一回使っただけです。,I only used it once.
怪我だけはするなよ。,Just don't hurt yourself.
寝たかっただけだよ。,I just wanted to sleep.
１０分だけ付き合おう。,I'll give you ten minutes.
週末だけここにいます。,I'm only here for the weekend.
ご無沙汰。元気？,Long time no see. How are you?
ご無沙汰しました。,It's been a while.
ご無沙汰しています。,It's been a while.
２年間のご無沙汰でした。,It's been two years.
ご無沙汰をして、ごめんなさい。,I'm sorry it's been so long.
記録を破った。,I broke the record.
記録は誰も破れない。,No one can break the record.
現在までの状況を記録した。,I've documented the situation up to now.
水泳で記録を持っている。,I have a swimming record.
温度を毎日記録している。,I'm recording the temperature every day.
経済はマイナス成長を記録した。,The economy has recorded negative growth.
すべての買い物を記録する。,I keep track of all my purchases.
早く用意して。,"Come on, get ready."
用意はいいかい。,Are you ready?
用意はできた？,Are you ready?
万事用意しておけ。,Be ready for anything.
行く用意はいいか？,Are you ready to go?
ケーキは良いできた？,Is the cake ready?
出発の用意をした。,We're ready to go.
車は用意してあります。,The car is ready.
夕飯を用意しましょうか。,I'll fix you some dinner.
彼は７０歳でなお活躍している。,He's 70 years old and still active.
その考えは今日なお優勢である。,That idea still prevails today.
この車誰の？,Whose car is this?
相変わらずまだ寒い。,Still cold as ever.
相変わらず忙しいの？,You busy as ever?
相変わらず親切だ。,Kind as ever.
相変わらずやってるね。,You're still doing it.
相変わらず挑戦的ね。,Challenging as ever.
相変わらず美しい。,Beautiful as ever.
台本に目を通しておいてください。,Please read through the script.
お化粧は一切しなさい。,Don't wear any makeup.
この度初めて見たのです。,I've never seen this before.
流行を復活させる。,I'm bringing back the fashion.
翌日は家に戻ることになっていた。,We were supposed to go home the next day.
そうなんですよね。,That's right.
これすごいことなんですよね。,"This is amazing, isn't it?"
台風は関東地方に上陸した。,The typhoon made landfall in the Kanto region
昨日ある島に上陸した。,It landed on one of the islands yesterday.
夢見てるみたいな気分だよ。,I feel like I'm dreaming.
飛行機で旅をしてみたいな。,I wish I could travel by plane.
これお茶みたいな味がする。,This tastes like tea.
多分遅れる。,Maybe we'll be late.
多分そうだよ。,Maybe we are.
たぶんおそすぎる。,Maybe we're too late.
たぶん本当だよ。,Maybe it's true.
たぶん正しい。,Maybe you're right.
たぶん大丈夫。,Maybe you're right.
言っただろ。,I told you.
冗談言うな。,Don't joke about it.
一言言いたい。,I just want to say something.
上等じゃないか。,You're good.
笑わせるじゃないか。,You're making me laugh.
ずぶ濡れじゃないか。,You're soaking wet
さあ飲もうじゃないか。,"Come on, let's have a drink"
中休みしようじゃないか。,Let's take a break
今日って暇？,Are you free today?
猫って可愛い。,Cats are cute.
物理って得意？,Are you good at physics?
明日の夜とかどう？,How about tomorrow night?
何かペットとか飼ってたりするの？,Do you have any pets or anything?
１２時４５分とかどう？,How about 12:45?
めちゃめちゃ楽しかったよ。,That was so much fun.
めちゃめちゃ寒くなったね。,It's getting really cold.
彼だったらできるよ。,He could do it.
私だったら買うよ。,I'd buy one.
僕だったら断るな。,I'd say no.
俺だったら黙ってるな。,I'd keep my mouth shut.
すぐに学校に馴染んだ。,I fit right in at school.
初めは新居に馴染めなかった。,I didn't adjust to my new house at first.
