Words,Meaning,Reading,Hint.1,Hint.2
大人,adult,おとな,大big,人person
人間,human being,にんげん,人person,間space
人口,population,じんこう,人person,口mouth
個人,individual,こじん,個individual,人person
友人,friend,ゆうじん,友friend,人person
人生,human life,じんせい,人person,生life
日常,daily,にちじょう,日day,常usual
毎日,everyday,まいにち,毎every,日day
今日,today,きょう,今now,日day
本日,this day,ほんじつ,本this,日day
休日,holiday,きゅうじつ,休rest,日day
日記,diary,にっき,日day,記scribe
明日,tomorrow,あした,明bright,日day
朝日,morning sun,あさひ,朝morning,日sun
大学,university,だいがく,大big,学school
大金,large money,たいきん,大big,金gold
大水,flood,おおみず,大big,水water
大家,landlord,おおや,大big,家house
大切,important,たいせつ,大big,切cut
大分,considerably,だいぶ,大big,分portion
大会,convention,たいかい,大big,会meet
大事,valuable,だいじ,大big,事thing
大変,very・hard・tough・immense,たいへん,大big,変unusual/strange
大体,in general,だいたい,大big,体body
大雨,heavy rain,おおあめ,大big,雨rain
今年,this year,ことし,今now,年year
毎年,every year,まいとし,毎every,年year
去年,last year,きょねん,去gone/past,年year
来年,next year,らいねん,来come/next,年year
年間,no. of years,ねんかん,年year,間interval
少年,a boy,しょうねん,少few,年year
中年,middle age man,ちゅうねん,中middle,年year
定年,retirement age,ていねん,定establish,年year
未満,less than・under/below,みまん,未not/un,満full
加工,manufacturing,かこう,加increase/add,工craft
成功,success,せいこう,成become,功success/merits
追加,addition・supplement,ついか,追chase,加add
状態,state・condition,じょうたい,状status quo,態attitude/condition
直接,immediate・personal・firsthand,ちょくせつ,直fix/straightaway,接touch/contact
事実,fact・truth・reality,じじつ,事matter/thing,実reality/truth
責任,duty・responsibility・liability,せきにん,責blame/condemn,任duty/entrust
物質,material・substance,ぶっしつ,物thing/object,質substance/quality
工場,factory・plant,こうじょう,工craft/construction,場location/place
技術,technology・technique・art,ぎじゅつ,技skill/srt,術art/technique
作家,author・writer,さっか,作make,家house
運動,exercise,うんどう,運carry,動move
報告,report・information​,ほうこく,報report/news,告tell/inform
本来,originally・primarily​,ほんらい,本book/present/origin,来come/next
用意,preparation/provision,ようい,用utilize,意idea
機能,function/facility,きのう,機machine,能ability
絶対,definitely/absolutely,ぜったい,絶discontinue,対opposite
見学,inspection/tour,けんがく,見see,学study
同様,same/similar,どうよう,同same,様way
程度,degree/amount,ていど,程extent/degree,度degrees
研究,study/research,けんきゅう,研polish,究research/study
交通,traffic/transportation,こうつう,交mingle,通traffic/pass
活動,activity/action,かつどう,活life,動move
実際,reality/actuality,じっさい,実reality/truth,際occasion
状況,state of affairs,じょうきょう,状status quo,況condition
