Sentence,Meaning
さようなら。,Goodbye.
失礼します。,Excuse me.
失礼致します。,Excuse me.
お先に。,After you.
お先に失礼します。,Excuse me after you.
お先に失礼致します。,Please excuse me after you.
じゃね。,See you.
またね。,See you soon.
じゃ、またね。,See you later.
お休みなさい。,Good night.
また明日、会いましょう。,See you tomorrow.
じゃ、また後で。,See you later.
また後ほど、お会いしましょう。,We will see you later.
では、来週また。,See you next week.
ありがとうございます。,Thank you very much.
ありがとう。,Thank you.
どうも。,Thanks.
お世話になりました。,Thank you for your help.
感謝しいます。,Thank you very much.
感謝に絶えません。,I am endlessly grateful.
恐縮です。,Being thankful​.
恐れ入ります。,To be grateful.
何とお礼を言っていいのかわかりません。 ,I don't know how to thank you enough. 
先日はどうもありがとうございました。,Thank you very much for the other day.
いただきます。,Gratitude before eating.
ごちそうさまでした,Gratitude after eating.
こないだは、ごちそうさまでした。,Thank you for the food the other day.
これはどうもごちそうさまです。,Thank you very much for this.
すみません。,Sorry.
ごめん。,Sorry.
ごめんなさい。,I'm sorry.
大変失礼致しました。,I am very sorry.
お詫び申し上げます。,We apologize for the inconvenience.
許してください。,Forgive me.
勘弁してください。,Please give me a break.
どうぞお許しください。,Please forgive us.
かまいません。,It does not matter.
大丈夫ですよ,It's okay.
気にしないでください。,Don't worry about it.
どうぞ、お気になさらないでください。,Please don't worry about it. 
お早うございます。暑いですね。,Good morning. It's hot.
今日は。暖かいですね。,Today. It's warm.
今晩は。涼しいですね。,Evening. It's cool.
今日は。寒くなりましたね。,Today. It's getting cold.
いい天気ですね。,It's a beautiful day.
よく降りますね。,It often rains.
ひどい雨ですね。 ,It's raining terribly. 
 風が強いですね。,It is windy.
めっちゃ寒いね。,It's so cold.
めっちゃ暑くなったね。,It's getting really hot.
きのうより寒いですね。,It is colder than yesterday.
蒸し暑いですね。,It is hot and humid.
むしむししますね。,It is hot and humid.
行って来ます。,I'm off.
じゃ、行ってくるね。,"Well, I'm off then."
行って参ります。,I'm off.
行ってらっしゃい。,Off you go.
行っていらっしゃいませ。,Off you go.
気をつけて。,Be careful.
どうぞ、お気をつけて。,"Please, take care."
お元気で。,Take care.
お大事に。,Take care.
ただいま。,I'm home.
只今戻りました。,I just got back.
お帰りなさい。,Welcome back.
お帰り。,Welcome home.
お帰りなさいませ。,Welcome back.
初めまして。,Nice to meet you.
お初にお目にかかります。,Pleased to see you for the first time.
よろしく。,Best regards.
どうぞよろしく。 ,Best regards. 
よろしくお願いします。,I look forward to working with you.
どうぞよろしくお願いします。,We look forward to working with you.
どうぞよろしくお願い致します。,We look forward to working with you.
こちらこそ。 ,It's my pleasure. 
こちらこそ、よろしくお願いします。,Thank you very much for your cooperation.
こちらこそ、どうぞよろしくお願い致します。,I look forward to working with you.
お会いできて、うれしいです。,It is a pleasure to meet you.
お名前は伺っております。,We have asked for your name.
おめでとう。,Congratulations.
おめでとうございます。,Congratulations.
入選 、おめでとうございます。,Congratulations on your selection.
入賞、おめでとうございます。,Congratulations on winning the prize.
ご結婚 、おめでとうございます。,Congratulations on your marriage.
ご出産、おめでとうございます。,Congratulations on the birth of your baby.
合格、おめでとうございます。,Congratulations on passing the exam.
ご入学、おめでとうございます。,Congratulations on your enrollment.
ご卒業、おめでとうございます。,Congratulations on your graduation.
就職、おめでとうございます。,Congratulations on your employment.
