W1,M1,W2,M2,W3,M3,W4,M4,W5,M5,W6,M6
大人,adult,人形,doll,人口,population,商人,merchant,人間,human being,人生,human life
詩人,poet,個人,individual,人種,race,恋人,lover,職人,craftsman,人差し指,index finger
人文科学,humanities,殺人,murder,人民,citizens,人格,personality,人質,hostage,人体,human body
主人公,protagonist,証人,witness,主人,husband,友人,friend,他人,another person,老人,old person
人気,popular,美人,beautiful woman,婦人,woman,人物,character,犯人,offender,夫人,wife
成人,grownup,本人,said person​,名人,master,役人,government official,知人,acquaintance,男の人,man
人命,life,大人しい,obedient,人通り,pedestrian traffic,人造,man-made,女の人,woman,人柄,personality
新人,newcomer,人材,capable person,当人,person concerned,故人,the deceased,人目,public notice,人情,humanity
玄人,expert,使用人,employee,一人,one person​,支配人,manager,人間関係,human relations,外人,foreigner
人工衛星,artificial satellite,人権,human rights,人生観,view of life,軍人,military personnel,人事,personnel affairs,要人,important person
知識人,intellectual,人工呼吸,artificial respiration,求人,recruiting,人参,carrot,人見知り,shyness,芸能人,performer
人工,man-made,人魚,mermaid,聖人,saint,公証人,notary public,超人,superman,人前,in front of others
職業,occupation,職員,staff member,就職,finding employment,退職,retirement,辞職,resignation,職務,professional duties
役職,official position,教職,teaching profession,汚職,corruption,聖職者,clergy,職場,workplace,転職,change of occupation
管理職,management,免職,dismissal,職権,authority,公職,public office,教職員,teaching staff,総辞職,mass resignation
求職,job hunting,在職,being in office,現職,present post,職歴,work experience,天職,vocation,復職,reinstatement
専攻,major subject,専用,exclusive use,専ら,solely,専門家,specialist,専門店,specialist shop,専門,speciality
専門学校,technical school,専門的,technical,専務,special duty,専属,exclusive,専売,monopoly,専門医,medical specialist
専門用語,technical term,専門職,professional job,専用線,dedicated line,専修,specialization,専制,autocracy,専門知識,expertise
知識,knowledge,意識,consciousness,常識,common sense,認識,recognition,標識,sign,良識,good sense
無意識,unconsciousness,知識人,intellectual,識別,discrimination,面識,acquaintance,見識,views,意識的,intentional
美意識,aesthetic sense,常識的,ordinary,非常識,senselessness,豆知識,trivia,識字率,literacy rate​,予備知識,background knowledge
信頼,reliance,信号,traffic signal,信仰,faith,迷信,superstition,自信,self-confidence,信用,confidence
通信,transmission,信じる,believe,信ずる,believe,確信,conviction,信者,believer,信念,belief
信条,creed,信号機,traffic light,通信販売,online shopping,通信衛星,com-satellite,赤信号,red light,受信,receiving
返信,reply,信頼性,authenticity,送信,transmission,交信,telecommunications,背信,betrayal,不信,distrust
信販会社,credit company,威信,prestige,過信,trusting too much,青信号,green light ,信奉,belief,通信員,correspondent
信望,confidence,無線通信,radio communication,遭難信号,distress signal,信管,fuse,映像信号,video signal,信任,trust
交通信号,traffic signal,信じ込む,believe implicitly,停止信号,stop signal,不信感,distrust,信用度,level of confidence​,通信社,news agency
贈り物,present,贈る,give,寄贈,donation,贈呈,presentation,贈賄,bribery,贈収賄,bribery
贈与,donation,贈答,exchange gifts,贈り主,sender,贈与者,donor,遺贈,legacy,贈呈式,presentation ceremony
増加,increase,増える,increase,増す,increase,増大,enlargement,増やす,add,増し,preferable
増進,promoting,増強,reinforcement,日増しに,day by day,増税,tax increase,急増,rapid increase,水増し,dilution
増水,rising water,倍増,doubling,増額,increase,増設,adding,増発,increasing,割り増し,extra
増配,increased ration,増量,increase in amount,増減,fluctuation,激増,sharp increase,建増し,building extension,増築,building addition
増加率,rate of increase,割増料金,surcharge,増収,increase in yield,増殖,propagation,増員,increasing staffs,増資,increase of capital
増産,production increase​,増派,reinforcements,増幅,amplification,増刊,special issue,累増,successive increases,増刷,additional printing
憎しみ,hatred,生憎,unfortunately,憎む,to hate,憎らしい,detestable,憎い,hateful,愛憎,love and hate
評価,appraisal,批評,critique,書評,book review,評判,reputation,評論,criticism,好評,favorable reception
不評,bad reputation,評論家,critic,評決,verdict,論評,comment,定評,established reputation,評議,conference
過小評価,underestimation,悪評,bad reputation,評する,appraise,短評,brief comment,過大評価,overestimation,評議員,trustee
総評,general comment,評点,rating,風評,rumor,世評,reputation,講評,criticism,酷評,severe criticism
総理大臣,prime minister,総会,general meeting,総合,synthesis,総選挙,general election,国民総生産,gross national product,総裁,president
総額,sum total,総合的,comprehensive,総理,prime minister,総勢,all members,総辞職,mass resignation,総数,total number
総計,total,総収入,total income,総員,all hands,総じて,in general,総統,supreme ruler,総督,governor-general
総理府,prime minister office,総帥,commander-in-chief,総括,summarization,総意,consensus,総体,the whole,総務,general affairs
総力,all efforts,総務部,general affairs dept.,総監,inspector general,総長,secretary-general,総量,aggregate amount,総攻撃,all-out attack
