Words,Meaning,Sentence,Translation,Level
でしょう,"I think, probably",今夜は風が強いでしょう。,It will be windy tonight.,5
とき,"when, at the time of",学生のときよく公園へ花を見に行った。,I used to went to the park to see flowers when I was a student.,5
ながら,"while, during, as",音楽を聞きながら料理します。,I cook while listening to music.,5
ほうがいい,it’d be better to,今日は傘を持って行ったほうがいい 。,You should take an umbrella with you today .,5
なぜ,why,彼はなぜ猫が嫌いなのか。,Why doesn't he like cats?,5
だけ,"just, only, simply, merely",私は肉だけ食べる。,I eat only meat.,5
だろう,probably,試験は難しかっただろう。,The exam would have been difficult.,5
いちばん,"the most, the best",ここがこの町でいちばん安い店だ。,This is the cheapest store in town.,5
いつ,when,薬局はいつ閉まるのか。,When does the pharmacy close?,5
から,"because, since",天気がいいから、散歩しよう。,"The weather is fine, so let's go for a walk.",5
から,from,ここから新宿駅まで歩いて5分かかる。,It takes five minutes from here to Shinjuku station on foot.,5
けれども,"but, although",その店に行ったけれども閉まっていた。,"I went to the store, but it was closed.",5
くらい,"about, approximately",私の家からコンビニまで5分くらいかかる。,It takes about five minutes from my house to the convenience store.,5
まだ,"still, not yet",私の同僚たちはまだ勤務中だ。,My colleagues are still at work.,5
まえに,before,日本へ行く前に日本語を勉強する。,They are studying Japanese before going to Japan.,5
まえに,in front of ,私の目の前にその若い男が突然現れた。,The young man suddenly appeared in front of me.,5
ませんか,"let’s, won’t you, why don’t we",私たちと一緒に座りませんか。,Why don't you sit with us?,5
ましょう,"let’s, shall we",授業を始めましょうか。,Shall we start the class?,5
も,"also, too, as well",その男の子は知識も経験もある。,The boy is knowledgeable and experienced.,5
もう,"already, anymore",宿題をもう終えたか。,Have you finished your homework yet?,5
なに,what,あなたの趣味は何ですか。 ,What are your hobbies? ,5
なる,to become,来年、私は英語の教師になる。 ,I will be an English teacher next year. ,5
にいく,"to go in order to 
",私は家族と一緒に寿司を食べに行く。,I am going to eat sushi with my family.,5
にする,to decide on,紅茶とコーヒー、どちらにしますか。コーヒーにします。,Would you like tea or coffee? Coffee.,5
のがじょうず,to be good at,私の息子は絵を描くのが上手だ。,My son is good at drawing.,5
のがすき,like doing,私はサッカーをするのが好きだ。,I like to play soccer.,5
のがへた,to be bad at,彼は運転するのが下手だ。,He is not good at driving.,5
ので,"because of, the reason is that",彼は寝過ごしたので学校に遅刻した。,He was late for school because he overslept.,5
すぎる,too much,あの店の料理は値段が高すぎる。,The food at that restaurant is too expensive.,5
たい,want to,明日、娘は東京を観光したい。,My daughter wants to go sightseeing in Tokyo tomorrow.,5
たことがある,have done before,私は過去に日本語能力試験を受けたことがある。,I have taken the JLPT in the past.,5
誰と,with whom,あなたは誰と釣りに行ったの。,Who did you go fishing with?,5
てください ,please do,毎日、この部屋を掃除してください。,Please clean this room every day.,5
なんで,"by what, why",あなたは何で駅まで行きますか。,What do you take to the station?,5
てもいい,"is okay, is alright to, can",生徒たちは教室で野球の練習をしてもいい。,Students may practice baseball in the classroom.,5
てから,after doing,いつも私は手を洗ってから食事をする。,I always wash my hands before eating.,5
なんばん,what number,緊急連絡先は何番ですか。,What is your emergency contact number?,5
てはいけない,"must not, may not",あなたはここに入ってはいけない。,You are not allowed in here.,5
つもりだ ,"plan to, intend to",明日、私は郵便局へ行くつもりだ。,I am going to the post office tomorrow.,5
どこ,where,あなたはどこの町の出身ですか。,What town are you from?,5
より,than,今朝はいつもより早く学校へ行った。,I went to school earlier than usual this morning.,5
より~のほうが,is more ~ than,私は秋より春のほうが好きだ。,I prefer spring to fall.,5
あまり~ない,"not very, not much",私は鶏肉があまり好きではない。,I don't like chicken very much.,4
あとで,"after, later",昼ごはんの後で友達とコーヒーを飲んだ。,I had coffee with my friend after lunch.,4
ば,if... then,可能ならば、クレジットカードで支払いたい。,"If possible, I would like to pay by credit card.",4
場合は,"in the event of, in case of",明日、雨が降った場合は運動会を中止する。,"If it rains tomorrow, we will cancel the field day.",4
だけで,just by,弟は彼女の喜ぶ顔を想像するだけで満足した。,My brother was satisfied just imagining her happy face.,4
出す,"to suddenly begin, to suddenly appear",雨が突然降り出した。,The rain began to fall suddenly.,4
でも,but,パン屋に行きました。でも、何も買いませんでした。,I went to the bakery. But I didn't buy anything.,4
でも,or something,私はコーヒーでも飲みたい。,I would like to have a cup of coffee.,4
でございます,to be,当店は間もなく閉店時間でございます。,Our store will be closing soon.,4
がる,"to show signs of, to feel",彼の息子は私の冗談を面白がった。,His son found my joke funny.,4
ごろ,"around, about",兄と昼ごろ駅で別れた。,I left my brother at the station around noon.,4
はじめる,"to start, to begin to",どうやら日が暮れ始めた。,"Apparently, the sun was beginning to set.",4
はずだ,"must be, should be, expected to happen",その番号であっているはずだ。,It must be the right number.,4
べきだ,"should do, must do",早く帰宅すべきだ。,I should go home soon.,4
