Kanji,Reading,Script,Translation
打,う。つ　ダ,ボトルを打つ,hit the bottle
打,う。つ　ダ,くぎを打つ,hit the nail on the head
打,う。つ　ダ,打者,batter
打,う。つ　ダ,屋根を打つ雨の音,the sound of rain hitting the roof
打,う。つ　ダ,打ち合わせる,hit each other
投,な。げる　トウ,石を投げる,throwing stones
投,な。げる　トウ,さじを投げる,throwing spears
投,な。げる　トウ,投手,pitcher
投,な。げる　トウ,株に投資する,invest in stocks
投,な。げる　トウ,新聞に投書する,write to the newspaper
押,お。す・さえる　オウ,録音ボタンを押す,press the record button
押,お。す・さえる　オウ,判を押す,stamp a seal
押,お。す・さえる　オウ,押し入れ,closet
押,お。す・さえる　オウ,扉を押さえる,hold down the door
押,お。す・さえる　オウ,押印,stamp a seal
引,ひ。く・ける　イン,辞書を引く,look up a dictionary
引,ひ。く・ける　イン,文を引用する,quote a sentence
引,ひ。く・ける　イン,引き算,subtract
引,ひ。く・ける　イン,地球の引力,earth's gravitational pull
引,ひ。く・ける　イン,引退する,retire
拾,ひろ。う　ショウ　ジョウ,海岸で貝を拾う,pick up shellfish on the beach
拾,ひろ。う　ショウ　ジョウ,タクシーを拾う,picking up a cab
拾,ひろ。う　ショウ　ジョウ,拾得物の係,found property officer
拾,ひろ。う　ショウ　ジョウ,拾万円,"pick up 10,000 yen"
拾,ひろ。う　ショウ　ジョウ,拾い出す,pick up trash
捨,すて。る　シャ,ごみを捨てる,throw out garbage
捨,すて。る　シャ,空き缶を投げ捨てる,throw away empty cans
捨,すて。る　シャ,四捨五入する,round to the nearest whole number
捨,すて。る　シャ,吐き捨てる,throw away an empty can
捨,すて。る　シャ,使い捨てる,use and throw away
折,お。る・れる　おり　セツ,ナプキンを折る,fold napkins
折,お。る・れる　おり　セツ,折り紙,origami
折,お。る・れる　おり　セツ,木の枝が折れる,a tree branch breaks
折,お。る・れる　おり　セツ,角を右折する,fold right at the corner
折,お。る・れる　おり　セツ,折り合い,agreement
抜,ぬ。く・ける・かす・かる　バツ,くぎを抜く,pull out a nail
抜,ぬ。く・ける・かす・かる　バツ,腰を抜かす,pull out the back of a tree
抜,ぬ。く・ける・かす・かる　バツ,手抜かりはない,do nothing out of the ordinary
抜,ぬ。く・ける・かす・かる　バツ,抜群の成績,outstanding results
抜,ぬ。く・ける・かす・かる　バツ,抜け出す,get out of the way
掛,か。ける・かる　かかり,布団を掛ける,put a futon on the floor
掛,か。ける・かる　かかり,掛け算,multiplication
掛,か。ける・かる　かかり,絵が掛かっている,there is a picture hanging on the wall
掛,か。ける・かる　かかり,手掛かりがない,no clue
掛,か。ける・かる　かかり,切っ掛け,"a clue, cue or chance"
呼,よ。ぶ　コ,名前を呼ぶ,call a name
呼,よ。ぶ　コ,教室の外へ呼び出す,call outside the classroom
呼,よ。ぶ　コ,呼吸をする,breathe in
呼,よ。ぶ　コ,点呼する,call for roll call
呼,よ。ぶ　コ,呼気,exhale
吸,す。う　キユウ,息を吸う,breathe in
吸,す。う　キユウ,スポンジが水を吸う,sponge absorbs water
吸,す。う　キユウ,土が雨水を吸収する,soil absorbs rainwater
吸,す。う　キユウ,深呼吸する,breathe deeply
吸,す。う　キユウ,吸い込む,inhale
吹,ふ。く　スイ,口笛を吹く,whistle
吹,ふ。く　スイ,強い風が吹く,strong wind blows
吹,ふ。く　スイ,吹奏楽,wind music
吹,ふ。く　スイ,吹雪,snow storm
吹,ふ。く　スイ,吹き付ける,"to blow against, spray"
叫,さけ。ぶ　キョウ,火事だと叫ぶ,shouting fire
叫,さけ。ぶ　キョウ,叫び声,shouting
叫,さけ。ぶ　キョウ,絶叫する,scream
叫,さけ。ぶ　キョウ,泣き叫ぶ,cry and shout
叫,さけ。ぶ　キョウ,叫び,screaming
起,お。きる・こる・こす　キ,7時に起きる,wake up at 7:00
起,お。きる・こる・こす　キ,戦争が起こる,war breaks out
起,お。きる・こる・こす　キ,起床する,getting up
起,お。きる・こる・こす　キ,全員起立,all rise
起,お。きる・こる・こす　キ,起工式,groundbreaking
寝,ね。る・かす　シン,ベッドに寝る,go to bed
寝,ね。る・かす　シン,昼寝をする,take a nap
寝,ね。る・かす　シン,子どもを寝かす,putting children to bed
寝,ね。る・かす　シン,寝室,bedroom
寝,ね。る・かす　シン,寝台車,Sleeping in bed
泣,な。く　キュウ,赤ん坊が泣く,baby crying
泣,な。く　キュウ,泣き声,crying
泣,な。く　キュウ,悔し泣き,baby cries in frustration
泣,な。く　キュウ,妹は泣き虫だ,my sister is a crybaby
泣,な。く　キュウ,母の死に号泣する,i cry over my mother's death
笑,わら。う　え。む　ショウ,笑い話,funny story
笑,わら。う　え。む　ショウ,笑い声,laughing
笑,わら。う　え。む　ショウ,笑顔がかわいい,vute smile
笑,わら。う　え。む　ショウ,顔に笑みが浮かぶ,has a smile on his face
笑,わら。う　え。む　ショウ,微笑を浮かべる,smile on your face
追,お。う　ツイ,ころぼうを追う,follow the roller coaster
追,お。う　ツイ,料理を追加する,add a dish
追,お。う　ツイ,猫がねずみを追いかける,cat chasing a mouse
追,お。う　ツイ,追放する,expel
追,お。う　ツイ,追いつく,catch up
追,お。う　ツイ,追い越す,overtake
越,こ。す・える　エツ,山を越える,overtake a mountain
越,こ。す・える　エツ,年越しそば,new year's eve soba
越,こ。す・える　エツ,前の車を追い越す,overtake the car in front
越,こ。す・える　エツ,優越感を待つ,wait for superiority
越,こ。す・える　エツ,引っ越してくる,move over
越,こ。す・える　エツ,引っ越していく,move in
越,こ。す・える　エツ,世俗を超越する,transcend the world
登,のぼ。る　トウ　ト,富士山に登る,climb Mt. Fuji
登,のぼ。る　トウ　ト,山登り,mountain climbing
登,のぼ。る　トウ　ト,映画の登場人物,movie characters
登,のぼ。る　トウ　ト,登山道,mountain trail
登,のぼ。る　トウ　ト,登校する,going to school
飛,と。ぶ・ばす　ヒ,空を飛ぶ,flying in the sky
飛,と。ぶ・ばす　ヒ,紙飛行機を飛ばす,flying paper planes
飛,と。ぶ・ばす　ヒ,大空を飛行する,flying in the sky
飛,と。ぶ・ばす　ヒ,おりの中から飛び出す,jump out of a cage
飛,と。ぶ・ばす　ヒ,水中に飛び込む,dive into the water
去,さ。る　キョ　コ,この町を去る,leave this town
去,さ。る　キョ　コ,危険が去る,the danger passes
去,さ。る　キョ　コ,去年,last year
去,さ。る　キョ　コ,過去の出来事,past events
去,さ。る　キョ　コ,逃げ去る,to take flight
逃,に。げる・がす　のが。す・れる　トウ,犯人を逃がす,let the culprit escape
逃,に。げる・がす　のが。す・れる　トウ,難を逃れる,escape from danger
逃,に。げる・がす　のが。す・れる　トウ,車で逃走する,escaping in a car
逃,に。げる・がす　のが。す・れる　トウ,逃亡を図る,attempt to escape
逃,に。げる・がす　のが。す・れる　トウ,見逃す,miss
回,まわ。る・す　カイ,目が回る,be dizzy
回,まわ。る・す　カイ,こまを回す,turn a corner
回,まわ。る・す　カイ,回り道,take a detour
回,まわ。る・す　カイ,回答する,answer
回,まわ。る・す　カイ,回数券,coupon
回,まわ。る・す　カイ,次回,next time
刺,さ。す・さる　シ,刀で刺す,stab with a sword
刺,さ。す・さる　シ,ナイフが刺さる,knife stab
刺,さ。す・さる　シ,刺身,sashimi
刺,さ。す・さる　シ,名刺,business card
刺,さ。す・さる　シ,刺激が強い,Stirring
突,つ。く　トツ,針で突く,poke with a needle
突,つ。く　トツ,つえを突いて歩く,Walking with a stick
突,つ。く　トツ,車に衝突する,Crashing into a car
突,つ。く　トツ,突然の出来事,Sudden event
突,つ。く　トツ,封鎖を突破する,Break through a blockade
取,と。る　シュ,グラスを取る,Take a glass
取,と。る　シュ,書類を受け取る,Receive documents
取,と。る　シュ,ビザを取得する,Get a visa
取,と。る　シュ,取材する,Doing an interview
取,と。る　シュ,有利な取引,A lucrative deal
伸,の。びる・ばす　シン,草が伸びる,let the grass grow
伸,の。びる・ばす　シン,学力を伸ばす,extend your academic career
伸,の。びる・ばす　シン,背伸びをする,grow taller
伸,の。びる・ばす　シン,伸縮する,stretch and contract
伸,の。びる・ばす　シン,伸び率,Elongation
伸,の。びる・ばす　シン,欠伸,lack of growth
急,いそ。ぐ　キュウ,病気に急ぐ,Rush to sickness
急,いそ。ぐ　キュウ,急いで学校へ行く,Hurry to school
急,いそ。ぐ　キュウ,急な用事,Urgent business
急,いそ。ぐ　キュウ,急病,Sudden illness
急,いそ。ぐ　キュウ,急行,express
急,いそ。ぐ　キュウ,特急,Express
座,すわ。る　ザ,椅子に座る,Sit on a chair
座,すわ。る　ザ,座布団に座る,Sit on a cushion
座,すわ。る　ザ,座席,Seat
座,すわ。る　ザ,正座する,Sit on a seat
座,すわ。る　ザ,座談会,Sitting on a seat
転,ころ。がる・げる・がす・ぶ　テン,小石が坂を転がる,Pebbles roll down the hill
転,ころ。がる・げる・がす・ぶ　テン,たるを転がす,Rolling a camel down a hill
転,ころ。がる・げる・がす・ぶ　テン,雪道で滑って転ぶ,Slip and fall on a snowy road
転,ころ。がる・げる・がす・ぶ　テン,回転する,do a cartwheel
転,ころ。がる・げる・がす・ぶ　テン,転勤する,Transfer to work
転,ころ。がる・げる・がす・ぶ　テン,運転する,Drive
転,ころ。がる・げる・がす・ぶ　テン,転校生,Transfer student
転,ころ。がる・げる・がす・ぶ　テン,自転車,Bicycle
転,ころ。がる・げる・がす・ぶ　テン,転々する,move from one place to another
転,ころ。がる・げる・がす・ぶ　テン,移転する,Relocate
転,ころ。がる・げる・がす・ぶ　テン,転落する,Falling
転,ころ。がる・げる・がす・ぶ　テン,逆転する,reverse
転,ころ。がる・げる・がす・ぶ　テン,転換する,Turn
倒,たお。れる・す　トウ,木が倒れる,Trees fall
倒,たお。れる・す　トウ,敵を倒す,Defeat the enemy
倒,たお。れる・す　トウ,転倒する,Fall down
倒,たお。れる・す　トウ,会社が倒産する,Company goes bankrupt
倒,たお。れる・す　トウ,倒立する,Fall over
舞,ま。う　まい　ブ,舞台に出る,Go on stage
舞,ま。う　まい　ブ,病院に見舞いに行く,visit someone in the hospital
舞,ま。う　まい　ブ,仕舞う,go to the hospital
舞,ま。う　まい　ブ,仕舞う,go to the end of a performance
舞,ま。う　まい　ブ,歌舞伎,Kabuki
踊,おど。る・り　ヨウ,ダンスを踊る,dance
踊,おど。る・り　ヨウ,盆踊り,Bon dance
踊,おど。る・り　ヨウ,階段の踊り場,Staircase Dancing
踊,おど。る・り　ヨウ,日本舞踊,Japanese dance
踊,おど。る・り　ヨウ,踊り子,Dancing
感,かん,痛みを感じる,Feel the pain
感,かん,感心な子供,Admiring children
感,かん,映画に感動する,Moved by the movie
感,かん,感謝する,Appreciate
感,かん,感情を表現する,Express emotions
情,なさ。け　ジョウ,人の情けを知る,Know the compassion of others
情,なさ。け　ジョウ,感情を表す,Express emotions
情,なさ。け　ジョウ,情報を集まる,Gather information
情,なさ。け　ジョウ,同情する,Sympathize
情,なさ。け　ジョウ,真剣な表情,Expressing seriousness
快,こころよ。い　カイ,そよ風が快い,Breezy and pleasant
快,こころよ。い　カイ,愉快な友達,Pleasant friend
快,こころよ。い　カイ,快晴,Clear skies
快,こころよ。い　カイ,快適な温度,Comfortable temperature
快,こころよ。い　カイ,エンジンは快調だ,The engine is running fine.
苦,くる。しい・しむ・しめる　にが。い・る　ク,生活が苦しい,Life is hard
苦,くる。しい・しむ・しめる　にが。い・る　ク,苦い薬,Bitter Medicine
苦,くる。しい・しむ・しめる　にが。い・る　ク,苦手,pain in the ass
苦,くる。しい・しむ・しめる　にが。い・る　ク,苦労する,hardship
