Sentence,Translation
健康あっての幸せなんだから、もっと自分の体を大切にしなさいよ。,I think you should take better care of yourself because your health is the key to your happiness.
お客様あっての商売だから、いつもお客様第一で考えております。,"We are in business because of our customers, so we always put our customers first."
世の中は金じゃないという人もいるが、正直、金があっての幸せでしょ。,"Some people say the world is not about money, but honestly speaking, money is the key to happiness, isn't it?"
ここまで日本語が上手になれたのも、先生の指導があってのことです。,I am able to speak Japanese so well because of your guidance.
このような結論に至ったのは、相応の理由があってのことだろう。,I think there must be a good reason why I came to this conclusion.
ファンのみなさんあっての優勝です。,I think that the fans are the reason for this victory.
試験に受かるかどうかは結局、努力いかんだよ。,I think it's a good idea to have a good relationship with your family and friends.
成績いかんで奨学金がもらえるかどうかが決まる。,It depends on your grades and whether you get a scholarship.
大学院に行くかどうかは就活の結果いかんだ。,Whether you go to graduate school or not depends on the result of job hunting.
政府の対応いかんで、日本経済がより悪くなるかもしれない。,The Japanese economy may get worse depending on the government's response.
診断の結果いかんで、近々手術をすることになるかもしれない。,"I may have to have an operation soon, depending on the results of my medical examination."
結果のいかんによらず、最後まで諦めずに頑張れた自分を褒めたい。,"I want to praise myself for not giving up until the end, regardless of the result."
天候のいかんに関わらず、明日の試合は行います。,"Regardless of the weather, we will play tomorrow."
ご挨拶かたがた、伺わせていただきます。,I would like to visit the company by way of greeting.
ご報告かたがた、お礼申し上げます。,Thank you for your kind attention.
ご出張かたがだ、ぜひ観光もなさってください。,I hope you will enjoy sightseeing while you are on a business trip.
近くに寄ったので、先日のお礼かたがた挨拶に伺いました。,"I was in the neighborhood, so I thought I would drop by to thank you for your hospitality the other day."
友人のお見舞いかたがた、実家へ帰ることにしました。,I have decided to go back to my parents' home to visit my friend.
私は毎日会社で働くかたわら、休日はボランティア教室で日本語を教えている。,I work at my company every day and teach Japanese at a volunteer class on my days off.
ちょっと散歩がてら、コンビニにでも行ってこよ。,I'm going to go for a walk and go to a convenience store.
アメリカへ旅行がてら、現地に住んでいる友達にあった。,I met a friend who lives in the U.S. on a trip to the U.S.
お花見がてらちょっと散歩しませんか。,I met a friend who lives there when I was traveling in the U.S.A.
帰省がてら、地元の友達にあった。,I met a local friend on my way back to my hometown.
ドライブがてら、新しくできたモールに行ってみた。,I went to a newly opened mall on a road trip.
その男は警察を見るが早いか、どこかへ向かって一目散に走り出した。,"The man saw the police and ran away as fast as he could, heading somewhere."
子供は家へ帰ってくるが早いか、「ただいま」も言わず部屋へ入ってしまった。,"The child came home early and went into his room without saying ""I'm home."
本田選手はパスをもらうが早いか、次の瞬間にはシュートをうっていた。,The man was so quick to receive a pass that he was shooting the next moment.
チャイムが鳴るが早いか、生徒たちは教室を飛び出した。,The chime rang and the students ran out of the classroom.
多かれ少なかれ、どんな人でも仕事に対してストレスがあるものだ。,Every person is more or less stressed about his or her work.
どんな人でも多かれ少なれ、誰かに迷惑をかけてしまうものです。,Every person is more or less a nuisance to someone else.
毎日頑張って入れば、遅かれ早かれいつか成果が出ますよ。,"If you put in your best effort every day, sooner or later you will get results one day."
嘘をついたら、遅かれ早かれ、いつかバレますよ。,"If you lie, sooner or later you will be found out."
大きかれ小さかれ、誰にだって夢はある。,"Everyone has a dream, no matter how big or small."
浅草は東京きっての観光スポットだ。,Asakusa is one of the most popular sightseeing spots in Tokyo.
彼女はグループきっての人気者だ。,She is the most popular person in the group.
ジョンさんはこの学校きっての秀才だ。,John is one of the most brilliant students in the school.
彼はこの会社きってのイケメンだ。,He is the most handsome guy in the company.
ジョンさんは深く考えすぎるきらいがある。,John tends to think too deeply.
最近の若者はすぐに会社を辞めてしまうきらいがある。,Young people these days have a tendency to quit their jobs quickly.
君たちは何でも難しく考えるきらいがあるから、もっとシンプルに考えてごらん。,"You have a tendency to think too hard about everything, so try to think more simply."
なんだあの店員の態度は。失礼極まりないな。,What's with that waiter's attitude? That was so rude.
彼はお酒を飲むと、下ネタばかり言ってきて、不愉快極まりない。,"When he drinks, he talks down to me all the time and is extremely obnoxious."
手を洗わずに料理するなんて、不衛生極まりないよ。,Cooking without washing your hands is extremely unhygienic.
こんな夜中に電話してくるなんて、非常識極まりない。,It's insane that they would call me in the middle of the night like this.
彼は何でも知っているかの如く、いつも自信を持って話す。,"He always speaks confidently, as if he knows everything."
会社に出勤すると、いつもの如く部長のつまらない話が始まった。,"When I arrived at work, as usual, the general manager began his boring talk."
汗が滝の如く流れ出る。,Sweat pours out like a waterfall.
彗星の如く現れたこの選手は一体何者なんだ。,Who is this player who appeared like a comet?
光陰矢の如し。,Light is as good as an arrow.
このような場所で話すのは初めてのこととて、とても緊張しております。,I am very nervous because this is my first time to speak at such an event.
１０年以上も前のこととて、覚えておりません。,I don't remember that it was more than 10 years ago.
急なこととて、何も準備できていません。,"We are not prepared for anything, even on short notice."
子供のしたこととて、どうか許していただけないでしょうか。,Please forgive me for what my child has done.
慣れないこととて、なかなかうまくできません。,It is not easy to get used to it.
