Grammar,Meaning,Structure,Sentence,Translation,S1,T1,S2,T2
であることで,"because someone is (noun), being a (noun)",⚭ Noun + de aru koto de,この国では外国人であることで得をすることがある。,There are benefits to being a foreigner in this country.,もちろん時間通りであることで知られています。,"Of course, they are known for being on time.",自然淘汰は少しずつ慎重な過程であることで知られます。,Natural selection is known to be a gradual and careful process.
次第で,depending on,⚭ Noun + shidai de,努力次第で日本の小説が原文で読めるようになります。,"Depending on your effort, you can be able to read Japanese novels in Japanese.",花火大会は天気次第で中止になる場合もあります。,The fireworks display may be cancelled depending on the weather,短期案件は内容次第で可能です。,Short term projects are possible depending on the content.
次第だ,depends on,⚭ Noun + shidai da,万事は彼の決心次第だ。,Everything depends on his decision.,これから先は君の腕次第だ。,Now everything depends entirely on your ability.,彼の成功は努力次第だ。,His success depends on his efforts.
と逆に,"against, contrast to, reverse, opposite, contrary to",⚭ Noun + to gyaku ni,風が我々の進行方向と逆に吹いている。,The wind is blowing against our direction of travel.,天気予報と逆に雨が降り続いている。,"Contrary to the weather forecast, it's been raining.",半導体の場合は温度が下がると逆に抵抗は増大する。,"In the case of semiconductors, resistance conversely increases as temperature decreases."
と逆の,"against, contrast to, reverse, opposite, contrary to",⚭ Noun + to gyaku no + Noun,彼は私と逆の見方をした。,He saw it the opposite way I did.,もし成功したければこれと逆のことをすべきです。,If you want to succeed you should do the opposite of this.,マウント処理と逆の処理。,A process opposite of the mount process.
と比べて,"compared with/to, in comparison to",⚭ Noun + to kurabete,以前と比 べて手紙を書く人の数が減ってきている。,The number of people writing letters is decreasing compared to the past.,翻訳を原文と比べてみよう。,Let’s try to compare the translation with the source text.,ほかの区間と比べて運転本数は少ない。,The operation is less frequent compared with other sections.
として,"as, in the capacity of",⚭ Noun + to shite,最近はモデルや女優としても活躍する歌手が増えてきた。,"Recently, more and more singers are also working as models and actresses.",京都は観光地として人気が高い。,Kyoto is very popular as a tourist destination.,それは大臣として言われたことですか。,Are you saying that in your capacity as Cabinet minister?
としては,"as for, for",⚭ Noun + to shite wa,これは日本おアパートとしては大きい方です。,"As for Japanese apartment, this one of the biggest ones.",このステーキは日本のステーキとしては安いです。,This steak is cheap for a Japanese steak!,このホテルはホテルとしてはいちばんよい。,This hotel is the best hotel.
と違って,"unlike, different from",⚭ Noun + to chigatte,野口さんは私と違って手先が器用だ。,"Unlike me, Mr. Noguchi is skilled with his hands.",妹は我慢強い僕と違ってとてもせっかちだ。,My sister is very hot headed unlike me who is patient.,東京と違って札幌は冬がとても寒い。,"Unlike Tokyo, Sapporo has very cold winters."
と違い,"unlike, different from",⚭ Noun + to chigai,今と違い電話も大変な苦労。,"Unlike today, telephones are also a great hardship.",裏側のフレイムスは前面と違いブルーで。,"Flames on the reverse side are blue, unlike the front.",フレークと違いメッキならではの輝きです。,Unlike flakes it is a unique shine of plating.
と違う,"unlike, different from",⚭ Noun + to chigau + Noun,コースがバラエティ豊かだったのも今までと違うところです。,The variety of courses was also different from what we have seen in the past.,,,,
と違った,"unlike, different from",⚭ Noun + to chigatta + Noun,従来のノックピンポンチと違った新しい設計です。,This new design is different from the conventional knock pin punch.,,,,
と同時に,"at the (same) time, when, as , while, as well as, upon",⚭ Noun + to douji ni,彼女は結婚と同時に会社をやめた。,She quit the company upon her marriage.,,,,
と共に,"as well as, with, along with, at the same time, when",⚭ Noun + to tomo ni,彼はその薬をコップ1杯の水とともに飲んだ。,He drank the drug along with a glass of water.,リラクゼーションマッサージは入浴と共に予約可能です。,Relaxation massages can be booked together with bathing.,,
と並んで,"as well as, alongside",⚭ Noun + to narande ,文化劇場と並んで、ショッピングや食事を楽しむ場所があります。,"Along with the cultural theater, there are places to shop and dine.",,,,
と並び,"as well as, along with",⚭ Noun + to narabi,,,,,,
と並ぶ,"as well as, along with",⚭ Noun + to narabu + Noun,,,,,,
と並行して,"parallel to, in parallel with, along with",⚭ Noun + to heikoushite,,,,,,
なしで,without,⚭ Noun + nashide (wa),,,,,,
なしに,without,⚭ Noun + nashini (wa),,,,,,
に当たって,"when, at , in the occasion of, before, prior to",⚭ Noun + ni attate,,,,,,
に当たり,"when, at , in the occasion of, before, prior to",⚭ Noun + ni atari,,,,,,
に当たっての,"when, at , in the occasion of, before, prior to",⚭ Noun + ni attate no + Noun,,,,,,
に合わせて,"according to, to, in accordance with, in proportion to, in conjunction with",⚭ Noun + ni awasete,,,,,,
において,"at, on, in, during",⚭ Noun + ni oite,,,,,,
における,"at, on, in, during",⚭ Noun + ni okeru + Noun,,,,,,
においての,"at, on, in, during",⚭ Noun + ni oite no + Noun,,,,,,
に応じて,"in proportion to, in accordance with, in compliance with, according to, response to",⚭ Noun + ni oujite,,,,,,
に応じた,"in proportion to, in accordance with, in compliance with, according to, response to",⚭ Noun + ni oujita + Noun,,,,,,
に応じての,"in proportion to, in accordance with, in compliance with, according to, response to",⚭ Noun + ni oujite no + Noun,,,,,,
に関わらず,"regardless of, independently of, whether or not",⚭ Noun + ni kakawarazu,,,,,,
に関わる,"related to, concerning",⚭ Noun + ni kakawaru + Noun,,,,,,
に限らず,"not limited, not only",⚭ Noun + ni kagirazu,,,,,,
に限って,"the last, particular only",⚭ Noun + ni kagitte,,,,,,
にかけて,"to, over, when it comes to, in, at, in the matter of",⚭ Noun + ni kakete (wa),,,,,,
に代わって,"for, in place of, instead of, replacing, on behalf of",⚭ Noun + ni kawatte,,,,,,
に代わり,"for, in place of, instead of, replacing, on behalf of",⚭ Noun + ni kawari,,,,,,
に代わる,"for, in place of, instead of, replacing, on behalf of",⚭ Noun + ni kawaru + Noun,,,,,,
に代わっての,"for, in place of, instead of, replacing, on behalf of",⚭ Noun + ni kawatte no + Noun,,,,,,
に関して,"concerning, with regard to, with respect to, regarding, about, as for, in terms of, in reference to",⚭ Noun + ni kanshite (wa),,,,,,
に関する,"concerning, with regard to, with respect to, regarding, about, as for, in terms of, in reference to",⚭ Noun + ni kansuru + Noun,,,,,,
に関しての,"concerning, with regard to, with respect to, regarding, about, as for, in terms of, in reference to",⚭ Noun + ni kanshite no + Noun,,,,,,
に関する限り,as far as ~is concerned,⚭ Noun + ni kansuru kagiri,,,,,,
に比べ,"compared with/to, in comparison to",⚭ Noun + ni kurabe,,,,,,
に比べて,"compared with/to, in comparison to",⚭ Noun + ni kurabete,,,,,,
に加え,in addition to,⚭ Noun + ni kuwae,,,,,,
に加えて,in addition to,⚭ Noun + ni kuwaete,,,,,,
に際し,"in case of, on, when, at, in",⚭ Noun + ni saishi,,,,,,
に際して,"in case of, on, when, at, in",⚭ Noun + ni saishite,,,,,,
に際しての,"in case of, on, when, at, in",⚭ Noun + ni saishite no + Noun,,,,,,
に従って,"as, with, in accordance with, in proportion to, following",⚭ Noun + ni shitagatte,,,,,,
に従い,"as, with, in accordance with, in proportion to, following",⚭ Noun + ni shitagai,,,,,,
にしては,"for, considering that",⚭ Noun + ni shite wa,,,,,,
に沿って,"along, by, parallel to, in accordance with",⚭ Noun + ni sotte,,,,,,
に沿った,"along, by, parallel to, in accordance with",⚭ Noun + ni sotta + Noun,,,,,,
に沿っての,"along, by, parallel to, in accordance with",⚭ Noun + ni sotte no + Noun,,,,,,
に対して,"toward, to, for, against, in contrast with, with regard to",⚭ Noun + ni taishite (wa),,,,,,
に対する,"toward, to, for, against, in contrast with, with regard to",⚭ Noun + ni taisuru + Noun,,,,,,
に対しての,"toward, to, for, against, in contrast with, with regard to",⚭ Noun + ni tashite no + Noun,,,,,,
について,"about, on, over, concerning, regarding, with respect to",⚭ Noun + ni tsuite (wa),,,,,,
についての,"about, on, over, concerning, regarding, with respect to",⚭ Noun + ni tsuite no + Noun,,,,,,
につき,"a, per, for, on, to",⚭ Noun + ni tsuki,,,,,,
につれ,"as, with, in proportion to, accompanied by",⚭ Noun + ni tsure,,,,,,
につれて,"as, with, in proportion to, accompanied by",⚭ Noun + ni tsurete,,,,,,
にとって,"to, for",⚭ Noun + ni totte,,,,,,
に反し,"contrary to, in contrast to, against, in violation of, whereas",⚭ Noun + ni hanshi,,,,,,
に反して,"contrary to, in contrast to, against, in violation of, whereas",⚭ Noun + ni hanshite,,,,,,
に反する,"contrary to, in contrast to, against, in violation of, whereas",⚭ Noun + ni hansuru + Noun,,,,,,
に伴って,"as, along, with, with, accompanying, attendant upon",⚭ Noun + ni tomonatte,,,,,,
に伴い,"as, along, with, with, accompanying, attendant upon",⚭ Noun + ni tomonai,,,,,,
に伴う,"as, along, with, with, accompanying, attendant upon",⚭ Noun + ni tomonau + Noun,,,,,,
には,"for, to, inorder to",⚭ Noun + ni wa,,,,,,
に向かって,"go towards, to, at, heading for, expresses a direction of something moved ",⚭ Noun + ni mukatte,ページの先頭に向かってスクロールする。,Scroll toward the top of the page.,この飛行機は現在ボストンに向かっています。,This plane is now on its way to Boston.,春に向かってだんだん暖かくなってきた。,It's getting warmer and warmer as we head into spring.
に向かって,to face something,⚭ Noun + ni mukatte,壁に向かって立つ。,Stand facing the wall.,机に向かって本を読む。,She sits at the desk to read a book.,黒板に向かって座る。,Sit facing the blackboard.
に向け,"turn towards, for, aimed at, to point",⚭ Noun + ni muke,,,,,,
に向けて,"turn towards, for, aimed at, to point",⚭ Noun + ni mukete,,,,,,
に向けての,"turn towards, for, aimed at, to point",⚭ Noun + ni mukete no + Noun,,,,,,
にもかかわらず,"inspire of, despite, although, though",⚭ Noun + ni mo kakawarazu,,,,,,
に基づいて,based on,⚭ Noun + ni moto zuite,,,,,,
に基づき,based on,⚭ Noun + ni moto zuki,,,,,,
に基づく,based on,⚭ Noun + ni moto zuku + Noun,,,,,,
に基づいた,based on,⚭ Noun + ni moto zuita + Noun,,,,,,
によって,"due to, because of, according to, depending on, by, by means of, with, on the basis of",⚭ Noun + ni yotte,,,,,,
により,"due to, because of, according to, depending on, by, by means of, with, on the basis of",⚭ Noun + ni yori,,,,,,
による,"due to, because of, according to, depending on, by, by means of, with, on the basis of",⚭ Noun + ni yoru + Noun,,,,,,
によらず,"regardless of, independently of, whether or not",⚭ Noun + ni yorazu,,,,,,
によると,according to,⚭ Noun + ni yoru to,,,,,,
にわたって,"extending for/over/through, for, over",⚭ Noun + ni watatte,,,,,,
にわたり,"extending for/over/through, for, over",⚭ Noun + ni watari,,,,,,
