Script,Translation
リナさんはぶじにインドにつきました。日本でリナさんはゆきこさんにおせわになりました。それで、 リナさんは ゆきこさんのうちにおれいの電話をしました。リナさんはゆきこさんにおれいを 言いました。二人は日本のことを話しました。リナさんは かまくらのりょこうやたんじょう日パーティー などのいいおもいでの話をしました。さいごに、リナさんはゆきこさんをインドへしょうたいしました。 ,"Rina-san arrived in India on time. In Japan, Rina-san was indebted to Yukiko-san. Then, Rina called Yukiko's house and told Yukiko that she would not be able to come back to Japan. Rina-san called Yukiko-san's house and told Yukiko-san that she would come to Japan. They talked about Japan. Rina talked about good memories of Japan, such as the trip to Kamakura and the annual holiday party. Finally, Rina-san sent Yukiko to India."
"ナさんはインドのモヒテ先生に日本のおみやげをわたしました。おみやげはキーホルダーです。キーホルダーにうえのこうえんのパンダのえがあります。リナさんは先生と日本語で話しました。それで、先生はリナさんの日本語をほめました。あとで、リナさんは日本語クラスのみんなと日本のりょこうや日本の友だちなどについて話します。 
これから、 リナさんはもっとべんきょうします。 ","Ms. Na gave a Japanese souvenir to Dr. Mohite in India. The souvenir is a key chain. On the key ring, there is a picture of a panda from Ueno Kouen. Rina spoke with her teacher in Japanese. So, the teacher praised Lina's Japanese. Later, Lina will talk with her Japanese class about Japanese schools and friends in Japan. From now on, Lina will study harder."
ゆきこさんはインドに来ました。リナさんとムグダさんはゆきこさんをくうこうでむかえました。二人は ひさしぶりに 会いました。ゆきこさんのにもつは大きいスーツケースと小さいハンドバッグです。三人は タクシーに 乗って、 リナさんのうちへ行きました。リナさんのうち はくうこうから ちょっと遠いです。30分かかり ます。ゆきこさんは めずらしい乗り物を見ました。それはリクシャーでした。リクシャーは バスやタクシーよりべんりです。リナさんのうちは広くて、りっぱです。まわりもしずかできれいです。,"Yukiko came to India. Rina-san and Muguda-san welcomed Yukiko at the airport. They met for the first time in a while. Yukiko carried a large suitcase and a small handbag. The three of them took a cab to Rina's house. Rina's house is a little far from Kuukou, and it takes about 30 minutes to get there. Yukiko saw an unusual vehicle. It was a rickshaw. Rickshaws are more convenient than buses and cabs. Rina's house is spacious and beautiful. The surroundings are also quiet and beautiful."
ゆきこさんはリナさんとムグダさんといっしょにうちへ帰りました。それから、インドの チャイを飲みました。リナさんはつぎの日のスケジュールをきめました。三人は 朝サラスバーグへ行って、ガネーシャの お寺を見て、近くのレストランへ 行って朝ごはんを食べます。それから、 パルバティーお かにのぼります。ごごは 日本語学校へ行きます。ゆきこさんは夜シャワーをあびて、ゆっくり休みます。,"Yukiko went home with Rina and Muguda. Yukiko went home with Lina and Muguda, then drank an Indian chai. They went to Sarasberg in the morning to see the Ganesha Temple, a restaurant near Ganesha. In the morning, the three of them would go to Sarasberg to see the temple of Ganesha and then go to a nearby restaurant for breakfast. Then they will go up to Parvati Okaika. The fifth will go to a Japanese language school. Yukiko will take a shower at night and rest."
ゆうべゆきこさんはよくねむれました。それで、今朝元気になりました。リナさんとムグダさんとゆきこさんはリクシャーで、サラスバーグへ行きました。サラスバーグはきれいで、有名なこうえんです。みどりがおおいから人々がサラスバーグでうんどうしたり、さんぽしたり、あそんだりします。サラスバーグに ガネーシャのお寺もあります。お寺のまわりのいけにはすの花がたくさんあります。リナさんは日本のじんじゃでもはすの花を見たことがあります。お寺の中でしゃしんを とってはいけません。三人はまず、お寺でおいのりして、つぎに近くのレストランで朝ごはんを食べて、それからパルバティーおかに行きました。,"Yukiko-san slept well last night. Then, this morning, she was fine. Rina, Muguda, and Yukiko went to Sarasburg by rickshaw. Sarasburg is a beautiful and famous park. Because of its abundance of greenery, people go to Sarasburg to play, walk, and have fun. There is also a Ganesha temple in Sarasburg. There are many lotus flowers in the ponds around the temple. Lina has seen lotus flowers at a jinja in Japan. You are not allowed to take photos in the temple. The three of them went to the temple first for a ride, then to a nearby restaurant for breakfast, and finally to Parvati's for a meal."
ごご、ゆきこさんはリナさんの日本語学校へ行きました。学校でゆきこさんはじこしょうかいを しました。それから、日本語学校のモヒテ先生と学生はゆきこさんにいろいろ聞きました。 ゆきこさんは高校生について話しました。高校生の一日は月よう日から金よう日までたいへんです。電車に乗ったり、学校でべんきょうしたり、ぶかつをしたりします。でも、土よう日と日よう日はすこしゆっくりすごしたり、友だちと話したり、マンガを読んだり、ならいごとをしたりします。 ゆきこさんはインドのチャイとパオ・バジが大好きです。話のあと、ゆきこさんは日本語クラスのみん なといっしょに 近くのレストランへ行きます。,"Yukiko went to Rina's Japanese language school. At the school, Yukiko did a self-examination. Then, Ms. Mojite and the students at the school asked Yukiko many questions. Yukiko talked about high school students. A day in the life of a high school student is very busy from Monday to Friday. They have to take the train, study at school, and do activities. However, on Saturdays and Sundays, she spends time relaxing, talking with friends, reading manga, and doing things like calligraphy.  Yukiko loves Indian chai and pao bhaji.  After the talk, Yukiko goes to a nearby restaurant with everyone in her Japanese class."
今日ゆきこさんはあたまがいたくて、すこしねつがあります。のどもいたいです。ゆきこさんは日本のくすりを飲みました。ゆきこさんは今日どこも行きません。リナさんはスープとごはんを作ります。ゆきこさんはやわらかいものを食べてゆっくり休みます。明日リナさんの日本語学校でゆきこさんのさよならパーティーがありますから、ゆきこさんは学校へ行かなければなりません。ですから、今日ゆっくり休みます。,"Yukiko has a headache and a little fever. I have a fever. Her throat also hurts. Yukiko took a Japanese medicine. Yukiko is not going anywhere today. Lina is going to make soup and rice. Yukiko will eat something soft and rest.  Tomorrow Yukiko-san will have her good-bye party at Rina's Japanese school, so Yukiko-san has to go there. Yukiko must go to school, so she will take a rest today."
"ゆきこさんはくすりを飲んで、すこし休みましたから、元気になりました。今日リナさん いっしょに買い物に行きます。ゆきこさんはおみやげを買います。たとえば、インドふうのバッグ、ブレスレット、ピアスなどです。リナさんのうちの近くにトュルシバーグがいがあります。あそこに安くていいみせがたくさんなんあります。 アクセサリーからふくまで何でも買うことができます。でも、いつもこんでいます。 


","Yukiko took some medicine and rested a little, so she is feeling better. Today, she is going shopping with Lina. Yukiko will buy some souvenirs. For example, Indian-style bags, bracelets, and earrings. There is a Tulsi Berg near Lina's house. There are a lot of nice and inexpensive vending machines. There are many shops. You can buy everything from accessories to clothing. But it's always crowded. "
"リナさんのお母さんはいろいろなりょうりを 作りました。リナさんのお母さんのしゅみはりょうりを作ることです。今日パオ・バジを作りました。ゆきこさんはパオ・バジが 好きです。ゆきこさんは 日本へ帰ってパオ・バジを作ります。それで、リナさんは作り方をおしえました。作り方はかんたんです。 ゆきこさんは作り方をメモしました。ざいりょうはいろいろなやさいとパオ・バジ マサラです。マサラは日本語でちょうみりょうです。まずやさいをあらいます。つぎに小さく切ります。それから、なべにあぶらを入れてたまねぎをいためます。ほかのやさいをにて、なべにいれます。パオ・ バジマサラはたまねぎをいためたあとでいれます。さいごにバターをいれます。それで、できあがりです。 
","Lina's mother made many kinds of dishes. Lina's mother's speciality is cooking. Today she made Pao Bajji. Yukiko likes Pao Bajji. Yukiko-san is going back to Japan to make Pao Bajji. Yukiko-san likes to make Pao Baci゙ when she goes back to Japan. It is easy to make. Yukiko took notes on how to make it. The ingredients are various vegetables and pao bhaji masala. Masala is Japanese for ""chihomoryou"". First, the vegetables are soaked in water. Next, cut into small pieces. Then, put the stir-fry onion in the pan with the stir-fry stir-fry onion in the pan with the stir-fry stir-fry onion. Add the other vegetables to the pot. Add the pao bhaji masala after cooking the onions. Finally, add butter. Pao Bhaji Masala is then ready to serve."
"日本語学校で さようならパーティーをしました。ゆきこさんはパンジャビスーツをきて行きました。先生はゆきこさんを「パンジャビスーツは よくにあいますね。」とほめました。リナさんのお母さんはこのパンジャビスーツをあげました。それから、ゆきこさんはひとことを言 いました。ゆこさんはインドでいろいろたいけんしました。ランゴリーをしたり、サリーをきたり、かタックをお どったりしました。みなさんにインドについていろいろおもしろい話しを聞きました。それからみんなゆきこさんにおみやげをあげました。おみやげはインドふうのかばんです。ゆきこさんはみんなのことをぜったいわすれません。 
みんな 「さようなら」と言ってわかれました。 
","We had a good-bye party at the Japanese language school. Yukiko wore a Punjabi suit. The teacher said to Yukiko, ""Punjabi suits you well. Rina's mother praised Yukiko for her Punjabi suit. Rina's mother gave her a Punjabi suit. Yukiko then said a few words. Yukiko-san had many adventures in India. Yukiko did rangoli, sari, and kathak dance in India. She told everyone about India and all the interesting things she heard about it. Then everyone gave Yukiko-san souvenirs. We all got to wear Indian pouched bags as souvenirs, and we all got to wear Indian pouched bags as souvenirs. Yukiko will never forget you all. Everyone said good-bye and walked away."
