Phrases,Translation
一言を言わずにおいた,left a word unspoken
言うとおりにしよう,do as he says
職業の人から成っていた,consisted of men of all professions
何でも言いなさい,say whatever you want
実に興味深いと思います,i think it's really interesting
素晴らしいと思います,i think it's wonderful
知らないと思ってた,i thought you didn't know
現場で会うと思ってた,i thought I'd see you at the site
信じないと思ってた,i thought you wouldn't believe me
見つけたいと思っています,i’m hoping to find one
暗算得意なのかと思って,i thought you were good at mental arithmetic
行こうと思っている,i’m thinking of going
本当に理解するかしらと思った,i wondered if he would really understand
正しく動作していると思われる,seems to be working correctly
