Words,Reading,Meaning
男の子,おとこのこ,boy
好き,すき,liking
医者,いしゃ,doctor
年,とし,year
レストラン,レストラン,restaurant
山,やま,mountain
向こう,むこう,opposite side
九日,ここのか,the ninth day of the month
聞く,きく,to hear
なる,なる,to become
鳴く,なく,"to sing, to chirp"
低い,ひくい,low
買う,かう,to buy
九つ,ここのつ,nine
売る,うる,to sell
金曜日,きんようび,Friday
危ない,あぶない,dangerous
体,からだ,body
銀行,ぎんこう,bank
よく,よく,nicely
よい,よい,good
ください,ください,please give me
降る,ふる,to precipitate
明るい,あかるい,bright
下,した,below
次,つぎ,next
建物,たてもの,building
はがき,はがき,postcard
いる,いる,to need
時計,とけい,watch
ニュース,ニュース,news
財布,さいふ,purse
西,にし,west
どの,どの,which
大切,たいせつ,important
会社,かいしゃ,company
嫌い,きらい,dislike
春,はる,spring
箱,はこ,box
洋服,ようふく,western-style clothes
勉強,べんきょう,study
写真,しゃしん,photograph
大人,おとな,adult
大丈夫,だいじょうぶ,safe
声,こえ,voice
あなた,あなた,you
起きる,おきる,to get up
便利,べんり,convenient
大勢,おおぜい,many
乗る,のる,to get on
会う,あう,to meet
六,ろく,six
六つ,むっつ,six
ポスト,ポスト,post
ある,ある,to be
立派,りっぱ,splendid
返す,かえす,to return
辺,へん,area
熱い,あつい,hot (thing)
汚い,きたない,dirty
朝,あさ,morning
狭い,せまい,narrow
重い,おもい,heavy
万年筆,まんねんひつ,fountain pen
猫,ねこ,cat
レコード,レコード,record
橋,はし,bridge
グラム,グラム,gram
鉛筆,えんぴつ,pencil
教室,きょうしつ,classroom
縦,たて,the vertical
傘,かさ,umbrella
もっと,もっと,more
外国,がいこく,foreign country
外国人,がいこくじん,foreigner
他,ほか,other
やる,やる,to do
寝る,ねる,to lie down
ベッド,ベッド,bed
あそこ,あそこ,there
旅行,りょこう,travel
ドア,ドア,door
スポーツ,スポーツ,sport
あれ,あれ,that
広い,ひろい,spacious
雨,あめ,rain
宿題,しゅくだい,homework
地図,ちず,map
難しい,むずかしい,difficult
新聞,しんぶん,newspaper
曇り,くもり,cloudiness
いくつ,いくつ,how many?
いくら,いくら,how much?
国,くに,country
白い,しろい,white
白,しろ,white
晴れる,はれる,to clear up
晴れ,はれ,clear weather
散歩,さんぽ,walk
閉める,しめる,to close
面白い,おもしろい,interesting
右,みぎ,right
並べる,ならべる,to line up
並ぶ,ならぶ,to line up
答える,こたえる,to answer
こたえる,らいげつ,next month
たくさん,たくさん,a lot
わかる,わかる,to understand
窓,まど,window
ネクタイ,ネクタイ,tie
来る,くる,to come
始め,はじめ,beginning
初めて,はじめて,for the first time
静か,しずか,quiet
下手,へた,unskillful
浴びる,あびる,to dash over oneself
高い,たかい,"high, expensive"
一番,いちばん,number one
欲しい,ほしい,wanted
スカート,スカート,skirt
悪い,わるい,bad
寒い,さむい,cold
犬,いぬ,dog
耳,みみ,ear
作文,さくぶん,writing
青い,あおい,blue
百,ひゃく,hundred
大変,たいへん,very
青,あお,blue
長い,ながい,long
飛ぶ,とぶ,to fly
暖かい,あたたかい,warm
とても,とても,very
どう,どう,how
朝ご飯,あさごはん,breakfast
咲く,さく,to bloom
開く,あく,to open
留学生,りゅうがくせい,overseas student
お弁当,おべんとう,bento
つまらない,つまらない,dull
地下鉄,ちかてつ,underground train
道,みち,road
でも,でも,but
玄関,げんかん,entranceway
知る,しる,to be aware of
きれい,きれい,pretty
まだ,まだ,as yet
新しい,あたらしい,new
奥さん,おくさん,wife
スプーン,スプーン,spoon
出口,でぐち,exit
なくす,なくす,to lose something
茶色,茶色,light brown
若い,わかい,young
お兄さん,おにいさん,older brother
お金,おかね,money
涼しい,すずしい,cool
料理,りょうり,cooking
お菓子,おかし,confections
学生,がくせい,student
牛肉,ぎゅうにく,beef
牛乳,ぎゅうにゅう,cow's milk
ズボン,ズボン,trousers
セーター,セーター,sweater
去年,きょねん,last year
古い,ふるい,old
ええ,ええ,yes
コーヒー,コーヒー,coffee
学校,がっこう,school
北,きた,north
まずい,まずい,unappetising
出す,だす,to take out
閉まる,しまる,to be shut
締める,しめる,to tie
仕事,しごと,work
出る,でる,to leave
もう一度,もういちど,once more
角,かど,corner
木曜日,もくようび,thursday
辞書,じしょ,dictionary
二つ,ふたつ,two
コート,コート,coat
二,に,two
書く,かく,to write
庭,にわ,garden
ご飯,ごはん,cooked rice
覚える,おぼえる,to memorize
木,き,tree
服,ふく,clothes
走る,はしる,to run
自分,じぶん,myself
薄い,うすい,thin
空,そら,sky
暑い,あつい,hot
自動車,じどうしゃ,automobile
おばさん,おばさん,aunt
誰,だれ,who
所,ところ,place
見る,みる,to see
頼む,たのむ,to request
自転車,じてんしゃ,bicycle
来年,らいねん,next year
いろいろ,いろいろ,various
石鹸,せっけん,soap
家,いえ,house
撮る,とる,to take
風呂,ふろ,bath
脱ぐ,ぬぐ,to take off
見せる,みせる,to show
色,いろ,colour
嫌,いや,disagreeable
来週,らいしゅう,next week
ノート,ノート,notebook
そうして,そうして,and
夏,なつ,summer
歩く,あるく,to walk
遅い,おそい,slow
借りる,かりる,to borrow
曲がる,まがる,to bend
夏休み,なつやすみ,summer vacation
言う,いう,to say
池,いけ,pond
メートル,メートル,metre
言葉,ことば,"word, language"
どうも,どうも,thanks
置く,thanks,to put
車,くるま,car
スリッパ,スリッパ,slipper
どれ,どれ,which
交差点,こうさてん,crossing
全部,ぜんぶ,all
砂糖,さとう,sugar
歌,うた,song
番号,ばんごう,number
隣,となり,"next, neighbor"
豚肉,ぶたにく,pork
果物,くだもの,fruit
シャツ,シャツ,shirt
呼ぶ,よぶ,to call out 
人,ひと,man
まっすぐ,まっすぐ,straight ahead
丈夫,じょうぶ,"strong, healthy"
晩,ばん,evening
上着,うわぎ,coat
お父さん,おとうさん,father
消える,きえる,"to go out, vanish, disappear"
フィルム,フィルム,film
お茶,おちゃ,tea
差す,さす,to shine
消す,けす,"to erase, delete"
緑,みどり,green
二日,ふつか,second day of the month
中,なか,inside
お腹,おなか,stomach
これ,これ,this
お母さん,おかあさん,mother
お手洗い,おてあらい,toilet
おまわりさん,おまわりさん,police officer
着る,きる,to wear
使う,つかう,to use
生まれる,うまれる,to be born
映画館,えいがかん,movie theatre
映画,えいが,movie
楽しい,たのしい,enjoyable
おばあさん,おばあさん,grandmother
小さな,ちいさな,small
パーティ,パーティ,party
ワイシャツ,ワイシャツ,shirt
ナイフ,ナイフ,knife
廊下,ろうか,corridor
靴,くつ,shoes
靴下,くつした,socks
お風呂,おふろ,bath
八百屋,やおや,greengrocer
八日,ようか,the eighth day of the month
授業,じゅぎょう,lesson
そば,そば,near
女,おんな,female
女の子,おんなのこ,girl
箸,はし,chopsticks
テレビ,テレビ,television
七つ,ななつ,seven
七,しち,seven
飴,あめ,candy
止まる,とまる,to stop
三つ,みっつ,three
安い,やすい,cheap
死ぬ,しぬ,to die
大きい,おおきい,big
卵,たまご,eggs
食堂,しょくどう,dining room
うるさい,うるさい,noisy
お皿,plate,plate
喫茶店,きっさてん,coffee shop
雑誌,ざっし,journal
食べ物,たべもの,food
赤い,あかい,red
食べる,たべる,to eat
家庭,かてい,home
お姉さん,おねえさん,elder sister
家族,かぞく,family
左,ひだり,left
歌う,うたう,to sing
友達,ともだち,friend
読む,よむ,to read
着く,つく,to arrive at
弱い,よわい,weak
カップ,カップ,cup
切符,きっぷ,ticket
晩御飯,ばんごはん,dinner
掃除,そうじ,cleaning
疲れる,つかれる,to get tired
誕生日,たんじょうび,birthday
取る,とる,to take
ペン,ペン,pen
郵便局,ゆうびんきょく,post office
弟,おとうと,younger brother
切手,きって,stamp
吸う,すう,to smoke
待つ,まつ,to wait
花,はな,flower
あちら,あちら,that way
洗う,あらう,to wash
赤,あか,red
遊ぶ,あそぶ,to play
冷たい,つめたい,cold
洗濯,せんたく,washing
引く,ひく,to pull
火曜日,かようび,Tuesday
一つ,ひとつ,one
一,いち,one
辛い,からい,spicy
本棚,ほんだな,bookshelves
かばん,かばん,bag
英語,えいご,english
キログラム,キログラム,kilogram
キロ,キロ,kilo
肉,にく,flesh
キロメートル,キロメートル,kilometer
泳ぐ,およぐ,to swim
天気,てんき,weather
いつも,いつも,always
タクシー,タクシー,taxi
ギター,ギター,guitar
早い,はやい,fast
川,かわ,river
賑やか,にぎやか,bustling
本,ほん,book
アパート,アパート,apartment building
生徒,せいと,pupil
交番,こうばん,police box
醤油,しょうゆ,soy sauce
六日,むいか,sixth day of the month
吹く,ふく,to blow
いつ,いつ,when
夜,よる,evening
足,あし,foot
プール,プール,pool
問題,もんだい,"problem, question"
図書館,としょかん,library
電話,でんわ,telephone call
話,はなし,talk
電車,でんしゃ,train
暗い,くらい,dark
物,もの,thing
方,かた,direction
二十日,はつか,twentieth day of the month
切る,きる,to cut
ペット,ペット,pet
二十歳,はたち,twenty years old
甘い,あまい,sweet-tasting
短い,みじかい,short
紙,かみ,paper
漢字,かんじ,kanji
買い物,かいもの,shopping
有名,ゆうめい,famous
飲み物,のみもの,drink
休み,やすみ,rest
終わる,おわる,to finish
休む,やすむ,to be absent
軽い,かるい,light
ページ,ページ,page
降りる,おりる,to descend
座る,すわる,to sit
曇る,くもる,to get cloudy
私,わたし,I
シャワー,シャワー,shower
電気,でんき,electricity
戸,と,door
警官,けいかん,police officer
かわいい,かわいい,cute
結構,けっこう,splendid
結婚,けっこん,marriage
なぜ,なぜ,why
雪,ゆき,snow
どこ,どこ,where
ホテル,ホテル,hotel
何,なに,what
いい,いい,good
南,みなみ,south
昼ご飯,ひるごはん,lunch
手紙,てがみ,letter
午後,ごご,afternoon
この,この,this
再来年,さらいねん,year after next
入口,いりぐち,entrance
荷物,にもつ,luggage
二人,ふたり,two persons
歯,は,tooth
上る,のぼる,to ascend
れい,れい,zero
五日,いつか,the fifth day of the month
上げる,あげる,to raise
貸す,かす,to lend
頭,あたま,head
など,など,et cetera
机,つくえ,desk
カメラ,カメラ,camera
手,て,hand
こんな,こんな,such
磨く,みがく,to polish
上,うえ,above
店,みせ,store
冷蔵庫,れいぞうこ,refrigerator
五,ご,five
五つ,いつつ,five
日曜日,にちようび,Sunday
こちら,こちら,this way
子供,こども,child
秋,あき,autumn
姉,あね,older sister
駅,えき,station
始まる,はじまる,to begin
すぐに,すぐに,instantly
四日,よっか,fourth day of the month
半,はん,half
どなた,どなた,who?
どちら,どちら,which way
野菜,やさい,vegetable
四つ,よっつ,four
話す,はなす,to talk
公園,こうえん,public park
鳥,とり,bird
黄色,きいろ,yellow
男,おとこ,man
横,よこ,horizontal
塩,しお,salt
渡る,わたる,to cross over
渡す,わたす,to ferry across
黒い,くろい,black
黒,くろ,black
水,みず,water
どうぞ,どうぞ,please
花瓶,かびん,flower vase
ハンカチ,ハンカチ,handkerchief
飲む,のむ,to drink
一日,いちにち,one day
一昨年,いっさくねん,year before last
一人,ひとり,one person
押す,おす,to push
夕方,ゆうがた,evening
弾く,ひく,to play
一昨日,おととい,day before yesterday
夕べ,ゆうべ,evening
バター,バター,butter
町,まち,town
今晩,こんばん,tonight
先週,せんしゅう,last week
背,せ,back
文章,ぶんしょう,sentence
紅茶,こうちゃ,black tea
今月,こんげつ,this month
先月,せんげつ,last month
月曜日,げつようび,Monday
今週,こんしゅう,this week
九,きゅう,nine
大きな,おおきな,big
魚,さかな,fish
椅子,いす,chair
黄色い,きいろい,yellow
ボールペン,ボールペン,ball-point pen
台所,だいどころ,kitchen
バス,バス,bus
ボタン,ボタン,button
する,する,to do
冬,ふゆ,winter
コップ,コップ,cup
先,さき,previous
風邪,かぜ,common cold
じゃあ,じゃあ,then
忘れる,わすれる,to forget
飛行機,ひこうき,aeroplane
忙しい,いそがしい,busy
帽子,ぼうし,hat
上手,じょうず,skillful
同じ,おなじ,same
風,かぜ,wind
エレベーター,エレベーター,elevator
封筒,ふうとう,envelope
テーブル,テーブル,table
後,,
あと,,
behind; ...,,
N5,,
TOP 200,,
後ろ,,
うしろ,,
back,,
N5,,
TOP 2500,,
いいえ,,
no; ...,,
N5,,
TOP 2500,,
作る,,
つくる,,
to make; ...,,
N5,,
TOP 100,,
前,,
まえ,,
ago; ...,,
N5,,
TOP 200,,
テープレコーダー,,
tape recorder,,
N5,,
元気,,
げんき,,
lively; ...,,
N5,,
TOP 2500,,
また,,
again,,
N5,,
TOP 100,,
カレンダー,,
calendar; ...,,
N5,,
TOP 5000,,
部屋,,
へや,,
room; ...,,
N5,,
TOP 1000,,
帰る,,
かえる,,
to return; ...,,
N5,,
TOP 1000,,
動物,,
どうぶつ,,
animal,,
N5,,
TOP 2500,,
テープ,,
tape,,
N5,,
TOP 5000,,
カレー,,
curry; ...,,
N5,,
TOP 2500,,
働く,,
はたらく,,
to work; ...,,
N5,,
TOP 500,,
毎週,,
まいしゅう,,
every week,,
N5,,
TOP 5000,,
毎朝,,
まいあさ,,
every morning,,
N5,,
TOP 10000,,
毎日,,
まいにち,,
every day,,
N5,,
TOP 500,,
毎晩,,
まいばん,,
every night,,
N5,,
八つ,,
やっつ,,
eight,,
N5,,
八,,
はち,,
eight,,
N5,,
TOP 200,,
茶碗,,
ちゃわん,,
rice bowl,,
N5,,
妹,,
いもうと,,
younger sister,,
N5,,
TOP 5000,,
昼,,
ひる,,
noon; ...,,
N5,,
TOP 5000,,
さあ,,
come; ...,,
N5,,
TOP 10000,,
午前,,
ごぜん,,
morning,,
N5,,
TOP 5000,,
灰皿,,
はいざら,,
ashtray,,
N5,,
入る,,
はいる,,
to enter; ...,,
N5,,
TOP 200,,
兄,,
あに,,
elder brother,,
N5,,
TOP 5000,,
兄弟,,
きょうだい,,
siblings; ...,,
N5,,
TOP 5000,,
一月,,
ひとつき,,
one month,,
N5,,
入れる,,
いれる,,
to put in; ...,,
N5,,
TOP 200,,
だんだん,,
gradually; ...,,
N5,,
TOP 5000,,
鍵,,
かぎ,,
key; ...,,
N5,,
TOP 5000,,
パン,,
bread; ...,,
N5,,
TOP 2500,,
たばこ,,
tobacco; ...,,
N5,,
TOP 5000,,
立つ,,
たつ,,
to stand; ...,,
N5,,
TOP 2500,,
病院,,
びょういん,,
hospital,,
N5,,
TOP 1000,,
病気,,
びょうき,,
illness,,
N5,,
TOP 2500,,
半分,,
はんぶん,,
half,,
N5,,
TOP 2500,,
村,,
むら,,
village,,
N5,,
TOP 2500,,
今,,
いま,,
now,,
N5,,
TOP 200,,
小さい,,
ちいさい,,
small,,
N5,,
TOP 1000,,
デパート,,
department store; ...,,
N5,,
TOP 10000,,
いる,,
to be; ...,,
N5,,
TOP 100,,
海,,
うみ,,
sea,,
N5,,
TOP 1000,,
クラス,,
class,,
N5,,
TOP 2500,,
習う,,
ならう,,
to take lessons in,,
N5,,
TOP 10000,,
勤める,,
つとめる,,
to work (for); ...,,
N5,,
TOP 2500,,
ここ,,
here; ...,,
N5,,
TOP 200,,
薬,,
くすり,,
