Health.Sentences,Health.Translation,Sight.Sentences,Sight.Translation,Travel.Sentences,Travel.Translation,Dining.Sentences,Dining.Translation,Shopping.Sentences,Shopping.Translation
早くお医者さんを呼んで下さい。,Please call a doctor quickly.,観光案内所はどこですか。,"Where’s the Tourist Information center, please?",この搭乗券の席はどちらにありますか。,Where are the seats on this boarding pass?,何名様ですか。,How many people?,このデパートは７時に閉店する。,This department store closes at 7:00.
早くお医者さんを連れてきて 下さい。,Please bring the doctor quickly.,町の地図ありますか。,Do you have a city map?,搭乗券を拝見してもよろしいでしょうか。,"May I see your boarding pass, please?",2人です。,"Two, person",このデパートは今日は閉まっている。,This department store is closed today.
お医者さんの診察時間はいつですか。,When are the doctor's office hours?,京都の有名なところについて教えて下さい。 ,Please tell us about the famous places in Kyoto. ,荷物を棚に入れてくれませんか。,Could you please put my luggage on the shelf?,申し訳ございません。只今、満席です。,We're sorry. We are full right now,私は新しいコートをあのデパートで買いたい。,I want to buy a new coat at that department store.
お医者さんはいつ来れますか。,When can the doctor come?,主にどこが面白いですか。,What do you find interesting mainly?,すみません、ここは私の席です。,"Excuse me, this is my seat.",待ち時間はどのくらいですか。,How long is the wait time?,デパートは休日の買い物客でいっぱいだった。,The department store was full of holiday shoppers.
お医者さんの予約をして下さい。,I’d like to make an appointment to see the doctor.,地図で指して下さい。,Please point to it on the map.,他の席に移ってもいいですか。,May I move to another seat?,どのくらい待ちますか。,How long will I have to wait?,そのデパートはいつもお客でいっぱいだ。,The department store is always full of customers.
私は五時半にお医者さんに会う約束が あります。,I have an appointment with a doctor at 5:30.,何かおすすめは,Do you have any recommendations?,すみません、毛布もう一枚もらえますか。,"Excuse me, can I have another blanket?",ご予約はされていますか。,Do you have a reservation?,私は酒屋でビールを一本買った。,I bought a bottle of beer at the liquor store.
どの医者が夜勤ですか。,Which doctor works the night shift?,古い神社に興味がありますが。,"I am interested in the old shrine, though.",新聞がありますか。,Do you have a newspaper?,7時に予約している田中です。,I am Tanaka with a reservation at 7:00.,おすすめの靴屋を教えてくれませんか。,Can you recommend a shoe store?
どの薬局が夜勤ですか。,Which pharmacy works the night shift?,市内観光ありますか。,Is there a scenic walk around the city?,どうやってシートを倒すのですか。,How do I fold down the seat?,いいえ、予約はしていないです。,"No, I don't have a reservation",彼女はそれを肉屋で買った。,She bought it at a butcher shop.
どの医者が週末勤務ですか。,Which doctor works weekends?,どのぐらい時間がかかりますか。,How long does it take?,リモコンの使い方を知りたいのですが。,I'd like to know how to use the remote control.,ご案内いたします。,"Follow me, please",そのパン屋は肉屋の隣です。,Its bakery is next to a butcher shop.
どの薬局が週末勤務ですか。,Which pharmacy works weekends?,出発点はどこですか。,Where does it starts?,イヤホンの調子が悪いのですが。,What's wrong with my earphones?,お好きな席どうぞ。,Please have a seat anywhere you like,路上には小さな八百屋が出ていた。,There was a small grocery store out on the street.
具合が悪いんです。,I'm not feeling well.,終点はどこですか。,Where does it end?,違うものと交換していただけませんか。,Can you replace the earphone with a different one?,お好きな席お座りください。,Please have a seat anywhere you like,喫茶店と言っても食事メニューが豊富です。,"Even though it is a coffee shop, it has an extensive menu of meals."
めまいがします。,I’m dizzy.,遊覧船がありますか。,Are there any boat cruises here?,すみません、お水もらえますか。,"Excuse me, can I have some water?",メニューもらえますか。,Can I have a menu?,あそこに喫茶店があります。,There is a coffee shop there.
病気です。,I’m sick.,どこで船に乗れますか。,Where can we board the ship?,はい、すぐにお持ちいたします。,"Yes, I'll bring it right away.",ご注文はお決まりですか。,Are you ready to order?,歩いて本屋へいきましょう。,Let's walk to the bookstore.
気分が悪いんです。,I don't feel well.,観光バスがありますか。,Are there sightseeing buses available?,入国カードの書き方を教えてもらえますか。,Can you teach me how to fill out the immigration card?,いいえ、まだ決まってないです。,"No, I haven't decided yet",その商店街は私達の家から簡単に行ける。,That shopping street is easily accessible from our house.
風邪です。,I’ve got a cold.,どこでバスに乗れますか。,Where can I catch a bus?,税関申告書の用紙をください。,Can I have a customs declaration form?,また後で言います。,I'll tell you later,この食料品店は自然食品のみを売っている。,This grocery store sells only natural foods.
ここが痛いんです。,It hurts here.,英語のガイドがいますか。,Is there a guide who speaks English?,ペンをお借りできますか。,Can I borrow a pen?,では、また後でお伺いいたします。,Then I'll ask you again later,食料品店には歩いて1分ぐらいです。,It is about a minute walk to the grocery store.
もどしてしまった んです。,I’ve been throwing up,どこか楽しい小旅行はありますか。,What trips can we take around the area?,お食事は何なさいますか。,What kind of meal will you have?,天ぷら定食ください。,"Tempura set meal, please",彼は学校の売店で文房具を買った。,He bought stationery at the school store.
三九度の熱があります。,He has a fever of thirty-nine degrees.,観光ツアーがありますか。,Are there sightseeing tours available?,日本の食事は和食と洋食のご用意があります。,Japanese food is available in Japanese and Western style.,チーズハンバーグで。,"Cheese hamburger, please",この店はいつ開きますか。,When will this store open?
スズメバチに刺されました。 ,I’ve been stung by a hornet.,どこへ行きますか。,Where do they go to?,和食のメインは魚、洋食のメインは通り肉です。,"The main course of Japanese cuisine is fish, while the main course of Western cuisine is street meat.",チーズハンバーグとコーヒー。,Cheese hamburger and coffee,英語の新聞もありますか。,Are there any newspapers in English?
虫に刺されました。 ,I’ve been stung by an insect.,金閣寺へ行きたいんですが。,I would like to go to Kinkakuji temple.,お食事はお済みでしょうか。,Have you eaten yet?,これをください。,"I'll have this one, please",ちょっと見ているだけです。,I’m just looking.
クラゲに刺されました。 ,I was stung by a jellyfish. ,ツアーは何時間かかりますか。,How long does the tour take?,お飲み物はいかがですか。,Would you like a drink?,何がおすすめですか。,What do you recommend?,もっと安いのはありませんか。 ,Is there anything cheaper? 
犬に噛まれました。,I was bitten by a dog.,北海道にはどのくらい滞在しますか。,How long will you stay in Hokkaido?,紅茶はいかがですか。,Would you like a cup of tea?,お飲み物は何なさいますか。,What would you like to drink?,もっと小さいのはありませんか。 ,Is there anything smaller? 
蛇に噛まれました。,I was bitten by a snake.,ガイド付きツアーがありますか。,Are there guided tours available?,どんなジュースがありますか。,What kind of juice do you have?,コーヒーください。,"Coffee, please",もっと大きいのはありませんか。 ,Is there anything larger? 
動物に噛まれました。,I was bitten by an animal.,どのぐらい自由時間がありますか。,How much free time will we have there?,ジュースはオレンジジュース、アップルジュースとトマトジュースがあります。,"We have orange juice, apple juice and tomato juice.",いいえ、大丈夫。,"No, I'm fine",説明書は入っていますか。,Are instructions included?
切り傷をつけました。,I’ve cut myself.,ガイドをたのめますか。,Can we hire a guide?,コーラをください。,"Can I have a Coke, please?",この料理に卵は入っていますか。,Do you have any eggs in this dish?,ちょっと高過ぎます。,It is a little too expensive.
