Kanji,Reading,Script,Translation,S1,T1,S2,T2,S3,T3,S4,T4,S5,T5,S6,T6,S7,T7
打,う。つ　ダ,ボトルを打つ,hit the bottle,釘を打つ,hit the nail on the head,打者,batter,屋根を打つ雨の音,the sound of rain hitting the roof,打ち合わせる,hit each other,検索語を打ち込む,type in a search term,独裁者の打倒,overthrow of a dictatorship,,
投,な。げる　トウ,石を投げる,throwing stones,さじを投げる,throwing spears,投手,pitcher,株に投資する,invest in stocks,新聞に投書する,write to the newspaper,起こるために投票して,vote for it to happen,戦線に投入されます,thrown into the battle line,,
押,お。す・さえる　オウ,録音ボタンを押す,press the record button,判を押す,stamp a seal,押入れ,closet,扉を押さえる,hold down the door,押印,stamp a seal,確実に押し込む,securely push in,全資産を押収しました,all assets have been seized,,
引,ひ。く・ける　イン,辞書を引く,look up a dictionary,文を引用する,quote a sentence,引き算,subtract,地球の引力,earth's gravitational pull,引退する,retire,,,,,,
拾,ひろ。う　ショウ　ジョウ,海岸で貝を拾う,pick up shellfish on the beach,タクシーを拾う,picking up a cab,拾得物の係,found property officer,拾万円,"pick up 10,000 yen",拾い出す,pick up trash,,,,,,
捨,すて。る　シャ,ごみを捨てる,throw out garbage,空き缶を投げ捨てる,throw away empty cans,四捨五入する,round to the nearest whole number,吐き捨てる,throw away an empty can,使い捨てる,use and throw away,,,,,,
折,お。る・れる　おり　セツ,ナプキンを折る,fold napkins,折り紙,origami,木の枝が折れる,a tree branch breaks,角を右折する,fold right at the corner,折り合い,agreement,,,,,,
抜,ぬ。く・ける・かす・かる　バツ,釘を抜く,pull out a nail,腰を抜かす,pull out the back of a tree,手抜かりはない,do nothing out of the ordinary,抜群の成績,outstanding results,抜け出す,get out of the way,,,,,,
掛,か。ける・かる　かかり,布団を掛ける,put a futon on the floor,掛け算,multiplication,絵が掛かっている,there is a picture hanging on the wall,手掛かりがない,no clue,切っ掛け,"a clue, cue or chance",,,,,,
呼,よ。ぶ　コ,名前を呼ぶ,call a name,教室の外へ呼び出す,call outside the classroom,呼吸をする,breathe in,点呼する,call for roll call,呼気,exhale,,,,,,
吸,す。う　キユウ,息を吸う,breathe in,スポンジが水を吸う,sponge absorbs water,土が雨水を吸収する,soil absorbs rainwater,深呼吸する,breathe deeply,吸い込む,inhale,,,,,,
吹,ふ。く　スイ,口笛を吹く,whistle,強い風が吹く,strong wind blows,吹奏楽,wind music,吹雪,snow storm,吹き付ける,"to blow against, spray",,,,,,
叫,さけ。ぶ　キョウ,火事だと叫ぶ,shouting fire,叫び声,shouting,絶叫する,scream,泣き叫ぶ,cry and shout,叫び,screaming,,,,,,
