Word,Reading,Meaning
前提,ぜんてい,"condition, assumption, prerequisite"
提案,ていあん,proposal
提出,ていしゅつ,"presentation, submission"
提起,ていき,"raising, posing, bringing up"
提唱,ていしょう,"advocacy, proposal"
手提げ,てさげ,"handbag, purse"
提言,ていげん,"proposal, motion"
剃刀,かみそり,razor
驚異,きょうい,"wonder, miracle"
驚く,おどろく,to be surprised
驚かす,おどろす,to surprise
驚愕,きょうがく,astonishment
吃驚,びっくり,to be surprised
驚異的,きょういてき,"wonderful, astounding"
継続,けいぞく,continuation
継ぐ,つぐ,to succeed
受け継ぐ,うけつぐ,to inherit
引き継ぐ,ひきつぐ,to take over
継承,けいしょう,"inheritance, succession"
生中継,なまちゅうけい,live broadcast 
継続的,けいぞくてき,continuous
駆ける,かける,"to run, dash, race"
駆使,くし,"using freely, making full use of"
先駆け,さきがけ,"pioneer, leader"
駆除,くじょ,"extermination, expulsion"
駆け込む,かけこむ,to run into
駆け出す,かけだす,to run off
駆り立てる,かりたてる,to flush out 
駆け寄る,かけよる,to rush over
証明,しょうめい,"proof, testimony"
保証,ほしょう,"guarantee, security, assurance"
証拠,しょうこ,"evidence, proof"
証言,しょうげん,testimony
証人,しょうにん,witness
認証,にんしょう,"certification, authentication"
暗証番号,あんしょうばんごう,personal identification number
身分証明書,みぶんしょうめいしょ,identification papers
証書,しょうしょ,document of proof
立証,りっしょう,establishing proof
保証人,ほしょうにん,guarantor
証券,しょうけん,"bond, bill, certificate"
検証,けんしょう,"verification, inspection"
実証,じっしょう,"demonstration, verification"
免許証,めんきょしょう,"license, permit"
保証付き,ほしょうつき,"guaranteed, certified"
証明書,しょうめいしょ,"certificate, credentials"
確証,かくしょう,conclusive evidence
公正証書,こうせいしょうしょ,notarized document
体系,たいけい,"system, organization"
系統,けいとう,"system, lineage"
太陽系,たいようけい,solar system
生態系,せいたいけい,ecosystem
家系,かけい,family lineage
体系的,たいけいてき,systematic
電気系統,でんきけいとう,electrical system
価値体系,かちたいけい,set of values
水系,すいけい,water system
系列,けいれつ,"series, sequence"
神経系,しんけいけい,nervous system
日系,にっけい,Japanese descent
直系,ちょっけい,direct descent
山系,さんけい,mountain range
系譜,けいふ,"genealogy, lineage"
文系,ぶんけい,humanities
系統的,けいとうてき,systematic
分類体系,ぶんるいたいけい,classification system
大脳辺縁系,だいのうへんえんけい,limbic system
中枢神経系,ちゅうすうしんけいけい,central nervous system
免疫系,めんえきけい,immune system
不吉,ふきつ,"unlucky, inauspicious"
吉報,きっぽう,good news
玄関,げんかん,entrance
玄人,くろうと,"expert, professional"
玄米,げんまい,unmilled rice
素敵,すてき,"lovely, wonderful"
匹敵,ひってき,"to be a match for, equal, compare"
敵意,てきい,"hostility, animosity"
敵対,てきたい,"hostility, opposition"
政敵,せいてき,political opponent
敵わない,かなわない,no match for
敵陣,てきじん,enemy camp
好敵手,こうてきしゅ,worthy opponent
敵地,てきち,enemy territory
強敵,きょうてき,formidable enemy
敵失,てきしつ,error made by the enemy
無敵,むてき,"invincible, unrivaled"
敵性,てきせい,hostile nature
