Sentences,Translation
これは私の 妹 の写真です。,This is a picture of my little sister.
ディズニーランドに行きたいです。,I want to go to Disneyland.
それは 私 のではありません。,That is not mine.
今日は仕事に行きました。,I went to work today.
これを読んでください。,Please read this.
このゲームは君の勝ちだ。,You are the winner in this game.
これが読みたかった本です。,This is the book I wanted to read.
足が痛くて、歩けない。,My feet hurt so I can’t walk.
妻とビーチに行きました。,I went to the beach with my wife.
お荷物は明日お届けします。,We will deliver your package tomorrow.
これも明日までの宿題だ。,This homework is also due tomorrow.
あの公 園で会いましょう。,Let’s meet at the park.
赤ちゃんが鳥を見てる。,The baby is looking at the bird.
ずっと音 楽が鳴っている。,The music is still playing.
これが私の家です。,This is my house.
ふつうに使われる交通機関は電車です。,The transportation normally used is the train.
これが、マカロンというお菓子です。,This is a confectionary called a macaron.
通な人が好む店だ。,This is a shop that connoisseurs are fond of.
お話ししたい事があります。,I have a matter that I would like to talk about.
ええ、私もそう思います。,"Yes, I think so too."
えー、うそでしょ。,"What? Surely, that’s a lie!"
みんなが違う事を言う。,Everyone says something different.
あの、すみませんが、バス停への道を教えてください。,"Er, excuse me. Please show me the way to the bus stop."
これでまあいいと思うよ。,I think this is just fine.
まー、 すごい!,Wow! That’s great!
土曜日にコンサートがある。,There is a concert this Saturday.
このバッグはあなたのですよね。,"This is your bag, isn’t it?"
その映画には興 味がないです。,I am not interested in that movie.
大きくなったら、何になる。,What are you going to be when you grow up?
この電 車はどこに行きますか。,Where does this train go?
その本はもう読みました。,I have already read that book.
何度も聞いたけれど、よくわかりません。,"I have asked many times, but I still don’t understand."
彼はこの大学の学生だ。,He is a student at this university.
私は大阪に住んでいます。,I live in 	Osaka.
好きなスポーツはテニスです。,My favorite sport is tennis.
昨日、彼を見ましたか。,Did you see him yesterday?
彼は毎晩ビールを飲む。,He drinks beer every night.
僕は英語が苦手だ。,I’m not good at English.
こちらが私の妻です。,This is my wife.
お金がなくて、海外旅行できない。,I don’t have money so I can’t travel abroad.
彼とレストランへ行った。,I went to a restaurant with my boyfriend.
来週京都へ行きます。,I will go to Kyoto next week.
彼が行くなら、私も行きます。,"If he is going, I will go too."
東京駅で彼女に会った。,I met her at Tokyo station.
雨が降っている。,It’s raining.
彼は独身です。,He is single.
日本で使われている通貨は円です。,The currency used in Japan is yen.
太郎という男の子を知っていますか。,Do you know a boy called Taro?
今年はいろいろな事があった。,All kinds of things happened this year.
あの人は、えー、ちょっと名前が思い出せません。 ,"That person, uh, I can't remember his name for a moment. "
はっきり言うと、あなたの言っていることは無意味です。 ,"Frankly speaking, you are talking nonsense."
どうしたんですか。, What’s the matter?
あの、ちょっとお聞きしたいんですが、バス乗り場はどこですか。,"Excuse me, could you tell me where the bus stop is?"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
七時にテーブルを予約したいのですが。,I would like to reserve a table at 7:00 pm.
二人用のテーブルをお願いします。,I would like a table for two please.
予約しました。,Reservation made.
予約していません。,I have no reservation.
レストランは何時からオープンですか。,What time does the restaurant open?
レストランは何時までですか。,What are the hours of the restaurant?
 ご予約ですか。,Do you have a reservation?
喫煙席と禁煙席、どちらになさいますか。,Do you prefer smoking or non-smoking seats?
喫煙席をお願いします。,Smoking seats please.
禁煙席をお願いします。,Non-smoking seats please.
このテーブルは予約済みです。,This table is reserved.
１５分お待ちいただくとテーブルが空きます。,Please wait 15 minutes and a table will be available.
お待ちになりますか。,Would you like to wait?
テーブルが空くまで待ちたいのですが。,I would like to wait until a table is available.
長く待ちますか。,Do you want to wait longer?
この席 、空いてますか。,Is this seat taken?
ここに座わってもいいですか。,May I sit here?
あそこに座わってもいいですか。,May I sit over there?
窓ぎわに座わってもいいですか。,May I sit by the window?
子供用の椅子がありますか。,Is there a chair for children?
椅子もう一個ありますか。,Do you have another chair?
すみませんが 、このびんを暖めてくれますか。,"Excuse me, can you please warm up this bottle?"
熱過ぎないようにお願いします。,"Not too hot, please."
ベビールームありますか。,Is there a baby room available?
トイレはどこですか。,Where is the restroom?
