Expression,Translation
例えばですね,For example
つくらない建築,Architecture that doesn't build
みなさんにメッセージ,Message to everyone
送るとともに,Send with
世界にも流れたらいいかなと思って,I thought it would be good if it could be distributed to the world
話をさせていただきます,Let me tell you a story
建築家という言葉から,From the word architect
イメージされるものは,What is imagined is
どんなものがありますか,What kind of things do you have?
一般的には,In general
建築家と言ったら,When I say architect
こんなイメージですね,This is the kind of image
それから東京都庁舎ですね,Then there's the Tokyo Metropolitan Government Building
日本が誇る大建築家の作品,The works of Japan's greatest architects
この近くに県立美術館があって,There is a prefectural art museum near here
これは内部の写真,This is a picture of the interior
かなり凄腕の自分 ,I have a quite remarkable ability
自身が持っている ,I have my own 
個性ある意匠をかたちにしている,Giving shape to unique designs
そういうイメージが,That's the image I have
一般的じゃないでしょうか,Isn't it common?
そして僕も今紹介されたように,And as I was just introduced
結構若い時から,From a fairly young age
建築をやっていまして,I've been doing architecture
俺はこんなん作りたいな,I'd love to make something like this.
ということで やってきました,So here I am
本当に若いときです,I was really young
自分の個性を出せば,If you put your own personality out there
希望者の希望を受け止められる,We can accept the wishes of those who wish to do so
両方できると思っていたが,I thought you could do both
なかなかこれが上手いこといかないんですね,It's not easy to do this
建築家の個性と依頼者の希望の対立,Conflict between the architect's personality and the client's wishes
その対立というのは,The conflict is that
当時の僕の大きな悩みでした,That was my big concern at the time
