Expression
連絡。絡む。連絡先。短絡。脈絡
傾向。傾く。傾ける。傾注。傾げる
鼻。鼻血。鼻水。鼻歌。鼻先
宝石。 宝。重宝。国宝。宝くじ
患者。患う 。急患。罹患率。疾患
延期。延ばす。延びる。延長。遅延
法律。規律。韻律。旋律。一律
希望。希薄。 希少。希望者。希少性
甘い。甘やかす。甘える。甘口。甘言
湾。湾岸。湾曲。港湾。台湾
沈む。沈黙。沈没。沈める。沈着
販売。市販。通販。自販機。量販店
欧米。北欧。欧州。西欧。訪欧
砂糖。砂。砂漠。砂利。砂浜
尊敬。尊重。尊い。尊厳。自尊心
紅茶。紅葉。口紅。紅白。紅潮
複数。複写。複雑。複製。複合。重複。複利。復刻
泊まる。宿泊。泊める。停泊。延泊
荷物。荷造り。負荷。重荷。出荷
枝 。枯れ枝。枝毛。 爪楊枝。枝豆
依頼。依存。依然。依存症。依頼人
幼稚園 。幼い。幼児。 幼稚。 幼少
斬新 。斬る。 斬首。 斬奸。斬撃
上昇 。昇進。 昇華。昇給。昇格
寿命 。長寿。寿司。天寿。福寿
野菜 。菜園。白菜。青菜。山菜
季節 。四季。雨季。乾季。冬季
液体 。血液。溶液。液晶。精液
定期券 。回数券。旅券。入場券。債券
祭り 。祭日。祭る。祭壇。祭典
儚い。儚む
単位 。簡単。単語。単なる。単純。単独。単価
調査 。同調。調理。調停。調べる。調子。順調。順調
印刷 。矢印。目印。印象。旗印
偶然 。自然。然し。突然。全然。天然。断然。依然。整然
感覚 。覚える。視覚。聴覚。錯覚。味覚。覚める
捻挫 。挫折。挫ける。挫く。脳挫傷。挫傷。挫折感。挫滅
喧嘩 。喧しい。口喧嘩。喧騒。喧伝
著者 。著す。著名。著しい。著書。著作権。顕著
編集 。編む。長編。編集者。編著。編入。再編
救済 。救う。救助。救援。救い。救急車。救命
謝る。謝罪。感謝。謝礼。謝意。月謝
射つ。射撃。注射。発射。射す。射る。射程。投射。放射
娘。娘婿。娘さん。孫娘。一人娘
浪費。放浪。浮浪者。浪人。流浪
恨み。恨む。恨事。恨めしい。遺恨。痛恨。悔恨
屋根。垣根。根源。根回し。根拠。根気。根底。屋根裏
無限 。権限。限る。制限。限界。期限。限度。限定。
退屈。退院。退学。退職。退治。退く。退ける。退役。
能率。率直。軽率。効率。比率。率いる。統率。打率。税率。率先
正直。直線。垂直。直角。直す。直感。直ちに。直接。率直
官庁。気象庁。防衛庁。庁舎。都庁。県庁。特許庁。警視庁
田舎。校舎。庁舎。寄宿舎。鶏舎。市庁舎。兵舎。宿舎。公舎
修士。修理。修正。修繕。研修。修了。修飾。修復。修業
候補。補う。補給。補償。補助。補充。補強。補足。補聴器
従って。従う。従業員。従事。従来。服従。従える。従属
定規。規則。規制。規範。規律。不規則。規定。規模。規約
規範。範囲。模範。広範囲。広範。範疇。師範。垂範
講義。義務。定義。正義。義理。主義。意義。教義。道義。有意義
儀式。礼儀。行儀。葬儀。大儀。儀礼。祝儀。余儀ない
熟語。成熟。未熟。熟練。早熟。習熟。熟す。熟達。熟考
感染。汚染。汚染。染みる。染まる。染める。伝染病。感染症
移民。移る。移動。移す。移転。移住。移行。移植。推移
国籍。戸籍。書籍。在籍。移籍。船籍。党籍。入籍。学籍。除籍
