Phrases,Translation
溢れていた,it was overflowing
出ていた,i was out
怠るな,don't neglect it
入浴する,take a bath
買って帰ろう,let's get it and go home
参りました,here I come
面白くなってきた,it's getting interesting
分けられた,have been divided
泊まろう,let's stay here
許可される,be permitted
言い出す,start talking
書かせる,let someone write
よく言われるんですけどね,i got told that a lot
ドヤ顔してるつもりないんですけれども,"i don't mean to be smug, but…"
もしかしたら思っているから,maybe because I'm thinking it
内心成功したぜ,i've succeeded on the inside
送っていただけると嬉しいです,i would appreciate it if you could send it to me
お待ちしております,we'll be waiting for you
ボタンから送ることもできます,You can also send it via the button
温泉にやってきました,we came to the hot springs
雪が残ってますね,there's still snow
あらかじめカットしておく,cut them in advance
今度やってみようかな,maybe I'll try it next time
飽きたし,i’m tired of it
焚き火して,make a bonfire
夜更かししたり,and staying up late
絶妙に混ざりあって,exquisitely mixed
食べ過ぎだろ,you eat too much.
そんなやり方あったんだ,i didn't know that was how it was done
いつもきな粉零しちゃうんだよ,i always spill soybean flour
絡めようとして,i’m just trying to mix it together
火を起こしていきたいと思います,i’d like to make a fire
オシャレ感が増しました,it's more stylish
映えを意識した設置となっております,the installation is designed to look good
火がついてきました,it's catching fire
薪を持ってきてくれました,he brought me some firewood
本気で照れる,it's really embarrassing
順調に炎は燃え上ってきています,the flame is burning steadily
消えたなあ,it's gone
火吹き棒で再熱を試みる,trying to reheat with a fire blowtorch
対面授業を受けに行った,i went to take a face-to-face class
一番奥の席を確保しました,i got a seat at the far end
そんなに苦手なら買わなきゃいいのに,"if you're that bad at it, you shouldn't buy it"
一緒に行こう,let's go together
彼は何度も繰り返して言った,he said it over and over
その手紙を３回も繰り返し読んだ,i read the letter three times
単語を繰り返して書く,write the word repeatedly
透けちゃった,it's transparent.
透けちゃうのか,it's transparent?
奥に入っちゃいました,I'm in the back
こういう見方じゃないですか？,isn't this how you see it?
座ってやってみますか,shall we sit down and try?
肩甲骨は離れて広がっている,shoulder blades spread apart
右を向く,turn to the right
後ろを向いて彼を見る,look back at him
南を向いた部屋,a room facing south 
そのホテルは海に向いている,the hotel faces the sea
その窓は庭に向いている,the window opens onto the garden
女性に向いた仕事,a job suitable for a woman 
この土地は石が多くて農業には向かない,these fields are too rocky for farming
鏡に向かう,look in a mirror
彼は大群衆に向かって演説を始めた,he faced the large crowd and began to make a speech
駅に向かってるとこだよ,i'm on my way to the station
彼は私に向かってくる,he comes to me
今向かってます,i'm heading over there now
右を向いてください,turn to the right
この服は寒い冬の日には向かない,these clothes are not appropriate for a cold winter day
公園の方に足を向けた,i walked toward the park.
彼はその絵に目を向けた,he turned his attention to the picture
彼に背中を向ける,turn one's back on him
銃を彼に向ける,aim one's gun at him
こっちに顔を向けなさい,turn your face this way
ふさわしい講座をお選びいただくために,to help you choose the right course
出てくるかな？,do you think it'll come out?
納豆はさすがに探しても売ってませんでしたね,"natto is not sold, even though I looked for it"
アメリカでも日本酒は人気出てきてるよ,sake is becoming more and more popular in the US
日本食食べたくなりますからね,it makes me want to eat Japanese food
お味噌汁飲みたい,i want to drink miso soup
お寿司食べたい,i want to eat sushi
恋しくなるんですよ,I miss it!
時代は変わってきてるんですかね,"times are changing, aren't they?"
探せばあるんでしょうけどね,i’m sure it's out there if you look for it
サーモンを出して頂いて,they served me salmon
マスクを着用し,wear a mask
