Script,Translation
春が訪れた京都。桜や新緑の季節は、京都をより美しく魅せてくれますよね。今回は、そんな京都で楽しむことができるお洒落な和食ランチをご紹介していきたいと思います。絶対に知っておいてほしい、またどこに行くか迷ってしまうくらい魅力的なお店ばかりを集めました！（なお情報は記事掲載時点のものになります。詳細は公式サイトなどから事前確認することをおすすめします。）,"Spring has arrived in Kyoto. The season of cherry blossoms and fresh greenery makes Kyoto even more beautiful and enchanting. This time, I would like to introduce you to some stylish Japanese lunches that you can enjoy in Kyoto. I've gathered together some of the most charming restaurants that you should definitely know about, and that will make you wonder where to go! (Information is current at the time of publication. (Information is current as of the date of publication; it is recommended that you check the official website for details)"
"日本の""和""の雰囲気を1番堪能できることができる場所といっても過言ではない、京都府。そんな京都を訪れた際には、普段食べる家庭の和食よりワンランク上の和食ランチを楽しみたくはないですか？今回は、そんなあなたに京都に行く前に絶対に抑えておいてほしいスポットをご紹介します。","It is no exaggeration to say that Kyoto Prefecture is the place where you can enjoy the Japanese ""Wa"" atmosphere the most. When you visit Kyoto, don't you want to enjoy a Japanese lunch that is a grade higher than the Japanese food you usually eat at home? In this article, I'll introduce you to some of the places you should definitely check out before you go to Kyoto."
はじめにご紹介するのは、JR宇治駅から徒歩4分ほどの場所にある「LovA（ロバ）」です。古民家を改装した、あたたかい雰囲気のカフェ・レストランです。こちらも大人気店なので、ランチでも予約して行くことをおすすめします。,"The first place I would like to introduce is LovA, located about a four-minute walk from JR Uji Station. It is a café/restaurant with a warm atmosphere in a renovated old house. This is also a very popular restaurant, so I recommend making a reservation even for lunch."
こちらで人気の和食ランチが、季節の野菜を使用した『天ぷら御膳』です。素材の旨みをいかして、シンプルにいただきます。米油で揚げられており、衣も玄米米粉を使用しているなど、体にもとっても優しいです。健康志向の女性たちには嬉しいですね！,"The most popular Japanese lunch here is the Tempura Gozen, which uses seasonal vegetables. The tempura is served simply, bringing out the best of the ingredients. The tempura is fried in rice oil and the batter is made of brown rice flour, making it very healthy. It's great for health-conscious women!"
続いてご紹介するのは、四条駅から徒歩1分ほどの場所にある「京菜味のむら 錦店」です。人気観光地である錦市場からすぐというアクセスしやすい場所にあります。名物の湯葉丼と、美しい器に盛られた12種類ものおばんざいをセットいただける、贅沢な京ランチが人気のお店です。,"The next restaurant I would like to introduce to you is ""Kyo-na Ajino-mura Nishiki"", located about a minute's walk from Shijo Station. It is easily accessible from Nishiki Market, a popular tourist spot. The restaurant is popular for its sumptuous Kyoto-style lunch, which includes its famous yuba rice bowl and 12 different types of obanzai served in a beautiful bowl."
こんなにも美しく、ボリューミーなおばんざい御膳を2000円以下でいただける、神コスパも人気の理由のひとつです。またランチタイムでも予約することができるので、1日の予定がたてやすいです。京和食の優しい味を堪能したい方におすすめです。,"One of the reasons for the popularity of this restaurant is the divine price of less than 2000 yen for such a beautiful and voluminous banzai gozen. You can also make a reservation during lunch time, so it is easy to make plans for the day. Recommended for those who want to enjoy the gentle taste of Kyoto Japanese cuisine."
続いてご紹介するのは、JR京都駅から徒歩5分ほどの場所にある「漬け野菜 iSOiSM（イソイズム）」です。漬け野菜をメインに取り扱う珍しいお店です。夜は居酒屋としても営業していますが、12種類の漬け野菜が美しく盛られたランチプレートがとにかく大人気なんです。,"The next restaurant I will introduce to you is ""Pickled Vegetables iSOiSM,"" located about a five-minute walk from JR Kyoto Station. It is a rare restaurant that mainly deals in pickled vegetables. It is also open as an izakaya (Japanese style pub) at night, but the lunch plate with 12 kinds of beautifully arranged pickled vegetables is very popular."
様々な野菜がそれぞれの素材の旨味を生かして、全く違う味わいで漬けられていて、毎回味の違いを楽しみながらいただけるのが魅力です。また季節の京野菜を使った土鍋炊きこみごはんとの相性も抜群です！ちょっと大人な京都和食ランチかもしれませんね。,"A variety of vegetables are pickled with completely different flavors to bring out the best of each ingredient, so you can enjoy the different tastes each time. It also goes perfectly with the earthenware pot rice cooked with seasonal Kyoto vegetables! This may be a slightly more mature Japanese lunch in Kyoto."
続いてご紹介するのは、丸太町駅から徒歩10分ほどの場所にある「手打ちそば 花もも」です。二八そばと呼ばれる、もちもちとした食感で食べ応えのある手打ち蕎麦をいただけるお店です。上品なお店で、シンプルに蕎麦をいただく、なんとも上級者な京都ランチの楽しみ方ではないでしょうか。,"The next restaurant I would like to introduce is Hanamomo, a ten-minute walk from Marutamachi Station. This is a restaurant where you can enjoy handmade soba noodles called Nihachi-soba, which are glutinous and satisfying in texture. Enjoying soba noodles simply in an elegant restaurant is a very advanced way to enjoy lunch in Kyoto."
シンプルに蕎麦の美味しさを堪能するざるそばも人気ですが、特に人気な名物メニューがこちらの『すだち蕎麦』です。見た目からも伝わってくる、爽やかな味わいが人気です。観光でたくさん歩いた一休みに、さっぱりした蕎麦はぴったりですね！,"The zaru soba (buckwheat noodles) is popular for simply enjoying the taste of soba, but the sudachi soba (buckwheat noodles with sudachi) is a particularly popular specialty. It is popular for its refreshing taste that can be felt from its appearance. The refreshing Soba is perfect for a break after a long day of sightseeing!"
続いてご紹介するのは、鳥丸御池駅から徒歩4分ほどの場所にある「手鞠鮨と日本茶 宗田-SOUDEN-」です。ひと口サイズに握られた、色鮮やかな手鞠鮨の見た目がとにかく可愛いんです！無限に食べられちゃう美味しさです。,"The next place I'd like to introduce you to is ""Temari Sushi and Japanese Tea - SOUDEN-"", located about a four-minute walk from Torimaru Oike Station. The brightly colored Temari-zushi in bite-sized pieces is just adorable! The taste is so good that you can eat it endlessly."
上品な外観に、ライトダウンされカウンターメインの店内なので、デートにぴったりなスポットかもしれません。予約は必須ですよ！またお茶にもかなりこだわったお店です。京都の和を存分に感じたい方はぜひ訪れてみてください。,"With its classy exterior and lighted-down, counter-mainly interior, it may be the perfect spot for a date. Reservations are a must! The store is also very particular about its tea. If you want to feel the Japanese style of Kyoto to the fullest, please visit."
"続いてご紹介するのは、祇園四条駅から徒歩5分ほどの場所にある「侘家古暦堂（わびやこれきどう）」です。行くまでの間に、祇園の街並みを楽しむことができるのも魅力のひとつです。そしてこちらのお店では、新感覚の""アツアツ石焼き親子丼""をいただくことができます。","Next up is Wabiya Korekido, located about a five-minute walk from Gion Shijo Station. One of the charms of this place is that you can enjoy the streets of Gion before you get there. The restaurant also offers a new kind of oyakodon (chicken and egg bowl)."
こちらの親子丼、アツアツの石鍋で出てきた後に、店員さんが混ぜてくれるんです。撮影必須ですよ！2つの卵と白米を混ぜ終わった後、更に輝く黄金の黄身をトッピングしてくれるんです。贅沢すぎる親子丼がここにありますよ。,"This oyakodon comes out in a hot stone pot, and then the waitress mixes it for you. After the two eggs and white rice are mixed, they top it with the golden yolk. Here is a bowl of oyakodon that is too luxurious for you."
最後にご紹介するのは、JR宇治駅から徒歩15分ほどの場所にある「辰巳屋」です。こちらは宇治川沿いにある京都の老舗料亭として有名です。京都の雰囲気を堪能しながら、素敵な和食ランチをするにはぴったりなスポットです。,"The last one I would like to introduce is Tatsumiya, located about a 15-minute walk from JR Uji Station. This place is famous as a long-established ryotei restaurant in Kyoto along the Uji River. It is the perfect spot to have a nice Japanese lunch while enjoying the atmosphere of Kyoto."
