Script.EP1,Meaning.EP1,Script.EP2,Meaning.EP2,Script.EP3,Meaning.EP3,Script.EP4,Meaning.EP4,Script.EP5,Meaning.EP5,Script.EP6,Meaning.EP6,Script.EP7,Meaning.EP7,Script.EP8,Meaning.EP8,Script.EP9,Meaning.EP9,Script.EP10,Meaning.EP10,Script.EP11,Meaning.EP11,Script.EP12,Meaning.EP12
（シンゾウ）おっ こんにちは あれ？,Hello. Huh?,,,,,,,,,,,,,,,,,,,,,,
（ナレーション）商店街から― 一本入った路地にある その居酒屋には…,In the alley next to the shopping street is a Japanese izakaya-style pub…,,,,,,,,,,,,,,,,,,,,,,
（ヒロシ） どうも ありがとうございました,Thank you.,,,,,,,,,,,,,,,,,,,,,,
（ナレーション） 物騒な名前が入った のれんが掛けられている,…that has an unsettling name on its shop curtain.,,,,,,,,,,,,,,,,,,,,,,
しかし 勇気を持ってくぐった者は 気づくだろう,"However, those who have the courage to enter will come to realize",,,,,,,,,,,,,,,,,,,,,,
うまい酒とおいしい料理,that this place has good drinks and good food.,,,,,,,,,,,,,,,,,,,,,,
そして優しい人たちが ここにいることを… そして優しい人たちが ここにいることを… （馨(かおる)）あっ いらっしゃい そして優しい人たちが ここにいることを…,-And the company of warm-hearted people. -Welcome.,,,,,,,,,,,,,,,,,,,,,,
（美音(みね)）いらっしゃい,Welcome.,,,,,,,,,,,,,,,,,,,,,,
（馨）あっ じゃあ カウンターどうぞ,Have a seat at the counter.,,,,,,,,,,,,,,,,,,,,,,
（ウメ）どうぞ,-Please come in. -Just a moment.,,,,,,,,,,,,,,,,,,,,,,
（馨）はい コート お預かりしますね,I'll take your coat.,,,,,,,,,,,,,,,,,,,,,,
（美音）この店の店主だった父は よく言っていた,My father who used to own this pub would often say…,,,,,,,,,,,,,,,,,,,,,,
（健吾）どこの家庭でも 出てくるような料理で―,"We serve food that can be found in any household,",,,,,,,,,,,,,,,,,,,,,,
金取ってる うちの店は もう それだけでぼったくりだ,"We serve food that can be found in any household, and that in itself makes us a rip-off, a bottakuri.",,,,,,,,,,,,,,,,,,,,,,
でもな 美音 たとえ ありきたりの料理でもな,"But Mine, even though they may be common recipes,",,,,,,,,,,,,,,,,,,,,,,
一つ一つ丁寧に心込めて作んだ,cook every single dish with all your heart.,,,,,,,,,,,,,,,,,,,,,,
料理食べた人が 思わず笑みを浮かべるような一皿,A dish that unexpectedly brings smiles to people's faces…,,,,,,,,,,,,,,,,,,,,,,
それができて初めて―,"Once you can make that,",,,,,,,,,,,,,,,,,,,,,,
払った金 惜しくねえって 客が思ってくれるようになんだ,our customers will not regret the money they spend.,,,,,,,,,,,,,,,,,,,,,,
でも まだ父さんは そこまでじゃない,But I haven't reached that point yet.,,,,,,,,,,,,,,,,,,,,,,
だから この店の名前は “ぼったくり”でいいんだよ,That's why Bottakuri is the right name for this place.,,,,,,,,,,,,,,,,,,,,,,
（トク）美音坊 一番高い酒くれ！,"Mine-bo, pour me your best sake!",,,,,,,,,,,,,,,,,,,,,,
トクさん いらっしゃい,"Welcome, Toku.",,,,,,,,,,,,,,,,,,,,,,
（馨）いらっしゃい カウンターどうぞ,Welcome. Have a seat at the counter.,,,,,,,,,,,,,,,,,,,,,,
おいおい おいおい 殴り込みじゃねえんだからさ 現場で何かあったのかい？,"Hey now, don't come in throwing fists. Did something happen at work?",,,,,,,,,,,,,,,,,,,,,,
（トク）あ？ （シンゾウ）“あ？”じゃないよ,Huh? Don't give me that. You really look like you could blow off some stream.,,,,,,,,,,,,,,,,,,,,,,
何だよ 憂さ晴らししたくて しょうがねえって顔してるよ,Don't give me that. You really look like you could blow off some stream.,,,,,,,,,,,,,,,,,,,,,,
（美音）じゃあ “ぼったくり”の 名にふさわしく― 一番高いお酒で ぱーっと…,"Well then, true to our Bottakuri namesake, I shall get you the most expensive drink…",,,,,,,,,,,,,,,,,,,,,,
と言いたいところですが,Is what I would like to say but…,,,,,,,,,,,,,,,,,,,,,,
何だ 美音坊 “言いたいところですが”ってよ,"Why do you have to say it like that, Mine-bo?",,,,,,,,,,,,,,,,,,,,,,
今日のおすすめには 違うお酒のほうが合いそうなんです,I believe a different drink will pair better with today's special.,,,,,,,,,,,,,,,,,,,,,,
おっ おでんか,"Oh, it's oden.",,,,,,,,,,,,,,,,,,,,,,
ああ 今日は寒の戻りって 感じだから いいかもね,It got cold all of a sudden again so that sounds good.,,,,,,,,,,,,,,,,,,,,,,
うん 熱いおでんを 頂こうじゃねえの,"Yes, I'll have the hot oden please.",,,,,,,,,,,,,,,,,,,,,,
（美音）はい （シンゾウ）はい 俺も,"-Sure. -Me, too.",,,,,,,,,,,,,,,,,,,,,,
はい じゃあ お酒はどうします？,Yes. What are you drinking?,,,,,,,,,,,,,,,,,,,,,,
美音坊に お任せだ,I'll leave it up to you.,,,,,,,,,,,,,,,,,,,,,,
分かりました,Okay.,,,,,,,,,,,,,,,,,,,,,,
（シンゾウ）来ましたよっと,Here it is.,,,,,,,,,,,,,,,,,,,,,,
（馨）おでんもどうぞ （トク）おおっ,-Here is your oden. -Whoa.,,,,,,,,,,,,,,,,,,,,,,
（トク）おお これ… うまそうじゃねえかよ え？,"Oh wow, it looks so good. Wow.",,,,,,,,,,,,,,,,,,,,,,
（シンゾウ）はいはい じゃあ はい いただきやす,"Okay then, let's dig in.",,,,,,,,,,,,,,,,,,,,,,
おいおい トクさん トクさん おい まずは乾杯じゃねえのかよ おい,"Hey, Toku. What about our toast?",,,,,,,,,,,,,,,,,,,,,,
でもよ この分厚い大根が どうにもこうにも― 食ってくれってよお,But this plump daikon radish is just begging me to eat it.,,,,,,,,,,,,,,,,,,,,,,
一口だけ お先,Let me have one bite.,,,,,,,,,,,,,,,,,,,,,,
（馨）ありがとうございました,Thank you very much.,,,,,,,,,,,,,,,,,,,,,,
飲みやがった この野郎 （美音）ウフフ…,This bastard took a sip.,,,,,,,,,,,,,,,,,,,,,,
人が せっかく待ってんのに,And here I was waiting for you!,,,,,,,,,,,,,,,,,,,,,,
アハッ すまねえ シンさん,"I'm sorry, Shin!",,,,,,,,,,,,,,,,,,,,,,
しょうがねえな このおやじ,This old man can't be helped.,,,,,,,,,,,,,,,,,,,,,,
この酒は…,This sake is…,,,,,,,,,,,,,,,,,,,,,,
分かりますか？,Do you know what it is?,,,,,,,,,,,,,,,,,,,,,,
うん,Yes…,,,,,,,,,,,,,,,,,,,,,,
ちゃんと米の香りが残っているのに 重さがないね,It has a proper aroma of rice but the taste is light.,,,,,,,,,,,,,,,,,,,,,,
で この熟成のうまみと― 後切れもさっぱり,And it has a mature flavor as well as a refreshing aftertaste.,,,,,,,,,,,,,,,,,,,,,,
うん…,Yeah.,,,,,,,,,,,,,,,,,,,,,,
おっ またシンさんの勝ちかい？,Oh? Has Shin won again?,,,,,,,,,,,,,,,,,,,,,,
まだ分かりませんってば,We don't know yet.,,,,,,,,,,,,,,,,,,,,,,
お姉ちゃん 諦めなよ シンゾウさんには かなわないって,"Let it go, Sis. You can't beat Shinzo.",,,,,,,,,,,,,,,,,,,,,,
俺はね 美音坊が生まれるずっと前から 酒 飲んでんだよ,I've been drinking sake since years before Mine-bo was born.,,,,,,,,,,,,,,,,,,,,,,
あれこれ知ってて当然ですよ,Of course I know a lot of things.,,,,,,,,,,,,,,,,,,,,,,
（美音）そりゃあ そうでしょうけど…,"That may be true, but…",,,,,,,,,,,,,,,,,,,,,,
まあ 年寄りに花持たしてやりなよ,Let the old man have his glory.,,,,,,,,,,,,,,,,,,,,,,
で シンさん 今日の酒は？,"So Shin, what is it?",,,,,,,,,,,,,,,,,,,,,,
ずばり… “諏訪泉(すわいずみ)”,I've got to say it's Suwaizumi.,,,,,,,,,,,,,,,,,,,,,,
ねっ しかも この―,"Right? Moreover, considering this mild flavor which enriches the taste of the dishes…",,,,,,,,,,,,,,,,,,,,,,
優しい口当たりで 料理を引き立てるところを見ると…,"Moreover, considering this mild flavor which enriches the taste of the dishes…",,,,,,,,,,,,,,,,,,,,,,
“満天星(まんてんせい)”,I'd say it's Mantensei.,,,,,,,,,,,,,,,,,,,,,,
どうだ！,How did I do?,,,,,,,,,,,,,,,,,,,,,,
正解,You got it right.,,,,,,,,,,,,,,,,,,,,,,
（シンゾウ）ほら （客）さすがですね,You're amazing.,,,,,,,,,,,,,,,,,,,,,,
（美音）鳥取県にある 諏訪酒造のお酒です,It is from the Suwa sake brewer in Tottori Prefecture.,,,,,,,,,,,,,,,,,,,,,,
（シンゾウ）これこれ これこれこれ 満天星 （馨）何で分かんの？,"-Yes, this! Mantensei. -How did you know?",,,,,,,,,,,,,,,,,,,,,,
そのお酒 今日 初めて出すんだよ,-Hm? -It's our first time serving it.,,,,,,,,,,,,,,,,,,,,,,
（シンゾウ）そうだよ まあ 大概 その… 色だよ,"I know, but you can generally tell by the color.",,,,,,,,,,,,,,,,,,,,,,
ね？　味 香り この３つ そろえば 見当はつくんだよ,"Flavor, aroma and color are the three things to go by.",,,,,,,,,,,,,,,,,,,,,,
ね？　まずはね この…,"Flavor, aroma and color are the three things to go by. -First of all, look here. At this color. -It is different.",,,,,,,,,,,,,,,,,,,,,,
