Words,Reading,Meaning,S1,T1
無い,ない,"not, no",ある事ない事言い触らす。,Spread a false rumor.
良い,よい,good,私たちの健康を促進する良いコレステロールがあります。,There is good cholesterol that promotes our health.
多い,おおい,many,ここはいつもこんなに交通事故が多いのですか。,Are there always this many traffic accidents here?
高い,たかい,"high, expensive",高い所から落ちて一瞬気を失った。,I fell from a high place and blacked out for a moment.
大きい,おおきい,big,そのシャツは私には大きい。,That shirt is too big for me.
悪い,わるい,bad,私の英語に悪いところがあったら直してください。,Please correct the mistakes in my English.
強い,つよい,strong,このビルは強度の地震にも強い構造である。,This building is a strong earthquake resistant structure.
少ない,すくない,"small, little",昨年は雨が少なかった。,There was not much rain last year.
長い,ながい,long,私は英語では長い会話はできない。,I cannot have long conversations in English.
新しい,あたらしい,new,社会に新しい動きが見られる。,New trends are seen in society.
早い,はやい,"early, fast",結婚を考えるのはまだ早い。,It's too early to think about marriage.
甘い,あまい,sweet,この漬物は塩が甘い。,These pickles are sweetly salted.
若い,わかい,young,彼は私より２つ若い。,He is two years younger than me.
欲しい,ほしい,want,酒が一杯欲しいな。,I'd like a glass of alcohol.
深い,ふかい,deep,水はここがいちばん深い。,The water is deepest here.
近い,ちかい,near,私達の学校は駅に近い。,Our school is close to the station.
小さい,ちいさい,small,彼が小さい時から知っている。,I've known him since he was little.
難しい,むずかしい,difficult,私にはその本を読むのが難しい。,It is difficult for me to read the book.
凄い,すごい,terrific,凄い明かりが野球場にあたっていた。,Great lights were shining on the baseball field.
面白い,おもしろい,interesting,スキーをするのはとても面白い。,Skiing is very interesting.
広い,ひろい,wide,彼は話題が広い。,He has a wide range of topics.
美しい,うつくしい,beautiful,少女は美しい心の持ち主だった。,The girl had a beautiful heart.
白い,しろい,white,白いものがちらちら降り始めた。,White stuff started to flicker down.
低い,ひくい,"low, short",天井の低い部屋だ。,This room has a low ceiling.
楽しい,たのしい,fun,付き合って楽しい人だ。,He's fun to hang out with.
嬉しい,うれしい,happy,そう言ってくれて嬉しいよ。,I'm glad you said that.
酷い,ひどい,"cruel, unjust",部屋の中はひどい暑さだ。,It's terribly hot in the room.
古い,ふるい,old,古い歴史のある町。,A town with an old history.
安い,やすい,cheap,安い料金で車を借りた。,I rented a car for a low rate.
美味しい,おいしい,delicious,この料理はとてもおいしい。,This dish is so good!
正しい,ただしい,"right, correct",君の判断は正しい。,You are correct in your assessment.
詳しい,くわしい,detailed,なお詳しいことは直接お尋ねください。,"For more information, please contact us directly."
激しい,はげしい,furious,敵はその建物に対して激しい攻撃をした。,The enemy made a fierce attack against that building.
怖い,こわい,scary,僕は落ちるのが怖い。,I am afraid of falling.
厳しい,きびしい,"severe, strict",ここには超厳しいルールがあるんだ。,We have super strict rules here.
辛い,からい,"spicy, hot",この漬け物は辛い。,This pickle is spicy.
軽い,かるい,light,症状は軽いですよ。,Symptoms are mild.
優しい,やさしい,kind,彼女は彼に優しい。,She is kind to him.
可愛い,かわいい,cute,彼の妹はとてもかわいいね。,His sister is very cute.
重い,おもい,heavy,僕は重い物は持ち上げられない。,I can't lift heavy things.
可笑しい,おかしい,"funny, amusing, strange",彼の話はおかしい。,His story sounds strange.
明るい,あかるい,bright,私は明るい色が好きです。,I like bright colors.
痛い,いたい,painful,流感で体中が痛い。,My whole body aches with flu.
赤い,あかい,red,下の方に何か赤いものが見えますか。,Do you see something red at the bottom?
短い,みじかい,short,彼女は短いスカートが好きだ。,She likes short skirts.
暗い,くらい,dark,まだ暗いところが怖いの？,Still afraid of the dark?
遅い,おそい,"slow, late",物分かりが遅い。,Slow to understand things.
弱い,よわい,weak,私は女性に関しては弱い。,I am weak when it comes to women.
黒い,くろい,black,黒い猫は好きですか。,Do you like black cats?
遠い,とおい,"far, distant",彼が生まれた村はここから遠い。,The village where he was born is far from here.
薄い,うすい,thin,雪が薄く積もっていた。,There was a thin layer of snow.
狭い,せまい,narrow,狭い道の端に所狭しと屋台が出ている。,The stalls are crammed at the edges of the narrow streets.
素晴らしい,すばらしい,wonderful,今日は素晴らしい天気に恵まれた。,We had wonderful weather today.
珍しい,めずらしい,rare,近ごろには珍しい大雪が降った。,"We had a heavy snowfall, which is rare these days."
寂しい,さびしい,lonely,一人残されて寂しかった。,I was left alone and lonely.
冷たい,つめたい,cold (touch),大陸の冷たい高気圧。,Continental cold high pressure
寒い,さむい,cold (weather),外は肌を刺すように寒かった。,"It was cold outside, stinging my skin."
恐ろしい,おそろしい,"frightening, terrifying, horrible",その辺は恐ろしい所だから近寄らないように。,Stay away from that area because it's a horrible place.
忙しい,いそがしい,busy,旅行の支度で忙しかった。,I was busy preparing for the trip.
細い,ほそい,"thin, slender",一台の荷車が旧市街の細い道の脇に停まっていた。,A cart was parked on the side of a narrow street in the old town.
恥ずかしい,はずかしい,embarrassed,自分だけ落第して恥ずかしい。,I'm embarrassed that I'm the only one flunking out.
悲しい,かなしい,sad,彼女は悲しそうに歌っていた。,She sang sadly.
宜しい,よろしい,"good, fine",こういうやり方でよろしいのですか。,Is this the way you want to do it?
濃い,こい,"thick, deep",その可能性が濃い。,The possibility is strong.
苦しい,くるしい,"painful, hard",病人は苦しそうに息をしていた。,The sick man was breathing painfully.
熱い,あつい,hot (thing),食べ物は熱いのがいい。,I like my food hot.
細かい,こまかい,small,この説明書きは活字が細かい。,This description is in fine print.
太い,ふとい,fat,その字は太い赤丸で囲ってあった。,The letters were circled in thick red circles.
偉い,えらい,great,あの男は自分は偉い人間だと思っている。,That man thinks he is a great man.
速い,はやい,fast,彼女は反応が速かった。,She was quick to react.
鋭い,するどい,"sharp, keen",左足に鋭い痛みを覚えた。,I felt a sharp pain in my left leg.
青い,あおい,blue,青い目の女の子。,Blue-eyed girl.
仕方無い,しかたない,"can’t be help, it's no use",いまそんな心配をしても仕方ない。,There is no use in worrying about such things now.
厚い,あつい,"thick, deep",きょうの彼女は化粧がすごく厚い。,Today she wears very thick makeup.
親しい,したしい,close,二人はとても親しい間柄だ。,They are very close friends.
暑い,あつい,hot (weather),倉庫の中はうだるように暑かった。,It was sweltering inside the warehouse.
幼い,おさない,childish,"字が幼い, 書いたのはきっと子供だ。","The handwriting is very young, and it must have been written by a child."
相応しい,ふさわしい,appropriate,一人住まいにふさわしい家。,A house suitable for single occupancy.
久しい,ひさしい,"long, old",この地に住み着いてすでに久しい。,It has already been a long time since I settled here.
有り難い,ありがたい,grateful,有り難いことに私はいつも健康に恵まれている。,Thankfully I have always been blessed with good health.
固い,かたい,"hard, tough",このステーキは固い。,This steak is hard.
物凄い,ものすごい,tremendous,ものすごい光景だった。,It was a tremendous sight.
懐かしい,なつかしい,"beloved, missed",雨続きで太陽が懐かしい。,It's been raining and I miss the sun.
丸い,まるい,"round, circular",このハサミは刃先が丸いので安全です。,These scissors are safe because of their rounded edges.
貧しい,まずしい,"poor, needy",彼は貧しい農家に生まれた。,He was born into a poor farm family.
硬い,かたい,"hard, solid",この鉛筆は硬い。,This pencil is hard.
著しい,いちじるしい,"striking, remarkable, noticeable",二つの間には著しい類似点がある。,There are striking similarities between the two.
