Sentences,Translation
謝った。,I apologized.
謝ったら？,Why not apologize?
謝らないで。,Don't apologize.
謝りなさい。,Apologize to them.
謝るしかない。,There is nothing to do but apologize.
先に謝っとくね。,"I'll apologize first, okay?"
ただ謝りに来た。,I only came to say I'm sorry.
すぐに謝ったよ。,Don't apologize.
謝らなくていいよ。,You don't have to apologize.
なぜ謝っているの？,Why are you apologizing?
謝るのが苦手なんだ。,I'm not good with apologies.
まだ謝ってないんだ。,I haven't yet apologized.
どうして謝らないの？,Why not apologize?
今さら謝っても遅いよ。,It's too late to apologize now.
私は謝りませんでした。,I didn't apologize.
謝らなくていいですよ。,You don't have to apologize.
あなたは謝る必要がない。,You don't have to apologize.
私があやまる理由はない。,There is no reason for me to apologize.
君は謝罪すべきだ。,You should apologize.
彼女は謝罪してそういった。,She said that by way of apology.
謝罪する必要はないですよ。,You don't have to make an apology.
注射をしましょう。,I'll give you a shot.
注射の時間ですよ。,It's time for your shot.
麻酔の注射をします。,I'll give you anaesthesia.
看護婦は私に注射した。,The nurse gave me a shot.
痛み止めの注射をします。,I'll give you a painkilling injection.
流感の予防ワクチンの注射をした。,I was vaccinated against the flu.
旅行に行く前に注射をしなければならない。,I need some shots before I go on my trip.
ワクチンを受けるの？,Will you get vaccinated?
ワクチンを接種しますか？,Will you get vaccinated?
予防接種をするの？,Will you get vaccinated?
予防接種を受けに行った。,I went to get vaccinated.
予防接種を受けとかなきゃ。,I've got to get some shots.
心より感謝します。,I thank you from the bottom of my heart.
心から感謝します。,I really appreciate it.
彼の親切を感謝した。,She thanked him for his kindness.
ご協力に感謝します。,I appreciate your cooperation.
ご援助を感謝します。,I appreciate your help.
ご助力に感謝します。,I appreciated your help.
御案内しましょう。,Would you come with me?
市内案内をください。,I'd like a map of the city.
案内してくれますか。,"Show me the way, will you?"
町を案内しましょう。,I'll show you around the city.
町を御案内しましょう。,I'll show you around the town.
彼を中に御案内しなさい。,Show him in.
大体正しい。,That is almost correct.
大体終わった？,Are you about done?
大体準備できた？,Are you about ready?
だいたい６時です。,It's almost six o'clock.
２人とも大体終わった？,Are you two about finished?
大体１０時には寝ます。,I go to bed about ten.
仕事はだいたい終わった。,The work is mostly done.
ぼくは大体用意ができた。,I'm about ready.
彼らは大体同じ年齢です。,They are about the same age.
だいたい2週間以内です。,It's within about two weeks.
大体君と同じ年頃の若い娘。,She was a young girl about your age.
だいたい君の言うとおりだ。,You're about right.
彼女とだいたい同じ意見です。,I generally agree with her.
普段大体どこに遊びに行くの？,Where do you usually go to play?
誰もが彼の技術を認めた。,Everyone recognized his skill.
彼の仕事は技術に関する。,His work is in engineering.
水泳は大変役に立つ技術である。,Swimming is a very useful skill.
この技術の利点って何なのかな？,I wonder what the advantage of this technique is.
この仕事は特別な技術を必要とする。,This work calls for special skill.
搭乗券を拝見します。,"May I see your boarding pass, please?"
切符を拝見いたします。,"Ticket, please."
免許証を拝見できますか。,Could I see your driver's license?
パスポートを拝見できますか。,Would you mind letting me see your passport?
身分証明書を二枚拝見できますか。,May I see two pieces of identification?
姓をどうやって発音する？,How is your surname pronounced?
名をどうやって発音する？,How is your first name pronounced?
この単語はどう発音するの？,How do you pronounce this word?
職員以外入室禁止。,Admittance to staff members only.
水以外何も見えない。,Nothing is to be seen but water.
そうする以外にない。,We have no choice but to do so.
用事以外は入場お断り。,No admittance except on business.
日曜日以外は毎日働く。,I work every day except Sunday.
彼自身そうした。,He himself did it.
ぜひそうしよう。,Why not?
そうせざるを得ないね。,I have no choice but to do that.
彼女はたまにそうする。,She does that sometimes.
そうさせてもらいます。,I'll take you up on that.
時間があればそうします。,"If I get time, I will."
彼にそうしてくれと頼んだ。,I asked him to do that.
彼は仕事以外に興味がない。,"He has no interests, apart from his work."
私以外の誰もが知っていた。,Everyone except me knew it.
以下は彼の話です。,The following is his story.
彼はまだ４０歳以下だ。,He is still on the right side of forty.
彼の仕事は標準以下だ。,His work is below average.
君の仕事は平均以下だ。,Your work is below average.
君の要約は平均以下だね。,Your summary is not up to par.
理由は以下のとおりである。,The reasons are as follows.
昨晩は零度以下に下がった。,The temperature fell below zero last night.
今朝は零下３度以下だった。,The thermometer stood at three degrees below zero this morning.
以下の通り注文いたします。,I would like to place an order for the following.
以下に掲げる人が合格です。,The following persons passed the examination.
以下の文章を読んで下さい。,Please read the text below.
以下が彼の話したことです。,The following is what he told me.
以下の問いに英語で答えよ。,Answer the following questions in English.
結果は彼の期待以下であった。,The result fell short of his expectation.
-18℃以下で保存してください。,Please store it at -18C or lower.
それは千円以下では買えません。,"You can't buy it under 1,000 yen."
それ以下のものは受け取れない。,I cannot take less.
私には以下の品物が必要である。,I need the following items.
この食品は１０度以下で保存したほうがいい。,You had better keep this food under ten degrees.
この実験には以下の手段を使用した。,We used the following procedures in this experiment.
以下の空欄部分にご記入頂くだけで結構です。,All you have to do is fill in the blanks below.
その通り！,That's right!
通りを渡れ。,Cross the street.
通りを歩いた。,We walked along the street.
思った通りだ。,I guessed right.
例は次の通りです。,The examples are as follows.
通りで彼に会った。,I met him in the street.
言った通りにしろ。,Do as I told you.
ご明察の通りです。,You guessed right.
全て規則どおり行われた。,Everything was done in accordance with the rules.
ご忠告どおりいたします。,I'll do as you advise.
列車は時刻通りに出ますか。,Will the train leave on time?
約束どおりにピアノをひいた。,She played the piano as promised.
あなたの指示どおりにやります。,I'll do it according to your instructions.
列車はダイヤどおりに動いている。,Trains are running on schedule.
彼らは設計図どおりに船を作った。,They built the ship in accordance with the plans.
その列車は予定どおりに到着した。,The train arrived on schedule.
彼女の返答はいつも私の予想どおりだ。,Her answer corresponds to my expectation.
計画通りに出発した。,We started according to plan.
会議は計画どおりに運んだ。,The conference went off according to the plan.
すべて計画どおりに運んだ。,Everything went according to plan.
元どおりにしまってください。,Put it back where it was.
列車は定刻通りに出た。,The train left on time.
列車は定刻通りに出発した。,The train pulled out on time.
飛行機は定刻どおりですか。,Is the plane on schedule?
私は歩いて学校に通う。,I go to school on foot.
彼女は学校に通っています。,She goes to school.
彼女は女子高校に通っている。,She goes to a girls' high school.
以上です。,This is it.
以上ですか？,Is that all?
診察は以上です。,That's it for your medical exam.
これ以上は言えない。,No more can be said.
額は２万円以上に達した。,"The sum came to over 20,000 yen."
私は二時間以上も待った。,I waited more than two hours.
もうこれ以上歩けないよ。,I can't walk any farther.
もうこれ以上待てません。,I can't wait any more.
これ以上食べられないよ。,can't eat any more.
恐ろしく今日は寒い。,It's awfully cold today.
ああ、何て恐ろしい。,"Oh, how awful!"
今日は恐ろしく寒い。,It's awfully cold today.
私は恐ろしい夢を見た。,I had a terrible dream.
それは恐ろしい事故だった。,It was a terrible accident.
今月ちょっと苦しいんだ。,This month was kind of difficult.
夕飯の支度が出来ました。,Dinner is ready.
