Words,Meaning
諦めてはいけません,You must not give up
飽きないで続けてください,Please continue without getting bored
この席は空いていますか,Is this seat vacant?
部屋を空けてください,Please vacate the room
彼女は有名な歌手に憧れています,She admires a famous singer
先生は生徒に宿題を与えました,The teacher gave the students homework
食べる前にスープを温めてください,Please heat up the soup before eating
彼は今日も家に居ます,He is at home today as well
これは要りませんか,Don’t you need this?
庭に花を植えようと思っています,I’m thinking of planting flowers in the garden
先生にお伺いしたいことがあります,I have something to ask the teacher
水面に木の葉が浮いています,Leaves are floating on the water surface
彼は試験に受かりましたか,Did he pass the exam?
彼の言葉を疑ってはいけません,You must not doubt his words
彼は階段から落ちました,He fell down the stairs
彼女は財布を落としてしまいました,She dropped her wallet by mistake
子供たちは音楽に合わせて踊っています,The children are dancing to the music
彼はそのニュースに驚きましたか,Was he surprised by the news?
私は彼の名前を覚えられませんでした,I couldn’t remember his name
電話が掛かってきました,The phone rang
彼はこの事件に関わっていると思いますか,Do you think he is involved in this case?
彼は秘密を隠していますか,Is he hiding a secret?
電話を掛けてみましょう,Let’s try calling him
彼は駆けつけてくれました,He came running to help me
彼らは敵を囲んで攻撃した,They surrounded the enemy and attacked
彼は嘘を重ねて信用を失った,He lost his credibility by piling up lies
彼女は部屋を飾ってくれた,She decorated the room for me
彼はネットで稼いでいる,He is making money on the internet
空が曇ってきました,The sky became cloudy
二つの商品を比べてください,Please compare the two products
味に塩を加えました,I added salt to the taste
ロウソクの火を消してください,Please put out the candle flame
山を越えて町に着いた,I crossed the mountain and arrived at the town
期待を超える成績を出した,I achieved results that exceeded expectations
水が凍っている,The water is frozen
ボートを漕いで島に向かった, rowed the boat towards the island
彼の誘いを断りました,I refused his invitation
どうすればいいか困っています,I’m troubled about what to do
ドアに鍵を締めてください,Please lock the door with the key
彼女はよく喋りますね,"She talks a lot, doesn’t she?"
この本を調べてみましたか,Did you try to look up this book?
私は彼の話を信じました,I believed his story
タバコを吸ってはいけません,You must not smoke cigarettes
時間が過ぎました,Time has passed
楽しく過ごしましたか,Did you have a good time?
道を進んでください,Please go ahead on the road
この本を読んでみることを勧めます,I recommend you to try reading this book
ゴミは捨ててください,Please throw away the trash
黙って聞いてください,Please listen quietly
これは違いますか,Is this wrong?
犯人を捕まえることができましたか,Were you able to catch the criminal?
ボールを掴んだ,I grabbed the ball
旅行で疲れましたか,Did you get tired from traveling?
彼に付いて行きました,I followed him
電車に間に合って着きました,I arrived in time for the train
ラベルを付けてください,Please attach the label
雨は続いていますか,Is it still raining?
プレゼントを包んであげました,I wrapped the present for you
彼は病気を治しましたか,Did he cure his illness?
壊れた時計が直りました,The broken clock was fixed
傷は治りましたか,Did your wound heal?
彼女は泣きましたか,Did she cry
彼は彼女を慰めてあげました,He comforted her
財布を無くしました,I lost my wallet
彼はボールを投げました,He threw the ball.
どうすればいいか悩んでいます,I’m worried about what to do
英語を習っていますか,Are you learning English?
人々は列に並んで待っていた,People were waiting in line
体温を測ってください,Please measure your body temperature
靴を履いてください,Please put on your shoes
床を掃いてください,Please sweep the floor
吐き気がしますか,Do you feel nauseous?
彼は目標に向かって励んでいる,He is working hard towards his goal
荷物を運んでください,Please carry the luggage
帽子を外してください,Please take off your hat
彼は一生懸命働いています,He is working very hard
彼女は彼から離れたくないと言った,She said she didn’t want to leave him
お金を払ってください,Please pay the money
洗濯物を干してください,Please hang the laundry
彼は彼女の歌声を褒めた,He praised her singing voice
彼は庭に穴を掘った,He dug a hole in the garden
彼は試合に負けましたか,Did he lose the match
紙を曲げてください,Please bend the paper
水に砂糖が交ざった,Sugar mixed with water
卵と牛乳を混ぜてください,Please mix the egg and milk
答えを間違いましたか,Did you make a mistake in the answer?
名前を間違えてしまいました,I made a mistake in the name
レポートを纏めてください,Please summarize the report
彼は仕事を辞めましたか,Did he quit his job?
野菜を茹でてください,Please boil the vegetables
雨が止みましたか,Did the rain stop?
彼は公園を歩き回った,He walked around the park
彼は彼女の言葉に言い返した,He retorted to her words
彼は旅行に行くと言い出した,He suggested going on a trip
彼は自分の発言を言い直した,He corrected his own statement
荷物を受け取りましたか,Did you receive your luggage?
彼は車で私を追い越した,He passed me by car
彼に追いつけましたか,Could you catch up with him?
締め切りに間に合いましたか,Did you make it in time for the deadline?
彼と知り合ったのはどこですか,Where did you meet him?
彼と付き合っていますか,Are you dating him?
ケーキを作り直しました,I remade the cake
その店の前を通りかかったとき彼に会った,I met him when I passed by the front of that store
猫が窓から飛び出した,The cat jumped out of the window
靴のサイズを取り替えてもらえますか,Can I exchange the shoe size?
予約を取り消してください,Please cancel the reservation
写真を取り込んでください,Please import the photos
彼は宝くじに当たった,He won the lottery
この店は高級な品物を扱っている,This store deals with high-quality goods
供たちは公園に集まって遊んでいる,The children are playing at the park where they gathered
彼女は切手を集めるのが趣味だ,She has a hobby of collecting stamps
川から溢れた水が町を浸している,The water that overflowed from the river is flooding the town
余ったケーキを食べてもいい,Can I eat the cake that was left over?
彼は母にセーターを編んでもらった,He had his mother knit a sweater for him
彼は彼女に謝るべきだ,He should apologize to her
彼はドラムを打つのが好きだ,He likes to play the drums
彼は彼女の目に優しく映った,He appeared gentle in her eyes
彼は東京から大阪に移った,He moved from Tokyo to Osaka
彼はカメラに写った,He was photographed by the camera
彼は穴を埋めた,He filled the hole
彼女は絵を描くのが上手だ,She is good at drawing pictures
彼は赤いシャツを選んだ,He chose a red shirt
彼は川で溺れそうになった,He almost drowned in the river
彼は紙を折って鶴を作った,He folded the paper and made a crane
彼は折れた枝を拾った,He picked up the broken branch
彼は銀行からお金を下ろした,He withdrew money from the bank
彼女は猫を飼っている,She keeps a cat
彼は部屋を片付けた,He tidied up his room
彼は固まったチョコレートを食べた,He ate the hardened chocolate
彼は試合に勝った,He won the match
彼は帽子を被った,He wore a hat
彼は彼女のことを構わなかった,He did not care about her
彼は毎日学校に通っている,He goes to school every day
彼は友達から本を借りた,He borrowed a book from his friend
彼は枯れた花を捨てた,He threw away the withered flower
彼は乾いたタオルで顔を拭いた,He wiped his face with a dry towel
は変わった人になった,He became a different person
彼は混んだ電車に乗った,He got on the crowded train
彼は込んだ道路で渋滞に巻き込まれた,He got stuck in a traffic jam on the busy road
彼は階段で転んで怪我をした,He fell down the stairs and got injured
彼は壊れた時計を修理した,He repaired the broken clock
彼女は探した本を見つけた,She found the book that she was looking for
彼は親に逆らって家を出た,He defied his parents and left the house
彼は咲いた花に水をやった,He watered the bloomed flowers
彼は痛みに叫んだ,He screamed in pain
彼女は地図で目的地を指した,She pointed at the destination on the map
彼は彼女を映画に誘った,He invited her to a movie
彼は氷に滑って転んだ,He slipped on the ice and fell
彼は宿題が済んで遊んだ,He played after finishing his homework
彼はコーヒーをカップに注いだ,He poured coffee into the cup
私は日本で育ちました,I grew up in Japan
風で木が倒れました,The tree fell down because of the wind
彼は予約を確かめました,He confirmed the reservation
この料理に塩を足してください,Please add some salt to this dish
彼女は私を助けてくれました,She helped me
彼は道を尋ねました,He asked for directions
彼らは平和のために戦いました,They fought for peace
彼は銀行に勤めています,He works at a bank
彼は市長として務めています,He serves as the mayor
彼は妹を動物園に連れて行きました,He took his sister to the zoo
私は彼に宿題を手伝いました,I helped him with his homework
私たちは映画を見に出かけました,We went out to watch a movie
彼はボールを私に通しました,He passed the ball to me
彼は橋を通りました,He passed through the bridge
彼は難しい問題を解きました,He solved a difficult problem
氷が溶けました,The ice melted
手紙が届きました,The letter arrived
電話が鳴りました,The phone rang
私はこの環境に慣れました,I got used to this environment
その帽子があなたに似合っています,That hat suits you
彼は私の手を握りました,He held my hand
彼は犬から逃げました,He ran away from the dog
彼は父親に似ています,He resembles his father
彼女は卵を煮ました,She boiled some eggs
彼はコートを脱ぎました,He took off his coat
彼は窓から抜け出しました,He escaped through the window
彼は壁に絵を塗りました,He painted a picture on the wall
彼女はポスターを貼りました,She stuck a poster
空が晴れました,The sky cleared up
コーヒーが冷えました,The coffee cooled down
星が光っています,The stars are shining
彼はドアを引きました,He pulled the door
彼女はギターを弾きました,She played the guitar
彼はビールを冷やしました,He cooled some beer
彼は落ちた財布を拾いました,He picked up the fallen wallet
火事が広がりました,The fire spread
売上が増えました,The sales increased
彼は家族を守ります,He protects his family
彼はどちらに行くか迷いました,He hesitated which way to go
彼はボタンを回してライトを点けた,He turned the button and turned on the light
地球は太陽の周りを回る,The Earth revolves around the Sun
私は財布を見つけた,I found my wallet
彼女は彼を見つめた,She gazed at him
彼らは山に向かった,They headed towards the mountain
私たちは彼を迎えに行った,We went to pick him up
その建物は公園に向いている,The building faces the park
彼は彼女を許した,He forgave her
木々が風に揺れている,The trees are swaying in the wind
彼の靴が泥で汚れた,His shoes got dirty with mud
彼女はゆっくりと落ち着いた,She calmed down slowly
私は昔の思い出を思い出した,I remembered past memories
彼は古い車を新しい車と買い替えた,He replaced his old car with a new one
彼女は手紙を書き直した,She rewrote the letter
彼はスープをかき混ぜた,He stirred the soup
彼らは将来の計画についてかけ合っている,They are discussing their future plans
子供たちは雪だるまを見て駆け出した,The children ran out when they saw the snowman
彼はコーヒーを飲み終わってから仕事に戻った,He went back to work after finishing his coffee
犬が突然走り出して道路に飛び出した,The dog suddenly started running and darted into the road
夫婦は離婚の条件について話し合った,The couple talked about the terms of their divorce
彼女は初対面の人に話しかけるのが苦手だ,She is not good at talking to strangers
彼はその仕事を引き受けることにした,He decided to take on the job
彼は財布を引き出してお金を払った,He pulled out his wallet and paid the money
彼らは来月引っ越す予定だ,They are planning to move next month
彼女は彼の手を引っ張って連れて行った,She pulled his hand and took him away
振り込まれた金額を確認する,Check the amount transferred
感情を表す言葉を探す,Search for words that express one’s feelings
夢に現れる姿を抱きしめる,Embrace the figure that appears in your dreams
過去の記憶が表れる夢を見る,Dreams that reveal memories of the past
慌てると失敗するから,"Because if you rush, you'll fail"
怒ると血圧が上がる,Anger raises blood pressure
急ぐと間に合うかもしれない,"If you hurry, you might make it in time."
夢に抱く希望を叶えるために,To fulfill the hopes of your dreams
痛む心を癒す歌を歌うと,When you sing a song that soothes the aching heart
置く場所を間違えると大変なことになる,Putting it in the wrong place can be a big problem
