Expression,In.Context.Meaning,Sentence
一概には,Not in general,漫画が教育上良くないとは、<b>一概には</b><u>言えない</u>。
一人として,Not even one,この会社には<b>一人として</b>尊敬できる上司が<u>いない</u>。
一人も,No one,先生は<b>一人も</b>パーテイーに<u>来なかった</u>。
一冊も,Not a single,この図書館には日本語の本は<b>一冊も</b><u>ない</u>。
一向に,Never gets to,彼の言っていることは<b>一向に</b>要領を<u>得ない</u>。
必ずしも,Not necessarily,お金は<b>必ずしも</b>人を幸福には<u>しない</u>。
からと言って,Not just because,子供だ<b>からと言って</b>も許すわけには<u>いかない</u>。
決して,Never,この関数は<b>決して</b>使用すべきでは<u>ない</u>。
少しも,Not any・Not a bit・Without a slight of ,今夜は星が<b>少しも</b><u>見えない</u>。
全然,Not at all・Not completely,そんな答えは<b>全然</b><u>納得できません</u>でした。
大して,Not much・Not very,私は彼の能力を<b>大して</b><u>信頼していない</u>。
ちっとも,Not at all・Not to the slightest,これらのデータは<b>ちっとも</b><u>正確ではない</u>。
とうてい,Not at all・Not possible・Not by any means,彼女は注意が足りなかったから試験には<b>とうてい</b><u>合格できない</u>。
どうにも,In no way・Can’t.. no matter how,<b>どうにも</b>避ける道理が<u>ない</u>というのです。
二度と,Never again・Not again,その場所へ入れば<b>二度と<b><u>抜け出せない</u>。
まさか,By no means・Never・Certainly not,<b>まさか</b>現場に居るとは<u>気付かなかった</u>よ。
めったに,Rarely・Seldom・Hardly ever,その地域は<b>めったに</b>雨が<u>降らない</u>。
ろくに,Not well・Not enough・Barely,私は大学に入学すると<b>ろくに</b>睡眠時間も<u>とれなかった</u>。
ろくな,Without any good・Not enough・Barely,私は<b>ろくな</b>情報も持た<u>ずに</u>戦地に入りました。
意向形動詞+にも,There is no any.. even if someone wants to,新しい商売を<b>始めようにも</b>資金が<u>ない</u>。
