Content,Description
"<b>~に関して (ni kanshite) - concerning, regarding</b>",topic・scope of something
1 日本文化に関しての本を読んでいます。,1 I am reading a book on Japanese culture.
2 この問題に関しては、専門家の意見を聞きたい。,2 I would like to hear an expert's opinion on this issue.
3 彼女は環境問題に関してとても情熱的です。,3 She is very passionate about environmental issues.
4 会議では新しいプロジェクトに関して話し合われた。,4 The meeting discussed a new project.
5 私たちはその映画に関して色々な意見がある。,5 We have many opinions about the film.
"<b>~に対して (ni taishite) - towards, against, regarding</b>","direct target or recipient of an action, feeling or response"
1 彼はいつも子供たちに対して優しい。,1 He is always kind to children.
2 そのニュースに対して多くの人がショックを受けた。,2 Many people were shocked at the news.
3 社長は従業員に対して公平であるべきだ。,3 The president should be fair to his employees.
4 彼女は批判に対しても冷静だった。,4 She was calm in the face of criticism.
5 この法律は消費者に対してどのような影響を与えますか？,5 What impact does this law have on consumers?
"<b>~について (ni tsuite) - about, on</b>",topic・content of something
1 私たちは次の会議で予算について話し合う予定です。,1 We will discuss the budget at our next meeting.
2 彼はそのドキュメンタリーについて詳しく説明してくれた。,2 He elaborated on the documentary.
3 あなたは将来の計画について何か考えていますか？,3 Do you have any ideas about your future plans?
4 教授は授業で日本の歴史について教えている。,4 The professor teaches about Japanese history in his class.
5 この記事は健康食品についてのものです。,5 This article is about health food.
"<b>~をめぐって (o megutte) - concerning, over</b>",point of issue・contentious issues
1 彼らは財産をめぐって争っている。,1 They are fighting over property.
2 その地域は水資源をめぐって重要な位置を占めている。,2 The area is important for its water resources.
3 両国は国境をめぐって長い間対立している。,3 The two countries have long been at loggerheads over the border.
4 会社の将来をめぐって激しい議論があった。,4 There was a heated debate over the future of the company.
5 彼女の新しい本をめぐって大きな期待が寄せられている。,5 There is great anticipation over her new book.
"<b>~によって (ni yotte) - by, depending on</b>",each case may differ・means・method・cause・reason・agent
1 結果は選ばれた方法によって大きく異なる。,1 Results vary greatly depending on the method chosen.
2 この料理は地域によって味が変わります。,2 This dish tastes different in different regions.
3 彼の成功は努力によって得られたものだ。,3 His success was achieved through hard work.
4 その建物は有名な建築家によって設計された。,4 The building was designed by a famous architect.
