Words
"<b>寂しい sabishii means lonely, sad or desolate.</b> Describe a feeling of emptiness or sadness due to being alone or isolated. <br>・あなたがいなくて寂しいです。I miss you when you are not here.  <br>・寂しいと感じることはありませんか。Don’t you ever feel lonely? <br>・寂しい島に住んでいる人がいるのだろうか。I wonder if there are people living on a solitary island.
"
"<b>容易い tayasui means easy, simple or facile.</b> Describe something that is not difficult or complicated to do or understand.  <br>・この問題は容易いです。This problem is easy.  <br>・容易いことではありません。It is not a simple matter. <br>・このゲームは容易いレベルから始まる。This game starts from an easy level."
"<b>四角い shikakui means square or rectangular.</b> Describe something that has four straight sides and four right angles.  <br>・私たちは四角いテーブルに座った。We sat at a square table.  <br>・彼は四角い顔をしている。He has a square face.  <br>・この箱は四角い形をしている。This box is square-shaped."
"<b>涼しい suzushii means cool, refreshing or pleasant. </b> Describe something that has a low or moderate temperature or that makes one feel comfortable and relaxed. <br>・涼しい風が吹いている。A cool breeze is blowing.  <br>・涼しい飲み物が欲しい。I want a refreshing drink. <br>・涼しい色の服を着る。Wear a cool-colored clothes."
"<b>詳しい kuwashii means detailed, specific or well-informed.</b> Describe something that has a lot of information or explanation or that covers every aspect of a topic. <br>・詳しい説明をしてください。Please give me a detailed explanation.  <br>・彼は歴史に詳しいです。He is well-informed about history. <br>・詳しい説明を聞く。Listen to a thorough explanation."
"<b>尊い toutoi means precious, valuable, noble, honorable, holy or sacred. </b> Describe something that has a high worth or importance or that is rare and cherished.<br>Example: 尊い命を失った。He lost his precious life. 尊い教えを守る。To follow the noble teachings. 人生は尊いものだ。 Life is a precious thing. 	彼は尊い行為をした。 He did a noble deed. 	尊い遺跡を訪れた。 I visited the revered ruins."
"<b>ぎこちない gikochinai means awkward, clumsy or stiff. </b> Describe something that is not smooth or natural or that shows a lack of skill or confidence.<br>Example: ぎこちない挨拶をした。He made an awkward greeting. ぎこちない動きをする。To move clumsily."
"<b>心細い kokorobosoi means helpless, anxious or insecure. </b> Describe a feeling of being weak or insecure or having no support or guidance. <br>Example: 心細い思いをする。To feel helpless. 心細くなるような話をしないでください。Please don’t say things that make me feel insecure."
"<b>素早い subayai means quick, fast or agile.</b> Describe something that moves or acts with a high speed or agility or that takes a short time.<br>Example: 素早く走る。彼らは素早い反応で問題に対処した。They dealt with the problem with a fast response. 彼は素早い判断で事故を回避した。He avoided an accident with a quick decision. 	彼女は素早い手つきで料理を作った。She cooked with nimble hands."
"<b>上手い umai means skillful, clever, tasty, delicious, awesome or amazing.</b> Describe something that has a high quality or ability or that shows a great performance or result. <br>Example: 彼はサッカーが上手い。He is skillful at soccer. このゲームは上手い。This game is amazing. このレストランのカレーは上手い。The curry at this restaurant is tasty."
"<b>小高い kodakai means slightly elevated, hilly or rising. </b> Describe something that has a small elevation or slope or that rises above the surrounding level. <br>Example: 小高い山に登る。To climb a slightly elevated mountain. 小高い丘から眺める。To look from a hilly hill."
"<b>仕方無い shikatanai means inevitable, unavoidable or helpless. </b> Describe something that cannot be changed or prevented or that has no other choice.<br>Example: 仕方無いことだから諦める。To give up because it is inevitable. 仕方無く参加する。To participate reluctantly."
"<b>涼しい suzushii means cool, refreshing or pleasant. </b> Describe something that has a low or moderate temperature or that makes one feel comfortable and relaxed.<br>Example: 涼しい風が吹いている。A cool breeze is blowing. 涼しい飲み物が欲しい。I want a refreshing drink."
"<b>厚い atsui means thick, deep or heavy. </b> Describe something that has a large dimension or extent from one surface to another or that has a high intensity or degree. <br>Example: 厚い本を読む。To read a thick book. 厚い雪が積もっている。There is deep snow piled up. 厚いメイクをする。To put on heavy makeup."
"<b>下らない kudaranai means worthless, trivial or nonsense. </b> Describe something that has no value or meaning, or that is foolish or absurd. <br>Example: 下らない話をする。To talk about worthless things. 下らないことに怒らないで。Don’t get angry about trivial things. 下らないものは見ないでください。Please don’t watch nonsense things."
"<b>辛抱強い shinbouzuyoi means patient, persevering or enduring. </b> Describe someone who can endure hardship or delay without complaining or giving up.<br>Example: 辛抱強く待つ。To wait patiently. 辛抱強く続ける。To continue perseveringly. 辛抱強く耐える。To endure enduringly."
"<b>用心深い youjinbukai means cautious, careful or prudent. </b> Describe someone who avoids risks or dangers or who pays attention to details and consequences.<br>Example: 用心深く歩く。To walk cautiously. 用心深く話す。To speak carefully. 用心深く考える。To think prudently."
"<b>緩い yurui means loose, slack or lenient. </b> Describe something that is not tight or firm or that lacks tension or force.<br>Example: 緩いベルトを締める。To tighten a loose belt. 緩い糸を引っ張る。To pull a slack thread. 緩い規則を守る。To follow lenient rules."
"<b>冷たい tsumetai means cold, cool or unfriendly. </b> Describe something that has a low temperature or that makes one feel unpleasant or unfriendly. <br>Example: 冷たい水を飲む。To drink cold water. 冷たい空気を感じる。To feel cool air. 冷たい態度をとる。To take an unfriendly attitude."
"<b>酷い hidoi means terrible, awful or cruel. </b> Describe something that is very bad or unpleasant or that causes pain or suffering.<br>Example: 酷い目にあう。To have a terrible experience. 酷い言葉を言う。To say awful words. 酷い仕打ちをする。To do cruel treatment."
"<b>難しい muzukashii means difficult, hard or complicated. </b> Describe something that requires a lot of effort or skill or that is not easy to do or understand. <br>Example: 難しい問題を解く。To solve a difficult problem. 難しい言葉を覚える。To remember hard words. 難しい状況に陥る。To fall into a complicated situation."
"<b>優しい yasashii means kind, gentle or nice. </b> Describe someone who is friendly or helpful or who shows compassion or sympathy. <br>Example: 優しい人に出会う。To meet a kind person. 優しい声で話す。To speak with a gentle voice.  優しい気持ちになる。To feel nice."
"<b>深い fukai means deep, profound or intense. </b> Describe something that has a large distance from the top to the bottom or that has a strong or complex meaning or impression.<br>Example: 深い海に潜る。To dive into the deep sea. 深い考えにふける。To indulge in profound thoughts. 深い愛情を抱く。To hold intense affection."
"<b>寒い samui means cold, chilly or unpleasant. </b> Describe something that has a low temperature or that makes one feel uncomfortable or shiver. <br>Example: 寒い日に外出する。To go out on a cold day. 寒い目で見られる。To be looked at with chilly eyes. 寒い冗談を言う。To say an unpleasant joke."
"<b>思いがけない omoigakenai means unexpected, surprising, or unforeseen. </b> Describe something that happens without prior notice or prediction or that causes astonishment or wonder.<br>Example: 思いがけないプレゼントをもらう。To receive an unexpected gift. 思いがけない出来事に驚く。To be surprised by a surprising event. 思いがけない事態に対処する。To deal with an unforeseen situation."
"<b>うざい uzai means annoying, irritating or bothersome. </b> Describe someone or something that bothers or disturbs one or that makes one feel disgusted or angry. <br>Example: うざい音を止めて。Stop the annoying noise. うざい人に会いたくない。I don’t want to meet irritating people. うざいことを言わないで。Don’t say bothersome things."
"<b>夥しい obitadashii means numerous, plentiful or abundant. </b> Describe something that has a large quantity or amount or that exceeds the normal or expected level.<br>Example: 夥しい本を持っている。To have numerous books. 夥しい食べ物を用意する。To prepare plentiful food. 夥しい資源を利用する。To use abundant resources."
"<b>怠い darui means lazy, drowsy or sluggish. </b> Describe someone who lacks energy or motivation or who does not want to do anything. <br>Example: 怠い朝を過ごす。To spend a lazy morning. 怠い目をこする。To rub drowsy eyes. 怠い動きをする。To make sluggish movements."
