Expression,Translation
おかしいなあ。さっき送ったんだけど。,That's strange. I just sent it to you.
おかしいなあ。電源が入らない。,That's strange. It won't turn on.
がっかりだよ。サービスが悪くて。,I'm disappointed. The service was poor.
そうなの? なんかがっかりだね。,Really? That's kind of disappointing.
それはがっかりだね。 ,That's disappointing.
さすがですね。仕事が早い。,That's as expected. You work fast.
さすがプロですね。,You are indeed a professional.
さすが。お金持ちは違うな。,That's what I'm talking about. Rich people are different.
信じられない! 仲良かったのに。,I can't believe it! We were so close.
うそ! そんな話、信じられない!,No way! I can't believe it!
そうかなあ。初めてじゃない?,I wonder. Isn't this your first time?
そうかなあ。ほかにもいい店あるよ。,I wonder. There are other good places to eat.
そうかなあ。そうでもないと思うけど。,I wonder. I don't think so.
どうしよう。資料が間に合わない。,What should I do? I can't get the materials in time.
どうしよう。ガソリンがあと少ししかない。,What should I do? I only have a little gas left.
ああ、どうしよう。服にケチャップが付いちゃった。,"Oh, my God. I got ketchup on my clothes."
何て言っていいか、わからなかったんだよ。,I didn't know what to say.
何て言っていいかわからないけど、なんか泣けた。,"I don't know what to say, but something made me cry."
はい。すごく嬉しくて、何て言っていいか、わかりません。,"Yes, I am. I am so happy, I don't know what to say."
まさか!　うそでしょ?,No way! You must be kidding!
えー、まさか。あの二人が!?,"Oh, no way. Those two?"
まさか! こんなところにいるわけないよ。人違いだよ。,No way! There's no way he's here. You've got the wrong guy.
まさか、あの二人が結婚するなんて思わなかったよ。,I never thought those two would get married.
まじで? すごいね。,Seriously? That's amazing.
それ、まじで言ってんの?,Are you serious?
えつ、まじ?私、好きだったのに。,"What, seriously? I really liked them."
また? 買い替えたほうがいいんじゃない?,Again? Maybe you should get a new one.
うーん、よくわかんないなあ。,"Well, I'm not sure."
よくわかんない。彼のすることは。,I'm not sure. What he does.
うーん、何たかよくわかんないなあ。,"Well, I'm not sure what it is."
また? わけがわかんないね。,Again? I don't understand.
話が複雑で、わけがわかんなかったよ。,"The story was so complicated, I didn't understand it."
ほんと、わけがわかんないよね。,I really don't understand why.
じゃ、来週はどう?,How about next week?
今の仕事はどう?,How's your job now?
そうだね。じゃ、白いシャツはどう?,"Yes, I do. How about a white shirt then?"
例えば、こういうのはどう?私が代わりに行く。私はいいよ。,How about this? I'll go for you. I'm good.
いいんですか。すみません。, Is it really okay? Thank you very much.
いいんですか。研究者になるのが夢だったんでしょう?,"Are you sure? You always dreamed of being a researcher, didn't you?"
えつ、いいの? だめでしょ、ここは。,What! Is it really okay? I think you shouldnt.
え、本当にいいんですか。,"Oh, is it really okay?"
ちよっとお伺いしたいんですが、駅はどっちですか。,"I would like to ask you, which is the station?"
ちよっとお伺いしたいんですが、これでいいですか。,May I ask you a question? Is this ok?
先生、ちよっとお伺いしたいんですが、お時間ありますか。,"Professor, can I ask you some  questions please? Do you have some time?"
料金のことで、ちょっとお伺いしたいんですが。,I would like to ask you a few questions about the fees.
ゼミのレポート、もうできた?,Have you finished your seminar report yet?
大変だったけど、何とかできたよ。,"It was tough, but I made it."
できた? みんな待ってるよ。,Is it ready? We'll be waiting for you.
もうすぐできるから、待ってて。,"It will be ready soon, just wait and see."
もうすぐ出発だけど、準備はできた?,"We're about to leave, are you ready?"
もうできたの? 早いね。,Already done? That was quick.
宿題、全部できた?,Did you do all your homework?
