Words,Meaning
ひとりぼっちで寂しい,Lonely by myself
人口が減って寂しい村,"A sparsely populated, desolate village"
もの寂しい夜,A lonely night
寂しがり屋,A person who gets lonely easily
尊い命,A precious life
尊い教え,A noble teaching
尊い犠牲,A sacred sacrifice
尊い時間,A valuable time
小高い丘,A slightly elevated hill
小高い場所から眺める,To look down from a slightly high place
小高い熱がある,To have a slight fever
辛抱強い態度,A tolerant attitude
辛抱強い人は成功する,Patient people succeed
難しい決断をする,To make a hard decision
このゲームは難しすぎる,This game is too hard
容易い答えを出す,To give an easy answer
容易い言い訳,A cheap excuse
容易いことはない ,There is no easy thing
ぎこちない手つき,Clumsy hands
ぎこちない仕草,An awkward gesture
ぎこちない会話,An awkward conversation
この服は着心地がぎこちない,This clothes feels uncomfortable to wear
新しい環境に慣れるのはぎこちない,It’s hard to adapt to a new environment
彼女の前ではぎこちない気分になる,I feel awkward in her presence
仕方無いけど彼に謝らなきゃ,I have no choice but to apologize to him
仕方無いことだから気にしないで,"It's inevitable, don't worry about it"
仕方無いから行くよ,I have no choice but to go
用心深い性格,A cautious disposition
用心深く待つ,Wait with caution
優しい言葉 ,Kind words
優しい声,A sweet voice
彼はとても優しいです,He is very kind
彼女の優しい歌声に癒されました,Her gentle voice soothed me
四角い部屋は広々としている,The square room is spacious
四角いピザはおいしそうだ,Those square pizzas look delicious
一人で行くのは心細い,I feel helpless going alone
彼女は心細い思いをしている,She's feeling a bit fragile
涼しい風が吹く,A cool breeze blows
涼しい飲み物をください,Please give me a cool drink
涼しい顔をしてる,To have a calm expression
緩いカーブ,A gentle curve
緩い規則 ,A lax rule 
緩い感じの音楽 ,Music with a soft feeling
緩い難易度のゲーム,A game with a low difficulty level
深い呼吸をする,To take a deep breath
深い眠りにつく,To fall into a deep sleep
彼女の深い瞳に惹かれた,I was drawn to her deep eyes
素早い動き,A quick movement
素早い反応 ,A fast reaction
素早い判断,A prompt decision
厚い壁 ,A thick wall
厚い雲,Heavy clouds
厚い友情 ,A deep friendship
この布団は厚いです,This futon is thick
冷たい水,Cold water
冷たい手,Cold hands
冷たい態度,Unfriendly attitude
冷たい雨,Chilly rain
寒い日,A cold day
寒い冬,A cold winter
寒い風,A cold wind
寒い朝 ,A cold morning
彼女の寒いキスに失望した,I was disappointed by her cold kiss
あなたの寒さに驚きました,I was surprised by your coldness
詳しい説明,A detailed explanation
詳しい地図,A detailed map
詳しい報告,A thorough report
詳しい話を聞く,To listen to an elaborate story
詳しい知識を持つ ,To have a well-informed knowledge
上手い絵を描く,To draw a skillful picture
上手いギターを弾く,To play a good guitar
上手い料理を作る,To make a tasty dish
上手いことを言う,To say something smart
彼はとても上手い,He is very skillful
下らない争い,A trivial quarrel
この映画は下らない,This movie is worthless.
彼女の下らない冗談に笑った,I laughed at her stupid joke
下らないことを言うな,Don’t say worthless things
酷い仕打ちをする,To treat someone cruelly
酷い嘘をつく,To tell a big lie
酷い痛みがある,To have a severe pain
酷いことを言うな,Don’t say awful things
酷い目にあう,To have a terrible experience
彼女の酷い冗談に呆れた,I was fed up with her terrible joke
彼はとても酷い,He is very awful
思いがけない出会い,An unexpected encounter
思いがけない贈り物,A surprising gift
思いがけない結果 ,An unforeseen result
思いがけないことが起こる,Something unexpected happens
彼女の思いがけない提案に驚いた,I was surprised by her unexpected proposal
