Expression,Meaning,Usage,Example
ように,"as, like <br>in such a way","Matching content: tsugi no youni, saki no youni, etc. Used to indicate similarity, manner, purpose, or condition. ","彼女は鳥のように歌います。 <br>She sings like a bird. <br>旅行の日程は次のように決まりました. <br>The trip itinerary was set as follows."
通りに,"as, same as <br>just as, along <br>in accordance with","Indicates agreement in content. Used to express that something is done or happens in the same way as something else. Following a rule, a plan, a direction, or a situation. Often used for concrete or specific things.","先生の指示通りにやりました。 <br>I did it as instructed by the teacher. br>すべてが規則通りに行われる.
br>Everything should be done in accordance with the rules"
ごとく,"as, as if, like","Indicates matching content. Used to indicate similarity, manner, hypothetical situation or make a comparison.","彼はまるで神のごとく崇められている。 <br>He is worshipped as if he were a god. <br>上記のごとくいったん納入したお金は返却されません. <br>As stated above, once the payment is made, it will not be returned."
に沿って,"along, along with <br>following the <br>in accordance with","Doesn't deviate from some norm. Something follows or conforms to something else such as a rule, a plan, a road, a guideline, a model, a direction or an order. Often used for physical or spatial alignment.","この道を線路に沿って歩いてください。 <br>Please walk along this road parallel to the railroad tracks. <br>その他の町も輸送路に沿って設立された。 <br>Other towns were also established along the transportation routes."
に基づいて,"based on <br>according to","Some action is based on or derived from by certain idea, logical basis, a fundamental cause, facts, data, evidence or a significant resource. Often used for objective or authoritative sources.","この記事は事実に基づいて書かれています。 <br>This article is written based on facts. <br>確認ステータスに基づいて為替調整を表示します。 <br>Displays exchange rate adjustments based on confirmation status."
を基にして,"based on <br>on the basis of <br>derived from, made from","Indicates something as a standard when creating something. Used to indicate using something as a foundation, a premise, or a reference. Often used for subjective or personal sources.","私は彼の話を基にして小説を書きました。 <br>I wrote a novel based on his story. <br>列見出しを基にしてセルの名前を作成する。 <br>Create cell names based on column headings."
のもとで,"under, in, with <br>under the auspices of","Used to indicate that something happens or exists under or influence by a certain condition, environment or situation where something happens. Often used for abstract or general concepts.","平和のもとで暮らしたいです。 <br>I want to live under peace. <br>この例外は次の条件のもとで発生します. <br>This exception occurs under the following conditions."
に即して,"in line with <br>in conformance with <br>in response to","Adherence to facts or standards to express conformance to certain criteria, standard, principle or demand. Often used for immediate or urgent situations.","緊急事態に即して対策を講じました。 <br>We took measures in response to the emergency. <br>試験中の不正行為は校則に即して処理する. <br>Cheating during examinations will be handled in accordance with school regulations."
を踏まえて,"in light of
<br>based on, build upon","Thought or action based on premise of some matter. Something is done or decided after considering or acknowledging something else such as facts, opinions, circumstances or references. Often used for previous or background information.","過去の経験を踏まえて今後の計画を立てます。 <br>I will make future plans based on past experiences. <br>このような経済見通しを踏まえて物価情勢についてお話します. <br>I will discuss the price situation in light of this economic outlook."
に従って,"as, according to <br>following the <br>in proportion to","Some action is based on certain idea. Something changes or varies depending on something else such as a rule, a law, a trend, an instruction, a tendency or a change. Often used for logical or causal relationships.","体重が増えるに従って健康に問題が出る。 <br>As the weight increases, health problems arise. <br>設置は設置先の安全規定と規制に従って行なってください. <br>Installation must be performed in accordance with the safety rules and regulations of the installation site.
"
を中心に,"mainly, mostly <br>centering on or around <br>with a focus on",Center of event or action. Something is the main or most important thing among other things. Focusing or emphasizing on something. Often used for actions or events.,"今日は東京を中心に雨が降りました。 <br>Today it rained mainly in Tokyo. <br>階層別教育やものづくり専門教育を中心に行っております. <br>We focus on education by rank and specialized training in manufacturing.
"
を中心とする,"mainly, mostly <br>centering on or around <br>with a focus on",Center of event or action. Something is the main or most important thing among other things. Focusing or emphasizing on something. Often used for states or descriptions. Implies more intention or purpose from the speaker.,"このグループは若者を中心としたメンバーで構成されています。 <br>This group consists of members mainly of young people. <br>そのなかで浮かんだのが渋谷を中心とする地域でした。 <br>What came to mind was the area centered on Shibuya."
を中心として,"mainly, mostly <br>centering on or around <br>with a focus on",Center of event or action. Something is the main or most important thing among other things from which other things are derived or based. Often used for purposes or intentions.,"このイベントは子供を中心として企画されました。 <br>This event was planned mainly for children. <br>その科目を中心として集中的に勉強しなければなりません。 <br>You must concentrate your studies around that subject."
をめぐって,"over, around, about <br>centering around, concerning","Debates and conflicts occurring around certain issue. Indicates the topic or the cause of a dispute, a discussion, a movement, the issue or the situation that causes some action or reaction.","この土地の所有権をめぐって裁判が起こった。 <br>A lawsuit arose over the ownership of this land. <br>ほとんどの経済モデルは希少性と成長をめぐって構築されています. <br>Most economic models are built around scarcity and growth."
