Content,Interpretation,Meaning,Description,Example,Translation
登り始めた,started climbing,started to,commencing an action,桜の花が咲き始めましたね。,Cherry blossoms have begun to bloom.
読み終わった,finished reading,finished doing,halting an action,晩ご飯を食べ終わってからみんなゲームをした。,"After finishing dinner, everyone played games."
台風が来るというニュース,news that a typhoon is coming,description・meaning,to describe or state the meaning of something,骨が伸びるということです。,It means that the bones are stretched.
会場内は禁煙につき,smoking is prohibited in the venue,as per・as with,state the reason in relation to current state,清掃中につき、お足元にご注意ください。,Please watch your step during cleaning.
国籍を問わず,regardless of nationality,regardless of・irrespective of,a particular condition or limitation does not apply,年齢を問わず、どなたでも利用できます。,"Regardless of age, anyone could use it."
初めてのお客様に限り,for first time guests only,only for・only limited to・as long as,sets a condition or limitation,このチケットは平日の午後に限り有効です。,This ticket is valid only on weekday afternoons.
学生のレベルに応じて,Ddepending on the level of the student,depending on・in accordance with,something varies based on a certain factor or condition,給料は経験に応じて決まります。,The salary is determined depending on the experience.
採否にかかわらず,regardless of acceptance or rejection,regardless of・irrespective of,something is not affected by a particular factor,天候にかかわらず、イベントは予定通り行われます。 ,"Regardless of the weather, the event will go on as scheduled. "
大会議室において,in the main conference room,in・on・at,"specify the time, place, location, field or subject area",会議はホテルの大会議室において行われます。,The meeting will be held in the hotel's main conference room.
経済における影響,impact in the economy,in・on the・in terms of,indicate a state or condition concerning a particular topic,研究における発見は科学の進歩に貢献します。 ,Discoveries in research contribute to the advancement of science. 
出発の際に,at the time of departure,when・at the time of,refer to a specific point in time when something occurs,出国際にパスポートが必要です。,A passport is required when leaving the country.
展示会に際して,at the time of the exhibition,on the occasion of・at the time of,refer to a specific point in time when something occurs, 開店に際して、特別な割引を提供します。 ,We offer a special discount on the occasion of the store opening.
使用しないこと,not to be used,a fact・an aspect,used to explain a rule or warning,試験中は携帯電話の電源を切ること。,Cell phones must be turned off during the examination.
京都に行ったきり,since i went to Kyoto,only・just・since,nothing else has happened since the action took place,友人とは2年前に別れたきり、会っていない。,I haven't seen my friend since we parted two years ago.
本を読みきりました,finished reading the book,finished completely,something is done completely or thoroughly,彼はケーキを食べきりました。,He ate up all the cake.
旅行どころじゃない,it's no time to travel,not the time to or for,not in a situation where you can do of afford to do something,ゆっくり泳ぐどころじゃなかったよ。,It was no time for a slow swim.
彼は親切なものの,although he is kind,although・even though,emphasize a fact by presenting a contrast or contradiction,速く走ったものの、間に合わなかった。,"Even though I ran fast, I didn’t make it on time."
驚いたことに,it was surprising that,strangely enough・surprisingly,indicate a surprising or unexpected fact・emphasize an emotion,結果は嬉しいことに同じでした。,The results were happily the same.
初めて作ったにしては,for the first time making it,for・considering,something is not typical for a certain standard,彼は若いにしては落ち着いている。,He is calm for a young man.
美しいことか,"a beautiful thing, i wonder",i wonder・how much,self questioning on the extent or how much have done or felt up to now,どれだけ勉強したことか。,How much I have learned.
