Expression,Translation
こんにちは,"hello, good afternoon"
いらっしゃい,welcome
お待ちしていました,we have been waiting for you
さあ、どうぞ,"well, please do"
おじゃまします,excuse me for disturbing
はじめまして,nice to meet you
どうぞよろしく,pleased to meet you
いつもお世話になっております,thanks you for all your help
いいえ、こちらこそ,"no, it's my pleasure"
これ、どうぞ,here you go
どうぞご心配なく,please don't worry about it
ほんの気持ちです,it's just a thought
じゃ、遠慮なく,"well, feel free"
ありがとうございます,thank you
どうぞ、おかけください,"please, have a seat"
失礼します,excuse me
お茶をどうぞ,have some tea
いただきます,expression of gratitude before meals
どうぞ,go ahead
どうも,thanks
