Expression,Meaning,Sample
~に関して,"~に関係して <br><b>about, regarding, related to</b> <br>Topic or scope of something.","1. この事件に関して、警察にはいろいろな情報が寄せられた。 <br>2. その件に関しては、後ほど係の者が説明いたします。 <br>3. 彼は伝統文化に関する知識が豊富だ。"
~に対して,"~に　~へ　~に向けて　 <br>※動作の対象、方向を示す　 <br>※対比を表す <br><b>towards, against, regarding, in contrast with</b> <br>Indicate the target or object of an action or attitude. <br>Contrast or comparison between two things.","1. 消費者団体は、不良品を製造した会社に対して抗議した。 <br>2. 先生に対しても敬語を使わない子供が増えている。 <br>3. 高速道路建設に対する地域住民の反対運動はますます激化している。 <br>4. A校は経済学部が有名なのに対して、B校は政治学部が有名だ。 <br>5. 新卒者10名の採用に対して、およそ10倍の人が応募した。"
~について,"内容を示す <br>※(話す・考える・研究するなどの) <br><b>about, regarding, concerning</b> <br>Topic or content of something.","1. 大学では、主に環境問題について勉強するつもりです。 <br>2. 首脳会談では、両国の経済問題について話し合われる。 <br>3. 日本の近代史についての講演を聞きに行った。"
~をめぐって,"~に関連して　 <br>~を争点として <br><b>around, about, concerning, over</b> <br>Topic or cause of a dispute, conflict or opposition.","1. 新しく発見された古墳をめぐって、様々な意見が飛び交っている。 <br>2. 国会ではこの法案の是非をめぐって、議論が続けられている。 <br>3. 親の遺産をめぐる兄弟同士の争いほど、みにくいものはない。"
~によって,"~それそれで…(違う)　 <br>~で　※手段、方法を示す　 <br>~で　※原因を示す <br>~に　※受身文で動作をする人・ものを示す <br><b>by, depending on, due to, because of </b> <br>Agent, mean, method, cause or condition of something.","1. ぶんかや習慣は、国によって違う。 <br>2. 果物の値段は、季節によって変わる。 <br>3. 現代人は、テレビや新聞によって、多くの情報を得ている。 <br>4. ロボットの導入により、人間のする危険な仕事が減った。 <br>5. ちょっとした不注意によって、大きな事故が起きる。 <br>6. この地方は、先月の台風による被害が最も大きかった所だ。 <br>7. アメリカはコロンブスによって発見された。 <br>8. 未成年者の飲酒と喫煙は、法律によってs禁止されている。"
~によっては,"~ある~の場合は <br><b>in some cases, depending on</b> <br>A case that could vary depending on something else.","1. 明日は全般的に晴れますが、所によってはにわか雨があるでしょう。 <br>2. 中学、高校は普通制服があるが、学校によってはないところもある。 <br>3. 運動会は校庭で行う予定ですが、天候によっては体育館になります。"
~によると,"※伝聞、情報の出所を示す <br><b>according to, based on</b> <br>Source of information.","1. 新聞によると、明日は雨が降るそうだ。 <br>2. 先生によると、今日の授業は休みだということだ。 <br>3. 友達によると、このレストランはとても美味しい料理を出すらしい。"
~によれば,"※伝聞、情報の出所を示す <br><b>according to, based on</b> <br>Source of information.","1. ネットの記事によれば、今年の流行色はピンクだそうだ。 <br>2. 天気予報によれば、雨季が来週始まるそうだ。 <br>3. 調査結果によれば、日本人の約8割が英語を話せないと答えたそうだ。"
~にとって,"~を基準に考えれば <br><b>for, from the perspective of</b> <br>Point of view or the standard of judgement.","1. 漢字を使わない国の人にとって、漢字を覚えるのは変なことだ。 <br>2. 海外旅行は、現代人にとっては珍しいことではなくなった。 <br>3. 彼のスピーチのテーマは、だれにとっても興味のあるものだった。"
~として,"~の立場・資格で <br><b>as, in the role of</b> <br>Identity, status, qualification, position or function.","1. 彼は、以前に一度観光客として日本に来たことがある。 <br>2. 優秀な教師が、親としても立派とは限らない。 <br>3. 彼は俳優だが、歌手としても人気がある。"
~に応じて,"~に合わせて　 <br>~にふさわしく <br><b>according to, in response to, in proportion to, depending on</b> <br>Something changes or varies depending on the preceding condition or situation.","1. この会社の給料は、経験年と能力に応じて決められる。 <br>2. 調査レポートには、必要に応じてグラフや図を入れるつもりだ。 <br>3. 体力に応じて運動ならいいが、やりすぎはかえって体に良くない。"
~にこたえて,"相手の~に含まれた気持ちを実現するように <br><b>in response to, to meet, to satisfy</b> <br>Something is done to respond to or fulfill the preceding request, expectation, demand or hope.","1. 観客の拍手に答えて、ピアニストはアンコール曲を弾き始めた。 <br>2. 皆様の要望にお応えして、輸入品特別セールを行います。 <br>3. さまざまな運用上の問題に答える一連のテストが実施された。"
~に沿って,"~に合わせて　 <br>(すでに存在しているものや示されていること) <br><b>along, in accordance with, following</b> <br>Something moves or proceeds along a certain line, direction, rule or plan.","1. この辺は、川に沿って土産物屋が並んでいる。 <br>2. 式典は、プログラムに沿って進めていきます。 <br>3. スポンサーの意向に沿って番組が、視聴者に喜ばれるとは限らない。"
~に代わって,"~の代理で <br><b>instead of, on behalf of, in place of</b> <br>Something as a substitute or replacement for something else.","1. 入院中の課長に代わって、このプロジェクトは私が担当します。 <br>2. 留学中の教授に代わり、助手が講義をしている。 <br>3. メッセージは契約のシステムユーザに代わって送信されます。"
~に比べて,"~と比較して <br><b>compared to, in comparison with, relative to</b> <br>Something is contrastive, different or distinct from something else in terms of quality, quantity, degree or in some aspect.","1. 私たちの生活は、以前に比べてずいぶん便利になった。 <br>2. 西洋料理に比べ、日本料理はカロリーが低い。 <br>3. 去年に比べ、今年の夏はかなり涼しかった。"
~に加えて,"~にプラスして <br><b>in addition to, besides, as well as</b> <br>Additional or supplementary information.","1. 雨に加えて風も強くなり、野外コンサートは中止になった。 <br>2. 映画の成功に加え、新曲もヒットし、彼の人気は急上昇している。 <br>3. 通常の処理情報に加えて、デバッグ情報を出力する。"
~に反して,"~とは反対に　 <br>~に違反して <br><b>contrary to, against, in breach of, in violation of</b> <br>Something goes against or opposes something else, such as an expectation, rule or tendency.","1. 皆の予想に反して、トップ当選したのは全く無名の新人だった。 <br>2. あの選手は優勝候補だったが、本番前に体調を崩し、期待に反する成績に終わった。 <br>3. 当校では、校則に反する行いをすると停学か退学処分になります。 <br>4. 駅の構内は禁煙だが、規則に反してたばこを吸っている人もいる。"
~において,"~で　 <br>※場所・時・機会・状況・領域を表す言葉に付く <br><b>in, at, on, during</b> <br>Location, time, or situation where something happens or is done.","1. 本日の会議は、第一会議室において行います。 <br>2. 新年、遺伝子の分野においては、画期的な発見が相次いでいる。 <br>3. 20世紀における最大の発明は、コンピューターだろう。"
~にあたって,"~を考えて <br>(これから行われる) <br><b>at the time of, on the occasion of, when</b> <br>Time or situation when something happens or is done often implying a sense of importance, consideration, preparation, attention or caution.","1. 開会にあたって、一言ご挨拶を申し上げます。 <br>2. 日本での生活を始めるにあたって、まず部屋を探した。 <br>3. 海外進出をするにあたり、まず現地の市場調査のためのスタッフを送り出した。"
~に基づいて,"~を基礎として　 <br>~を基盤にして <br><b>based on, on the basis of, according to</b> <br>Source, foundation or reason for something, such as a fact, evidence, rule or principle as the basis of an action or judgment.","1. このドラマは実際にあった事件に基づいて作られたものです。 <br>2. 違反した生徒は、校則に基づき、1週間の停学処分になった。 <br>3. この治療法は、彼の長年の経験に基づいた効果的な方法だ。"
~に即して,"~に合わせて <br><b>in accordance with, in line with, conforming to</b> <br>Something is done in conformity with, as correspondence or as a reaction to the preceding rule, standard, situation, demand or reality.","1. 規則というものは、現状に即して改めていく必要がある。 <br>2. その時の経済状況に即した対応ができないと、経営は成功しない。 <br>3. あのカウンセラーは相談者の状態に即したアドバイスをしてくれる。"
~にしたがって,"~の変化や程度に合わせて　 <br>(~も同時に変化する) <br><b>according to, following, as</b> <br>Something changes or varies according to a certain factor, condition, rule or order.",
~につれて,"~の変化や程度に合わせて　 <br>(~も同時に変化する) <br><b>as, while, along with</b> <br>Something changes or varies in proportion to something else, often implying a gradual or continuous process.",
~に伴って,"~と同時に　 <br>(変化が起こる) <br><b>with, accompanying, as a result of</b> <br>Something goes against or opposes something else, such as an expectation, rule or tendency.",
~に伴う,"~といっしょに起こる <br><b>to accompany, to entail, to involve</b> <br>Something goes against or opposes something else, such as an expectation, rule or tendency.",
~とともに,"~といっしょに <br><b>with, together with, as well as</b> <br>Something happens or exists together with something else often implying a simultaneous or parallel relationship.",
~あっての,"~があるからこそ　 <br>(~がある) <br><b>thanks to, because of, owing to, indispensable to</b> <br>Something is made possible or meaningful because of something else often implying a sense of gratitude or appreciation.",
~とあって,"~だから　 <br>(~とういう場合・状態) <br><b>because, since, as</b> <br>Something happens or is done because of a certain special or exceptional situation or condition.",
~とあれば,"~ならば　 <br>(どんなことでもする) <br><b>if, in case, when</b> <br>Hypothetical or conditional situation that triggers a certain reaction or consequence.",
~にあって,"~状態の時に　 <br>~状態のところにいて <br><b>in, at, under</b> <br>Place, time or situation where something happens or is done often implying a sense of difficulty or hardship.",
~から〜にかけて,"※時間的、空間的な範囲を示す <br><b>from~to, over, throughout</b> <br>Range or extent of something such as time, place or quantity. <br>Spectrum of something that covers the beginning and the end points.","1. 春から夏にかけて、花が咲き乱れる。 <br>2. 夜明けから日中にかけて、気温が上昇する。 <br>3. 会議は午前中から午後にかけて行われた。 <br>4. 今晩から年末にかけて雪予報が続きます。 <br>5. 彼は若い頃から老年期にかけて多くの作品を残した。 <br>6. 電車は朝7時から8時半にかけての時間帯が一番込む。"
~にわたって,"※時間的、空間的範囲の広がりを示す <br><b>over, throughout, for</b> <br>Duration or span of something such as time, place or quantity. <br>Implies a wide or a long coverage of something that involves many parts or times.","1. 会議は三日間にわたって行われた。 <br>2. 彼の影響は多岐にわたっている。 <br>3. 調査は全国にわたって実施された。 <br>4. 彼の講演は一時間にわたって続いた。  <br>5. 展示会は一週間にわたって開催される。"
~に至る,"~までとどく　 <br>~まで達する <br><b>to reach, to amount to, to result in</b> <br>End point or outcome of something often implying a sense of extremity or culmination. <br>Implies a final or an ultimate outcome of something that follows a process or a development.","1. 研究は結論に至るまでに数年を要した。 <br>2. それは改革に至る道ではない。 <br>3. 学生運動は大規模なデモに至る。 <br>4. このアプローチは20世紀に至るまで影響を残した。"
~に至って,"~という状態にまでなって <br><b>at, on, when, upon reaching</b> <br>Time or situation when something happens or is done often implying a sense of delay or urgency. <br>A critical or a decisive moment of something that affects the outcome or the action.","1. 長年の研究に至って、ようやく新薬を開発した。 <br>2. 大雨で道が冠水に至って初めて、避難の必要性を感じた。 <br>3. 病気が重篤に至って初めて、健康の大切さを感じた。"
~に至っては,"~特にひどい~は <br><b>as for, when it comes to, in the case of</b> <br>Scope or limit of something often implying a sense of contrast or exception. <br>Special treatment of something that differs from the norm or the expectation.","1. ひどい学生に至っては、基本的な漢字さえ書けないらしい。 <br>2. あゆめさんに至っては、授業中パンを食べている。 <br>3. 細部に至っては、あらゆることを考慮します。"
