W1,T1,W2,T2,W3,T3,W4,T4,W5,T5,W6,T6
健,good health,立候補,candidate (for),飛び降りる,Jump off,イタリアン,Italian food,途切れる,be interrupted,スペル,spelling
スケッチ,Sketch,王者,Champion,恵比寿,Ebisu,外務省,Ministry of Foreign Affairs,合,pause,なにせ,at any rate
お返し,Return,初期,Initial,賛同,Endorsement,北海,North Sea,学費,tuition,共和党,Republican Party
プリント,Print,結集,Gathering,黄,Yellow,メリット,Merit,君主,Monarch,別名,Alias
アップ,up,断絶,Severance,しっかり,Firmly,シーズン,Season,いとこ,cousin,選定,Selection
魅了,Fascination,取り戻す,Reclaim,策定,Formulation,公判,Public trial,吾,I,鳩,pigeon
すなわち,I.e.,到来,Arrival,天使,Angel,新薬,New medicine,逃れる,escape,修得,mastery
プロセス,Process,発散,Divergence,宣教師,Missionary,言い聞かせる,Tell them,モンスター,monster,果たす,fulfill
作動,Operation,天文,Astronomy,後進,backward,浦,Ura,賑わう,crowded,微生物,microorganism
鳥居,Torii,教義,doctrine,足音,Footsteps,放題,the subject,隣人,neighbors,励む,work hard
旅人,Traveler,駆け込む,rush,レントゲン,X-rays,行き届く,reach,語りかける,speak to me,ベテラン,veteran
同性愛,Homosexuality,アルバム,Album,グランド,Grand,配送,delivery,伴う,accompany,ルール,rules
ことごとく,everything,女神,Goddess,出稼ぎ,migrant,今年度,this year,指数,Exponent,車体,Car body
傘下,under,思える,seems,歳,Age,引き込む,pull in,炎症,Inflammation,持ち主,owner
セキュリティ,security,本件,This case,変質,Transformation,顔面,face,縄文,Jomon,部員,club member
ターン,Turn,騎手,horseman,ダンス,Dance,水害,Flooding,キャッチ,Catching,快楽,pleasure
該当,Applicable,相次ぐ,one after another,零細,small business,両国,both countries,並列,Parallel,小売り,retail
本心,true feelings,惑わす,deceive,スピーカー,speaker,かける,put,新刊,New,バリ,Bali
懲りる,learn,錦,brocade,先人,predecessors,呪う,curse,精度,Accuracy,受賞,Award
次回,Next time,フライト,flight,ボランティア,volunteer,無力,helpless,落下,Falling,頭上,Overhead
