W1,R1,T1,W2,R2,T2,W3,R3,T3,W4,R4,T4
最強,さいきょう,strongest,インク,インク,ink,納める,おさめる,pay a tax or fee,机,つくえ,"desk, table"
アイドル,アイドル,"idol, pop singer",ドラマ,ドラマ,"drama, theater, soap opera",学科,がっか,"subject, department",本棚,ほんだな,bookshelf
駅長,えきちょう,stationmaster,パスポート,パスポート,passport,得る,える,"obtain, gain",洗濯,せんたく,"laundering, washing"
ショッピング,ショッピング,shopping,語る,かたる,"tell, talk",知識,ちしき,knowledge,喫茶店,きっさてん,"coffee shop, tea house, café"
聞き手,ききて,"listener, audience",覚める,さめる,"awake, wake up",納得,なっとく,"acceptance, persuasion",灰皿,はいざら,ashtray
サングラス,サングラス,sunglasses,覚ます,さます,"awaken, wake up",批評,ひひょう,"criticism, comment",居る,いる,be present
言い返す,いいかえす,"talk back, retort",いずれ,いずれ,"eventually, sometime",損,そん,"loss, damage",戸,と,"door, shutter"
あぐら,あぐら,sit cross legged,話し合う,はなしあう,"discuss, talk over",損害,そんがい,"damage, harm",豚肉,ぶたにく,"pork, hog meat"
きっちん,きっちん,kitchen,夜中,よなか,"midnight, dead of night",燃やす,もやす,burn,半分,はんぶん,half
女らしい,おんならしい,"womanly, feminine",ホーム,ホーム,platform,乾燥,かんそう,"drying up, desiccation",お菓子,おかし,"sweets, snacks"
急用,きゅうよう,urgent business,上り,のぼり,"going up, ascent",時速,じそく,speed per hour,鉛筆,えんぴつ,pencil
あいづち,あいづち,"responsive sounds, chiming in",一方,いっぽう,one way,速度,そくど,"speed, velocity",万年筆,まんねんひつ,fountain pen
あだな,あだな,nickname,道路,どうろ,"road, street",酸素,さんそ,oxygen,箱,はこ,"box, case"
行き来,いきき,"comings and goings, communication",なお,なお,"still, in addition",素直,すなお,"honest, straightforward",ポケット,ポケット,pocket
いつのまに,いつのまに,when,止む,やむ,"stop, abate",水素,すいそ,hydrogen,中,なか,"inside, middle"
上下,うえした,above and below,森,もり,"thick woods, forest",スピーチ,スピーチ,speech,玄関,げんかん,"entrance, door"
がぶがぶ,がぶがぶ,(the sound of) guzzling,歩道,ほどう,"sidewalk, footpath",実に,じつに,"truly, surely",眼鏡,めがね,"glasses, judgment"
入力,にゅうりょく,"input, power input",そんなに,そんなに,"that, so",働き,はたらき,"work, function",封筒,ふうとう,envelope
長年,ながねん,"many years, long time",全く,まったく,"entirely, truly, indeed",チャンス,チャンス,chance,トイレ,トイレ,toilet
買収,ばいしゅう,"buying up, bribing",黒,くろ,black,石炭,せきたん,coal,掃除,そうじ,cleaning
