S1,T1,S2,T2,S3,T3
ずいぶん若く見えるよ,you look pretty young,母は雑誌を読んでいる,my mother is reading a magazine,昨日は寒かった,it was cold yesterday
全然怖くなかったよ,i wasn't scared at all,今から帰る？,are you going back now?,窓側の席はあるか,do you have a window seat?
時早く過ぎる,time flies,この雑誌は毎月出る,this magazine is issued every month,美味しいと思う,I think this tastes good
彼は早く寝た,he went to bed early,あまいものを控える,refrain from eating sugary foods,前金でお願いします,you need to pay in advance
ゆっくりどうぞ,take your time,誰もが興奮していた,everyone was excited,とてもおいしいよ,It tastes very good
ねぎを敷き,lay out the spring onions,誰かがこの皿を割りました,somebody has broken this dish,これは完全に普通だ。,this is perfectly normal
その車はなかなか新しい,that car is quite new,女性はだれですか,who is the woman?,家はどこ？,where is your house
全然眠れない,can’t sleep at all,今日出発するの？,are you leaving today?,この道は公園に至る,this road goes to the park
とても高い,very expensive,お昼頃に始まったのよ,it started around noon,勘定お願いします,"the check, please"
いや、全然,"nope, not at all",終電に間に合う,be on time for the last train,家に来て,come home
早く起きろ,get up early,昨日そこへ行ったよ,i went there yesterday,昨日は暑かった,it was hot yesterday
何か見える？,can you see something?,肥満を注意する,pay attention to obesity,お肉凍ってるよ,the meat is frozen
時々散歩にでかける,i sometimes go out for a walk,すぐに出発しよう,let’s go right away,この肉は生煮えだ,the meat is only half cooked
周囲に豚肉を並べる,arrange the pork around it,昨日は小雨だった,there was a light rain yesterday,このお茶美味しい,this tea tastes good
今日はかなり寒い,it is pretty cold today,望みを捨てちゃ駄目だよ,don’t give up hope,ぜひお願いします,by all means
ゆっくり歩いてよ,walk slowly,果物を食べるのはほどほどに,eat fruits in moderation,視力は普通です,i have normal eyesight
傘を買った,i bought an umbrella,食生活を見直す,review your diet,日本食はお好きですか,do you like Japanese food?
かなり深刻なようだ,it seems to be serious,この鍵を預かってくれ,please take charge of this key,至急お願いします,it’s urgent
たまには外食しようよ,how about dining out for a change?,誰も玄関へ応対に出なかった,nobody answered the door,レジでお願いします,please pay at the register
昨日病気でした,i was ill yesterday,材料を混ぜ合わせる,mix ingredients together,昨日本を買った,i bought a book yesterday
ずいぶんと古いな,it’s very old,私は朝早く起きた,i got up early in the morning,この魚おいしい,this fish is delicious
容器に詰める,stuff into the container,人には誰でも弱点はある,every man has his weak side,窓側の席がいいです,I'd like a window seat
だんだん暗くなりつつある,it is getting darker and darker,人は誰でも平等である,all are equal,あまり希望がない,there is not much hope
昨日の花火見た？,did you see yesterday's fireworks?,野菜を積極的に摂る,condume vegetables actively,肉を食べますか,do you eat meat?
どんな雑誌でも結構です,any magazine will do,靴がすり減った,my shoes are worn out,これは普通のこと？,Is this normal?
あまり無理するなよ,don’t work yourself too hard,お酒を控える,refrain from drinking alcoholic beverages,寿司を食べようよ,let’s eat sushi
徐々に見えて来た,gradually came in sight,私は数回彼に会った,i met him several times,寿司は好きですか,do you like sushi?
のんびり行こう,take it easy,適度な運動を心がける,keep in mind that moderate exercise is important,歩いて帰るの？,are you walking home?
今とても忙しい,i’m very busy right now,日本の雑誌はありますか,do you have any Japanese magazines?,窓側の席をお願いします,"I'd like a window seat, please"
靴を履いて,out on your shoes,いつ目が覚めたの？,when did you wake up?,日本食食べたことある？,have you ever eaten Japanese food?
何買ったの？,what did you buy?,彼はいつも雑誌を読む,he always reads a magazine,会計をお願いします,could I have the check?
早く用意して,get ready quickly,塩をすり込む,rub salt into,昨日は雪だった,it snowed yesterday
あまり希望がない,there is not much hope,道に缶をすてるな,don’t throw away cans on the street,本当に美味しい,It tastes really yummy
斜め薄切りにする,slice diagonally into thin slices,靴って高いな,shoes are expensive,寿司をご馳走します,I'll treat you to sushi
今日は大分暖かいね,it’s fairly warm today,血圧をこまめにチェックする,check blood pressure frequently,肉に塩をかけよう,out some salt on the meat
