Kanji,Asso,Reading,Meaning,W1,R1,M1,W2,R2,M2,W3,R3,M3,W4,R4,M4
切,ut,"SETSU, SAI, ki-ru, ki-reru",cut,切開,せっかい,"incision, section",切る,きる,cut,踏切,ふみきり,railroad crossing,適切,てきせつ,"appropriate, suitable"
比,ompare,"HI, kura-beru",compare,比例,ひれい,proportion,比べる,くらべる,to compare,比較的,ひかくてき,comparatively,比率,ひりつ,"ratio, proportion"
乗,ide,"JOU, no-ru, no-ri no-seru","ride, get on",乗用車,じょうようしゃ,passenger car,乗客,じょうきゃく,"passenger, fare",乗務員,じょうむいん,train man,乗せる,のせる,"give a ride, place on something"
再,gain,"SAI, SA, futata-bi",another time,再度,さいど,another time,再開 ,さいかい,"eopening, resumption",再び,ふたたび,"again, once more",再来,さいらい," return, second coming"
復,estoration,FUKU,"return to, restore, recovery",復活,ふっかつ,"revival, rebirth, resurrection",復旧,ふっきゅう,"restoration, recovery",復職,ふくしょく,reinstatement,復興,ふっこう,"revival, reconstruction"
順,equence,"JUN, yori, yoshi, yuki, nori, nobu","order, obey",順番,じゅんばん,"order, turn",順序,じゅんじょ,"order, sequence, system",順位, じゅんい,"order, rank, precedence",順路,じゅんろ,"regular route, fixed route"
収,ollect,"SHUU, osa-meru, osa-maru","take, income, obtain, pay, supply, store",収容する,しゅうようする,"accommodate, receive guest",収納,しゅうのう,"storing, harvesting",収穫,しゅうかく,"harvest, harvesting",収まる,おさまる,"to fit into, be contained within"
件,atter,KEN,matter,一件,いっけん,"matter, affair, item",用件,ようけん,matter (of business),人件費,じんけんひ,"personal expenses, labor cost",案件,あんけん,"matter, agenda, topic"
冷,old,"REI, tsume-tai, hi-eru, hi-yasu, sa-meru, sa-masu","cold, chills",冷気,れいき,"cold air, cold, chill",冷水,れいすい,cold water,冷房,れいぼう,air conditioning,冷やす,ひやす,"to cool, to chill"
値,alue,"CHI, ne, atai",value,価値,かち,"value, merit",数値,すうち,numerical value,絶対値,ぜったいち,absolute value,偏差値,へんさち,deviation value
修,epair,"SHUU, SHU, osa-meru, osa-maru","cultivate, repair",修養する,しゅうようする,cultivate one’s mind,修了,しゅうりょう,completion (of course),修行,しゅぎょう,"training, study",習得,しゅうとく,"learning, acquisition "
繕,end,"ZEN, tsukuro-u","mend, repair, patch up",修繕,しゅうぜん,"repair, mending",繕う,つくろう,"mend, repair, patch up, fix",営繕,えいぜん,maintenance and repair,修繕中,しゅうぜんちゅう,during repairs​
