Sentences,Translation
夏の青い空と海が大好きです。,I love the blue sky and sea in summer.
青い鳥は辜せを呼ぶと言われています。,It is said that blue birds call for innocence.
青い色は涼しい感じがします。,The blue color makes me feel cool.
晴れた日の空や海のような色。,Colors like the sky and sea on a sunny day.
植物などの緑色。,Green color of plants and other things.
青に近い緑色も表す。,It also represents green that is close to blue.
昔は青と緑を区別しないで青としていたから。,"Because in the old days, blue and green were not distinguished and were called blue."
5月は青い若葉が美しい。,May is a beautiful month with blue young leaves.
青々と茂った森が広がっている。,The forest is lush and thick.
青いりんごは甘酸っぱい。,Blue apples are sweet and sour.
菜の緑の葉の部分。,The green leaf part of the rape.
食べられる部分で、緑色をしている部分を指す。,The part that can be eaten and is green in color.
君はもっと青い物を食べないといけない。,You need to eat more of the green stuff.
サラダに青い物が入っていると見た目もいいし、食欲も増す。,"If you have green things in your salad, it looks good and increases your appetite."
昔は、冬になっても青い物が食べられるように、雪の下に野 菜を保存した。,"In the old days, people used to store vegetables under the snow so that they could eat the greens even in the winter."
彼は年の割には行動的だ。,He's dynamic for his age.
彼女は行動的です。,She is dynamic.
あの学生はとても積極的だ。,That student is very active.
民主主義は自由を積極的に認める。,Democracy is an active recognition of freedom.
アメリカ人は積極的な国民である。,Americans are a proactive people.
彼は良い行いを積極的にしている。,He is proactive in doing good deeds.
彼は積極的なセールスマンの典型だ。,He is the epitome of an aggressive salesman.
彼は積極的に人々に善行を施している。,He is actively doing good deeds for people.
人々に善行を施すのに積極的であれ。,He is the epitome of an aggressive salesman.
彼はその革命で積極的な役割をした。,He played an active role in that revolution.
彼の次の制作は非常に意欲的なミュージカルだった。,His next production was a very ambitious musical.
トムは意欲的な男だ。,Tom is an ambitious man.
彼は不安になった。,He became anxious.
彼には何か不安がある。,There is something unsettling about him.
一晩中寒くて不安でした。,I was cold and anxious all night.
将来に不安を感じるんだ。,He's worried about the future.
その知らせで彼の不安が増した。,The news increased his anxiety.
私は時々将来について不安になる。,I am sometimes anxious about the future.
この広告はセンスがいいね。,This advertisement is in good taste.
センスが全然ないわ。,You have no taste at all.
ダニーには美的センスがない。,Danny has no sense of aesthetics.
お笑いのセンスがあるね。いいね。,You have a sense of comedy. That's good.
先に寝てていいよ。,You can go to sleep first.
兄は記憶力がいい。,My brother has a good memory.
かなりいい気分だ。,I feel pretty good.
手つないでもいい？,Can I hold your hand?
犬を飼ってもいい？,Can I have a dog?
これ食べてもいい？,Can I eat this?
理由聞いてもいい？,Can I ask why?
電話借りてもいい？,Can I borrow your phone?
これ使ってもいい？,Can I use this?
彼女は怒りっぽい。,She's angry.
彼って怒りっぽいのよね。,He's so angry.
彼って怒りっぽいのよね。,"He's angry, isn't he?"
すきっ腹になると人は怒りっぽくなる。,People become angry when they are hungry.
つまらない章は飛ばせ。,Skip the boring chapters.
家にいるのはつまらない。,Staying at home is boring.
つまらない試合に飽きてきた。,I'm tired of boring games.
彼はつまらないことですぐ怒る。,He gets angry easily over trivial things.
彼は勇敢にもそこへ行った。,He bravely went there.
彼女は勇敢に頭を上げていた。,She bravely raised her head.
彼らは全然勇敢ではなかった。,They were not brave at all.
本は慎重に選びなさい。,Choose your books carefully.
彼の運転は大変慎重だ。,His driving is very careful.
彼は言葉を慎重に選んだ。,He chose his words carefully.
彼は慎重に義務を遂行した。,He carried out his duty carefully.
それは慎重を要する問題だ。,It is a matter that requires careful consideration.
それは慎重な考慮を要する。,It requires careful consideration.
彼女はついに最もカリスマ性のある女優として国民から認められました。,She has finally been recognized by the public as the most charismatic actress.
僕はカリスマ的だと思ったとトムは言った。,"I thought I was charismatic, Tom said."
ただしかっこいい男に限る。,But only for cool guys.
彼女って本当にかっこいい。,She's really cool.
彼女の考えはほんとに独創的だ。,Her ideas are really original.
彼のデザインは大変独創的だ。,His designs are very original.
彼の小論文は独創的な考えに満ち溢れていた。,His essay was full of original ideas.
彼は勤勉な学生です。,He is a diligent student.
勤勉は成功への道だ。,Hard work is the path to success.
勤勉に代わるものなし。,There is no substitute for hard work.
