Verb,Reading,Meaning,Sentence
蒸す,むす,"to steam, poultice, be sultry ",すべて蒸すか茹でる料理方法に変更する。
召す,めす,"to call, send for, put on, wear, take a bath, ride in, buy, eat, drink, consume, utilize, do",お風呂をお召しください。
止す,よす,"to cease, abolish, resign, give up ",そんな無茶はよせ。
打つ,うつ,to hit,今打ったのは何時か。
撃つ,うつ,"to attack, defeat, destroy ",撃たないでください！
討つ,うつ,"to attack, avenge",反逆者を討つ。
勝つ,かつ,to win,5 対 3 のスコアで勝った。
立つ,たつ,"to stand, rise, stand up",彼はどこに立っていますか？
経つ,たつ,"to pass, lapse, elapse",知らぬ間に時間が経っていた。
建つ,たつ,"to erect, be erected, be built ",来年新たな博物館が建つ予定です。
発つ,たつ,"to depart (on a plane, train, etc.) ",私は日本を明日の朝発つことにしている。
絶つ,たつ,"to sever, cut off, suppress, abstain (from) ",彼はその事件以来筆を絶った。
打つ,ぶつ,"to hit, strike",そんなに強く打たないで。
待つ,まつ,to wait,寝ずに夫の帰りを待った。
持つ,もつ,"to possess, hold, have",そんな大金を持っていると危ない。
死ぬ,しぬ,to die,のどが渇いて死にそうだ。
飛ぶ,とぶ,"to fly, hop",私の方へボールが飛んで来た。
跳ぶ,とぶ,"to jump, fly, leap",走り幅跳びで４メートル跳んだ。
呼ぶ,よぶ,"to call out, invite",だれか君を呼んでいるよ。
編む,あむ,"to knit, compile , edit",彼は現代詩集を編んでいる。
産む,うむ,"to give birth, deliver, produce, yield",魚は一般にたくさんの卵を産む。
噛む,かむ,"to bite, chew",私の手を噛んだのはあの犬だった。
組む,くむ,to put together,彼は丸太を組んで小屋を作った。
汲む,くむ,"to draw (water), dip, scoop, pump",風呂に水を汲んでおいてくれ。
酌む,くむ,to serve sake,夜どおしシャンペンが酌み交わされた。
込む,こむ,"to be crowded, be complex, include",電車が込んでいる。
混む,こむ,to be crowded,夕方からは混むことが多いのでご注意下さい。
住む,すむ,to live in,この家は久しく人が住んでいない。
済む,すむ,"to finish, complete",あなたの仕事は済みました。
澄む,すむ,"to clear (e.g. weather), become transparent",川の水はとても澄んでいた。
積む,つむ,"to pile up, stack",トラックに荷物を積んだ。
富む,とむ,"to be rich, become rich",日本は美しい景色に富んでいる。
飲む,のむ,to drink,私は毎朝野菜ジュースを飲む。
踏む,ふむ,to step on,なんか変なもの踏んじゃった。
揉む,もむ,"to rub, crumple (up), wrinkle ",塩できゅうりを揉む。
止む,やむ,to stop,雨が止んだらすぐに出かけましょう。
病む,やむ,"to fall ill, be ill",彼女は心臓を病んでいる。
読む,よむ,to read,この小説は感傷的すぎて読むに堪えない。
有る,ある,"to be, have(used for inanimate objects)",どこか貸家はありませんか。
在る,ある,"to live, to be",その修正案には改善の余地がある。
居る,いる,"to be, have (used for people and animals)",この島には医者がいない。
要る,いる,to need,本当にコーヒーいらないの？
煎る,いる,"to roast, parch, fry, toast",おからはぱらぱらになるまで煎ってから煮汁を入れます。
炒る,いる,"to roast, to parch, to toast, to boil down​",豆はまだよく炒れていない。
入る,いる,"to get in, to go in, to come in, to flow into, to set, to set in ",無用の者入るべからず。
売る,うる,to sell,この本はここで売られています。
得る,うる,"to get, to gain, to win",失うところ多く得るところが少ない。
得る,える,"to get, to gain, to win",彼は新しい仕事を得るために東京へ行った。
折る,おる,to break or to fold,私は落馬して右腕を折った。
居る,おる,"to be (animate), to be, to exist ",またお会いできるのを楽しみにしております。
織る,おる,to weave,私の祖母ははたを織るのが好きだ。
刈る,かる,"to cut (hair), to mow (grass), to harvest",彼は髪の毛を短く刈ってもらった。
切る,きる,to cut,ナイフでそれを切りなさい。
着る,きる,"to wear, to put on",彼は上着を着ている。
来る,くる,to come,天気が悪いので君は来ないだろうと思っていた。
蹴る,ける,to kick,彼はわざと私を蹴った。
去る,さる,"to leave, to go away",彼はその国を去ったらしい。
知る,しる,"to know, to be aware of, to cognise, to notice, to comprehend",この辺はよく知っている。
為る,する,to do,テニスはするの？
為す,なす,"to build up, to establish, to form, to do, to perform, to attempt, to print",多くの仕事がコンピューターによってなされている。
剃る,する,to shave,ひげを剃って下さい。
散る,ちる,"to fall, to scatter (e.g.blossoms), to be dispersed, spread",見物人もやがて散って行った。
釣る,つる,"to fish, to lure, to temp",金に釣られて真相をしゃべった。
吊る,つる,"to hang, to suspend",ハンモックを木の間に吊る。
照る,てる,to shine,降っても照っても明日は出掛ける。
出る,でる,"to leave, to exit, to go out, to come out, to get out",その列車は東京駅から出ている。
取る,とる,"to take something, to pick up, to pass, to remove",紙を取ってくださいますか。
撮る,とる,to take a photo or record a film ,胃のレントゲン写真を撮った。
採る,とる,"to adopt (measure, proposal), to pick (fruit)",それに対して柔軟な姿勢を採った。
捕る,とる,"to take, to catch (fish), to capture ",小さな魚やカニなどを手で捕ることもできるそうです。
摂る,とる,"to have (lunch), to take (vitamins)",私は７時に朝食を摂る。
鳴る,なる,to sound,雷が遠くで鳴っていた。
為る,なる,"to change, to be of use, to reach to ",中学生の時に詩を書くようになった。
成る,なる,to become,この店も年中無休になった。
生る,なる,to bear fruit,今年はトマトがよくなった。
似る,にる,to be similar,彼は私のとよく似た計画を提案した。
煮る,にる,"to boil, to cook, to simmer, to stew",必ず弱火で煮立たないように煮ること。
塗る,ぬる,"to paint, to colour, to plaster ",家にペンキを塗ってもらった。
寝る,ねる,"to go to bed, to sleep",昨夜は何時に寝ましたか。
練る,ねる,"to knead, to work over, to polish up, to train, to refine",粘りが出るまで小麦粉を練る。
乗る,のる,"to get on, to ride",あんな豪華客船に乗ってみたい。
載る,のる,"to appear (in print), to be recorded ",来月号にわが社の広告が載る。
貼る,はる,to stick,手紙に切手をはりましたか。
張る,はる,"to stick, to paste, to affix",綱がぴんと張っている。
降る,ふる,"to fall, e.g. rain or snow",出勤途中で降られた。
振る,ふる,"to wave, shake, swing, sprinkle, cast (actor), allocate (work)",彼女はさよならと手を振った。
減る,へる,"to decrease (in size or number), diminish, abate ",灯油の貯えが減ってきた。
経る,へる,"to pass, elapse, experience ",京都を経て大阪へ行く。
掘る,ほる,"to dig, excavate",そのまま掘り続けて。
彫る,ほる,"to carve, engrave, sculpture, chisel, to tattoo",大理石で像を彫った。
観る,みる,"to see, watch",子供たちは蝶々をよく観た。
見る,みる,"to see, watch",景気の回復の兆しが見られない。
診る,みる,to examine (medical),ちょっとのどを診ましょう。
盛る,もる,"to serve (food, etc.), fill up, prescribe ",調味料を盛る事は禁じられている。
漏る,もる,"to leak, run out",ボートに水が漏ってきた。
寄る,よる,"to approach, draw near, come near,  gather, stop by, visit",もう少し右に寄ってください。
因る,よる,"to be based on, come from, be due to, be caused by, depend on",実験結果による結論。
遣る,やる,"to do, have sexual intercourse, kill, give, dispatch",やってみたらどうですか。
割る,わる,"to divide, cut, break, to halve ",壁にぶつかって額を割った。
覆う,おおう,"to cover, hide, conceal, wrap, disguise ",地面を厚く覆っている落ち葉。
匂う,におう,"to be fragrant, smell, stink ",彼女のハンカチから香水が匂った。
誓う,ちかう,"to swear, vow, take an oath, pledge ",彼は禁酒を誓った。
使う,つかう,to use,電話を使ってもよろしいですか。
違う,ちがう,to differ,品質によって価格が違います。
願う,ねがう,"to desire, wish, request ",ご成功を願っております。
救う,すくう,"to rescue from, help out of ",この犬は山の遭難者を救うように訓練されている。
掬う,すくう,"to scoop, ladle out",泉の水を手ですくって飲んだ。
襲う,おそう,"to attack, assail. assault, strike",台風はどこを襲うか予測がつかない。
誘う,さそう,"to invite, ask, tempt, lure, induce",友人数人をお茶に誘った。
歌う,うたう,to sing,歌を歌って赤ん坊を寝かしつける。
慕う,したう,"to yearn for, miss, adore, love dearly ",生徒たちは担任の先生を慕っている。
雇う,やとう,"to employ, hire",あの会社に運転手として雇われている。
叶う,かなう,"to come true (wish), be suited",そのクラブに入会がかなった。
担う,になう,"to carry on shoulder, bear ",校務の責任を担っている。
奪う,うばう,to snatch away,
構う,かまう,"to mind, to care about, to be concerned about ",
給う,たまう,"to receive, to grant",
思う,おもう,"to think, to feel",
通う,かよう,to commute,
洗う,あらう,to wash,
嫌う,きらう,"to hate, to dislike, to loathe ",
拐う,さらう,"to carry off, to run away with, to kidnap, to abduct",
習う,ならう,to learn,
倣う,ならう,"to imitate, to follow, to emulate",
狙う,ねらう,to aim at,
払う,はらう,to pay,
貰う,もらう,to receive,
笑う,わらう,"to laugh, to smile",
狂う,くるう,"to go mad, to get out of order ",
揃う,そろう,"to become complete, to be equal, to be all present, to gather",
拾う,ひろう,"o pick up, to gather",
祝う,いわう,"to congratulate, to celebrate ",
扇ぐ,あおぐ,"to fan, to flap",
仰ぐ,あおぐ,"to look up (to), to respect, to depend on, to ask for, to eek, to revere, to drink, to take ",
描く,えがく,"to draw, to paint, to sketch, to depict, to describe ",
磨く,みがく,"to brush teeth, to polish",
嘆く,なげく,"to sigh, to lament, to grieve ",
動く,うごく,to move,
塞ぐ,ふさぐ,"to stop up, to close up, to block (up)",
築く,きずく,"to build, to pile up, to amass ",
濯ぐ,すすぐ,"to rinse, to wash out",
弾く,はじく,"to flip, to snap",
稼ぐ,かせぐ,"to earn income, to labor ",
防ぐ,ふせぐ,"to defend (against), to protect, to prevent",
急ぐ,いそぐ,to hurry,
注ぐ,そそぐ,"to pour (into), to irrigate, to pay, to fill, to feed (e.g. a fire) ",
除く,のぞく,"to remove, to exclude, to except ",
覗く,のぞく,"to peep in, to look in, to peek in, to stick out",
叩く,たたく,"to strike, to clap, to dust, to beat ",
砕く,くだく,"to break, to smash",
跨ぐ,またぐ,to straddle,
突く,つつく,"to thrust, to strike, to attack to poke, to nudge, to pick at",
懐く,なつく,to become emotionally attached ,
続く,つづく,to be continued,
担ぐ,かつぐ,"to shoulder, to carry on shoulder ",
届く,とどく,to reach,
解く,ほどく,to unfasten,
繋ぐ,つなぐ,"to tie, to fasten, to connect, to transfer (phone call) ",
招く,まねく,to invite,
凌ぐ,しのぐ,"to outdo, to surpass, to endure, to keep out (rain), to tide over, to pull through, to defy",
裁く,さばく,to judge,
響く,ひびく,to resound,
省く,はぶく,"to omit, to eliminate, to curtail, to economize ",
背く,そむく,"to run counter to, to go against, to disobey, to infringe ",
泳ぐ,およぐ,to swim,
乾く,かわく,to get dry,このドアのペンキはまだ乾いていない。
渇く,かわく,"to be thirsty, feel thirsty",喉が渇いていないのですか。
騒ぐ,さわぐ,"to make noise, rustle, be excited, clamour",そういう時に騒いではいけません。
開く,ひらく,to open an event,
歩く,あるく,to walk,
返す,かえす,to return something,
帰す,かえす,to send back,
倒す,たおす,"to throw down, to beat, to bring down, to blow down ",
通す,とおす,"to let pass, to overlook, to continue ",
直す,なおす,"to fix, to repair",
治す,なおす,"to cure, to heal, to fix, to correct, to repair ",
犯す,おかす,"to commit, to perpetrate, to violate, to rape ",
侵す,おかす,"to invade, to raid, to trespass, to violate, to intrude on ",
任す,まかす,"to entrust, to leave to a person ",
汚す,けがす,"to disgrace, to dishonour ",
探す,さがす,to look for,
捜す,さがす,"to search, to seek, to look for ",
流す,ながす,"to drain, to float, to shed (blood, tears), to cruise (e.g. taxi)",
逃す,のがす,"to let loose, to set free, to let escape ",
隠す,かくす,"to hide, to conceal",
訳す,やくす,to translate,
略す,りゃくす,to abbreviate,
起す,おこす,to wake,
残す,のこす,"to leave (behind, over), to bequeath, to save, to reserve ",
汚す,よごす,"to disgrace, to dishonour, to pollute, to contaminate, to soil, to make dirty",
崩す,くずす,"to destroy, to pull down, to make change (money)",
外す,はずす,"to unfasten, to remove",
浸す,ひたす,"to soak, to dip, to drench",
渡す,わたす,to hand over,
乱す,みだす,"to throw out of order, to disarrange, to disturb",
写す,うつす,to copy or photograph,
移す,うつす,"to remove, to transfer, to infect",
映す,うつす,"to project, to reflect, to cast (shadow)",
落す,おとす,to drop,
脅す,おどす,"to threaten, to menace",
戻す,もどす,"to restore, to put back, to return",
貶す,けなす,to speak ill of,
話す,はなす,to speak,
離す,はなす,"to part, divide, separate",
放す,はなす,"to separate, to set free",
潰す,つぶす,"to smash, to waste",
零す,こぼす,to spill,
騙す,だます,"to trick, to cheat, to deceive",
示す,しめす,"to denote, to show, to point out, to indicate",
試す,ためす,"to attempt, to test",
記す,しるす,"to note, to write down",
吊す,つるす,to hang,
許す,ゆるす,"to permit, to allow, to approve, to forgive",
下す,おろす,"to lower, to let go down",
卸す,おろす,"to sell wholesale, grated (vegetables)",
殺す,ころす,to kill,
壊す,こわす,"to break, destroy, demolish, wreck, ruin",その事が彼のすべての夢を壊した。
回す,まわす,"to turn, to revolve",
育つ,そだつ,"to raise (child), to be brought up, to grow (up)",
保つ,たもつ,"to keep, to preserve, to hold, to retain, to maintain, to support, to sustain, to last, to endure",
浮ぶ,うかぶ,"to float, to rise to surface, to come to mind",
叫ぶ,さけぶ,"to shout, to cry",
運ぶ,はこぶ,to transport,
結ぶ,むすぶ,"to tie, to bind, to link",
遊ぶ,あそぶ,"to play, to make a visit",
学ぶ,まなぶ,"to study (in depth), to learn, to take lessons in",
及ぶ,およぶ,"to reach, to come up to, to amount to, to befall, to happen to, to extend, to match, to equal",
選ぶ,えらぶ,to choose,
並ぶ,ならぶ,"to line up, to stand in a line",
転ぶ,ころぶ,"to fall down, to fall over",
掴む,つかむ,"to seize, to catch, to grasp",
歪む,いがむ,"to warp, to swerve, to deflect, to be crooked, to be distorted, to be bent, to incline, to slant",
拝む,おがむ,"to worship, to beg, to make a supplication",
含む,ふくむ,"to hold in the mouth, to bear in mind",
恵む,めぐむ,"to bless, to show mercy to",
励む,はげむ,"to be zealous, to brace oneself, to endeavour, to strive, to make an effort ",
囲む,かこむ,"to surround, to encircle",
凹む,へこむ,"to be dented, to be indented, to yield to, to give, to sink, to collapse,, to cave in, to be snubbed",
嵩む,かさむ,"to pile up, to increase",
憎む,にくむ,"to hate, to detest",
挟む,はさむ,"to interpose, to hold between, to insert",
刻む,きざむ,"to mince, to carve, to engrave",
惜しむ,おしむ,"to be frugal, to value, to regret",
軋む,きしむ,"to jar, to creak, to grate",
滲む,にじむ,"to run, to blur, to spread, to blot, to ooze",
霞む,かすむ,"to grow hazy, to be misty",
進む,すすむ,to make progress,
盗む,ぬすむ,to steal,
休む,やすむ,to rest,
沈む,しずむ,"to sink, to feel depressed",
涼む,すずむ,"to cool oneself, to cool off, to enjoy evening cool",
弾む,はずむ,"to spring, to bound, to bounce, to be stimulated, to be encourage, to get lively, to treat oneself to",
望む,のぞむ,"to desire, to wish for, to see, to command (a view of)",
臨む,のぞむ,"to look out on, to face, to deal with, to attend (function)",
痛む,いたむ,"to hurt, to feel a pain, to be injured",
畳む,たたむ,to fold (clothes),
妬む,ねたむ,"to be jealous, to be envious",
縮む,ちぢむ,"to shrink, to be contracted",
包む,つつむ,to wrap,
挑む,いどむ,"to challenge, to contend for, to make love to",
好む,このむ,"to like, to prefer",
頼む,たのむ,to ask (a favour),
阻む,はばむ,"to keep someone from doing, to stop, to prevent, to check, to hinder, to obstruct, to oppose, to thwart ",
萎む,しぼむ,"to wither, to fade (away), to shrivel, to wilt",
摘む,つまむ,"to pinch, to hold, to pick up",
悩む,なやむ,"to be worried, to be troubled",
歩む,あゆむ,"to walk, to go on foot",
恨む,うらむ,"to curse, to feel bitter",
絡む,からむ,"to entangle, to entwine",
睨む,にらむ,"to glare at, to scowl at, to keep an eye on",
弛む,たるむ,"to slacken, to loosen, to relax",
緩む,ゆるむ,"to become loose, to slacken ",
入る,はいる,"to enter, to contain",
放る,ほうる,to let go,
帰る,かえる,to go back,
反る,かえる,"to warp, to be warped, to curve",
返る,かえる,"to return, to come back, to go back",
凍る,こおる,"to freeze, to be frozen over, to congeal",
通る,とおる,to go through,
直る,なおる,"to be fixed, to be repaired",
治る,なおる,"to be cured, to heal",
怒る,いかる,"to get angry, to be angry",
罹る,かかる,to suffer from,
盛る,さかる,"to prosper, to flourish, to copulate (animals)",
叱る,しかる,to scold,
計る,はかる,"to measure, to weigh, to survey",
量る,はかる,"to measure, to weigh, to survey",
測る,はかる,"to measure, to weigh, to survey",
諮る,はかる,"to consult with, to confer",
図る,はかる,"to plot, to attempt, to plan, to take in, to deceive, to devise, to design",
光る,ひかる,"to shine, to glitter",
上る,あがる,to rise,
尖る,とがる,"to taper to a point, to become sharp, to be sour, to look displeased",
限る,かぎる,"to restrict, to limit, to confine",
契る,ちぎる,"to pledge, to promise, to swear ",
握る,にぎる,"to grasp, to hold a (thing) in one’s hand, grip",
送る,おくる,to send,
贈る,おくる,"to send, to give to, to award to, to confer on",
作る,つくる,to make,
造る,つくる,"to make, to create, to manufacture, to draw up, to write, to compose",
潜る,くぐる,"to drive, to pass through, to evade, to hide, to dive, to go underground",
探る,さぐる,"to search, to look for, to sound out ",
殴る,なぐる,"to strike, to hit",
巡る,めぐる,to go around,
潜る,もぐる,"to drive, to pass through, to evade, to hide, to dive (into or under water), to go underground",
茂る,しげる,"to grow thick, to luxuriate, to be luxurious",
怒る,おこる,"to get angry, to be angry ",
残る,のこる,to remain,
誇る,ほこる,"to boast of, to be proud of",
傲る,おごる,to be proud,
凝る,こごる,"to congeal, to freeze",
濁る,にごる,"to become muddy, to get impure ",
腐る,くさる,"to rot, to go bad",
勝る,まさる,"to excel, to surpass, to outrival ",
飾る,かざる,to decorate,
走る,はしる,to run,
毟る,むしる,"to pluck, to pick, to tear ",
弄る,いじる,"to touch, tamper with, play with",私のコンピュータをいじらないでくれ。
噛る,かじる,"to chew, bite (at), gnaw, nibble, munch, crunch",ネズミがパンをかじった。
詰る,なじる,"to rebuke, scold, tell off",世の中をなじる者は世の中からなじられる。
捩る,ねじる,"to twist, screw, distort, make a pun",その取っ手を右にねじると箱は開きます。
擦る,かする,"to touch lightly, to take a percentage (from)",
擦る,こする,"to rub, to chafe, to file, to frost (glass), to strike (match)",
削る,けずる,"to cut down little by little, to take percentage",
譲る,ゆずる,"to turn over, to assign, to hand over",
焦る,あせる,"to be in a hurry, to be impatient",
至る,いたる,"to come, to arrive",
語る,かたる,"to talk, to tell, to recite",
来る,きたる,"to come, to arrive, to due to, to be next, to be forthcoming",
渡る,わたる,to go across,
下る,くだる,"to get down, to descend",
移る,うつる,to move house or transfer,
写る,うつる,"to be photographed, to be projected",
映る,うつる,"to be reflected, to harmonise with, to come out (photo)",
祭る,まつる,"to deify, to enshrine",
劣る,おとる,"to fall behind, to be inferior to",
悟る,さとる,"to attain enlightenment, to perceive, to understand, to discern",
太る,ふとる,to become fat,
踊る,おどる,to dance,
辿る,たどる,"to follow (road), to pursue (course), to follow up",
戻る,もどる,to turn back,
唸る,うなる,"to groan, to moan, to roar, to howl, to growl, to hum, to buzz, to sough ",
抓る,つねる,to pinch,
捻る,ひねる,"to turn (a switch) on or off, to twist, to puzzle over",
祈る,いのる,to pray,
募る,つのる,"to invite, to solicit help participation etc ",
実る,みのる,"to bear fruit, to ripen",
配る,くばる,"to distribute, to deliver",
縛る,しばる,"to tie, to bind",
粘る,ねばる,"to be sticky, to be adhesive, to persevere, to persist, to stick to ",
炙る,あぶる,to scorch,
被る,かぶる,"to put on , wear, cover (one’s) head",
瞑る,つぶる,to close the eyes,
破る,やぶる,"o tear, to violate, to defeat, to smash, to destroy",
滑る,すべる,"to slide, to slip",
絞る,しぼる,"to press, wring, squeeze, rack, extort, exploit",私はオレンジジュースを絞った。
登る,のぼる,to climb,彼は少しずつ木を登っていった。
昇る,のぼる,"to arise, to ascend, to go up",
上る,のぼる,"to ascend, to go up, to climb",
余る,あまる,"to remain, to be left over, to be in excess, to be too many",
困る,こまる,to be worried,
迫る,せまる,"to draw near, to press",
黙る,だまる,to be silent,
鈍る,なまる,"to become less capable, to grow dull, to become blunt, to weaken",
煙る,けむる,to smoke (e.g. fire),
眠る,ねむる,to sleep,
湿る,しめる,"to be wet, to become wet, to be dump",
篭る,こもる,"to seclude oneself, to be confined in, to be implied, to be stuffy",
守る,まもる,"to protect, to obey, to guard, to abide (by the rules)",
曇る,くもる,"to become cloudy, to become dim",
頼る,たよる,"to rely on, to have recourse to, to depend on ",
触る,さわる,to touch,
障る,さわる,"to hinder, to interfere with, to affect, to do one harm, to be harmful to",
座る,すわる,to sit,
回る,まわる,to go around,
弱る,よわる,"to weaken, to be troubled, to be downcast, to be emaciated, to be dejected, to be perplexed, to impair",
すれ違う,すれちがう,"to pass by one another, to disagree, to miss each other",
あざ笑う,あざわらう,"to sneer at, to ridicule ",
潤う,うるおう,"to be moist, to be damp, to get wet, to profit by, to be watered, to receive benefits, to favor, to charm ",
戦う,たたかう,"to fight, to battle, to combat",
扱う,あつかう,"to handle, to deal with, to treat",
疑う,うたがう,"to doubt, to distrust, to be suspicious of, to suspect ",
従う,したがう,"o abide (by the rules), to obey, to follow, to accompany",
争う,あらそう,"to dispute, to argue, to be at variance, to compete",
賄う,まかなう,"to give board to, to provide meals, to pay",
補う,おぎなう,to compensate for,
行う,おこなう,to do,
失う,うしなう,"to lose, to part with",
養う,やしなう,"to rear, to maintain, to cultivate",
伴う,ともなう,"to accompany, to bring with, to be accompanied by, to be involved in",
占う,うらなう,"to forecast, to predict",
整う,ととのう,"to be prepared, to be in order, to be put in order, to be arranged",
敬う,うやまう,"to show respect, to honour",
漂う,ただよう,"to drift about, to float, to hang in air",
繕う,つくろう,"to mend, to repair, to fix, to patch up, to darn, to tidy up, to adjust, to trim ",
躓く,つまずく,"to stumble, to trip",
退く,しりぞく,"to retreat, recede, withdraw",彼は大統領の職から強制的に退くべきか。
