W1,W2,W3,W4,W5,W6,W7,W8
沿う,泣き出す,命ずる,詰まる,壊す,教える,持つ,眠る
盛る,頑張る,終える,跳ねる,侵す,増える,気がする,劣る
襲う,腹を立てる,静まる,暮れる,群がる,通る,区切る,拝む
掻く,告げる,定まる,着ける,誤る,楽む,流れる,障る
添う,洗う,澄ます,混ざる,移す,捗る,心得る,恨む
為す,覆う,覗く,持てる,屈む,儲ける,暴れる,励む
来る,近づく,突く,涸れる,繋ぐ,会う,始める,弱る
願う,歌う,悔やむ,占める,裁く,諦める,落着く,潤う
混む,間違える,暮らす,当たる,当たる,使う,認める,炙る
次ぐ,晒す,浮かぶ,染まる,拐う,上がる,痛める,怒る
汲む,諮る,減らす,乾かす,眠る,信じる,壊れる,臨む
貸す,欠ける,添える,齎らす,帰す,甘える,取る,賄う
組む,痛む,覚ます,延びる,助ける,出る,弱まる,行う
突く,比べる,重ねる,開ける,続ける,死ぬ,微笑む,配る
巻く,基づく,禁ずる,食べる,崩す,残る,勤まる,唸る
掘る,用いる,属する,填める,現れる,似合う,横切る,縮む
建つ,たがる,合わす,賭ける,戻す,雇う,係わる,絞る
開く,引く,強いる,填まる,卸す,求める,流行る,凝る
刺す,戻る,治まる,呉れる,志す,逃げる,付ける,造る
覆う,離れる,殖やす,逆らう,楽しむ,飛ぶ,探す,写る
富む,育つ,案じる,閉まる,蕩ける,屈服する,収める,悩む
救う,流れる,燃やす,下りる,透く,泣く,過ぎる,憎む
照る,吹く,逃がす,満ちる,担う,屈める,倒れる,諮る
就く,違う,築く,覚める,解く,怠る,背負う,失う
踏む,決まる,許す,挙げる,聞こえる,退く,放れる,すれ違う
剃る,騙す,有する,伸びる,ようになる,上げる,近付く,弾む
討つ,迫る,増える,痩せる,転がる,向く,遅れる,頂く
貼る,命じる,下がる,兼ねる,吊す,帰る,深める,瞑る
発つ,手に入れる,愛する,冷める,結ぶ,羨む,治める,挑む
居る,当てる,祝う,載せる,賜る,誘う,洒落る,あざ笑う
済む,登録する,徹する,見せる,騒ぐ,止める,縮める,扱う
沸く,奪う,被せる,焦げる,奪う,罵る,留まる,飾る
研ぐ,言われる,広げる,明ける,表す,営む,溢れる,頼む
増す,亡くなる,伸ばす,攻める,鳴る,失う,別れる,従う
蒔く,訪ねる,堪える,埋める,殺す,構える,止まる,譲る
立つ,片付ける,急ぐ,染める,負かす,押える,仕舞う,勝る
積む,倒れる,恋する,やり遂げる,許す,座る,紛れる,歪む
要る,異なる,起こす,留める,渇く,示す,強請る,欺く
空く,動かす,察する,擦れる,労る,急ぐ,備わる,絡む
請う,従う,煽てる,折れる,凌ぐ,喜ぶ,拗れる,敬う
飲む,勝る,集まる,危ぶむ,慣れる,付く,となる,治る
降る,支払う,繋げる,逸れる,探す,変わる,真似る,計る
経る,下がる,冷える,ぶら下げる,嫌がる,遣う,広まる,辿る
居る,嘘をつく,命じる,楽しむ,乱す,施す,加わる,挟む
死ぬ,触れる,連ねる,告げる,習う,呼ぶ,躊躇う,篭る
掃く,得る,果たす,足りる,乾く,遅れる,縮れる,実る
湧く,受け入れる,即する,過ぎる,続く,食べる,湿気る,赴く
点く,振る舞う,尋ねる,味わう,助かる,過ごす,藻掻く,入る
匂う,建てる,亡くす,落ちる,育つ,操る,弱める,涼む
抜く,持ってくる,曲がる,交ぜる,訳す,落ちる,逃れる,太る
撃つ,知らせる,育てる,焼ける,貶す,呼ぶ,差し引く,抓る
轢く,捨てる,飛ばす,嘗める,招く,入れる,気付く,募る
挿す,踊る,関する,用いる,交える,出かける,汚れる,座る
澄む,突く,報じる,滅ぼす,省く,揃える,付合う,睨む
接ぐ,減る,殖える,刺さる,盗む,やる,似合う,妬む
飼う,越える,濡らす,遂げる,呼び捨てにする,増える,着飾る,疑う
吹く,焼く,重なる,詫びる,叫ぶ,守る,優れる,繕う
酌む,残す,扇ぐ,乗せる,運ぶ,買う,途絶える,凹む
問う,植える,萎びる,ほめる,預かる,立つ,見直す,傲る
減る,通す,燃える,損なう,学ぶ,作る,間違う,擦る
差す,疲れる,罰する,捨てる,歩く,走る,外れる,凍る
止む,生む,冷やす,向ける,繋がる,加える,嵩張る,走る
這う,解除する,受かる,詰める,とする,動く,見る,帰る
診る,つつある,掛かる,濡れる,逃す,払う,仕掛ける,鈍る
取る,付く,調べる,溶ける,唱える,住む,進める,阻む
指す,立てる,超える,退ける,抜かす,遮る,廃れる,擦る
張る,思い出す,荒らす,賑わう,倣う,耕す,眺める,沈む
織る,下げる,慣らす,建てる,略す,数える,求める,傾く
違う,催す,異なる,起きる,保つ,聞く,見逃す,輝く
足す,乗せる,逸らす,生きる,溶かす,慎む,言い出す,契る
載る,救う,映える,逃げる,狙う,困る,固める,黙る
打つ,答える,信じる,留まる,倒す,働く,来る,滲む
乗る,気に入る,満たす,朽ちる,思う,見える,伝わる,呟く
成る,効く,代える,腫れる,急かす,止まる,苛める,緩む
溶く,吐く,延ばす,締める,通す,辞める,追い付く,粘る
注ぐ,恐れる,接する,宛てる,跨がる,終わる,離れる,叱る
蒸す,隠す,寄る,枯れる,生かす,出す,威張る,触る
噛む,愛する,砕く,悩ます,直す,含める,広める,上る
売る,割る,過ごす,割れる,届ける,決める,目指す,通る
嗅ぐ,好む,変える,更ける,変える,支える,似通う,上る
舞う,願う,捧げる,綴じる,漬ける,抱える,出会う,削る
撮る,達する,達する,慣れる,試す,訪れる,役立つ,送る
越す,頼る,仰ぐ,取れる,揺らぐ,怠ける,始める,弛む
去る,切れる,面する,親しむ,向かう,近づく,釣り合う,探る
吸う,行われる,換える,錆びる,隠す,失う,潰れる,祭る
釣る,取り戻す,因る,及ぼす,放す,喋る,膨れる,盛る
解く,富む,脱する,茹でる,浸す,覚える,忘れる,怒る
欠く,間違う,描く,溜める,回す,置く,蹴飛ばす,困る
聞く,使える,並べる,診る,泳ぐ,頼む,丸める,霞む
為る,呼ばれる,飽きる,浴びる,暮らす,飲む,仕上がる,嵩む
跳ぶ,優れる,濯ぐ,撫でる,通う,恵まれる,見舞う,滑る
吊る,話し合う,磨く,溜まる,断る,落とす,起こる,煙る
散る,遊ぶ,応じる,止める,透ける,着る,引っ掻く,噛る
刈る,足りる,収まる,閉める,汚す,備える,取り次ぐ,至る
吐く,飼う,替える,膨らむ,零す,待つ,止める,余る
行く,出会う,済ます,揚げる,蘇る,奪う,振舞う,回る
描く,雇う,害する,褒める,探検する,雇う,上回る,整う
入る,育てる,滅びる,泊める,迎える,備える,始まる,茂る
生る,尽くす,通じる,決める,開く,歩く,努める,痛む
採る,眺める,叩く,赤らむ,構う,伝える,恐れる,毟る
敷く,抱く,上がる,代わる,記す,教える,言う,殴る
使う,投げる,感じる,転がす,外す,着く,片寄る,誇る
寝る,図る,隔てる,売れる,嫌う,進む,裏返す,養う
押す,伝える,固まる,交ざる,浸す,忘れる,近寄る,悟る
撒く,取れる,高まる,化する,負ける,見つける,取り巻く,作る
泣く,計る,煮える,借りる,下す,押さえる,見渡す,休む
塗る,捕まえる,跨ぐ,付ける,狂う,乗る,逆上る,映る
割る,叫ぶ,防ぐ,帯びる,明かす,向かう,纏まる,握る
剃る,連れて行く,転じる,積もる,任す,仕える,見送る,量る
超す,沈む,反する,曲げる,許す,終える,勧める,掴む
掬う,応じる,論じる,漏れる,残す,出てくる,受け継ぐ,占う
観る,見つかる,消える,植わる,癒す,向く,乱れる,祈る
寄る,果たす,無くす,分ける,浸る,慕う,傷付く,頼る
酔う,塗る,照らす,率いる,浸かる,退く,挟まる,好む
負う,手伝う,注ぐ,混じる,拾う,凍える,纏める,捩る
蹴る,消す,稼ぐ,欠ける,控える,向ける,指差す,刻む
消す,叩く,要する,やっ付ける,示す,勝つ,緩める,摘む
誓う,見つめる,納まる,寄せる,渡す,例える,強まる,測る
書く,気がする,冷ます,浸ける,捜す,著す,炒める,下る
込む,着く,生やす,遅らす,焦がす,栄える,仕切る,囲む
射す,伸ばす,冴える,辞める,遊ぶ,喜ぶ,納める,図る
為す,折る,応ずる,抜ける,ようにする,達する,薄める,反る
得る,生まれる,分かる,化ける,犯す,歌う,隠れる,伴う
折る,役に立つ,散らす,混ぜる,司る,書く,深まる,濁る
産む,測る,続く,立てる,汚す,従う,送る,踊る
注す,殺す,懐く,果てる,落す,退ける,散蒔く,傾く
在る,減らす,禁じる,上げる,話す,耐える,呆れる,貫く
追う,貸す,訪ねる,着せる,洗う,泳ぐ,務める,湿る
召す,伺う,交わす,動かす,戦う,知る,揶揄う,光る
干す,包む,熱する,晴れる,覆す,覚える,留める,縛る
止す,省く,生える,閉じる,儲かる,間に合う,早める,恵む
