Kanji,Reading,Meaning
人工,じんこう,"artificial, man-made, human work, human skill, artificiality"
個人,こじん,"individual, private person, personal, private"
大人,おとな,adult
人気,にんき,"popularity, public favor, popularity, public favor"
人口,じんこう,population
人生,じんせい,human life
老人,ろうじん,"old person, senior citizen, the aged, the elderly"
人物,じんぶつ,"person, character, figure, personage, man, woman, one's character"
他人,たにん,"another person, other people, others"
人形,にんぎょう,"doll, puppet, figure"
人事,じんじ,"personnel affairs, human affairs, human resources"
主人,しゅじん,"head (of a household), proprietor (of a store), proprietress, landlord, landlad"
人民,じんみん,"people, public"
殺人,さつじん,"murder, homicide, manslaughter"
成人,せいじん,"adult, grownup"
婦人,ふじん,"woman, lady, adult female "
無人,むじん,"unmanned, uninhabited, unattended, deserted "
夫人,ふじん,wife
人類,じんるい,"mankind, humanity"
素人,しろうと,"amateur, layman, ordinary person, novice "
友人,ゆうじん,friend
小人,しょうにん,"child, small person"
人種,じんしゅ,"race (of people), type of person"
本人,ほんにん,"the person in question, the person themselves, said person"
人材,じんざい,"capable person, talented person"
名人,めいじん,"master, expert"
人権,じんけん,"human rights, civil liberties"
人目,ひとめ,"public gaze, public notice, attention"
新人,しんじん,"new face, newcomer, rookie, fresh recruit"
人情,にんじょう,"humanity, empathy, kindness, sympathy, human nature"
犯人,はんにん,"offender, criminal, culprit"
商人,しょうにん,"merchant, trader, tradesman, dealer, shopkeeper"
恋人,こいびと,"lover, sweetheart, boyfriend, girlfriend"
美人,びじん,beautiful woman
万人,ばんにん,"all people, everybody"
人々,ひとびと,"each person, people, men and women, everybody"
人格,じんかく,"personality, character, individuality, personhood"
職人,しょくにん,"craftsman, artisan, tradesman, worker, workman"
求人,きゅうじん,"recruiting, job offer, job vacancy"
一人前,いちにんまえ,"one portion, one serving, one person"
社会人,しゃかいじん,"working adult, full-fledged member of society"
人前,ひとまえ,"presence of other people, (in) public, (in) front of others"
白人,はくじん,"white person, Caucasian"
黒人,こくじん,black person
玄人,くろうと,"expert, professional, master, connoisseur "
