Sentences,Translation
母が爪で手を圧した。,My mother pressed her hand with her fingernails.
温子さんが爪にやすりをかけた。,Atsuko filed her fingernails. 
左手用のはさみ。,Left-handed scissors.
左の方を行くんだよ!,Keep to the left! 
左の道を行って下さい。,Please take the road on the left.
空さんは車を左車線に進めた。,Sora nosed the car into the left lane. 
それから左足で立つと、ゆっくりとこう言いました。,Then she stood upon her left foot and said slowly.
右回り。,A right-hand turn.
右への回転。,Rotation to the right. 
左右にも行けます。,Right and left we can go. 
小坂さんは左右を見た。,Kosaka-san looked right and left. 
右上から左下にかけての線。,Lines from top right to bottom left. 
英語を書くときの方向は左から右である。,The directionality of written English is from left to right. 
生後 77 日目、節子ちゃんはほ乳ビンを右手に取った。,"When 77 days old, Setsuko took the sucking bottle in her right hand. "
最高品質の宝石。,The highest quality gems. 
切子面のない宝石。,An unfaceted gem. 
宝石を売買する会社。,A firm that sells and buys jewelry. 
石鹸で洗う。,Wash with soap.
薬用石鹸。,Medicinal soap.
海底石油の採掘。,Subsea oil extraction.
石油資源を開発する。,Develop oil resources.
石炭を掘る。,Coal mining.
石炭化学工業。,Carbon Chemical Industry
磁石は鉄を引きつける。,Magnets attract iron.
天然磁石。,Natural magnets.
化石の採集。,Collecting fossils.
化石を発掘する。,Excavating fossils
石鹸は合成物質である。,Soap is a compound substance. 
若々しい社長。,A youthful CEO.
若い男性の店員。,A young male shop assistant.
 活発な若い女の子。,A sprightly young girl.
これは若者向きの車です。,This is a car for young people. 
我々は土地を若返らせた。,We rejuvenated the land.
私はその当時まだ若かった。,I was still young at that time.
子犬じゃないけど、まだ若いんだ。,"He's not a puppy, but he's still young. "
この作家は、若い女性の共感を得る。,This writer strikes a chord with young women. 
かれは太っていて、背はやや高く若い男だった。,"He was a stout, tallish young man. "
我が社のショールームは若い女性に大人気だった。,Our company's showroom was a hit with the ladies.
 良薬は口に苦し。,A good medicine tastes bitter. 
肉体的な苦しみ。,Physical suffering.
苦しみを共有する。,Share the suffering.
苦しんで前進した。,I suffered and moved on.
心は苦しみに満ちていた。,His heart was filled with pain.
相互依存。,Mutual dependence.
依願たいしょくする。,Retire voluntarily.
アルコール依存症。,Alcohol dependency. 
中東の石油に依存している。,Dependent on Middle Eastern oil. 
出演を依頼する。,Request to appear.
君の依頼は承知した。,Your request has been granted.
親への依存心が強い。,Strong dependence on parents.
薬物依存症。,Drug dependency.
砂を詰めた袋。,A bag filled with sand.
紐付きゴミ袋。,Garbage bag with drawstrings.
 有袋類の動物。,Marsupial animals. 
水を入れる皮袋。,A leather bag to hold water.
自分の手袋が見当たらない。,I can't find my gloves. 
倉庫に足袋はなん足ありますか。,How many pairs of tabi are left in the warehouse?
少年は大袋のポップコーンを 1 袋食べた。,The child ate a large bag of popcorn. 
少年は、機械的に袋を光の方に向けました。,The boy mechanically turned the bag toward the light. 
店員が商品を 1 個ずつビニールの袋に入れる。,The sales clerk put the items into a plastic bag one at a time. 
老人はラバに銀のいっぱい入った袋をのせた。,The old man loaded his mule with bags full of silver.
このような紙なら、一袋半クラウンは下らない。,Such paper could not be bought under half a crown a packet.
