Words,Meaning,Sentences,Translation
役者,"actor, actress",この役者のことはいままで聞いたことがない。,I've never heard of this actor.
データ,"data, datum",天気の予報は過去のデータに基づいて行われる。,"The weather is forecast, using the past data as a basis."
素人,"amateur, layman, ordinary person, novice",彼はしろうとの庭師だが、彼の育てる花は美しい。,"He is an amateur gardener, but his flowers are beautiful."
蝶,butterfly,少女たちはさながら蝶のように軽やかに踊っていた。,The girls were dancing lightly like so many butterflies.
革命,revolution,革命は新たな時代をもたらした。,The revolution brought in a new era.
洞窟,"cavern, cave, cave system, grotto",私たちはそのまま洞窟の口にボートで突っ込んで行きました。,We plunged into the cave opening on our boat and continued on.
ニコニコ,"with a friendly grin, smilingly",写真に写っている人は皆にこにこしている。,Everybody in the picture is smiling.
緑色,"green, emerald green, green color of new foliage, verdure",緑色である事がその種のりんごの特徴なのです。,A green color is a characteristic of that type of apple.
チェック,"check, plaid, checkered, checking, monitoring, looking over",少女は自転車の後部をチェックしている。,The girl is checking out the rear of the bicycle.
湿る,"to become damp, to become moist, to become wet, to lack energy, to be in a slump",太陽と湿った気候が熱帯雨林を作った。,The sun and a damp climate made the tropical rainforest.
