Grammar,Meaning,Structure,S1,S2,T1,T2
であることで,"because someone is (noun), being a (noun)",⚭ Noun + de aru koto de,この国では外国人であることで得をすることがある,,There are benefits to being a foreigner in this country.,
次第で,depending on,⚭ Noun + shidai de,努力次第で日本の小説が原文で読めるようになります,花火大会は天気次第で中止になる場合もあります,"Depending on your effort, you can be able to read Japanese novels in Japanese.",The fireworks display may be cancelled depending on the weather
次第だ,depends on,⚭ Noun + shidai da,万事は彼の決心次第だ,これから先は君の腕次第だ,Everything depends on his decision.,Now everything depends entirely on your ability.
と逆に,"against, contrast to, reverse, opposite, contrary to",⚭ Noun + to gyaku ni,風が我々の進行方向と逆に吹いている,天気予報と逆に雨が降り続いている,The wind is blowing against our direction of travel.,"Contrary to the weather forecast, it's been raining."
と逆の,"against, contrast to, reverse, opposite, contrary to",⚭ Noun + to gyaku no + Noun,彼は私と逆の見方をした,,He saw it the opposite way I did.,
と比べて,"compared with/to, in comparison to",⚭ Noun + to kurabete,以前と比 べて手紙を書く人の数が減ってきている,翻訳を原文と比べてみよう,The number of people writing letters is decreasing compared to the past.,Let’s try to compare the translation with the source text.
として,"as, in the capacity of",⚭ Noun + to shite,最近はモデルや女優としても活躍する歌手が増えてきた,京都は観光地として人気が高い,"Recently, more and more singers are also working as models and actresses.",Kyoto is very popular as a tourist destination.
としては,"as for, for",⚭ Noun + to shite wa,これは日本おアパートとしては大きい方です,このステーキは日本のステーキとしては安いです,"As for Japanese apartment, this one of the biggest ones.",This steak is cheap for a Japanese steak!
と違って,"unlike, different from",⚭ Noun + to chigatte,,,,
と違い,"unlike, different from",⚭ Noun + to chigai,,,,
と違う,"unlike, different from",⚭ Noun + to chigau + Noun,,,,
と違った,"unlike, different from",⚭ Noun + to chigatta + Noun,,,,
と同時に,"at the (same) time, when, as , while, as well as",⚭ Noun + to douji ni,,,,
と共に,"as well as, with, along with, at the same time, when",⚭ Noun + to tomo ni,,,,
と並んで,"as well as, alongside",⚭ Noun + to narande ,,,,
と並び,"as well as, along with",⚭ Noun + to narabi,,,,
と並ぶ,"as well as, along with",⚭ Noun + to narabu + Noun,,,,
と並行して,"parallel to, in parallel with, along with",⚭ Noun + to heikoushite,,,,
なしで,without,⚭ Noun + nashide (wa),,,,
なしに,without,⚭ Noun + nashini (wa),,,,
に当たって,"when, at , in the occasion of, before, prior to",⚭ Noun + ni attate,,,,
に当たり,"when, at , in the occasion of, before, prior to",⚭ Noun + ni atari,,,,
に当たっての,"when, at , in the occasion of, before, prior to",⚭ Noun + ni attate no + Noun,,,,
に合わせて,"according to, to, in accordance with, in proportion to, in conjunction with",⚭ Noun + ni awasete,,,,
