S1,T1,S2,T2,S3,T3
昨夜から今朝にかけて,from last night till this morning,新しい事業計画につき,about the new business plan,食べようか食べまいか,to eat or not
日本の歴史について,about Japanese history,値上がりす るそうだ,the price is going up,それに加え,in addition to this
例のとおりに,as usual,今日より,from today,元気がないようだ,doesn’t look well
おみやげに買ってきてくれる,they buy it as a souvenir,寝ているうちに,while asleep,忘れないうちに,before forgetting something
年のせいか,perhaps because of one's age,休ませていただきます,we will take a break,飲もうではないか,why don’t we drink
けい気き が悪いせいで,because of a bad temper,とても忙しい,very busy,苦汁を飲まされた,had a bitter experience
はっきりしていて読みやすい,clear and easy to read,思いどおりに,as one likes,話し合おうではないか,let's talk about it
分からないようでは,if you can't understand it,信じたおかげで,thanks for believing.,やがて雨になるかもしれない,it might rain eventually
その件に関しましては,as for that matter,損をせずに済んだ,didn't lose any money,使わずに済みました,didn’t have to use it
閉めるよりほかない,no choice but to close it,よくまとまっている,well organized,そうせざるを得ない,no choice but to do that
わずかに遅れている,slightly delayed,このごろ物忘れがひどい,been forgetful these days,間違いだらけ,full of errors
申し込み手続きに関して,in relation to application procedures,進みつつある,be in progress,旅行のたびに,every time I travel
面接に際して,on the occasion of interview,残高不足につき,due to insufficient balance,なかなか予定どおりに,as planned
延期せざるを得ないだろう,no choice but to postpone,みんなが迷惑している,everyone is annoyed,つい要い らないものまで買ってしまう,I end up buying things I don't need
作って驚かせよう,make it and surprise them!,去年より,from last year,わずかに減った,slightly reduced
購入するに際して,when you purchase,言うとおりに,as someone says,原因かもしれない,might be the cause
守っていこうではないか,let us protect it,次々と建てられている,being built one after another,昼間に比べて,compared to daytime
あの人のせいで,because of that man,この記き事じについて,about this sign,定休日につき,due to the regular holiday
わずに右に曲がっている,slightly bends to the right,掲載しようかすまいか,to publish or not,楽しみに待っています,looking forward to it!
黒板に書いたとおりに,as written on the blackboard,飛び回っている,flying around,面接を受けるに先立って,prior to the interview
信頼するよりほかはない,have no choice but to trust.,引き落としできません,cannot be debited,道は石ころだらけ,the road is full of stones
気のせいか,is it just my imagination?,暗くならないうちに,before it gets dark,合併計画が進められている,merger plans are underway
来週の水曜日より,from next Wednesday,進路について,about career paths,手伝ってくれたおかげ,thanks for the help
やがて到着するでしょう,they will arrive eventually,使えないようでは,if you can't seem to use it,大学生を中心とする,focused on college students
暮らしやすい,easy to live in,結婚しようかするまいか,to get married or not,若く見られることが多い,fften looks younger
文法の間違いが少ないことに加え,In addition to fewer grammatical errors,テレビを見ているうちに,while watching tv,気候が温暖なせいか,perhaps it's because of the mild climate
寒さが厳しいそうだ,I hear it's cold,駅前を中心に,centered in front of the station,活躍を聞くたびに,every time I hear about your success
なかなか思ったとおりに,not quite as expected,引っ越しに際して,upon moving,諦めざるを得ない,no choice but to give up
面接にあたり,on the occasion of an interview,面接の際に,during the interview,ずいぶん大きくなっていた,It had grown a lot
暗くなる前に,before it gets dark,解決できないようでは,if you can't seem to solve it,電車が出てしまった,the train has left
九州北部から中部にかけて,from northern to central Kyushu,申し込むに際して,when applying,激しい雨が降り続いた,heavy rains continued
テストに加えて,In addition to the test,環境問題に関する,relating to environmental issues,切符を買っているうちに,while buying a ticket
これからご説明いたします,let me explain now,肩から腰にかけて,from the shoulders to the waist,歩いていくよりほか仕方がない,no choice but to walk
値上がりに加え,In addition to price increases,待たずに済みました,didn't have to wait,医療技術の進歩のおかげで,thanks to advances in medical technology
