Kanji,Reading,Script,Meaning
打,う。つ　ダ,ボトルを打つ,Hit the Bottle
打,う。つ　ダ,くぎを打つ,Hitting the nail
打,う。つ　ダ,打者,Batter
打,う。つ　ダ,屋根を打つ雨の音,The sound of rain hitting the roof
打,う。つ　ダ,打ち合わせる,Meeting
投,な。げる　トウ,石を投げる,Throwing stones
投,な。げる　トウ,さじを投げる,Throwing a spoon
投,な。げる　トウ,投手,pitcher
投,な。げる　トウ,株に投資する,Invest in stocks
投,な。げる　トウ,新聞に投書する,Write a letter to a newspaper
押,お。す・さえる　オウ,録音ボタンを押す,Press the record button
押,お。す・さえる　オウ,判を押す,stamp a seal
押,お。す・さえる　オウ,押し入れ,closet
押,お。す・さえる　オウ,扉を押さえる,hold a door
押,お。す・さえる　オウ,押印,affix a seal
引,ひ。く・ける　イン,辞書を引く,look up a word in a dictionary
引,ひ。く・ける　イン,文を引用する,cite a sentence
引,ひ。く・ける　イン,引き算,subtraction
引,ひ。く・ける　イン,地球の引力,Earth's gravitational pull
引,ひ。く・ける　イン,引退する,Retire
拾,ひろ。う　ショウ　ジョウ,海岸で貝を拾う,Picking up shells on the beach
拾,ひろ。う　ショウ　ジョウ,タクシーを拾う,Picking up a cab
拾,ひろ。う　ショウ　ジョウ,拾得物の係,Picking up an item
拾,ひろ。う　ショウ　ジョウ,拾万円,"Picking up 10,000 yen"
拾,ひろ。う　ショウ　ジョウ,拾い出す,Picking up something
捨,すて。る　シャ,ごみを捨てる,Throw away trash
捨,すて。る　シャ,空き缶を投げ捨てる,Throwing away an empty can
捨,すて。る　シャ,四捨五入する,Rounding off
捨,すて。る　シャ,吐き捨てる,Spit it out
捨,すて。る　シャ,使い捨てる,Use and throw away
折,お。る・れる　おり　セツ,ナプキンを折る,Fold a napkin
折,お。る・れる　おり　セツ,折り紙,Origami
折,お。る・れる　おり　セツ,木の枝が折れる,Break a tree branch
折,お。る・れる　おり　セツ,角を右折する,Turn the corner to the right
折,お。る・れる　おり　セツ,折り合い,Fold together
抜,ぬ。く・ける・かす・かる　バツ,くぎを抜く,pull out a nail
抜,ぬ。く・ける・かす・かる　バツ,腰を抜かす,break the back
抜,ぬ。く・ける・かす・かる　バツ,手抜かりはない,do a good job
抜,ぬ。く・ける・かす・かる　バツ,抜群の成績,outstanding performance
抜,ぬ。く・ける・かす・かる　バツ,抜け出す,get out of bed
掛,か。ける・かる　かかり,布団を掛ける,to hang up a futon
掛,か。ける・かる　かかり,掛け算,multiply
掛,か。ける・かる　かかり,絵が掛かっている,a picture is hanging on the wall
掛,か。ける・かる　かかり,手掛かりがない,no clue
掛,か。ける・かる　かかり,切っ掛け,a clue
呼,よ。ぶ　コ,名前を呼ぶ,call someone's name
呼,よ。ぶ　コ,教室の外へ呼び出す,Call out of the classroom
呼,よ。ぶ　コ,呼吸をする,Breathe
呼,よ。ぶ　コ,点呼する,Roll call
呼,よ。ぶ　コ,呼気,Exhalation
吸,す。う　キユウ,息を吸う,Breathe in
吸,す。う　キユウ,スポンジが水を吸う,Sponge absorbs water
吸,す。う　キユウ,土が雨水を吸収する,Soil absorbs rainwater
吸,す。う　キユウ,深呼吸する,Take a deep breath
吸,す。う　キユウ,吸い込む,Inhale
吹,ふ。く　スイ,口笛を吹く,Whistling
吹,ふ。く　スイ,強い風が吹く,A strong wind blows
吹,ふ。く　スイ,吹奏楽,wind (instrument) music
吹,ふ。く　スイ,吹雪,blizzard
吹,ふ。く　スイ,吹き付ける,blow against
叫,さけ。ぶ　キョウ,「火事だ」と叫ぶ,"Shouting, ""Fire!"""
叫,さけ。ぶ　キョウ,叫び声,Scream
叫,さけ。ぶ　キョウ,絶叫する,Screaming
叫,さけ。ぶ　キョウ,泣き叫ぶ,Crying and screaming
叫,さけ。ぶ　キョウ,叫び,Screaming
起,お。きる・こる・こす　キ,7時に起きる,I wake up at seven.
起,お。きる・こる・こす　キ,戦争が起こる,War is coming
起,お。きる・こる・こす　キ,起床する,Rise and shine.
起,お。きる・こる・こす　キ,全員起立,All rise
起,お。きる・こる・こす　キ,起工式,Groundbreaking ceremony
寝,ね。る・かす　シン,ベッドに寝る,Lying in bed
寝,ね。る・かす　シン,昼寝をする,Take a nap
寝,ね。る・かす　シン,子どもを寝かす,Putting the children to bed
寝,ね。る・かす　シン,寝室,Bedrooms
寝,ね。る・かす　シン,寝台車,Sleeping car
