Sentences,Translate
この問題について，みなで考えようではありませんか。,Let's think about this issue together.
一人一人がごみを減らす努力をしようではないか。,Let each one of us make an effort to reduce waste.
目標に向かってお互いがんばろうじゃないか!,Let's do our best to reach our goals!
やりつけないことをして疲れた。,I'm tired of doing things I can't do.
母の苦労を見るにつけ、子ども心に胸が痛んだ。,"As I watched my mother's hardship, my heart ached like a child's."
官僚の汚職事件を見るにつけ聞くにつけ腹が立つ。,"The more I saw and heard about bureaucratic corruption cases, the angrier I got."
試験での失敗を思い出すにつけ、悔しさがよみがえる。,"The more I remembered my failures in exams, the more I felt frustrated."
本を読むにつけ、文章を書くにつけ，辞書は必需品だ。,A dictionary is a necessity for reading and writing.
松田選手は試合の結果がいいにつけ悪いにつけ、そのビデオを見て研究しているそうだ。,"I heard that Matsuda watches and studies the videos of his matches, whether the results are good or bad."
うれしいにつけ悲しいにつけ、私は母に手紙を書いた。,"Happy or sad, I wrote a letter to my mother."
怠け者の彼は雨につけ風につけ学校を休みたがる。,He was lazy and wanted to miss school because of the rain and wind.
私は雨女で、子どものころ、遠足と言うといつも雨が降ったものだ。,"I am a rain woman, and when I was a child, it always rained on our field trips."
父は野球が大好きで、シーズン中はテレビと言えば野球中継ばかりだ。,"My father loved baseball, and during the season, the only thing on TV was the baseball games."
恋人と別れたときの寂しさといったら、泣きたいぐらいだった。,"When he broke up with his girlfriend, he was so sad that he wanted to cry."
その時の彼の顔といったら、幽霊でも見たかのように真っ青だった。,His face at that time was so pale that it looked like he had seen a ghost.
なぜこの大学を選んだかというと、学習環境が整っているからです。,The reason why I chose this university was because of its excellent learning environment.
日本では花と言えば桜だ。,"In Japan, the word for flower is cherry blossoms."
東京で若者の街と言ったら、そりゃあ渋谷に原宿だろう。,"In Tokyo, the streets for young people are probably Shibuya and Harajuku."
日本料理というと、まずてんぷらやすしが思い浮かぶ。,"When I think of Japanese cuisine, the first things that come to mind are tempura and sushi."
そう言えば、朝から顔色が悪かったですね。,"Speaking of which, you were looking a little pale this morning."
発音が悪いといえば、私も昔、こんな失敗がありましたよ。,"Speaking of bad pronunciation, I also made this mistake a long time ago."
山田先生といえば、今度本を出版なさるそうだよ。,"Speaking of Dr. Yamada, I heard that she is going to publish a book."
父は禁煙すると言いつつたばこを吸い続けている。,"My father says he is going to quit smoking, but he continues to smoke."
頭では「行かなければ」と考えつつも、体が動かなかった。,"In my head, I was thinking that I had to go, but my body was not moving."
彼女の話をうそと知りつつ、お金を貸してあげた。,"I knew her story was a lie, but I lent her some money."
私は利益を追求しつつ社会貢献もする、そういう会社をつくりたいと思います。,I would like to create such a company that pursues profit but also contributes to society.
彼は公務員として働きつつ小説を書きつづけ、ついに有名な賞を受賞した。,"While working as a civil servant, he continued to write novels and finally won a famous prize."
