Words,Reading,Meaning,Type,S1,S2,T1,T2,T3,S3,W1,W2,W3
遭う,あう,"to meet, to encounter (undesirable nuance) ",intrans.,,,,,,,,,
追う,おう,"to chase, to run after, to follow, to drive out, to be pressed (time)",trans.,,,,,,,,,
負う,おう,"to bear, to carry on one's back, to take responsibility, to owe, to be injured",trans.,,,,,,,,,
飼う,かう,"to keep, to raise, to feed",trans.,,,,,,,,,
請う,こう,"to ask, to request, to beg, to invite ",trans.,,,,,,,,,
吸う,すう,"to smoke, to suck, to breathe in, to inhale ",trans.,,,,,,,,,
沿う,そう,"to run along, to follow, to comply with",trans.,,,,,,,,,
添う,そう,"to accompany, to become married, to comply with ",intrans.,,,,,,,,,
問う,とう,"to ask, to inquire, to question, to charge, to accuse, without regard to (neg) ",trans.,,,,,,,,,
縫う,ぬう,"to sew, to stitch, to weave one's way (through a crowd) ",trans.,,,,,,,,,
這う,はう,"to creep, to crawl",intrans.,,,,,,,,,
舞う,まう,"to dance, to flutter about, to revolve ",intrans.,,,,,,,,,
酔う,よう,"to get drunk, to become",intrans.,,,,,,,,,
開く,あく,"to open, to become open",trans.intrans.,,,,,,,,,
空く,あく,"to open, to become empty",intrans.,,,,,,,,,
行く,いく,to go,intrans.,,,,,,,,,
浮く,うく,"to float, to become merry, to become loose",intrans.,,,,,,,,,
置く,おく,to put,trans.,,,,,,,,,
書く,かく,to write,trans.,,,,,,,,,
描く,かく,"to draw, to paint, to sketch, to depict, to describe ",trans.,,,,,,,,,
掻く,かく,"to scratch, to perspire",trans.,,,,,,,,,
欠く,かく,"to lack, to break, to crack, to chip ",trans.,,,,,,,,,
嗅ぐ,かぐ,"to sniff, to smell",trans.,,,,,,,,,
聞く,きく,"to hear, to listen to, to ask",trans.,,,,,,,,,
漕ぐ,こぐ,"to row, to scull, to pedal",trans.,,,,,,,,,
咲く,さく,to bloom,intrans.,,,,,,,,,
裂く,さく,"to tear, to split",trans.,,,,,,,,,
敷く,しく,"to spread out, to lay out",godan,,,,,,,,,
炊く,たく,"to boil, to cook",trans.,,,,,,,,,
焚く,たく,"to burn, to kindle, to build a fire ",trans.,私の母は毎朝パンを焼く。,私は浜辺で肌を焼いた。,My mother bakes bread every morning.,I burned my skin on the beach.,How shall I cook the steak?,ステーキはどのように焼きましょうか。,,,
就く,つく,"to take (seat, position), to get (a job) ",intrans.,彼は教職に就いた。,彼は大統領によって要職に就いた。,He got a teaching job.,He was given a key position by the president.,He got the job through the kind help of a friend.,彼は友達の親切な世話でその職に就いた。,,,
点く,つく,"to catch fire, (electricity) comes on ",intrans.,カーテンに火が点いた。,浴室の電気がつきません。,The curtains were set on fire.,The light in the bathroom doesn't work.,It's strange that the lights are on in the office at this time of night.,この時間に会社に電気がついているのは変だ。,,,
突く,つく,"to thrust, to strike, to poke ",trans.,針で親指を突いてしまった。,くぎが壁を突きぬけた。,I poked my thumb with a needle.,The nail went through the wall.,I didn't feel anything when he was poking around there.,彼がその辺りを突いてても何も感じなかったんだ。,,,
注ぐ,つぐ,"to pour (into), to irrigate, to pay ",trans.,彼にビールを一杯注いであげてください。,彼女はお客たちにお茶をついだ。,Please pour him a glass of beer.,She poured tea for the guests.,"Come on, Mr. Nakauchi. Let's pour a drink.",さあ、中内さん。一杯つぎましょう。,,,
次ぐ,つぐ,"to rank next to, to come after ",intrans.,きれい好きは敬神に次ぐ美徳。,会合は次ぎの日曜日に行われる。,A love of cleanliness is a virtue second only to godliness.,The meeting will be held next Sunday.,She's the next best pianist after Mr. Long.,彼女はロング氏に次ぐ最高のピアニストです。,,,
接ぐ,つぐ,"to join, to pice together, to set (bones), to graft (tress)",trans.,医者は彼の折れた足をついだ。,,The doctor picked up his broken leg.,,,,,,
継ぐ,つぐ,to succeed,trans.,彼に家業を継ぐようにときつけた。,この会社は誰が引き継ぐと思う？,I told him to take over the family business.,Who do you think's going to take over this company?,Who is going to take over your father's business?,誰があなたのお父さんの事業を継ぐのですか。,,,
解く,とく,"to unfasten, to solve",trans.,靴ひもを解く。,包みを解く。,Untie the shoelace.,Unwrapping it.,She untied the bandage on his forehead.,彼女は彼の額の包帯を解いてやった。,理解。解決。解放,,
溶く,とく,to dissolve (paint),trans.,塩を水で溶く。,,Dissolve the salt in water.,,,,溶岩。溶液。溶解,,
説く,とく,"to explain, to advocate, to preach, to persuade ",godan,先生はこの点を詳細に説いた。,彼は息子の誤りをこんこんと説いた。,The teacher explained the point at length.,He explained earnestly to his son what was wrong with his behavior.,I persuaded the president to adopt a new system.,社長を説いて新方式を採用してもらった。,説明。演説。説得,,
退く,どく,"to retreat, to recede, to withdraw ",intrans.,じゃまにならないようにわきへどきなさい。,彼は一歩退いた。,Move to the side so you'll be out of the way.,He took a step backward.,He held his ground.,彼は一歩も退かなかった。,退屈。退院。退学,,
研ぐ,とぐ,"to sharpen, to grind, to scour, to hone, to polish, to wash(rice) ",trans.,包丁を砥石で研ぐ。,革でかみそりを研ぐ。,sharpen a kitchen knife on a whetstone,strop [strap] a razor,wash rice,米を研ぐ。,研究。研修。研究所,,
泣く,なく,"to weep, to cry",godan,,,,,,,,,
抜く,ぬく,"to extract, to omit, to surpass, to draw out, to unplug ",trans.,,,,,,,,,
脱ぐ,ぬぐ,to take off clothes,trans.,,,,,,,,,
履く,はく,"to wear, to put on (lower body) ",trans.,,,,,,,,,
吐く,はく,"to breathe out, to breathe, to tell (lies), to vomit, to disgorge, to throw up, to emit, to send forth, to make comment, to tell, to confess",trans.,,,,,,,,,
掃く,はく,"to sweep, to brush, to gather up ",trans.,,,,,,,,,
剥ぐ,はぐ,"to tear off, to peel off, to rip off, to strip off, to skin, to flay, to disrobe, to deprive of ",trans.,,,,,,,,,
弾く,ひく,"to play an instrument with strings, including piano ",trans.,,,,,,,,,
轢く,ひく,"to run somebody over (with vehicle), to knock someone down ",trans.,,,,,,,,,
吹く,ふく,to blow,trans.intrans.,,,,,,,,,
拭く,ふく,"to wipe, to dry",trans.,,,,,,,,,
巻く,まく,"to wind, to coil, to roll",trans.,,,,,,,,,
蒔く,まく,to sow (seeds),trans.,,,,,,,,,
撒く,まく,"to scatter, to sprinkle, to sow ",,,,,,,,,,
剥く,むく,"to peel, to skin, to pare, to hull ",,,,,,,,,,
焼く,やく,"to bake, to grill",,,,,,,,,,
沸く,わく,"to boil, to grow hot, to get excited ",,,,,,,,,,
湧く,わく,"to boil, to grow hot, to get excited, to gush forth ",,,,,,,,,,
押す,おす,"to push, to stamp something ",,,,,,,,,,
貸す,かす,to lend,,,,,,,,,,
消す,けす,"to erase, to turn off power",,,,,,,,,,
越す,こす,"to go over (audience), to cross over (mountain), to pass time (winter)",,,,,,,,,,
超す,こす,"to cross, to pass, to tide over, to surpass",,,,,,,,,,
差す,さす,"to stretch out hands, to raise an umbrella",,,,,,,,,,
指す,さす,"to point, to nominate, to select someone, to identify, to indicate",,,,,,,,,,
刺す,さす,"to pierce, to stab, to prick, to thrust ",,,,,,,,,,
挿す,さす,"to insert, to put in, to graft, to wear in belt ",,,,,,,,,,
注す,さす,"to pour (drink), to serve (drinks) ",,,,,,,,,,
射す,さす,"to shine, to strike",,,,,,,,,,
足す,たす,"to add numbers, to add something, to top up with something",,,,,,,,,,
出す,だす,"to put out, to take out, to get out, to show, to submit, to publish, to send",,,,,,,,,,
為す,なす,"to accomplish, to do, to build up, to establish, to form",,,,,,,,,,
干す,ほす,"to air, to dry, to desiccate, to drain (off), to drink up ",,,,,,,,,,
増す,ます,"to increase, to grow",,,,,,,,,,
蒸す,むす,"to steam, to poultice, to be sultry ",,,,,,,,,,
召す,めす,"to call, to send for, to put on, to wear, to take (a bath), to ride in, to buy, to eat, to drink",,,,,,,,,,
止す,よす,"to cease, to abolish, to resign, to give up ",,,,,,,,,,
打つ,うつ,to hit,,,,,,,,,,
撃つ,うつ,"to attack, to defeat, to destroy ",,,,,,,,,,
討つ,うつ,"to attack, to avenge",,,,,,,,,,
勝つ,かつ,to win,,,,,,,,,,
立つ,たつ,to stand,,,,,,,,,,
経つ,たつ,"to pass, to lapse",,,,,,,,,,
建つ,たつ,"to erect, to be erected, to be built ",,,,,,,,,,
発つ,たつ,"to depart (on a plane, train, etc.) ",,,,,,,,,,
絶つ,たつ,"to sever, to cut off, to suppress, to abstain (from) ",,,,,,,,,,
打つ,ぶつ,"to hit, to strike",,,,,,,,,,
死ぬ,しぬ,to die,,,,,,,,,,
飛ぶ,とぶ,"to fly, to hop",,,,,,,,,,
跳ぶ,とぶ,"to jump, to fly, to leap",,,,,,,,,,
呼ぶ,よぶ,"to call out, to invite",,,,,,,,,,
編む,あむ,to knit,,,,,,,,,,
産む,うむ,"to give birth, to deliver, to produce ",,,,,,,,,,
噛む,かむ,"to bite, to chew",,,,,,,,,,
組む,くむ,to put together,,,,,,,,,,
汲む,くむ,"to draw (water), to dip, to scoop, to pump",,,,,,,,,,
酌む,くむ,to serve sake,,,,,,,,,,
込む,こむ,to include,,,,,,,,,,
混む,こむ,to be crowded,,,,,,,,,,
住む,すむ,to live in,,,,,,,,,,
済む,すむ,to finish,,,,,,,,,,
澄む,すむ,"to clear (e.g. weather), to become transparent",,,,,,,,,,
積む,つむ,"to pile up, to stack",,,,,,,,,,
富む,とむ,"to be rich, to become rich",,,,,,,,,,
飲む,のむ,to drink,,,,,,,,,,
踏む,ふむ,to step on,,,,,,,,,,
揉む,もむ,"to rub, to crumple (up), to wrinkle ",,,,,,,,,,
止む,やむ,to stop,,,,,,,,,,
病む,やむ,"to fall ill, to be ill",,,,,,,,,,
有る,ある,"to be, to have(used for inanimate objects)",,,,,,,,,,
在る,ある,"to live, to be",,,,,,,,,,
居る,いる,"to be, to have (used for people and animals)",,,,,,,,,,
要る,いる,to need,,,,,,,,,,
煎る,いる,"to parch, to fry",,,,,,,,,,
炒る,いる,"to roast, to parch, to toast, to boil down​",,,,,,,,,,
入る,いる,"to get in, to go in, to come in, to flow into, to set, to set in ",,,,,,,,,,
売る,うる,to sell,,,,,,,,,,
得る,うる,"to get, to gain, to win",,,,,,,,,,
得る,える,"to get, to gain, to win",,,,,,,,,,
折る,おる,to break or to fold,,,,,,,,,,
居る,おる,"to be (animate), to be, to exist ",,,,,,,,,,
織る,おる,to weave,,,,,,,,,,
刈る,かる,"to cut (hair), to mow (grass), to harvest",,,,,,,,,,
来る,くる,to come,,,,,,,,,,
蹴る,ける,to kick,,,,,,,,,,
去る,さる,"to leave, to go away",,,,,,,,,,
為る,する,to do,,,,,,,,,,
為す,なす,to print,,,,,,,,,,
剃る,する,to shave,,,,,,,,,,
剃る,そる,to shave,,,,,,,,,,
散る,ちる,"to fall, to scatter (e.g.blossoms)",,,,,,,,,,
釣る,つる,"to fish, to lure, to temp",trans.,川で魚が釣れましたか,金に釣られて真相をしゃべった,Did you catch any fish in the river?,"Tempted by the money, he let out the secret.",I didn't catch as many fish as I thought I would.,思っていたほど魚は釣れなかった,釣具。釣り合い。釣り堀,,
吊る,つる,to hang,,,,,,,,,,
照る,てる,to shine,,,,,,,,,,
取る,とる,to take something,,,,,,,,,,
撮る,とる,to take a photo or record a film ,,,,,,,,,,
採る,とる,"to adopt (measure, proposal), to pick (fruit)",,,,,,,,,,
捕る,とる,"to take, to catch (fish), to capture ",,,,,,,,,,
鳴る,なる,to sound,,,,,,,,,,
為る,なる,"to change, to be of use, to reach to ",,,,,,,,,,
成る,なる,to become,,,,,,,,,,
生る,なる,to bear fruit,,,,,,,,,,
似る,にる,to be similar,,,,,,,,,,
煮る,にる,"to boil, to cook, to simmer, to stew",,,,,,,,,,
塗る,ぬる,"to paint, to colour, to plaster ",,,,,,,,,,
寝る,ねる,"to go to bed, to sleep",,,,,,,,,,
練る,ねる,"to knead, to work over, to polish up ",,,,,,,,,,
乗る,のる,"to get on, to ride",,,,,,,,,,
載る,のる,"to appear (in print), to be recorded ",,,,,,,,,,
貼る,はる,to stick,trans.,ポスターを壁にはった,手紙に切手をはりましたか,We put up posters on the walls.,Did you put [stick] a stamp on the letter?,He applied plasters to his shoulders.,膏薬を肩にはった,貼付。貼り付ける。貼り合わせる,,
張る,はる,"to stick, to paste, to affix",trans.,会場の周りに幕を張った,綱がぴんと張っている,They put up curtains around the hall.,The rope is stretched tight.,put up a ceiling,天井を張る,緊張。出張。拡張,,
降る,ふる,"to fall, e.g. rain or snow",,,,,,,,,,
振る,ふる,"to wave, to shake, to swing, to sprinkle, to cast (actor), to allocate (work)",,,,,,,,,,
減る,へる,"to decrease (in size or number), to diminish, to abate ",,,,,,,,,,
経る,へる,"to pass, to elapse, to experience ",,,,,,,,,,
掘る,ほる,"to dig, to excavate",,,,,,,,,,
彫る,ほる,"to carve, to engrave, to sculpture, to chisel",,,,,,,,,,
観る,みる,"to see, to watch",,,,,,,,,,
見る,みる,"to see, to watch",,,,,,,,,,
診る,みる,to examine (medical),,,,,,,,,,
盛る,もる,"to serve (food, etc.), to fill up, to prescribe ",,,,,,,,,,
漏る,もる,"to leak, to run out",,,,,,,,,,
