W1,T1,W2,T2,W3,T3,W4,T4,W5,T5,W6,T6
夏,summer,用,use,主義,principle,息子,son,体系,system,死者,dead
西,west,動作,movement,霊,spirit,パン,pan,半分,half,実質,actual
売り上げ,sell,構想,conception,野菜,vegetables,ファッション,fashion,夕食,dinner,先頭,first
ありがたい,thank you,思わず,not think,お話し,story,窓口,window,市町村,city,なん,what?
生まれる,to be born,ゲーム,games,組み合わせ,combination,ピーター,peter,部屋,room,寺,temple
だめ,no,掲載,publish,にあたって,in terms of,製作,production,取引,transaction,パパ,dad
割る,split,年間,year,ピンク,pink,統一,unify,おく,give,信仰,faith
アクション,action,先日,the other day,祭り,festival,照らす,illuminate,そりゃ,that is,引退,withdraw
もう,soon,食,eat,時には,sometimes,参考,reference,夢,dream,ことば,words
練習,practice,国立,national,期間,period,ビル,bill,防衛,defense,とくに,especially
コール,call,だす,let's go,言,say,命令,command,大事,it's okay,論争,controversy
遺伝子,gene,起動,start,パターン,pattern,さす,sasu,静か,quiet,やめる,no!
望ましい,desirable,なんと,how,順番,order,億,billion,果たして,as a result,過去,past
など,etc.,楽しい,fun,使える,use,無視,ignore,負う,lose,帰る,return
会議,meeting,自慢,pride,工業,industry,財務,financial,生み出す,bring forth,弾,bullet
笑,laughter,大,large,レベル,level,じゃん,jaan,農村,farm village,役割,role
したがう,according to,現地,local,費,expense,財産,property,韻,rhyme,頻繁,frequent
度目,degree,転職,change of occupation,対応,response,重い,heavy,同盟,alliance,収録,collection
変更,change,ブル,bull,改造,modify,構造,structure,執筆,writing,午後,afternoon
部分,part,とうとう,at last,そうそう,so and so,用品,supplies,日付,date,落とす,drop
真,right,弁護,lawyer,近代,modern,対戦,vs.,振動,vibration,周,around
土曜日,saturday,ぶつ,things,続き,continue,お知らせ,notice,圧倒的,overwhelming,悲劇,tragedy
グリーン,green,自,self,最終,last,テイ,tay,要素,factor,上場,listed
そろそろ,it's about time,あくまで,all the way,ログ,log,期待,expectation,高齢,older,これら,these
いっしょ,together,プリント,print,人事,personnel,健康,healthy,リスク,risk,達成,achieve
済み,finished,深める,deepen,原理,principle,ころ,around,入院,admission,派,dispatch
戦い,fight,すら,i'm sorry,目立つ,stand out,怪我,injury,蠅,fly,購入,purchase
宇宙,space,仲間,fellow,保全,preservation,ともかく,both,学部,faculty,ライター,writer
番組,program,爆弾,bomb,イスラム,islam,親切,kindness,幅広い,broad,ねる,sleep
太郎,taro,源,source,もと,original,くらう,give,ほど,about,機種,model
違法,illegal,クリスマス,christmas,欠く,missing,当たる,hit,操作,operate,静岡,shizuoka
習う,learn,ぽい,poke,宮,palace,図書館,library,修行,practice,テキスト,text
拡張,expand,個,individual,請求,request,誕生,birth,部,part,つつ,make
民主党,democrats,テニス,tennis,襲う,attack,残す,remaining,オープン,open,同じ,same
後者,later,なにか,something,空,empty,ラスト,last,北朝鮮,north korea,ひる,one day
チベット,tibet,ジョン,john,再,again,失う,lose,気づく,notice,金曜日,friday
鉄,iron,日常,daily,デザイン,design,盛り上がる,get excited,突破,break through,自信,self-confidence
たまたま,by chance,改行,revise,地獄,hell,字,character,人工,artificial,相互,mutual
でる,on,友達,friend,道具,tools,ン,through,開発,development,年,year
村,village,市内,city,る,r,プレゼント,present,年齢,age,超える,go beyond
影響,influence,したがって,therefore,綺麗,clean,等,etc.,カテゴリ,category,補足,supplement
答える,answer,具合,condition,投げる,throw,メールアドレス,email address,つける,make,化,chemical
くれる,get,管理,management,中心,central,のんびり,relax,に関して,with respect to,務める,serve
香港,hong kong,通す,pass through,ろ,russia,星,star,混乱,confusion,それなり,in its own way
リリース,release,ジャズ,jazz.,フィールド,field,求人,job,アーティスト,artists,既に,already
教会,church,路,road,マンション,mansion,悩む,distress,現金,cash,路線,route
アル,al,空港,airport,案内,guide,場所,place,側面,side,鍋,pot
異,different,効く,effect,国際,international,読書,reading,ママ,mom,学会,conference
独自,unique,つらい,painful,やたら,too much,再び,again,ベトナム,vietnam,もしか,maybe.
非常,emergency,紙,paper,プレイヤー,player,神,god,銀行,bank,カバー,cover
経緯,longitude and latitude,投入,throw in,英会話,english conversation,ルール,rules,近づく,get close,商売,business
シリーズ,series,ホール,hall,姿勢,posture,駄目,no,仕事,work,遠く,far
演じる,perform,信頼,trust,閉じる,close,喜び,pleasure,発足,departure,笋,bamboo
ごめんなさい,sorry,落ちる,fall,皆さん,everyone,寄付,donation,島,island,未来,future
見つめる,look at,設置,installation,さま,dear,ポリシー,policy,力,power,徒歩,on foot
答弁,answer,直後,immediately after,がんばる,stick to,生む,produce,否定,negative,確保,secure
チャンネル,channel,経営,management,楽器,instrument,およそ,about,演奏,performance,コンセプト,concept
合格,agreement,女,woman,記念,memorial,知,knowledge,解散,dissolve,条,article
へ,to,治安,cure,対策,countermeasures,払う,pay,発揮,launch,固定,fixed
手順,procedure,急ぐ,hurry,記,record,容量,capacity,結局,eventually,衛生,sanitation
男子,male,エジプト,egypt.,中,inside,サイ,size,実際,actual,新しい,new
改善,improvement,ひどい,terrible,特に,special,誌,magazine,そういう,like that,共に,together
企業,company,兄弟,brother,哲学,philosophy,スウェーデン,sweden,希望,hope,参拝,visit
タイプ,type,現時点,current,施策,policy,著作,book,療法,therapy,手間,procedure
覆う,cover,中田,nakada,クルマ,cars,変換,change,制御,control,楽しめる,enjoy
山口,yamaguchi,どおり,street.,圧力,pressure,品,quality,弱,weak,その,there
トップページ,top page,推薦,recommendation,最適,best,広報,publicity,解釈,interpretation,現代,modern
体,body,パレスチナ,palestine,埋める,fill,泣く,cry,保つ,preserve,電気,electricity
次に,next,アクセス,access,今朝,this morning,後,after,今夜,tonight,解析,analysis
酒,alcohol,教師,teacher,観客,spectator,協,association,犯罪,crime,創設,create
常識,common sense,講習,course,なぜなら,because,ソ連,soviet union,そもそも,in the first place,すみません,sorry
条約,treaty,後に,later,個性,individuality,けっこう,fairly,生産,production,お客,customer
アルコール,alcohol,状態,condition,窓,window,見守る,watch,収支,income and expenditure,拾う,pick up
スコア,score,龍,dragon,武器,weapon,深い,deepen,倍,double,室,room
ふう,feng,会計,accounting,延長,extend,ケーブル,cable,自治,autonomy,生,raw
に従って,according to,サイト,site,突然,sudden,化学,chemistry,ショッピング,shopping,海,sea
云う,say,辞める,quit,教授,professor,売る,sell,サイド,side,真剣,seriousness
乗り越える,get over,たち,stand,イラン,iran,満たす,fill,くらい,rank,砂,sand
復帰,return,健全,healthy,拍手,applaud,上記,above,それで,that's it.,連載,serialization
音,sound,半ば,half,承る,accept,ケーキ,cake,冬,winter,キーボード,keyboard
共産党,communist party,行く,go,まさに,exactly.,取れる,get,古,old,解雇,dismissal
載る,get on,整備,organize,知り合い,acquaintance,現,appear,規制,regulations,ミサイル,missile
理念,ideals,天井,ceiling,答え,answer,たい,want,もし,what if...,手法,method
トレーニング,training,確率,probability,つぶやき,mumble,ゆえ,euro,裁判所,court,旦那,sir
