A.Words,A.Meaning,B.Words,B.Meaning,C.Words,C.Meaning,D.Words,D.Meaning,E.Words,E.Meaning,F.Words,F.Meaning,G.Words,G.Meaning,H.Words,H.Meaning,I.Words,I.Meaning,RN.Words,RN.Meaning
少し,a little,赤ちゃん,baby,キャベツ,cabbage,乳製品,dairy products,耳,ear,顔,face,画廊,"gallery (art, picture)",ハッカー,hacker,氷,ice cubes,味噌,miso (soybean)
約,about,ベビーシッター,baby sitter,船室,cabin,損害,"damage (injury, loss)",耳鼻咽喉科,"ear, nose and throat specialist",顔認識カメラ,face-recognition camera,ゲーム,game,髪,hair,スケートをする,ice skate,豆乳,soy milk
だいたい,about,背中,back (body),ケーキ,cake,踊る,dance,耳痛,earache,工場,factory,修理屋,"garage (car repair), repair workshop",ヘアブラシ,hairbrush,アイスクリーム,ice cream,調味料,seasoning
上,above,リュックサック,backpack,ケーキ屋,cake shop,ふけ,dandruff,イヤホン,earbud,転ぶ,"fall over (fall down), turn out (play out)",ごみ袋,garbage bag,床屋,hairdresser,考え,idea,発酵,fermentation
海外,abroad,ベーコン,bacon,お菓子屋,cake shop,危険,danger,耳薬,eardrops,家族,family,庭,garden,美容院,hairdresser,身分証明書,identification (card),給料,salary
豊富な,abundant,悪い,bad,呼び出し,call,危険な,dangerous,早い,early,有名な,famous,ガソリン,gas,ヘアピン,hairpins,身分を証明する,identify,有給休暇,paid vacation
事故,accident,ひどい,bad (terrible),電話をする,call (phone),暗い,dark,イヤリング,earrings,,,ガソリンスタンド,gas station,ヘアスプレー,hairspray,始動キー,ignition key,残業手当,overtime pay
アダプター,adapter,大変,"bad (terrible, tough)",と言う,called (name),デート,date,土地,earth (plot of land),,,ギア,gear,半分,half,病気,ill,感覚,"sense (feeling, sensation, intuition)"
住所,address,カバン,bag,と言います,called (name),娘さん,daughter (other’s),陶器,"earthenware (porcelain, pottery, ceramics)",,,オタク,geek,かなずち,hammer,病気,illness,少し,a little
入場,admission,手荷物受取所,baggage claim,カメラ,camera,娘,daughter (own),瀬戸物,"earthenware (porcelain, pottery)",,,,,手,hand,想像する,imagine,約,about
入場料,admission fee,手荷物引換券,baggage claim check,手ぶれ補正機能,"camera shake correction (feature), image stabilization",日,day,土器,earthenware (unglazed),,,,,ハンドブレーキ,hand brake,すぐに,immediately,だいたい,about
忠告,advice,パン屋,baker,キャンプする,camp (camping),まる一日,day (the whole),東,east,,,,,ハンドバッグ,handbag,輸入税,import duty,上,above
後で,after,バルコニー,balcony,キャンプ場売店,camping shop,一昨日,day before yesterday,簡単な,easy (simple),,,,,ハンカチ,handkerchief,無理な,impossible,海外,abroad
午後,afternoon,ボール,ball,キャンプ場,camp site,日帰り温泉,day-trip hot spring,容易な,"easy (simple, plain)",,,,,手作り,handmade,不可能な,impossible,豊富な,abundant
もう一度,again,球,ball,キャンピングカー,camper,亡くなった,dead,易しい,"easy (simple, plain)",,,,,嬉しい,happy,の中に,in,事故,accident
に対して,against,バレー,ballet,キャンプファイヤー,campfire,デッドゾーン,dead zone,便利な,easy (to use),,,,,港,harbor,夕方, in the evening,アダプター,adapter
年齢,age,ボールペン,ballpoint pen,キャンプ案内,camping guide,カフェインなし,decaffeinated,食べる,eat,,,,,堅い,hard,午前,in the morning,住所,address
エアコン,air conditioning,バナナ,banana,キャンプ場使用許可書,camping permit,カフェインフリー,decaffeinated,電子書籍,e-book,,,,,ハッシュマーク,hash mark,を含めて,included,入場,admission
エアマットレス,air mattress,包帯,bandage,取り消す,"cancel (withdraw, retract)",十二月,december,湿疹,eczema (rash),,,,,ハッシュタグ,hash tag,含めた,included,入場料,admission fee
飛行機,airplane,バンソウコウ,bandaids,ローソク,candle,申告する,declare (customs),ウナギ,eel,,,,,帽子,hat,示す,indicate,忠告,advice
空港,airport,銀行,bank,お菓子,"candy (confections, sweets)",深い,deep,卵,egg,,,,,花粉,hay fever,方向指示器,indicator,後で,after
空港内ホテル,airport hotel,前髪,bangs,おやつ,candy (snacks),スキンダイビング,deep sea diving,ナス,eggplant,,,,,頭,head,安い,inexpensive,午後,afternoon
空港警備,airport security,岸,bank (river),カヌー,canoe,冷凍庫,deep freeze,電気,electricity,,,,,頭痛,headache,伝染,infection,もう一度,again
空港セキュリティー,airport security,バー,bar (cafe),車,car,度,degrees,電動自転車,electric bicycle,,,,,健康,health,炎症,inflammation,に対して,against
通路側の席,aisle seat,バーベキュー,barbecue,自動車,car (automobile),停滞,"delay (stagnation, congestion, standstill)",電気自動車,electric car,,,,,自然食品店,health food shop,情報,information,年齢,age
警告,"alarm, advice",バスケットボール,basketball,自動車用の甲板,car deck,遅延,delay (latency),電気屋,electronics shop,,,,,聞く,hear,案内,information (guide),エアコン,air conditioning
目覚まし時計,alarm clock,風呂,bath,車の証明書,car documents,おいしい,delicious,エレベーター,elevator,,,,,補聴器,hearing aid,資料,information (material),エアマットレス,air mattress
アルコール,alcohol,バスタオル,bath towel,ベビーシート,car seat (child),歯医者,dentist,大使館,embassy,,,,,心臓,heart,案内所,information office,飛行機,airplane
ずっと,all the time,海水帽,bathing suit,車の故障,car trouble,入れ歯,dentures,緊急ブレーキ,emergency brake,,,,,心臓病患者,heart patient,注射,injection,空港,airport
アレルギー,"allergy, allergic",風呂場,bathroom,キャラバン,caravan,デオドラント,deodorant,非常口,emergency exit,,,,,熱さ,heat,負傷した,injured,空港内ホテル,airport hotel
一人で,alone,バスルーム,bathroom,,,部,department,非常電話,emergency phone,,,,,ヒーター,heater,無罪な,innocent,空港警備,airport security
いつも,always,バッテリー,battery,,,デパート,department store,つめやすり,emery board (nail file),,,,,重い,heavy,こん虫,insect,空港セキュリティー,airport security
救急車,ambulance,電池,battery,,,出発,departure,天皇,emperor,,,,,かかと,heel,虫さされ,insect bite,通路側の席,aisle seat
アメリカ,america,ビーチ,beach,,,出発時間,departure time,からの,empty,,,,,こんにちは,hello,虫除けクリーム,insect repellent,警告,"alarm, advice"
総額,"amount (total, sum)",浜,beach,,,手付け金,deposit (earnest payment),話し中,engaged (on the phone),,,,,ヘルメット,helmet,中に,inside,目覚まし時計,alarm clock
遊園地,amusement park,豆,beans,,,頭金,deposit (downpayment),婚約した,engaged (to be married),,,,,助け,help,内に,inside,アルコール,alcohol
局所麻酔をかける,anaesthetize (local),華美な,"beautiful (gorgeous, magnificent, extravagant)",,,保管,deposit (for safekeeping),イギリス,england,,,,,助ける,help,靴の内底,insole,ずっと,all the time
アンチョビー,anchovy,すばらしい,"beautiful (splendid, magnificent, wonderful)",,,預金,deposit (bank account),英語,english (language),,,,,手伝う,help,使用法,instructions,アレルギー,"allergy, allergic"
おこった,angry,美しい,"beautiful (pretty, lovely)",,,預金保険,deposit insurance,楽しむ,enjoy,,,,,一人前,helping (of food),保険,insurance,一人で,alone
動物,animal,きれいな,"beautiful (pretty, lovely, clean, neat)",,,預金利率,deposit interest rate,封筒,envelope,,,,,ハーブティー,herbal tea,休憩,intermission,いつも,always
くるぶし,ankle,美容院,beauty parlor,,,デザート,dessert,電子書籍リーダー,e-reader,,,,,調味料,herbs (seasonings),国際の,international,救急車,ambulance
答え,answer,ベッド,bed,,,行き先,destination,コンパニオン,escort,,,,,ここ,here,インターネット,Internet,アメリカ,america
返事,answer,寝台,"bed (bunk, couch, sleeping accommodation)",,,終点,"destination (terminal, last stop)",夕方,evening,,,,,ニシン,herring,インターネットラウンジ,Internet lounge,総額,"amount (total, sum)"
アリ,ant,ミツバチ,bee (honeybee),,,現像する,develop (photo),ディナースーツ,evening wear (men),,,,,高い,high,通訳者,interpreter,遊園地,amusement park
抗生物質,antibiotics,牛肉,beef,,,開発者,developer,イブニングドレス,evening wear (women),,,,,高画質型デジカメ,high-definition digital camera,交差点,intersection,局所麻酔をかける,anaesthetize (local)
不凍液,antifreeze,ビール,beer,,,糖尿病患者,diabetic,事件,"event (affair, incident, case, plot)",,,,,満潮,high tide,紹介する,introduce (oneself),アンチョビー,anchovy
古代の,antique,始まる,begin,,,ダイヤル,dial,できごと,"event (happening, affair, incident) ",,,,,子供用椅子,highchair,招待する,invite,おこった,angry
古美術,antiques,初心者,beginner,,,ダイヤモンド,diamond,全部,everything,,,,,高速道路,highway,アイロン,iron (clothes),動物,animal
骨董品,antiques,後,behind,,,おしめ,diaper,どこにも,everywhere,,,,,ハイキング,hiking,鉄,iron (metal),くるぶし,ankle
