Words,Meaning
年,year
月,month
日,day
日にち,date
曜日,day of the week
週,week
週末,weekend
時間,hours
日間,days
週間,weeks
ヶ月(間),months
年(間),years
一日,one day
一年,one year
半年,half year
平日,weekday
祝日,public holiday
休日,"holiday, day off"
期間,period
延長する,"extension, to extend"
シーズン,season
臨時,"temporary, provisional, special"
休暇,vacation
夜中,"at night, middle of the night"
深夜,late at night
真夜中,middle of the night
家族,family
弟,younger brother
叔父,uncle
男の子,boy
息子,son
奥さん,wife
身内,relatives
頭,head
耳,ears
首,neck
髪,hair
眉毛,eyebrow
目,eye
鼻,nose
口,mouth
頬,cheek
顔,face
心臓,heart
服,clothes
シャツ,shirt
パンツ,pants
居間,living room
バルコニー,balcony
手すり,railing
天井,ceiling
鍵,keys
絵画,paintings
ランプ,lamp
椅子,chair
壁,wall
テレビ,television
テーブル,table
絨毯,carpet
エアコン,aircon
テーブル,table
ソファ,sofa
床,floor
カーテン,curtain
窓,window
枕,pillow
ベッド,bed
寝室,bedroom
部屋,room
畳む,to fold
乾く,to get dry
実家,one’s parents home
通学,commute to school
化粧する,makeup
お風呂に入る,to take a bath
暮らし,living
レジ袋,plastic bag
目が覚める,to wake up
沸かす,to boil
寝る,to sleep
餌をやる,to feed
買い物,shopping
風呂,bath
生ごみ,raw garbage
後片付け,tidying up
洗濯,laundry
食べ物,food
果物,fruits
りんご,apple
みかん,orange
レモン,lemon
バナナ,banana
メロン,melon
いちご,strawberry
ぶどう,grape
すいか,watermelon
野菜,vegetables
にんじん,carrot
じゃがいも,potato
たまねぎ,onion
きゅうり,cucumber
トマト,tomato
肉,meat
豚肉,pork
鶏肉,chicken
牛肉,beef
菓子,"confectionary, snacks"
洋菓子,western-style sweets
和菓子,japanese sweets
フルーツ,fruits
ジュース,juice
鶏肉,chicken
豚肉,pork
牛肉,beef
海老,shrimp
かに,crab
野菜,vegetable
キャベジ,cabbage
人参,carrot
きゅうり,cucumber
ジャガイモ,potato
玉ねぎ,onion
たまご,egg
片栗粉,potato starch
小麦粉,wheat flour
ラム肉,lamb
豚肉,pork
牛肉,beef
子牛肉,veal
鹿肉,venison
アンコウ,monkfish
鯖,"saba, mackerel "
鱒,trout
