Words,Reading ,Meaning,S1,T1
無い,ない,"not, no",ある事ない事言い触らす。,Spread a false rumor.
良い,よい,good,私たちの健康を促進する良いコレステロールがあります。,There is good cholesterol that promotes our health.
多い,おおい,many,ここはいつもこんなに交通事故が多いのですか。,Are there always this many traffic accidents here?
高い,たかい,"high, expensive",高い所から落ちて一瞬気を失った。,I fell from a high place and blacked out for a moment.
大きい,おおきい,big,そのシャツは私には大きい。,That shirt is too big for me.
悪い,わるい,bad,私の英語に悪いところがあったら直してください。,Please correct the mistakes in my English.
強い,つよい,strong,このビルは強度の地震にも強い構造である。,This building is a strong earthquake resistant structure.
少ない,すくない,"small, little",昨年は雨が少なかった。,There was not much rain last year.
長い,ながい,long,私は英語では長い会話はできない。,I cannot have long conversations in English.
新しい,あたらしい,new,社会に新しい動きが見られる。,New trends are seen in society.
早い,はやい,"early, fast",結婚を考えるのはまだ早い。,It's too early to think about marriage.
甘い,あまい,sweet,この漬物は塩が甘い。,These pickles are sweetly salted.
若い,わかい,young,彼は私より２つ若い。,He is two years younger than me.
欲しい,ほしい,want,酒が一杯欲しいな。,I'd like a glass of alcohol.
深い,ふかい,deep,水はここがいちばん深い。,The water is deepest here.
近い,ちかい,near,私達の学校は駅に近い。,Our school is close to the station.
小さい,ちいさい,small,彼が小さい時から知っている。,I've known him since he was little.
難しい,むずかしい,difficult,私にはその本を読むのが難しい。,It is difficult for me to read the book.
凄い,すごい,terrific,凄い明かりが野球場にあたっていた。,Great lights were shining on the baseball field.
面白い,おもしろい,interesting,スキーをするのはとても面白い。,Skiing is very interesting.
広い,ひろい,wide,彼は話題が広い。,He has a wide range of topics.
美しい,うつくしい,beautiful,少女は美しい心の持ち主だった。,The girl had a beautiful heart.
白い,しろい,white,白いものがちらちら降り始めた。,White stuff started to flicker down.
低い,ひくい,"low, short",天井の低い部屋だ。,This room has a low ceiling.
楽しい,たのしい,fun,付き合って楽しい人だ。,He's fun to hang out with.
嬉しい,うれしい,happy,そう言ってくれて嬉しいよ。,I'm glad you said that.
酷い,ひどい,"cruel, unjust",部屋の中はひどい暑さだ。,It's terribly hot in the room.
古い,ふるい,old,古い歴史のある町。,A town with an old history.
安い,やすい,cheap,安い料金で車を借りた。,I rented a car for a low rate.
美味しい,おいしい,delicious,この料理はとてもおいしい。,This dish is so good!
正しい,ただしい,"right, correct",君の判断は正しい。,You are correct in your assessment.
詳しい,くわしい,detailed,なお詳しいことは直接お尋ねください。,"For more information, please contact us directly."
激しい,はげしい,furious,敵はその建物に対して激しい攻撃をした。,The enemy made a fierce attack against that building.
怖い,こわい,scary,僕は落ちるのが怖い。,I am afraid of falling.
厳しい,きびしい,"severe, strict",ここには超厳しいルールがあるんだ。,We have super strict rules here.
辛い,からい,"spicy, hot",この漬け物は辛い。,This pickle is spicy.
軽い,かるい,light,症状は軽いですよ。,Symptoms are mild.
優しい,やさしい,kind,彼女は彼に優しい。,She is kind to him.
可愛い,かわいい,cute,彼の妹はとてもかわいいね。,His sister is very cute.
重い,おもい,heavy,僕は重い物は持ち上げられない。,I can't lift heavy things.
可笑しい,おかしい,"funny, amusing, strange",彼の話はおかしい。,His story sounds strange.
明るい,あかるい,bright,私は明るい色が好きです。,I like bright colors.
痛い,いたい,painful,流感で体中が痛い。,My whole body aches with flu.
赤い,あかい,red,下の方に何か赤いものが見えますか。,Do you see something red at the bottom?
短い,みじかい,short,彼女は短いスカートが好きだ。,She likes short skirts.
暗い,くらい,dark,まだ暗いところが怖いの？,Still afraid of the dark?
遅い,おそい,"slow, late",物分かりが遅い。,Slow to understand things.
弱い,よわい,weak,私は女性に関しては弱い。,I am weak when it comes to women.
黒い,くろい,black,黒い猫は好きですか。,Do you like black cats?
遠い,とおい,"far, distant",彼が生まれた村はここから遠い。,The village where he was born is far from here.
薄い,うすい,thin,,
狭い,せまい,narrow,,
素晴らしい,すばらしい,wonderful,,
珍しい,めずらしい,rare,,
寂しい,さびしい,lonely,,
冷たい,つめたい,cold (touch),,
寒い,さむい,cold (weather),,
恐ろしい,おそろしい,frightening,,
忙しい,いそがしい,busy,,
細い,ほそい,"thin, slender",,
恥ずかしい,はずかしい,embarrassed,,
悲しい,かなしい,sad,,
宜しい,よろしい,"good, fine",,
濃い,こい,"thick, deep",,
苦しい,くるしい,"painful, hard",,
熱い,あつい,hot (thing),,
細かい,こまかい,small,,
太い,ふとい,fat,,
偉い,えらい,great,,
速い,はやい,fast,,
鋭い,するどい,"sharp, keen",,
青い,あおい,blue,,
仕方無い,しかたない,can’t be help,,
厚い,あつい,"thick, deep",,
親しい,したしい,close,,
暑い,あつい,hot (weather),,
幼い,おさない,childish,,
相応しい,ふさわしい,appropriate,,
久しい,ひさしい,"long, old",,
有り難い,ありがたい,grateful,,
固い,かたい,"hard, tough",,
物凄い,ものすごい,tremendous,,
懐かしい,なつかしい,"beloved, missed",,
丸い,まるい,"round, circular",,
貧しい,まずしい,"poor, needy",,
硬い,かたい,"hard, solid",,
著しい,いちじるしい,striking,,
きつい,きつい,"tough, hard",,
怪しい,あやしい,suspicious,,
煩い,うるさい,"noisy, loud",,
不味い,まずい,bad (taste),,
温かい,あたたかい,warm,,
汚い,きたない,dirty,,
素早い,すばやい,"quick, swift",,
望ましい,のぞましい,desirable,,
危ない,あぶない,dangerous,,
悔しい,くやしい,annoying,,
柔らかい,やわらかい,"soft, tender",,
等しい,ひとしい,"equal, identical",,
大人しい,おとなしい,obedient,,
暖かい,あたたかい,"warm, mild",,
堅い,かたい,"hard, solid",,
めでたい,めでたい,auspicious,,
軟らかい,やわらかい,"soft, tender",,
浅い,あさい,shallow,,
凄まじい,すさまじい,fierce,,
黄色い,きいろい,yellow,,
情けない,なさけない,miserable,,
