W1,W2,W3,W4,W5
値段,身長,家計費,記録,状況
以下,見学,期待,料理,食料
自炊,理由,記事,消費量,飲料
原因,交通費,時価,出費,残る
情報,発売,料金,歌手,食料品
地震,自費,経済,注目,同様
努力,土地,生活費,造成,機能
消費税,期待,戦争,報告,発展
拡散,複雑,相手,発育,避難
会費,食費,事実,文章,無料
消費,浪費,以来,開発,割烹
実費,実際,手料理,教育,市民
授業料,文字,手数料,進歩,商品
情報,半額,数字,用意,発達
技術,原料,代表,会計,以前
生育,工場,時代,現像,整備
進展,方法,日本料理,人物,給料
分散,費用,評価,立場,方向
入館料,試合,予想,失敗,本来
申告,展開,目的,運賃,特集
養成,程度,活動,成長,燃費
生産費,位置,時期,相場,高価
直接,乗車券,可能,入場料,通報
発表,調理,記事,材料,非難
開拓,関係,香辛料,責任,広告費
経費,医療費,分野,使用,作家
有料,非常,炊事,地域,資料
高騰,結婚費用,試料,交通,送料
煮炊き,炊さん,仕方,判断,料金
行動,旅費,運転,危機,機械
報告,定価,運動,中華料理,価格
将来,研究,経費,報道,産業
解散,作業,不足,思惑,応急
万一,発見,請求書,使用料,先見
発行,協力,勘定,燃料,代金
自身,緊急,会場,物価,物質
学習,調味料,開始,確認,衣料
苦労,同様,容量,東京都,学費
労働,内容,紅葉,掲載,発散
掲示,形式,揚げ物,制度,生動
掲出,形成,制限,精神的,生活
