Sentences,Translation
その本は以前に読んだことがあります。,I have read the book before.
前もって席を予約しなさい。,Reserve a seat in advance.
私は人前で歌わされた。,I was made to sing in public.
名前をすっかり忘れてしまいました。,I quite forget your name.
寝る前には明かりを消して下さい。,Please put out the light before you go to sleep.
その列車は午前７時１５分に発車する。,The train departs at 7:15 a.m.
あの信号の手前で降ろしてください。,Please let me off on this side of that traffic light.
私たちはその基礎となっている前提を理解すべきだった。,We should understand the underlying premises.
前進命令を待っていた。,They were waiting for the go-ahead.
子供たちが迷惑をかけるのは当たり前だ。,It is common for children to cause trouble.
腕を前後に振りなさい。,Swing your arm back and forth.
試合の直前にはいつもあがっています。,I always get nervous just before a match.
彼女の料理の腕前は上がってきている。,She's making progress in cooking.
私たちの前途には幾多の困難が横たわっている。,There lie many difficulties before us.
事前に予約を取っておくべきだ。,We'd better make a reservation beforehand.
アメリカも本音と建前を使い分ける国だ。,The U.S. is also a country that uses both real intentions and pretense.
大きな乗用車が止まり、背の高い女性が降りた。,A big car drew up and a tall lady got out.
バスの運転手は乗客の安全について責任がある。,A bus driver is responsible for the safety of the passengers.
乗務員全員が食中毒で苦しんだ。,The entire crew suffered from food poisoning.
彼は乗馬を仕込まれた。,He was brought up to riding.
ちょうどいいね。新型の試乗してってもらうね。,Good timing. I'll get you to test drive the new model.
韓流ドラマブームに便乗して、韓国の製品を売る業者が増えた。,"Taking advantage of the popular boom in Korean drama, workers selling Korean goods have increased."
列車に乗車した後で、私は財布を家に置き忘れてきたことに気が付いた。,"After I got on board a train, I found I had left my wallet behind at home."
２人の女性が乗船していた。,There were two women on board.
途中で乗り換えが必要ですか。,Is it necessary to change trains along the way?
帰宅の途中電車の中で居眠りをして乗り越してしまった。,I dozed off on the train on my way home and missed the train.
万一この飛行機が乗っ取られたら、君は一体どうするだろうか。,"If this airplane were to be hijacked, what in the world would you do?"
道路は様々な乗物で混雑していた。,The road was crowded with various vehicles.
私が乗り込むやいなや、汽車は動き出した。,I had barely got aboard when the train began to move.
