W1,W2,W3,W4,W5,W6
付く,入る,開く,感じる,剥く,対する
取り戻す,抜く,救う,有る,生まれる,嘘をつく
持つ,伝える,巻く,嗅ぐ,残る,手伝う
図る,申し上げる,行う,動かす,描く,頂く
入る,着く,送る,行く,富む,浮かぶ
見せる,調べる,覚える,驚く,継ぐ,付く
借りる,省く,遊ぶ,喜ぶ,雇う,見せる
経つ,呼ばれる,集める,求める,許す,殺す
探検する,慣れる,下げる,述べる,間に合う,進む
殺す,喜ぶ,尽くす,点く,解除する,炊く
忘れる,屈折する,計る,売る,出す,合わせる
空く,見つける,取る,出会う,請う,叫ぶ
馴染む,焚く,漬ける,開く,退く,助ける
足す,打つ,沿う,問う,笑う,聞こえる
命じる,従う,離れる,知る,残る,語る
基づく,浮く,成る,知る,得る,浸る
焦げる,来る,振る舞う,満ちる,奪う,突く
這う,当たる,立てる,押す,恵まれる,連れる
植える,治る,押さえる,次ぐ,手に入れる,行く
研ぐ,咲く,向かう,貸す,言われる,答える
切れる,測る,怒る,抱く,連れて行く,始まる
出る,求める,浸かる,合う,投げる,辞める
探す,迎える,輝く,動く,犯す,喜ぶ
遅れる,抱える,諦める,変わる,話しかける,愛する
終える,向かう,失う,従う,死ぬ,失う
流れる,履く,好む,戦う,決める,走る
行く,分かる,越える,となる,剥ぐ,見つかる
買う,為さる,楽しむ,落とす,飛ぶ,決まる
いる,扱う,踏まえる,登録する,欠く,持つ
溶く,建てる,続ける,待つ,起こる,戻る
轢く,退ける,起こす,暮らす,ようにする,付ける
帰る,向く,違う,立てる,飽きる,似る
使う,呉れる,屈服する,掛かる,過ごす,叩く
含む,急ぐ,捕まる,折る,見える,倒れる
避ける,始める,訪ねる,話す,向ける,残す
食べる,向く,答える,撒く,下さる,露呈する
泳ぐ,増える,上げる,つつある,祈る,晒す
鳴る,入れる,欠ける,過ぎる,下がる,奪う
描く,与える,切る,変える,来る,近づく
変える,酔う,受け取る,添う,焼く,頼る
着く,守る,向ける,引く,座る,聞く
買う,覆う,恐れる,届く,動く,受け止める
食べる,使える,断る,吐く,割る,耽る
取れる,減る,着る,含む,遣う,脱ぐ
立つ,応える,隠す,引く,待つ,生きる
縫う,落ちる,終わる,襲う,罵る,入れる
追う,会う,合わせる,当たる,呼ぶ,生む
去る,間違う,押さえる,加える,貰う,崩れる
亡くなる,就く,吹く,燃える,働く,戻る
示す,弾く,捨てる,避ける,買う,話す
黙る,離れる,過ぎる,従う,飲む,決まる
合わせる,伸ばす,思える,歩く,言う,感じる
教える,歌う,透く,飼う,書く,驚く
打つ,気に入る,付ける,掻く,蒔く,受け入れる
続ける,超す,貸す,生きる,知れる,裂く
教える,気にする,呼ぶ,述べる,退く,治る
値する,気がする,生きる,聞く,就く,与える
就く,向ける,痩せる,退く,考える,運ぶ
見逃す,含める,進む,疲れる,残る,折れる
集まる,描く,売る,焼く,思い出す,禁じる
眠る,会う,泣き出す,勧める,困る,勝つ
包む,渡る,退く,勤める,達する,御座る
足りる,飼う,分ける,尋ねる,果たす,現われる
告げる,呼ぶ,苦しむ,生まれる,酔う,歌う
凌ぐ,行われる,気付く,諮る,優れる,拭く
掃く,努める,接ぐ,上げる,出来る,捕まえる
付く,生ずる,出てくる,説く,離れる,役に立つ
壊れる,答える,置く,止める,表す,受ける
話し合う,受け入れる,応じる,泣く,言う,洗う
踊る,騙す,使う,眩む,湧く,透かす
泣く,選ぶ,切る,応じる,上がる,行く
低める,思う,目立つ,受ける,通る,消す
書く,遣る,会う,至る,学ぶ,減らす
引く,たがる,選ぶ,為る,歩く,集める
認める,合う,覚える,広げる,読む,送る
払う,出る,関する,示す,終える,異なる
飲む,成す,吐く,続く,感じる,焼く
頼む,片付ける,塗る,越す,現れる,備える
屈する,着く,襲う,使う,伺う,消す
付く,役立つ,呼び捨てにする,増える,拠る,漕ぐ
腹を立てる,終わる,聞こえる,続く,通す,似合う
出かける,含む,痛む,育てる,志す,思う
頑張る,眺める,降りる,走る,比べる,曲がる
突く,戻る,屈める,効く,言う,困る
願う,起きる,始める,訪ねる,注ぐ,求める
遭う,乗せる,始まる,呼ぶ,泣く,作る
乗る,諦める,繋ぐ,決める,達する,立つ
信じる,失う,透ける,見る,沸く,取る
異なる,量る,知らせる,伝える,育つ,用いる
吹く,寄る,動く,作る,下げる,沈む
起こる,渡る,当てる,耐える,保つ,触れる
結ぶ,出す,間違える,許す,控える,雇う
知る,引き起こす,見つめる,点く,無くなる,やる
見える,済む,見る,帰る,向かう,負う
笑う,負ける,読む,寝る,用いる,因る
仕舞う,生きる,書く,働く,癒す,願う
ようになる,掲げる,住む,効く,吸う,止める
加える,増える,住む,言う,支払う,関わる
望む,合う,変わる,比べる,抱える,逃げる
抑える,居る,行う,気を付ける,死ぬ,勝る
訪れる,基づく,開ける,剥く,浸す,持ってくる
置く,敷く,舞う,忘れる,置く,解く
とする,考える,探す,調べる,違う,聞く
信ずる,訴える,盗む,守る,行う,止まる
着く,問う,屈む,迫る,近づく,生まれる
残す,通じる,得る,乗る,上がる,掛ける
