Time,Subtitle,T1,T2
7s,（若松拓斗(わかまつたくと)）行くか （仲宗根真愛(なかそねまあい)）バイバイ,-We should go. -Goodbye.,（Let's go. -Bye.
16s,よし！　泣くな もう,No more crying.,Okay!　Don't cry.
19s,またな,I'll see you.,See you later.
29s,（拓斗）行くか,We should go.,（Let's go
30s,（真愛）バイバイ,Goodbye. THIS IS THE MYSTERIOUS FUTURE DIARY OF TWO PEOPLE FALLING IN LOVE,（Bye!
37s,頑張って！,You can do it!,Good luck!
38s,（拓斗）ヤベえから,This is serious.,（We're in trouble
40s,（真愛）怖い,So scary.,（I'm scared
42s,（拓斗）疲れた,I'm exhausted.,（I'm tired
44s,ヘヘヘッ…,SHE KISSED HIM AT THE SEA IN OKINAWA,I'm so tired
49s,（真愛）あと １キロくらいじゃねえ？,"One kilometer to go, probably.",（We've got about a mile to go
50s,（拓斗） いや まだだと思う （真愛）まだ？ （拓斗）うん,"-No, I think it's more. -You think?","（No, I don't think so yet （Yeah"
54s,（真愛）おいしょ…,Yeah.,（Hey...
54s,パスタです,…on pasta.,It's pasta!
56s,もう真愛スペシャルで,"It's the ""Maai Special.""","It's a special for you, Ma'ai"
58s,（２人の笑い声）,A ROMANTIC BANQUET AT THE RESTAURANT HE WORKS AT,（The two of them are laughing)
1:00,（拓斗）これ 使って,Please use this.,（Use this
1:02,ヤバい,Damn it. HE RAN AFTER HER BEFORE SHE DISAPPEARED,"Oh, man"
1:04,（真愛）まさか これで,"At the time,",（I didn't think that with this...
1:06,もう二度と 会えなくなるって,there was no way I could guess,I never thought I'd never see you again.
1:08,全く予想も してなかったから…,that it would be the last time we would meet.,I never expected that...
1:12,（真愛）イエーイ,Yay.,（Yay!
1:15,（拓斗）もうちょい急ぎます,I'm going to hurry a little.,（I'll hurry up a little more
1:19,どういうこと？ ダルい！　ウザい ほんとに,What is happening? It's really annoying.,What do you mean? It's dull!　You're really annoying
1:23,（拓斗）来た？ （真愛）うん,-Did it light? -Yes.,（He's here? （Yeah
1:30,（真愛）早く食べれ,Eat it already.,（Hurry up and eat
1:31,え？　あっ 動画？,What? It's a video?,"What?　Oh, the video?"
1:33,真愛も楽しかったよ,I had a great time.,"It was fun, Ma'ai."
1:40,（真愛） 拓斗のこと大好き,"I like you a lot, Takuto. THE 2 PART WAYS FOREVER","（I love you, Takuto."
2:28,こんにちは （スタッフ）こんにちは,-Hello. -Hi.,Hello. -Hello.
2:30,こんにちは,Hi.,Hello.
2:32,（スタッフ） 未来日記をお持ちしました,I brought you The Future Diary.,"（I brought you a copy of ""Mirai Nikki""."
2:35,ありがとうございます,Thank you.,Thank you very much.
2:36,（真愛） 仲宗根真愛 19歳です,"I'm Maai Nakasone, 19 years old.",（I'm Ma'ai Nakasone. I'm 19 years old.
2:39,沖縄県の那覇(なは)市出身,"I'm from Naha City, Okinawa.","I'm from Naha City, Okinawa Prefecture."
2:41,大学生で アパレルの バイトをしています,I'm a college student working part-time in apparel.,"I'm a college student, and I work part-time in the apparel industry."
2:53,お疲れっす,Hello.,Thanks for your help.
2:55,（拓斗）若松拓斗 24歳 北海道 小樽(おたる)出身です,"I'm Takuto Wakamatsu. I'm 24 years old, and I'm from Otaru, Hokkaido.","（I'm Takuto Wakamatsu, 24, from Otaru, Hokkaido."
3:00,職業が料理人で ４年目です,It's my fourth year being a cook.,I've been a chef for four years
3:05,（スタッフ）未来日記です,It's The Future Diary.,（This is my future diary
3:09,（スタッフ） この未来日記には,This first diary…,（In this future diary...
3:12,明日の 一番 最初の日記と,has the first and last entries,This future diary contains the first diary of tomorrow.
3:15,一番 最後の日記が 書かれてます,of what happens tomorrow written in there.,And the last diary.
3:21,読んじゃって いいですか？,-Can I read it now? -Yes.,May I read them?
3:25,（ナレーション）７月１日,July 1.,（July 1st...
3:27,横浜を訪ねた あなたは 運命の相手と 突然出逢う,"On a visit to Yokohama, you meet your soul mate out of the blue.","On a visit to Yokohama, you will suddenly meet your destiny."
3:35,“運命の相手”…,My soul mate?,"""Your destiny""..."
3:38,えっ？,Wow.,What?
3:40,“運命の相手と突然…”,…meet your soul mate out of the blue.,"""Suddenly meet your destiny..."""
3:45,もう いきなりですよね,This happens right away?,"It's so sudden, isn't it?"
3:48,いきなりか…,Right away…,Suddenly?
3:51,（スタッフ） じゃあ 次 めくっていただいて…,Go on reading.,"（Then, please turn to the next page..."
3:53,はい,Okay.,Okay.
3:56,（ナレーション） 初めての 共同作業を終えた ２人の前には １輪のひまわり,"After your joint project, there appears before you a single sunflower.","（After working together for the first time, a single sunflower stands before them."
4:03,ひまわりの 花言葉は“一目惚(ぼ)れ”,The symbolism of a sunflower is 'love at first sight.',"The language of sunflowers is ""love at first sight."""
4:07,“一目惚れ”とか したことないです,Love at first sight? I've never experienced that.,"I've never had ""love at first sight."""
4:12,えっ…,What?,Well...
4:15,“一目惚れ”するんですね,It's going to be love at first sight?,"""Love at first sight""?"
4:18,まず どんな人なんだろうって いうのが やっぱ 気になりますし…,"Of course, I wonder what kind of person she is.","First of all, I'm interested in what kind of person he is."
4:22,今 ひげ あるじゃないですか （スタッフ）はい,"You see, I have a beard now.","You have a beard now, right? -Yes."
4:24,だから これって そったほうが いいのかなと思って,So I'm wondering if I should shave my beard off.,So I thought maybe it would be better if I shaved it off.
4:30,相手の印象的にも たぶん ひげって そんな よくないっすよね,Her first impression might be better that way. Some people have bad impressions of beards.,I don't think a beard is good for the other person's impression.
4:36,男の人のひげって,bad impressions of beards.,Men's beards...
4:41,そっちゃおうかな,Maybe I should.,I think I'll shave it off.
5:28,（講演者）ここに １冊の特別な日記があります,I have a special diary in my hand.,（I have a special diary here.
5:33,世界で たった一つ,It's the only one in the world.,The only one in the world.
5:36,過去ではなく 未来の出来事が記された日記,"What's written inside is not what's occurred in the past, but what occurs in the future.","A diary of future events, not the past."
5:43,それこそが 未来日記なのです,That's why this is The Future Diary.,That is the diary of the future.
5:48,それでは 皆さん,"Now, everyone,",Ladies and gentlemen.
5:50,ステージ中央のモニターに ご注目ください,please turn your attention to the screen.,Please pay attention to the monitor in the center of the stage.
6:01,全く知らない男女へ届けられる 未来日記には,The Future Diary will be delivered to two complete strangers.,The Future Diary is delivered to a man and a woman who don't know each other.
6:05,２人の未来が書かれています,Their future is written in the diary.,Their future is written in it.
6:10,信じられない出逢い,"After an extraordinary encounter,",An unbelievable encounter.
6:13,２人を襲う 非日常的な試練の数々,unbelievable challenges await this couple.,The extraordinary ordeal that awaits them.
6:20,どんな内容であっても,"Regardless of the contents,",No matter what it says.
6:22,日記に書かれた指示には 従わなくてはいけません,they must follow instructions written in the diary.,You must follow the instructions in the diary.
6:28,また お互いに 連絡先を交換したり,They cannot exchange contacts,"Also, you can't exchange contact information with each other."
6:32,撮影以外で逢うことは できません,or meet outside of the filming process.,You will not be allowed to see each other outside of the shoot.
6:36,そして 最後に渡される日記には,"And in the last diary given to them,","And at the end of the day, you will be given a diary."
6:40,永遠の別れが 書いてあります,their final farewell is written.,"And in the diary that you will receive at the end of the session, you will find your eternal farewell."
6:44,出逢い 恋に落ち 別れる運命が決まっている男女,"They are destined to meet, to fall in love, and in the end, to go their separate ways.","A man and a woman who meet, fall in love, and are destined to part."
6:51,２人は 果たして 本当に 恋に落ちていくのでしょうか？,Is it possible for them to actually fall in love?,Will they ever truly fall in love?
6:56,さあ 運命の２人の物語は,This story of two people linked by destiny,The story of two people who are destined to be together
7:01,ここから始まるのです,begins from here.,This is where it all begins.
8:19,（真愛）えっ… （拓斗）はじめまして,Nice to meet you.,（It's nice to meet you.
8:20,はじめまして,Nice to meet you too.,Nice to meet you
8:22,びっくりした～,That surprised me.,What a surprise!
8:23,（拓斗）どういうこと？,What happened?,（What do you mean?
8:25,えっ？,What?,What do you mean?
8:27,え～ びっくりした～,That really surprised me.,I'm so surprised!
8:30,えっ 気付きました？ （真愛）全然,"-Did you notice? -No, I didn't.",Did you notice? （Not at all
8:32,全く気付かなかった,I didn't notice at all.,I didn't notice at all
8:35,（拓斗）マジで びっくりしたわ,It really surprised me too.,"（Seriously, I was so surprised"
8:37,（真愛）えっ？,Well…,（What?
8:38,えっ みんな いなくなっ…,There's nobody else here.,Everyone's gone...
8:43,（拓斗）２人だけってことですよね （真愛）ですよね,-It's just us. -Yes.,"（It's just the two of us, right? -That's right."
8:46,（２人）あっ… はじめまして,-Nice to meet you. -Nice to meet you.,（It's nice to meet you.
8:49,若松拓斗です,Takuto Wakamatsu.,I'm Takuto Wakamatsu
8:52,仲宗根真愛です,My name is Maai Nakasone.,I'm Nakasone Ma'ai
8:56,（真愛）あっ あっちですか,That way?,"（Oh, you're over there?"
9:00,（拓斗）こういう感じか…,So this is how it starts.,（So this is how it is...
9:03,全然 気付かなかった,I didn't notice at all.,I didn't notice that at all.
9:05,（真愛）はじめまして （拓斗）あっ どうも,-How do you do? -I'm good.,（Nice to meet you. -Thanks.
9:08,（真愛）えっ おいくつですか？,-How old are you? -I'm…,（How old are you?
