Connectives,Adverbials,Na.Adjectives,I.Adjectives,Adverbs,Onomatope,Interrogatives
しかも,相変わらず,可能,無い,上手く,ペラペラ,だれ
それも,どうしても,好き,良い,安く,すらすら,どなた
さらに,けっきょく,確か,多い,深く    ,コツコツ,だれか
そのうえ,もちろん,重要,高い,早く,一生懸命,どなたか
それに,もしかしたら,十分,大きい,すごく,どんどん,だれも
また,なるほど,様々,悪い,短く,くよくよ,どなたも
それから,せっかく,嫌,強い,詳しく,いやいや,だれでも
そして　,とにかく,大変,少ない,綺麗に,だんだん,どなたでも
でも,とりあえず,簡単,長い,特別に,ビシビシ,どう
しかし,やはり,明らか,新しい,大切に,ガヤガヤ,どちら
ところが,やっぱり,非常,早い,ちゃんと,ペチャクチャ,どこ
けれども,,大切,甘い,よぶよぶに,シーンと,どんな
けど,,同様,若い,すっかり,ソワソワ,どういう
または,,完全,欲しい,ゆっくり,ドキドキ,どの
それとも,,大丈夫,深い,ピカピカ,ウキウキ,どれ
あるいは,,奇麗,近い,ふらふら,バタバタ,いくら
それで,,特別,小さい,初めて,ハラハラ,いくつ
すると,,大事,難しい,極めて,ガミガミ,いつ
だから,,有名,凄い,優れて,グズグズ,
そこで,,新た,面白い,きれいに,,
したがって,,相当,広い,すっかり,,
そのけっか,,静か,美しい,ゆっくり,,
そのために,,如何,白い,まっすぐ,,
ところで,,豊か,低い,ちょうど,,
なぜなら,,明確,楽しい,はっきり,,
たとえば,,有効,嬉しい,まったく,,
つまり,,遥か,酷い,ちゃんと,,
ようするに,,単純,古い,きちんと,,
ちなみに,,確実,安い,無事に,,
ただし,,残念,美味しい,早速,,
,,巨大,正しい,もっと,,
,,意外,詳しい,もっとも,,
,,立派,激しい,いちばん,,
,,特殊,怖い,だいぶ,,
,,見事,厳しい,非常に,,
,,多様,辛い,ほとんど,,
,,高度,軽い,いっさい,,
,,当たり前,優しい,実に,,
,,容易,可愛い,かなり,,
,,懸命,重い,結構,,
,,適切,可笑しい,極めて,,
,,上手,明るい,すっかり,,
,,同一,痛い,大変,,
,,独自,赤い,とても,,
,,大好き,短い,すごく,,
,,真面目,暗い,たくさん,,
,,必死,遅い,大いに,,
