Words,Meaning,Sentence
でしょう,"I think, probably",今夜は風が強いでしょう。
とき,"when, at the time of",学生のときよく公園へ花を見に行った/行きました。
ながら,"while, during, as",音楽を聞きながら料理します。
ほうがいい,it’d be better to,今日は傘を持って行ったほうがいい 。
なぜ,why,彼はなぜ猫が嫌いなのか。
だけ,"just, only, simply, merely",私は肉だけ食べる。
だろう,probably,試験は難しかっただろう。
いちばん,"the most, the best",ここがこの町でいちばん安い店だ。
いつ,when,薬局はいつ閉まるのか。
から,"because, since",天気がいいから、散歩しよう。
から,from,ここから新宿駅まで歩いて5分かかる。
けれども,"but, although",その店に行ったけれども閉まっていた。
くらい,"about, approximately",私の家からコンビニまで5分くらいかかる。
まだ,"still, not yet",私の同僚たちはまだ勤務中だ。
まえに,before,日本へ行く前に日本語を勉強する。
まえに,in front of ,私の目の前にその若い男が突然現れた。
ませんか,"let’s, won’t you, why don’t we",私たちと一緒に座りませんか。
ましょう,"let’s, shall we",授業を始めましょうか。
も,"also, too, as well",その男の子は知識も経験もある。
もう,"already, anymore",宿題をもう終えたか。
なに,what,あなたの趣味は何ですか。 
なる,to become,来年、私は英語の教師になる。 
にいく,"to go in order to 
",私は家族と一緒に寿司を食べに行く。
にする,to decide on,紅茶とコーヒー、どちらにしますか。コーヒーにします。
のがじょうず,to be good at,私の息子は絵を描くのが上手だ。
のがすき,like doing,私はサッカーをするのが好きだ。
のがへた,to be bad at,彼は運転するのが下手だ。
ので,"because of, the reason is that",彼は寝過ごしたので学校に遅刻した。
すぎる,too much,あの店の料理は値段が高すぎる。
たい,want to,明日、娘は東京を観光したい。
たことがある,have done before,私は過去に日本語能力試験を受けたことがある。
誰と,with whom,あなたは誰と釣りに行ったの。
てください ,please do,毎日、この部屋を掃除してください。
なんで,"by what, why",あなたは何で駅まで行きますか。
てもいい,"is okay, is alright to, can",生徒たちは教室で野球の練習をしてもいい。
てから,after doing,いつも私は手を洗ってから食事をする。
なんばん,what number,緊急連絡先は何番ですか。
てはいけない,"must not, may not",あなたはここに入ってはいけない。
つもりだ ,"plan to, intend to",明日、私は郵便局へ行くつもりだ。
どこ,where,あなたはどこの町の出身ですか。
より,than,今朝はいつもより早く学校へ行った。
より ~ のほうが,is more ~ than,私は秋より春のほうが好きだ。
あまり〜ない,"not very, not much",私は鶏肉があまり好きではない。
あとで,"after, later",昼ごはんの後で友達とコーヒーを飲んだ。
ば,if... then,可能ならば、クレジットカードで支払いたい。
場合は,"in the event of, in case of",明日、雨が降った場合は運動会を中止する。
だけで,just by,弟は彼女の喜ぶ顔を想像するだけで満足した。
出す,"to suddenly begin, to suddenly appear",雨が突然降り出した。
でも,but,パン屋に行きました。でも、何も買いませんでした。
でも,or something,私はコーヒーでも飲みたい。
でございます,to be,当店は間もなく閉店時間でございます。
がる,"to show signs of, to feel",彼の息子は私の冗談を面白がった。
ごろ,"around, about",兄と昼ごろ駅で別れた。
はじめる,"to start, to begin to",どうやら日が暮れ始めた。
はずだ,"it must be, it should be, expected to happen",その番号であっているはずだ。
べきだ,"should do, must do",早く帰宅すべきだ。
がする,"smell, hear, taste, doing, happening",焦げ臭い匂いがする。
はずがない ,cannot be,その噂が本当であるはずがない。
ひつよう,"need, necessary",
ひつようがある,it is necessary to,
ほしい ,"to want something, to be in need of",
いらっしゃる,"to be, to come, to go",
いたす,to do,
いたします,to do,
じゃないか,isn't it,
かい,turns a sentence into a yes or no question,
かどうか,whether or not,
かもしれない,"might, maybe",
かな,I wonder,
かた,"how to, way to do",
かしら,I wonder,
ことができる,"can, be able to",
までに,"by, by the time",
みたい,"like, similar to, resembling",
など,"such as, things like",
ないで,"without doing, don’t",
なければいけない,"must do, have to do",
なければならない,"must do, have to do",
なくてはいけない,"must do, have to do",
なくてはならない,"must do, have to do",
なくてもいい, don’t have to,
なら,"if, in case, as for",
なさい,do,
なさる,to do,
に気がつく,"to notice, to realize",
にくい,"difficult to, hard to",
にみえる,"to look, to seem, to appear",
のなかで,"in, among",
のに,in order to,
のに,"although, in spite of, even though",
のように,"like, similar to",
のような,"like, similar to",
お〜ください,please do,
お〜になる,to do something,
おきに,"repeated at intervals, every",
おわる,"to finish, to end",
らしい,seems like,
させる,to make or let somebody do something,
させられる,to be made to do something,
さすが,as one would expect,
し, list reasons for multiple states and actions,
しか〜ない,"only, nothing but",
そんなに,"so, so much, like that",
それでも,"but still, and yet, nevertheless",
そうだ,"look like, appear, seem",
そうだ,"I heard that, it is said that",
たばかり,"just did, something just happened",
たがる,to want to,
たら,"if, after, when",
たらどう,why don’t you,
たり〜たり,do such things like,
たところ,"just finished doing, was just doing",
てあげる,to do something for someone,
てある,something is or has been done,
てほしい ,I need you to,
ていく,"to go on, to start, to continue ",
ているところ,in the process of doing,
ていた,was doing something,
ていただけませんか,could you please,
てくれる,to do something for me or somebody’s sake,
てくる,"to come to, to become, to continue",
てみる,to try to,
ても,"even if, even though",
てもらう,to get somebody to do something,
ておく,to prepare something for future,
てしまう,"to do something by accident, to finish completely",
てすみません,I’m sorry for,
てよかった,I’m glad that,あなたが怪我がなくてよかった。
と,"if, when, and",熱すると水は蒸気に変わる。
と〜と、どちらが,which one,太陽と地球とではどちらが大きいですか。
ということ,changes a sentence or phrase into a Noun,私たちの課題は人手不足であるということだ。
といってもいい,"you could say, you might say",彼は一流の作家であると言ってもいい。
といわれている,it is said that,魚は健康にいいと言われています。
とか〜とか,"among other things, such as",私は包丁とかなべとか台所用品を持参する。
とき,"when, at the time",私は勉強する時に眼鏡をかける。
ときいた,I heard that,私はその会議が成功したと聞いた。
ところ,"about to, on the verge of",私はコートを脱いだところだ。
とみえる,it seems that,夜遅く雨が降ったと見える。
とおもう,"I think, you think",改善が必要だと思う。
つづける,to continue,彼女は日本語を学ぶ努力し続ける。
やすい,"easy to, likely to",ここでは天気は変わりやすい。
より,than,今朝は昨日の朝より寒い。
よていだ ,"plan to, intend to",今年も私は北海道を旅する予定だ。
ようだ,"it seems that, it appears that, it looks like",顧客はとても満足しているようだ。
ように,"as, like, just like",私はあなたが娘であるように感じる。
ような,"as, like, just like",彼女はまるで私の姉のような話し方をする。
ようになる,to reach the point that,毎日練習したので泳げるようになった。
ようにする ,"to try to, to make sure that",私は健康のために野菜を食べるようにしている。
ようとおもう,I think I will,私は一生懸命その仕事をやろうと思う。
ぜんぜん,not at all,彼女は政治については全然興味がない。
おう,volitional verb form,図書館に行こうと思ってる。
聞こえる,to be able to hear,隣の部屋で電話がなっているのが私には聞こえる。
聞く,to listen,電車で音楽を私は聞く。
見える,"is visible,to be able to see",私は部屋の窓から海が見える。
見られる,to be able to watch,その動物園では珍しい動物が見られる。
遅れる,to be late,私は仕事に遅れる。
遅刻する,to be late,彼は会社に遅刻した。
もらう,to receive,私は友達からハガキをもらった。
もらう,to have someone do something,私は兄に本棚をつくってもらった。
あげる,to give,兄が車をあなたに買ってあげるよ。
くれる,to give,知らない人が私にリンゴをくれた。
召し上がる,"to eat, to drink",どうぞご自由に果物を召し上がってください。 
拝見する,"to see, to look",午後、売り上げに関する分析データを拝見します。
伺う,"to ask, to inquire, to call",退職すると伺いました。
頂く,"to receive, to accept, to take",昨日、お客様にお土産をいただきました。
存じる,"to think, to feel",ご一緒したいと存じます。
せられる,to be made to do something (causative-passive),私たちは空港で長い間待たされた。
られる,verb potential form,彼らはとても辛い料理が食べられる。
あまり,"too much, due to a condition or state being in excess, a result occurs",激痛のあまり、私は思わず叫び声をあげた。
あまりに ,"so much... that, too much, excessively",最近あまりに暑すぎる。
ば〜ほど,the more... the more...,この本は読めば読むほど面白くなる。
ばいい,"should, can, it’d be good if",もっと時間があればいい。
ばかり,"only, nothing but",子供たちはテレビを見てばかりいる。
ばかりだ,just continue to,私の体重は増えるばかりだ。
ばかりでなく,"not only... but also, as well as",このレストランは味が悪いばかりでなく、店員の態度もひどい。
