Sentences,Translation
その本は以前に読んだことがあります。,I have read the book before.
前もって席を予約しなさい。,Reserve a seat in advance.
私は人前で歌わされた。,I was made to sing in public.
名前をすっかり忘れてしまいました。,I quite forget your name.
寝る前には明かりを消して下さい。,Please put out the light before you go to sleep.
その列車は午前７時１５分に発車する。,The train departs at 7:15 a.m.
あの信号の手前で降ろしてください。,Please let me off on this side of that traffic light.
私たちはその基礎となっている前提を理解すべきだった。,We should understand the underlying premises.
前進命令を待っていた。,They were waiting for the go-ahead.
子供たちが迷惑をかけるのは当たり前だ。,It is common for children to cause trouble.
腕を前後に振りなさい。,Swing your arm back and forth.
試合の直前にはいつもあがっています。,I always get nervous just before a match.
彼女の料理の腕前は上がってきている。,She's making progress in cooking.
私たちの前途には幾多の困難が横たわっている。,There lie many difficulties before us.
事前に予約を取っておくべきだ。,We'd better make a reservation beforehand.
アメリカも本音と建前を使い分ける国だ。,The U.S. is also a country that uses both real intentions and pretense.
大きな乗用車が止まり、背の高い女性が降りた。,A big car drew up and a tall lady got out.
バスの運転手は乗客の安全について責任がある。,A bus driver is responsible for the safety of the passengers.
乗務員全員が食中毒で苦しんだ。,The entire crew suffered from food poisoning.
彼は乗馬を仕込まれた。,He was brought up to riding.
ちょうどいいね。新型の試乗してってもらうね。,Good timing. I'll get you to test drive the new model.
韓流ドラマブームに便乗して、韓国の製品を売る業者が増えた。,"Taking advantage of the popular boom in Korean drama, workers selling Korean goods have increased."
列車に乗車した後で、私は財布を家に置き忘れてきたことに気が付いた。,"After I got on board a train, I found I had left my wallet behind at home."
２人の女性が乗船していた。,There were two women on board.
途中で乗り換えが必要ですか。,Is it necessary to change trains along the way?
帰宅の途中電車の中で居眠りをして乗り越してしまった。,I dozed off on the train on my way home and missed the train.
万一この飛行機が乗っ取られたら、君は一体どうするだろうか。,"If this airplane were to be hijacked, what in the world would you do?"
道路は様々な乗物で混雑していた。,The road was crowded with various vehicles.
私が乗り込むやいなや、汽車は動き出した。,I had barely got aboard when the train began to move.
ホテルまでに車に乗せてくれませんか。,Will you give me a ride to my hotel?
バスは乗客を乗せるために止まった。,The bus stopped to take up passengers.
明日の朝立ち寄ってあなたを車に乗せていきましょう。,I'll come by and pick you up tomorrow morning.
彼は金沢行きの列車に乗った。,He got on a train bound for Kanazawa.
その一件はめでたく落着するだろう。,The affair will come to a happy conclusion.
その用件は明日まで待てますか。,Can the matter wait till tomorrow?
そちらの条件を受け入れましょう。,We will accept your conditions.
この案件をどう処理するか、君に下駄を預けるよ。,I'm just going to leave it up to him to figure out how to clean up this mess.
交通事故の件数が増加している。,There has been an increase in the number of traffic accidents.
その事件によって彼の勇敢さが試された。,That incident put his courage to the test.
利用条件を予告なしに変更することがあります。,Terms of use may be changed without notice.
彼らは労働条件を改善したがっている。,They want to better their working conditions.
無条件でその計画に同意した。,We agreed to the plan without qualification.
適合率とは取り出した記事のうち、どの程度の記事が検索条件に合っているかを示す指標です。,The precision ratio is an index that indicates how many articles meet the search criteria out of all of the articles retrieved.
私は高校の全課程を修了した。,I completed the whole high school curriculum.
私は修学旅行を大変楽しみにしている。,I am looking forward very much to the school excursion.
彼女は３年前に修士の学位をとりました。,She got a master's degree three years ago.
研修会は午後４時開始の予定。,The training session is scheduled to begin at 4 p.m.
体育の授業は全員が必修です。,The physical fitness courses are required for everyone.
失礼ですが御提案を修正させていただきます。,I beg to modify your proposal.
私は彼に時計を修理させた。,I had my watch mended by him.
その城は修復され市民に公開されている。,The castle has been restored and is open to the public.
私は彼女がスカートを修繕しているのに気づいた。,I found her mending a skirt.
その本はいちばん下の棚に置いてください。,Put the book on the bottom shelf.
専門家はその絵に高い評価を下した。,Experts put a high valuation on the painting.
