Words,Meaning,Sentences,Translation
雨降り,"rainfall, rainy weather, rainy, wet",今日は雨降りなので、買い物はやめよう。,"It being rainy today, let's cancel our shopping."
運転免許,"driver's license, driver's licence",君は運転免許を取るには、まだ若すぎる。,You're still too young to get a driver's license.
目下,"at present, now",その家は目下建築中である。,The house is now under construction.
日本経済,Japanese economy,今年の日本経済の成長率は０.７％を超えるだろう。,The growth rate of the Japanese economy will top 0.7% this year.
チェックアウト,check-out,チェックアウトしたいのですが。,I'd like to check out.
皿,"plate, dish, platter, disc, serving, helping, course",彼女は皿を洗い、それから乾かした。,She washed the dishes and she dried them.
中心,"center, centre, middle, heart, core, focus, pivot, emphasis, balance, -centered, -focused",その町は成長して経済の中心となった。,The town developed into the center of the economy.
ごめん,"your pardon, sorry, no thanks",ごめん。道が混んじゃって。,Sorry. Traffic was heavy.
米,(husked grains of) rice,私はよい野菜や米、果物などを栽培したいのです。,"I want to grow good vegetables, rice, fruit and so on."
嬉しい,"happy, glad, pleased, delighted, overjoyed, joyful, delightful",君に会うのはいつだってうれしいことです。,To see you is always a great pleasure.
無言,"silence (not speaking), muteness",彼女の悲しみは無言でこぼす涙になって表れた。,Her sorrow found expression in silent tears.
異常,"strangeness, abnormality, disorder",彼女の異常なふるまいから何を推測しますか。,What do you infer from her strange behavior?
責任,"duty, responsibility (incl. supervision of staff)",誰にその事故の責任があるのか。,Who is to blame for the accident?
苦労,"trouble, hardship, difficulty, labour, labor, toil, pains, anxiety, worry, concern, cares",だれでも苦労の無い生活を望んでいる。,Every one wants to live free from care.
一歩,"(a) step, level, stage, small degree, small amount",一歩でも動いてごらん、崖から落ちてしまうよ。,"A single step, and you will fall over the cliff."
品,"article, item, thing, goods, stock",この品の税金分はむこうでお支払い下さい。,Please pay the tax on the items over there.
殴る,"to strike, to hit, to beat, to punch",彼は荒々しいサッカーの試合の間、鉄の棒で殴られた。,He was beaten with an iron rod during a violent soccer match.
勤める,"to work (for), to be employed (at), to serve (in), to serve (as), to act (as)",彼女は商事会社に勤めている。,She is employed in a trading company.
女中,"maid, female servant, hostess (in a ryokan), waitress (in a traditional restaurant)",その劇で彼女は女中と女店員との二役を努めた。,In the play she doubled the parts of a maid and shop girl.
悟る,"to perceive, to sense, to discern, to understand, to comprehend, to realize",そのときになって初めて私は自分の誤りを悟った。,It was not until then that I realized my mistake.
回,counter for occurrences,私は３回京都を訪れたことがあります。,I have visited Kyoto three times.
伝わる,"to be handed down, to be introduced, to be transmitted, to be circulated, to go along, to walk along",私の意図は十分あなたに伝わった。,My intentions reached you clearly enough.
私用,"personal use, private use, private business, personal business",上司は会社の電話で私用の電話をかけたといって私をひどく叱った。,My boss called me down for making private calls on the office phone.
内部,"interior, inside, internal",この図解は地球の深い内部を示している。,The illustration shows the deep interior.
感謝,"thanks, gratitude",彼にはいくら感謝してもしきれない気持ちだ。,I cannot thank him enough.
話しかける,"to address (someone), to accost a person, to talk (to someone)",私は思い切って彼女に話しかけることができない。,I dare not speak to her.
意志,"will, volition, intention, intent, determination",個人の意志は尊重しなければならない。,We must respect the will of the individual.
あちこち,"here and there, all around, everywhere, throughout, all over",アヒル達は池のあちこちを泳いでいた。,Ducks were swimming about on the pond.
不可能,impossible,回復はほとんど不可能だった。,Recovery was almost impossible.
出来事,"incident, affair, happening, event",それは異常な展開を見せた出来事でした。,It was an event that proved extraordinary.
到着,arrival,品物が到着しましたらご連絡いたします。,I will notify you of the arrival of the goods.
台所,"kitchen, financial situation",台所をきれいに掃くのを忘れないように。,Don't forget to sweep the kitchen clean.
親しい,"close (e.g. friend), familiar, friendly, intimate",夏休みの間に私は多くの村人と親しくなった。,"During the summer vacation, I made friends with many villagers."
普段,"usual, normal, everyday, habitual, ordinary, usually, normally, generally, habitually, always",私は普段金曜日に市場に買い物に行きます。,I usually go to market on Friday.
総意,"consensus, collective will, collective opinion",総意とは何ですか？,What is the consensus?
予想,"expectation, anticipation, prediction, forecast, conjecture",予想は、寸分違わぬくらい当った。,His expectations hit the mark exactly.
教会,"church, congregation",教会は森と湖に囲まれている。,The church is surrounded by woods and lakes.
傷つく,"to be wounded, to get injured, to get hurt feelings, to get damaged",傷ついた鳥が地面に落ちた。,The injured bird fell to the ground.
誠に,"indeed, really, absolutely, truly, actually, very, quite",ご親切誠にありがとうございます。,Thank you for your kindness.
止まる,"to stop (moving), to come to a stop",台風の間電気が止まった。,The electricity failed during the typhoon.
撫でる,"to stroke, to caress, to brush gently, to pat, to rub, to comb (hair), to smooth down",そよ風が彼女の顔をなでた。,The breeze kissed her face.
要求,"demand, firm request, requisition, requirement, desire",彼らの要求に屈してはいけません。,Don't give way to their request.
顔色,"complexion, one's colour, one's color, countenance, expression, one's face",彼は今日はうんと顔色がよい。,He looks a good deal better today.
