Sentences,Translation
夏の青い空と海が大好きです。,I love the blue sky and sea in summer.
青い鳥は辜せを呼ぶと言われています。,It is said that blue birds call for innocence.
青い色は涼しい感じがします。,The blue color makes me feel cool.
晴れた日の空や海のような色。,Colors like the sky and sea on a sunny day.
植物などの緑色。,Green color of plants and other things.
青に近い緑色も表す。,It also represents green that is close to blue.
昔は青と緑を区別しないで青としていたから。,"Because in the old days, blue and green were not distinguished and were called blue."
5月は青い若葉が美しい。,May is a beautiful month with blue young leaves.
青々と茂った森が広がっている。,The forest is lush and thick.
青いりんごは甘酸っぱい。,Blue apples are sweet and sour.
菜の緑の葉の部分。,The green leaf part of the rape.
食べられる部分で、緑色をしている部分を指す。,The part that can be eaten and is green in color.
君はもっと青い物を食べないといけない。,You need to eat more of the green stuff.
サラダに青い物が入っていると見た目もいいし、食欲も増す。,"If you have green things in your salad, it looks good and increases your appetite."
昔は、冬になっても青い物が食べられるように、雪の下に野 菜を保存した。,"In the old days, people used to store vegetables under the snow so that they could eat the greens even in the winter."
